address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số toilet,Mặt tiền,Đường vào,Số tầng
"['Tp Hà Nội', 'Nam Từ Liêm', 'Tây Mỗ', 'Vinhomes Smart City']","
Căn 3 phòng ngủ giá rẻ duy nhất còn lại tại Vinhomes Smart City với đầy đủ phương án thanh toán.Tầng 26 - tầng trung hướng Đông Bắc + Đông Nam siêu mát.Thanh toán tiến độ chiết khấu 9,5%.Ân hạn 0đ lên đến 26 tháng.Tặng quà lên đến 150tr và trừ trực tiếp vào giá bán căn hộ.Tặng Voucher Xe Vinfast trị giá 200tr vnđ.Liên hệ đặt căn tại 0913 333 *** - Em Hòa Vinhomes.            ",82 m²,3.18 tỷ,3 phòng,Sổ đỏ/ Sổ hồng.,,27/11/2022,07/12/2022,Tin Vip 1,35670045,batdongsan_com_vn_35670045,Tây - Nam,Đông - Bắc,2 phòng,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường 70']","
Bán liền kề biệt thự B32 Đại Mỗ (Thăng Long City Đại Mỗ), Nam Từ Liêm, giáp dự án FLC Đại Mỗ, đường Lê Quang Đạo kéo dài, đường 70, gần đại siêu thị Aeon Mall, hồ điều hòa thiên văn học...* Thiết kế: Liền kề 4 tầng, mặt tiền 5m; biệt thự 3 tầng, mặt tiền 13.4m. Dự kiến quý 4/2022 xây dựng.* Giá bán từ 75tr/m² đến 110tr/m² đã bao gồm tiền đất, chưa bao gồm tiền hạ tầng và xây dựng.* Dãy nội khu view vườn hoa, đường 12m diện tích 86m² giá từ 80tr/m² đến 90tr/m².* Dãy nhìn chung cư diện tích 86m² đến 100m² giá 75tr/m đến 90tr/m.* Dãy đường 40m (đường 70 mới), diện tích 102m đến 228m giá từ 95 triệu/m đến 110 triệu/m².Quý khách hàng có nhu cầu vui lòng liên hệ hotline 24/7: 0983 638 *** hoặc 0907 178 *** ",86 m²,Thỏa thuận,,,,27/11/2022,07/12/2022,Tin Vip 1,33459412,batdongsan_com_vn_33459412,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Phạm Hùng', 'Dự án Vinhomes Skylake']","
Tổng hợp các căn Vinhomes Skylake nhất, quỹ căn nhất thị trường:* Hotline PKD: 0989 310 ***- Căn 1PN: 44m² - 48m² 2 tỷ 650.- Căn 2PN: 60m² - 65m² - 67m² - 73m² 3,4 tỷ.- Căn 3PN: 86m² - 90m² - 95m² - 110m² 5,2 tỷ.- Căn 4PN: 132m² - 140m² - 145m² - 155m² 8 tỷ - 12tỷ.- Căn Penthouse, 150m² - 300m².- Căn Skyvilla 300m².A quan tâm liên hệ hotline: 0989 310 ***xem nhà tư vấn miễn phí 24/7).Hỗ trợ thủ tục pháp lý khách hàng sổ đỏ trao tay.            ",44 m²,Thỏa thuận,1 phòng,Đã có sổ.,Nội thất cơ bản.,21/11/2022,01/12/2022,Tin Vip 1,33988982,batdongsan_com_vn_33988982,,Đông - Nam,1 phòng,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Phố Lê Trọng Tấn', 'Dự án KĐT Văn Phú']","
Văn phòng BĐS An Phát xin trân trọng gửi lời cảm ơn tới toàn thể quý khách hàng đã và đang quan tâm tới văn phòng chúng tôi, chúng tôi xin kính chúc quý khách và cùng toàn thể gia đình mạnh khỏe, hạnh phúc và thành công hơn trong cuộc sống.Với tất cả sự kính trọng của mình chúng tôi cam kết mang đến cho khách hàng những sản phẩm và dịch vụ tốt nhất, luôn đặt uy tín lên hàng đầu tận tình chu đáo, hết lòng tận tâm với khách hàng, hỗ trợ làm thủ tục sang tên sổ đỏ miễn phí. Nhận thiết kế thi công nhà trọn gói.Quý khách mua bán, ký gửi, cho thuê và thuê nhà vui lòng liên hệ văn phòng BĐS An Phát:ĐC: Số 1 TT 20 KĐT Văn Phú, Phú La, Hà Đông, Hà Nội.ĐT: 0973 176 *** - 0915 687 *** A. Luyến.TT 10: DT 90m² hướng nam nhìn trường học giá 10,3tỷ.TT 1: DT 90m², hướng Nam, đường 24 m, kinh doanh tốt giá 12.2tỷ.TT2: DT 90m² đường 24 m giá 12,6 tỷ.TT 35: DT 70m² hoàn thiện giá 11 tỷ.TT23: DT 90m² nhìn vườn hoa, sát công viên giá 12tỷ.TT21: DT 90m², gần công viên, nhìn vườn hoa giá TL.TT28: DT 90m², đường 12m, gần trường học giá 10,5 tỷ.TT9: DT 90m², đường 42m, giá 16. Tỷ.V5A: DT 126m² xây 7,5.tầng, diện tích sử dụng hơn 700m² giá 26,5 tỷ.V6B: DT 89m² xây 7 tầng giá 16 tỷ.BT 5 DT 220 m², đường 16.5 giá 24, tỷ.Quý khách xem nhà xin liên hệ văn phòng BĐS An Phát.ĐT: 0973 176 *** - 0915 687 *** A. Luyến.            ",90 m²,9.9 tỷ,,Đã có sổ,,27/11/2022,07/12/2022,Tin Vip 1,17838032,batdongsan_com_vn_17838032,Bắc,,,4.5 m,12 m,4 tầng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', '423', 'Imperia Sky Garden']","
Nhận ký gửi mua bán và cho thuê căn hộ 423 Minh Khai. LH: 0913 484 ***Quỹ căn bán chuyển nhượng giá tốt nhất hiện nay có tất cả các tòa A, B, C, D: Cam kết giá tốt nhất thị trường. Dưới đây là một số mã căn và giá quý khách tham khảo, quy khách muốn cụ thể quỹ căn đang bán hiện nay liên hệ trực tiếp Hotline: 0913 484 ***- Căn B03, 74.83m², 2PN - 2WC, cửa ĐB - BC TN, giá 2,7 tỷ.- Căn B05,06,07,08:, 75.04m², 2PN - 2WC, cửa ĐB - BC TN, giá 2,7tỷ.- Căn B11, 73.66m², 2PN - 2WC, cửa TN - bc ĐB, giá 2,65tỷ.- Căn B10,14, 81.74m², 2PN - 2WC, cửa ĐN - BC TB, giá 2,95tỷ.- Căn B17, 81.74m², 2PN - 2WC, cửa TB - BC ĐN, giá 3,15tỷ.- Căn B12A, 57.91m², 2PN - 1WC, cửa ĐB - BC TN, giá 2,250tỷ.* Căn hộ 3PN:- Căn B01, 105.21m², 3PN - 2WC, cửa TN - BC ĐB, giá 4,1 tỷ.- Căn B02, 103.48m², 3PN - 2WC, cửa ĐB - BC TN, giá 4,2tỷ.- Căn B04, 87.97m², 3PN - 2WC, cửa ĐB - BC TN, giá 3,45 tỷ.- Căn B09, 98.11m², 3PN - 2WC, cửa TB - BC ĐN, giá 4,1tỷ.- Căn B12,18, 86.2m², 3PN - 2WC, cửa TN - bc ĐB, giá 3,2tỷ.- Căn B15, 98.1m², 3PN - 2WC 1 logia. Cửa ĐN - bc TB, giá 4.1 tỷ. Để biết Thông tin cụ thể từng căn hộ vui lòng liên hệ:Trưởng Phòng kinh doanh: 0913 484 *** ",74.83 m²,2.7 tỷ,2 phòng,,,18/11/2022,28/11/2022,Tin Vip 1,29930006,batdongsan_com_vn_29930006,Đông - Bắc,Tây - Nam,2 phòng,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Bồ Đề']","
🌟CHÍNH CHỦ EM BÁN NHÀ SỐ 8 NGÕ 77 LÂM HẠ - BỒ ĐỀ - LONG BIÊN - Ô TÔ TRÁNH - 70M2 - 6 TẦNG THANG MÁY ĐẦY ĐỦ NỘI THẤT - TRƯỚC CỬA NHÀ CÓ SÂN RỘNG ĐÁ BÓNG HAY ĐỂ CHỤC XE Ô TÔ THOẢI MÁI🧧TẶNG NGAY 1 CÂY VÀNG CHO KHÁCH MUA NHÀ TRONG THÁNG NÀY🧧💲GIÁ: 12,99 TỈ (E CÓ BỚT Ạ)☎️LIÊN HỆ : E NAM CHÍNH CHỦ 0936 368 *** ",70 m²,12.9 tỷ,5 phòng,Đã có sổ,Đầy đủ,27/11/2022,07/12/2022,Tin Vip 1,35962926,batdongsan_com_vn_35962926,,,,,,6 tầng
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32', 'Dự án Hinode Royal Park']","
Bảng hàng chuyển nhượng ngoại giao shophouse, liền kề, biệt thự dự án Hinode Royal Park - Kim Chung Di Trạch.+ Hotline: 0912 550 ***+ Website: https://hinoderoyalpark.org1. Căn liền kề khu Đông Dương.- Căn LK16 - 7X, 100m². Mặt đại lộ Hoàng Gia rộng 33m, vỉa hè rộng 8m, kinh doanh đắc địa.Giá: 14.5 tỷ.- Căn LK16 - 4X, 100m². Mặt đường rộng 24m, vỉa hè rộng, kinh doanh vip.Giá 12.5 tỷ.- Căn LK16 - 2X, 95m². View công viên, vườn hoa rất đẹp.Giá 78 triệu/m².- Căn LK15 - 2X, 100m². Đường rộng, thoáng.Giá 70 triệu/m².- Căn LK17 - XX, vị trí đẹp, hướng đông nam.Giá 57 triệu/m².- Căn LK18 - XX, đường 17m, vị trí đẹp, tiện kinh doanh.Giá 9,5 tỷ.- Căn LK16 - 2X, đường 12m, view vườn hoa, vị trí đẹp.Giá 63 triệu/m².- Căn LK14 - 0X, đường 30m², vỉa hè rộng, vị trí đẹp, tiện kinh doanh.Giá 90tr/m².- Căn LK13 - 2X, đường rộng 17m.Giá 68 triệu/m².- Căn LK15 - 2X, đường 17m, view biệt thự.Giá 70 triệu/m².- Căn LK13 - 3X, 100m².Giá 73 triệu/m².- Căn LK10 - 3X, 100m².Giá 57 triệu/m².- Căn LK9 - XX, 100m,Giá 8 tỷ.2. Shophouse phân khu Anh Quốc - phố đi bộ.- Căn LK29 - 4X, Mặt đại lộ Thảo Viên 30m, vị trí đắc địa.Giá 105 triệu/m².- Căn LK28 - XX, vị trí đẹp.Giá 62 triệu/m².3. Liền kề Hoàng Gia 1.- Căn LK1 - XX, view biệt thự.Giá 48 triệu/m².- Căn LK8xx, Khu Hy Lạp, Đại lộ Hoàng Gia 33m.Giá 14.5 tỷ.4. Shophouse Thịnh Vượng.- Căn LK36 - 2x. Mặt đường 30m, Shop 2 mặt tiền. Mặt tiền rộng 7.5m, xây 5 tầng. Vị trí đắc địa, tiềm năng tăng giá cao.Giá 123tr/m².- Căn LH36 - 3x. Mặt đường 12m, dãy Vip gần hồ, mặt tiền 7.5m, xây 5 tầng.Giá 73tr/m².- Căn LK35 - 0X. Mặt đường 12m, hướng đông. Shop 2 mặt tiền, xây phong cách Ý.Giá 73tr/m².5. Phân khu Bình Minh.- Căn LK47, Phân khu Bình Minh, mặt đường lớn Di Ái.Giá 15 tỷ.6. Biệt thự đơn lập và song lập dựng 3 tầng + 1 tum có diện tích 200m² 250m² 300m² 400m².Giá 150 triệu/m².Liên hệ văn phòng dự án: 0912 550 **** Thông tin dự án.Hinode Royal Park.Chủ đầu tư: Tổng công ty CP Thương mại Xây dựng.Vị trí: Km14 - Km16 QL32, xã Kim Chung và xã Di Trạch, huyện Hoài Đức, Hà Nội tổng diện tích đất: 146,8 ha.Mật độ xây dựng: 29,2%.Đơn vị thiết kế cảnh quan: Westgreen Canada.Đơn vị thiết kế Kiến trúc: Archicentre (Malaysia) và Gensler (Singapore) Loại hình nhà ở:- Liền kề/SH: 1.977 căn.- Biệt thự: 646 căn.- Chung cư: 8.983 căn hộ.Liên hệ văn phòng dự án: 0912 550 ***Thông tin giá bán và chiết khấu tại dự án khu đô thị Hinode Royal Park Kim Chung Di Trạch Hoài Đức.Chủ đầu tư: Tổng công ty cổ phần thương mại xây dựng Vietracimex (WTO).Phòng kinh doanh: 0912 550 ***Địa chỉ dự án: Km14 - Km16 Quốc Lộ 32, xã Kim Chung, Di Trạch, Hoài Đức, Hà Nội.Website: https://hinoderoyalpark.org/            ",100 m²,Thỏa thuận,,,,22/11/2022,02/12/2022,Tin Vip 1,35007427,batdongsan_com_vn_35007427,,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh']","
Cần bán lô đất ở ngay mặt đường Trịnh Văn Bô kéo dài rộng 60m vỉa hè 7m, cách Mỹ Đình 3km, cách đường Vành Đai 3.5 50m, đối diện và xung quanh là các khu đô thị dịch vụ đồng bộ.- Thông số đất cực kỳ đẹp: Diện tích 52.7m².- 2 mặt tiền 14m, vỉa hè rộng thênh thang tha hồ kinh doanh trục đường đã kinh doanh đông đúc, từ tầng 2 xây đua 70m.- Sổ đỏ lâu dài vĩnh viễn.- Giá hợp lý.Liên hệ: 0981 559 ***Phương Thúy).            ",52.7 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng.,,21/11/2022,28/11/2022,Tin Vip 1,35397432,batdongsan_com_vn_35397432,Tây - Bắc,,,14 m,60 m,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên']","
Chính chủ gửi bán lô đất 1.462m² đã mua hơn 20 năm, giá rẻ nhất thị trường Hòa Lạc hiện tại, cơ hội đầu tư cực tốt:- Vị trí: Bình Yên - Thạch Thất, cách Tỉnh lộ 420 chỉ 70m (có xe bus vào thẳng đại học FPT - khu công nghệ cao Hòa Lạc).- Khu vực có rất nhiều tòa chung cư mini cho sinh viên FPT thuê - Di chuyển ra công nghệ cao Hòa Lạc chỉ 3 - 5 phút.- Đường vào rộng rãi, ô tô ra vào thoải mái.- Thửa đất cực kỳ đẹp để đầu tư sinh lời, xây chung cư mini cho thuê...- Sẵn sổ đỏ giao dịch ngay, pháp lý chuẩn, mặt tiền rộng 29m.- Giá bán 100% rẻ hơn thị trường hiện tại, chủ rất thiện chí bán.Liên hệ em Viễn để đi xem đất và giao dịch chính chủ: 0914 977 *** ",1462 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,,27/11/2022,07/12/2022,Tin Vip 1,35825328,batdongsan_com_vn_35825328,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Imperia Sky Garden']","
I. Loại căn hộ 2 phòng ngủ:01. Căn số 03: 74.48m², 2PN - 2WC, cửa ĐB - ban công TN, giá 3.2-3.4tỷ.02. Căn số 05,06,07,08: 74,8 - 76,8m², 2PN - 2WC, Cửa TN - bc ĐB, giá 3.4tỷ.03. Căn số 10: Diện tích 81,6m², 2PN - 2WC Cửa ĐN - bc Tây Bắc, giá 3.6tỷ.04. Căn số 11: 73.39m², 2PN - 2WC, Cửa TN - ban công ĐB, giá 3.35tỷ.05. Căn số 14: 81,47m², 2PN - 2WC, Cửa TB - ban công ĐN, giá 3.8tỷ.06. Căn số 17: 81.47m², 2PN - 2WC, Cửa TB - ban công ĐN, giá 3.9tỷ.II. Loại căn hộ 3 phòng ngủ:01. Căn góc số 01: 105m², 3PN - 2WC, Cửa TN - ban công ĐB, TB giá 5tỷ.02. Căn góc số 02: 103.4m², 3PN - 2WC, Cửa ĐB - ban công TN, TB giá 4.9tỷ.03. Căn số 04: 87.65m², 3PN - 2WC, Cửa ĐB - ban công TN, giá 3,9tỷ.04. Căn số 09: 98.11m², 3PN - 2WC, Cửa TB - ban công ĐN, giá 4,8tỷ.05. Căn số 12: 86.2m², 3PN - 2WC, Cửa TN - ban công ĐB, giá 3,8tỷ.06. Căn số 15: 98.1m², 3PN - 2WC, Cửa ĐN - ban công TB, TN giá 4.5tỷ.07. Căn số 16: 98,25m², 3PN - 2WC cửa vào TB - ban công ĐN, giá 4,9 tỷ.08. Căn số 18: 87m², 3PN - 2WC cửa vào TN - ban công ĐB, giá 3,9 tỷ.Ngoài ra chúng tôi còn rất nhiều căn chủ nhà gửi bán gấp, cắt lỗ.* Ưu đãi và chăm sóc:- Miễn phí 100% phí cho khách mua nhà.- Miễn phí dịch vụ quản lý 2 năm (tùy từng căn hộ).- Hỗ trợ tư vấn pháp lý và thủ tục trong suốt quá trình mua bán sang tên.- Tất cả giao dịch được ghi trên giấy tờ, hợp đồng minh bạch đảm bảo quyền lợi công bằng cho hai bên.* Cam kết:- Thực hiện các giao dịch của mình với tất cả uy tín, trách nhiệm.- Thủ tục nhanh gọn, hiệu quả và minh bạch.- Hỗ trợ mọi thủ tục liên quan để hoàn tất việc sang tên.* Liên hệ trực tiếp để được tư vấn tận tình và đi xem căn hộ 0354 149 ***Trân trọng cảm ơn quý khách đã xem tin!            ",98.1 m²,4.5 tỷ,3 phòng,Sổ đỏ/ Sổ hồng,,27/11/2022,04/12/2022,Tin Vip 1,35794857,batdongsan_com_vn_35794857,Đông - Nam,Tây - Bắc,2 phòng,,,
