address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Số toilet,Pháp lý,Nội thất,Đường vào
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Dự án N02-T1 Ngoại Giao Đoàn']","
Chính chủ muốn bán căn hộ tầng 18 chung cư N02-T1 Ngoại Giao Đoàn, chất lượng hoàn thiện CĐT tốt.Diện tích sổ đỏ 82,7m².2 PN, 2VS, có đồ, tủ bếp, máy giặt, tủ lạnh, sofa, giường tủ,...Giá bán 51tr/m² bao phí sang tên.Liên hệ chị Phúc: 0904 563 *** ",82.7 m²,4.217 tỷ,,,2 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35878009,batdongsan_com_vn_35878009,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ', 'Dự án BRG Grand Plaza']","
Bán căn hộ 2PN BRG Grand Plaza 16 Láng Hạ. Bàn giao quý 4/2022. Căn 2PN diện tích 102,5m² giá 8,6 tỷ. (Gồm VAT và KPBT) View trọn hồ Thành Công. Trần cao 3,5m, bàn giao full nội thất liền tường. Ngoài ra còn căn 1PN DT 56m² giá 4,7 tỷ và căn 3PN diện tích 125m² giá từ 10.7 tỷDự án nằm ngay hồ Thành Công 6.4ha mà không bị che chắn bởi bất kỳ tòa nhà nào.Thiết kế 7 căn/1 sàn.Căn 1PN: 54 - 56m².Căn 2PN: 82 - 100m².Căn 3PN: 123m².Chính sách cực kỳ hấp dẫn:- Miễn phí dịch vụ 12 tháng.- Miễn phí dịch vụ Valet Parking 12 tháng.- Chiết khấu từ 5% GTCH.- Hỗ trợ lãi suất 0% trong 12 tháng.- Tặng gói nội thất tân gia trị giá 380 triệu.- Tặng ngay 300tr cho căn 3PnBàn giao full nội thất cao cấp: Sàn, trần, điều hòa âm trần, tủ bếp, bếp từ, hút mùi, chậu rửa, thiết bị vệ sinh đầy đủ cả nóng lạnh, hệ thống tủ quần áo...Liên hệ PKD: 0869 954 ***Tổng quan dự án chung cư 16 Láng Hạ.Tên dự án: Chung cư BRG Grand Plaza - 16 Láng Hạ.Diện tích tòa căn hộ: 8.152m, cao 19 tầng, 4 tầng hầm, 18 tầng căn hộ, tầng mái là phòng gym, phòng đa năng và khu vực tiện ích phục vụ cư dân.Thiết kế 7 căn/1 sàn.Căn 2PN: 82 - 100m.Căn 3PN: 123m.Thiết kế tối ưu căn hộ không góc chết, 100% các phòng đều lấy ánh sáng và gió trực tiếp, gần hết các căn hộ có hướng view trực diện Hồ Thành Công, đây là hướng view vĩnh viễn vì dự án ngay sát hồ không bị chắn bởi các dự án khác.Vị trí.Chung cư 16 Láng Hạ là chung cư cao cấp nằm tại trung tâm thành phố Hà Nội, mảnh đất vàng của thủ đô với vị trí vô cùng thuận lợi khi được nằm gần rất nhiều địa điểm lớn của thành phố như: Rạp chiếu phim quốc gia, siêu thị FiviMart, chợ Láng Hạ, triển lãm Giảng Võ, siêu thị Big C cùng nhiều trường học, bệnh viện và trung tâm thương mại đáp ứng mọi nhu cầu thiết yếu cho các hộ gia đình.Nằm trên khu đất vàng thành phố, chung cư 16 láng hạ là một trong số ít khu căn hộ hạng sang đầu tiên có giếng trời thông tầng và căn hộ có sân vườn riêng tại vị trí thủ đô Hà Nội. Với các tiện ích đạt tiêu chuẩn quốc tế, chung cư oriental plaza sẽ là không gian sống lý tưởng, mang tới cho cư dân một phong cách sống đẳng cấp giữa trung tâm thành phố nhộn nhịp và hiện đại.Liên hệ em để biết thêm thông tin: 0869 954 *** ",102.5 m²,8.6 tỷ,Đông - Bắc,Tây - Nam,2 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35877374,batdongsan_com_vn_35877374,,,2 phòng,,Full nội thất liền tường,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lê Quang Đạo', 'Dự án The Matrix One']","
Bán nhanh căn 2PN, 3PN nhận nhà ngay tháng 8 - 9 với 1,7 tỷ.- Diện tích 2PN 89 - 3PN 114m² - penthouse 225m².- Chiết khấu lên đến 12% GTCH + quà tặng 450tr.- Hỗ trợ vay 70%, lãi 0% trong 36 năm.- Bàn giao full nội thất liền tường cao cấp.Ngoài ra có quỹ hàng ngoại giao căn 2PN - 3PN chủ nhà gửi bán giá rẻ hơn CĐT 500tr - 1 tỷ.Tổng hợp quỹ căn cần bán cắt lỗ giá rẻ như sau: Hotline 0904 466 ***- Đầy đủ mã căn 2PN + 3PN - Đập thông. Có cả căn nhà thô lẫn nội thất CĐT. Mới nhận bàn giao nhà, View hồ điều hòa 14Ha mát mẻ.- Thiết kế thoáng sáng, tối ưu diện tích. Mật độ căn hộ thấp, khách nên qua xem trực tiếp để đánh giá hết vẻ đẹp của căn hộ.Ngoài ra mình còn các căn hộ cho khách lựa chọn:Tòa A.- Trục 01 - 06: 111.98m² (3PN 2WC): 14 căn bán - Lô góc.- Trục 02 - 03 - 04 - 05: 87.99m² (2PN 2WC): 21 căn bán.- Trục 07 - 10: 114.33m² (3PN 2WC): 11 căn bán - Lô góc.- Trục 08: 112.63m² (3PN 2WC): 06 căn bán.- Trục 09: 112.63m² (3PN 2WC): 08 căn bán - DualKey.Tòa B.- Trục 01 - 06: 110.57m² (3PN 2WC): 12 căn bán - Lô góc.- Trục 02 - 03 - 04 - 05: 85.88m² (2pn 2wc): 25 căn bán.- Trục 07 - 10: 112.44m² (3pn 2wc): 19 căn bán - Lô góc.- Trục 08 - 09: 111.67m² (3pn 2wc): 12 căn bán - DualKey.Đập thông:+ 171m² (4PN 4WC): 4 căn bán.+ 196m² (4PN 4WC - phòng khách siêu rộng): 1 căn bán.+ 222m² (6PN 4WC): 1 căn bán.(*) Với quan điểm: ""Tư vấn BĐS cho khách hàng như tìm hiểu BĐS cho chính chúng tôi"": Để được tư vấn những thông tin chính xác & chuyên sâu nhất từ CĐT dành cho dự án The Matrix One, quý khách hàng hãy liên hệ trực tiếp tới chúng tôi, phòng kinh doanh với kinh nghiệm hơn 2 năm đồng hành cùng dự án từ những ngày đầu.* Thông tin dự án & đăng ký nhận bảng giá chi tiết:* Email: hieuvinhome0902@gmail.com* Liên hệ tư vấn (Mr. Hiếu - TPKD): 0904 466 ***Zalo, Viber, Imess).            ",114.33 m²,Thỏa thuận,,,3 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,34966718,batdongsan_com_vn_34966718,,,2 phòng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Chính chủ cần tiền bán căn Bông Hậu liền kề shophouse K7, 3 mặt thoáng, khu đô thị Starlake, Giai đoạn 2, Tây Hồ Tây, Hà Nội.- Diện tích đất 195,5m², mặt tiền rộng 9m. Nhìn ra đường Võ Chí Công. Xây 5 tầng, giao thô theo thiết kế chủ đầu tư. Có sẵn hố thang máy. Hướng Đông Nam thoáng mát.- Vỉa hè rộng khoảng 8m, có thể vừa ở và vừa kinh doanh cho thuê quán cafe, nhà hàng, hoặc văn phòng, ngân hàng. Ôtô đỗ trước cửa nhà thoải mái.- Vị trí cách Hồ Tây 500m, nằm sát 12 bộ ban ngành, khu Ngoại Giao Đoàn.- Dự kiến giao nhà: Tháng 12/2022.- Giá bán 370tr/m² (có thương lượng).- Liên hệ chính chủ (miễn trung gian):Anh Quân 0795 156 *** ",195.5 m²,370 triệu/m²,,,,18/11/2022,28/11/2022,Tin Vip đặc biệt,35875318,batdongsan_com_vn_35875318,9 m,5 tầng,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '47', 'GoldSeason']","
Cập nhật quỹ căn hộ giá rẻ mới nhất tại chung cư Goldseason 47 Nguyễn Tuân, LH 0947 850 ***Chúng tôi xin gửi đến khách hàng quỹ căn hộ chuyển nhượng giá tốt nhất dự án.* Chúng tôi cam kết:- Dẫn xem nhà 24/7.- Pháp lý đầy đủ, đã có sổ đỏ.- Hỗ trợ sang tên nhanh gọn.- Khách hàng mua căn hộ sẽ giao dịch trực tiếp với chủ nhà.- Đảm bảo mọi quyền lợi cho khách hàng.- Giá cả minh bạch, rõ ràng.- Hỗ trợ thủ tục pháp lý sang tên sổ đỏ nhanh gọn nhất.Quỹ căn hộ các tòa Tòa Autumn, Tòa Summer 2, Tòa Five Season, Tòa Spring cần bán nhanh trong tháng 11/2022:- Căn 2PN - 2WC diện tích: 59m² - 65m² - 66,9m² - 76.7m² (Còn 10 căn).- Căn 3PN - 2WC diện tích: 79,6m² - 90,5m² - 95m² - 100,3m² - 102,5 109,4m² - 120,6m² (Còn 12 căn).Liên hệ: 0947 850 *** ",85 m²,4 tỷ,,,2 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35873766,batdongsan_com_vn_35873766,,,,Sổ đỏ.,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Gửi anh chị quỹ căn chuyển nhượng biệt thự, shophouse sở hữu vị trí đẹp, sổ đỏ lâu dài, chủ nhà cần tiền bán giá tốt.Thông tin quỹ căn cần bán:* Khu Hải Âu: Giá từ 16,5tỷ.- Shophose LK HA02, mặt tiền 7,5m, DT 90m². Giá bán: 20 tỷ.- Shophose LK HA02, mặt tiền 5m, DT 100m². Giá bán: 17tỷ.- Shophouse song lập HA02, DT 150m², mặt tiền 10m: Giá bán 25,5tỷ.- Shophouse song lập HA03, 150m², mặt tiền 8,3m: 22 tỷ.- Shophouse đơn lập HA 01, view hồ, DT đất 280m², vị trí view trực diện hồ trung tâm, mặt tiền 14m: Giá 77tỷ.-------------------* Khu Ngọc Trai: Giá từ 16tỷ 70m².- Shophouse NT6, DT 70,8m², mặt tiền 6m, mặt đường 52m: Giá bán 20 tỷ.- Song lập Ngọc Trai đảo lớn, DT 150m², mặt tiền 10m. Giá 28,5 tỷ.- Song lập Ngọc Trai đảo nhỏ 165m² giá 32,7tỷ.- Đơn lập Ngọc Trai góc view sông 72tỷ bao phí.- Đơn lập Ngọc Trai 1, View hồ Ngọc Trai, Giá bán: 125tỷ.--------------------------Khu Sao Biển: Giá từ 15tỷ.- Shophouse Sao Biển 01, DT 70m² mặt vườn hoa. Giá 16tỷ.- Shophouse SB 23, mặt 40m giá 16 tỷ.- Shophouse SB23, mặt trong giá 15 tỷ.- LK SB 90m giá 15tỷ.- Song lập SB 148.5m² giá 25 tỷ.- Song lập SB9, DT 150m², đường thông. Giá 32 tỷ.- Đơn lập góc, view biển, được phép kinh doanh. Giá bán: 83 tỷ.--------------------------Phân khu San Hô, giá từ 19 tỷ - 46 tỷ.- Shophouse San Hô 6, DT 135m², mặt đường 30m đối diện Vinuni. Giá bán: 30 tỷ.- Song lập San Hô 150m², gần hồ, gần công viên bán giá 23 tỷ.- Song lập San Hô 133,5m² hướng Đông Nam. Giá bán: 26 tỷ.- Đơn lập San Hô góc gần hồ, 224m², giá bán 46 tỷ.- Đơn lập San Hô mặt hồ, căn góc, DT 295m². Giá bán: 110 tỷ.-----------------------------Bên em còn một số căn ở vị trí đẹp và giá tốt. Anh chị quan tâm và muốn tìm hiểu thêm sản phẩm xin vui lòng liên hệ để nhận thông tin căn chuẩn và chính xác nhất, thủ tục rõ ràng, pháp lý rõ ràng.LH: 0911 269 *** ",150 m²,22 tỷ,,,,06/11/2022,06/12/2022,Tin Vip đặc biệt,35737355,batdongsan_com_vn_35737355,8.3 m,5 tầng,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Hoa Phượng', 'Dự án Vinhomes Riverside']","
Tôi đang ở tại Vinhomes Riverside, nên tôi tự tin mình là người tư vấn cũng như hỗ trợ cho bạn tốt nhất về những vấn đề liên quan đến mua bán, cho thuê, thiết kế thi công tại đây.Tất cả đều đã có sổ đỏ.Quý khách gọi ngay để chọn biệt thự giá tốt nhất: Mr Linh 0563 816 ***I: Biệt thự Vinhomes Riverside Long Biên, Hà Nội:1) Hoa Sữa:- HS08 - 0X - 270m² - nhà thô - đơn lập, Tây Bắc.- HS10 - XX: 500m² - hoàn thiện rồi, ngã ba sông.- HS10 - XX: 280m² - hoàn thiện rồi, hướng Tây Bắc.- HS01 - XX: 380m² - hoàn thiện rồi, ngã ba sông view ra Almaz.- HS01 - XX: 410m² - hoàn thiện rồi, ngã ba sông.- HS6 - XX: 370m² - nhà thô, đơn lập góc đầu hồi, hướng Đông Nam.- HS05 - XX: 320m² - nhà thô, đơn lập góc đầu hồi, hướng Tây Bắc.- HS07 - XX: 225m² - nhà thô, song lập Đông Nam.- HS05 - XX: 257m² - nhà thô, Tây Bắc.- HS11 - XX: 280m² - hoàn thiện rồi.2) Hoa Lan:- HL03 - 250m², hướng Tây Nam, hoàn thiện rồi.- HL03 - 252m², hướng Tây Nam, nhà thô.- HL01 - 250m² - nhà thô, hướng Tây Nam.- HL05 - 225m² - hoàn thiện đẹp.- HL06 - 225m² - Hoàn thiện rồi.- HL7 - thô - đã bán.- HL07 - 250m² - hoàn thiện rồi.- HL8 - 270m² - Nhà thô và hoàn thiện.3) Hoa Phượng:- HP01 - 310m² - 400m² - cả thô và hoàn thiện.- HP02 - 600m² - thô.- HP03 - 300m² - 380m² - cả thô, cả hoàn thiện.- HP04 - XX: 230m² - hoàn thiện rồi.- HP06 - XX: 300m² - thô, góc đầu hồi.- HP07 - XX: 280m² - đơn lập, thô,...- HP08 - XX: 226m² - thô và hoàn thiện.4) Hoa Anh Đào:- AD02 - XX, AD 04 - XX - 162m², thô - hướng Đông Bắc và hướng Nam.- AD02, 03, 05, 06, 08 - 162m², hoàn thiện rồi.- AD05 - XX: 250m² - Vườn hoa trước nhà, thô.- AD09 - XX: 330m² - 360m² - hoàn thiện rồi.- AD09 - XX: 200m² - Hoàn thiện đẹp.5) Bằng Lăng.- BL01 - XX: 600m² - Thô, ngã ba sông.- BL02 - 505m² - thô và hoàn thiện.- BL04 - 500M2 - hoàn thiện rồi.- BL05 - 400m² - thô.- BL06 - 600m² - hoàn thiện rồi, có cả căn thô.- BL09 - 520m² - lô góc, thô.- BL12 - 510m² - hoàn thiện rồi.Và còn khá nhiều các biệt thự hàng hiếm rất ngon bổ rẻ nữa mà chúng tôi chưa đưa lên theo yêu cầu của chủ nhà... Quý khách có nhu cầu mua thật sự hãy gọi ngay để chốt nhanh kẻo lỡ mất cơ hội. Người mua sẽ gặp trực tiếp chủ nhà trao đổi thương lượng giá cả.Liên hệ: 0563 816 *** ",320 m²,Thỏa thuận,Tây - Bắc,,5 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35355992,batdongsan_com_vn_35355992,14 m,4 tầng,,Có sổ.,,9 m
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Mai Chí Thọ', 'Dự án Việt Hưng']","
* Bán shophouse, liền kề mặt đường Mai Chí Thọ (Đường 60m), KĐT Việt Hưng quận Long Biên, đối diện chung cư CT15 Green Park Việt Hưng, gần Vinhomes Riverside, công viên Việt Hưng...* Diện tích đất: 107m²; 109m²; 123,5m²; 125m²; 223,5m².* Diện tích xây dựng: 72%.* Thiết kế: 6 tầng, 1 tum, 1 hầm lửng.* Giá bán (đã bao gồm VAT và xây thô):- Dãy mặt đường Mai Chí Thọ diện tích từ 123,5m² từ 220tr/m² đến 250tr/m².- Dãy mặt đường nội bộ (đường 9m) diện tích từ 107m² từ 120tr/m² đến 170tr/m².Quý khách hàng có nhu cầu mua shophouse, liền kề vui lòng liên hệ hotline 0983 638 *** hoặc 0907 178 **** Trân trọng cảm ơn, kính chúc sức khỏe!            ",109 m²,Thỏa thuận,,,,18/11/2022,28/11/2022,Tin Vip đặc biệt,32427844,batdongsan_com_vn_32427844,,7 tầng,,,,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông']","
Cần bán đất để trả tiền ngân hàng.- Diện tích 130m². Đất mặt đường thông rộng 8m 2 ô tô tải tránh nhau.- Đi 3 bước chân ra QL21 đang mở rộng 80m. 5p là ra khu ĐHQG và CNC Hòa Lạc.- Gần ngã tư Lục Quân và BV quân Y 105, trung tâm thương mại và bến xe, sân bay phía Tây Hà Nội thuận tiện sinh hoạt, di chuyển.- Khu vực dân cư sầm uất gần trường học, chợ, bệnh viện. Thích hợp kinh doanh, đầu tư, xây trọ.Liên hệ: 0982 212 *** hoặc 0988 772 *** để thương lượng.            ",130 m²,2 tỷ,Tây,,,18/11/2022,28/11/2022,Tin Vip đặc biệt,35866765,batdongsan_com_vn_35866765,10.2 m,,,Sổ đỏ/ Sổ hồng,,8 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Chính chủ bán biệt thự liền kề Vinhomes Green Bay.1. Biệt thự liền kề:Căn góc Đông Nam, Đông Bắc.Diện tích 125m².Nhà xây 4 tầng.Bán 52 tỷ.2. Mộc Lan.140m².Đã hoàn thiện.Bán 400 triệu/m².Vui lòng liên hệ: Tel 0981 978 *** ",125 m²,52 tỷ,Đông - Nam,Đông - Bắc,5 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35668661,batdongsan_com_vn_35668661,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Hoàn thiện nội thất cơ bản chủ đầu tư.,
