price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Hướng,Số toilet
5 tỷ VNĐ,Yên Phụ Tây Hồ HÀ NỘI, 48m2,,,"Hiếm nhà bán mặt phố khu vực Yên Phụ,An Dương, Xuân Diệu, Âu Cơ giá chỉ 5,x tỷ.+ Vị trí: Nhà nằm trên phố Yên Phụ đắt giá, tuyến giao thông chính quận Tây Hồ và Hoàn Kiếm, thông thương với các tuyến phố: Từ Hoa,Lạc Long Quân, Xuân La đi các quận Cầu Giấy, Long Biên đi đâu cũng tiện… + Thiết kế hiện đại thông tầng. 5 tầng, 48m đang cho thuê dòng tiền khủng hàng năm.+ Sổ đỏ đẹp như hoa hậu,đảm bảo không dính quy hoạch.+ Liên hệ : Tuyết Nhung 0963401959.",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791587.6766152,,,,
"5,8 tỷ VNĐ",Bà Triệu - Hà Đông - Hà Nội, 55m2, 3,,"Bán đất tại phố Bà Triệu-Hà Đông, Dt 55m2, 2 mặt đường, ô tô vào đất, gần ngã 4 Bà Triệu-Tô Hiệu. Lh 0984672007 Mặt tiền: 3,3m Hướng: Đông Nam Đất nằm trong khu dân cư ổn định, hàng xóm thân thiện, khu có nhiều tiện ích, gần trường cấp 3 Lê Lợi, gần chợ Hà Đông, sân vận động Hà Đông. Nằm trong khu vực y tế phát triển nhiều bệnh viện lớn như BV 103, BV Bỏng, HV quân y... Sổ đỏ chính chủ, pháp lý rõ ràng. Giá bán: 5,8 tỷ có thương lượng. Liên hệ ngay: Mr Hưng 0984672007 xem đất và tư vấn miễn phí.",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791589.2723415, 5,, Đông nam,
"4,1 tỷ VNĐ","Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 40m2, 7, 5,"
    Bán Nhà Xuân Đỉnh 40m2 5 tầng mặt tiền 7m giá 4.1 tỷ   NHÀ ĐẸP - Ở NGAY - GẦN PHỐ - HÀNG XÓM NGOẠI GIAO ĐOÀN - Ô TÔ CÁCH 15M - TIỆN ÍCH - Ở SƯỚNG - CHỦ TẶNG FULL NỘI THẤT   + Vài bước chân ra Ô TÔ , hàng xóm Ngoại Giao Đoàn hưởng trọn mọi tiện ích được tích hợp sẵn từ khu Ngoại Giao Đoàn. + Vị trí đẹp , khu vực đang phát triển mạnh từng ngày. Điện - Đường - Trường - Trạm được đồng bộ hoá sạch đẹp , môi trường sống lý tưởng. + Nhà mình bán cách Khu Ngoại Giao Đoàn vài bước chân , 200m ra đến Hồ Tây lộng gió. Thiết kế: Nhà xây vô cùng hợp lý. Mặt tiền lý tưởng thông số vàng. Nội thất toàn đồ nhập khẩu sang xịn. Chủ tặng lại toàn bộ cho khách chỉ việc về là ở.T1: Khách , bếp , vs.T2-3-4: Tổng 3 ngủ , vs.T5: Phòng thờ , sân phơi . SỔ ĐỎ CHÍNH CHỦ , PHÁP LÝ CHUẨN.  GIAO DỊCH NGAY.lh: 0877179639
",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791590.6965303, 5, 4,, 3
"4,2 tỷ VNĐ",đường cầu diễn, 52m2, 4, 3,"Bán nhà riêng giá đầu tư Cầu Diễn, Bắc Từ Liêm, ngõ thông , đường ô tô. S = 52m2, 3 tầng, mặt tiền 4m, giá 4,2 tỷ. + Vị trí đẹp, xung quanh là các trường đại học tài nguyên môi trường, Đại học Công nghiệp Hà Nội, Cao Đẳng in... + Giao thông: Gần cuốc lộ 32, giao thông thông thoáng đi lại thuận tiện. * Hiện trạng nhà 4 tầng, 3 phòng ngủ, 3 nhà vệ sinh. * Sổ đỏ đẹp, chủ nhà thiện chí. * Gọi ngay em Trường: 0373680538 để xem nhà miễn phí, không tiếp môi giới.",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791591.9481826, 4, 3,, 3
"15,3 tỷ VNĐ","Đường Hàng Khay, Tràng Tiền, Hoàn Kiếm", 88m2, 12, 3,"Bán nhà phố cổ Hàng Khay - Hoàn Kiếm – Hà Nội. Ngõ thông ra hai phố Hàng Khay – Bà Triệu. Nhà cách hồ Hoàn Kiếm 50m, xung quanh khu phố cổ, khách du lịch tấp nập ngày đêm, các quán ăn bún đậu mắm tôm nổi tiếng HN. Nhà phù hợp đầu tư mở Homestay, nhà hiện trạng có nhiều phòng, design mang phong cách cổ điển đặc trưng Hà Nội xưa. Mô tả:  Tầng 1: 2 phòng ngủ, bếp, WC. Tầng 2: 2 phòng ngủ, bếp, WC, cầu thang riêng. Tầng 3: 2 phòng ngủ, sân View đẹp. Diện tích: 68/88m2 Giá: 15,3 tỷ Sổ đỏ chính chủ. Xin liên hệ vutrungbds theo SĐT để đến xem và gặp chính chủ",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791593.5598779, 2, 9,, 2
3 tỷ VNĐ,"Đường Gia Thượng, Ngọc Thụy, Long Biên", 38m2, 4, 4,"Bán nhà Gia Thượng Long Biên 38m 4 tầng MT3,7m nhỉnh 3 tỷ Ô TÔ ĐỖ CỔNG - Ở THOÁNG – NHÀ NHỎ TIỀN  + Nhà chủ tự xây tâm huyết, xây cho con nhưng con k ở. Muốn ở bên phố. Nên gia đình k có nhu cầu sử dụng. + Thiết kế 4 tầng, cầu thang giữa tuyệt đẹp gồm 4 phòng ngủ. 1 phòng khách, khách mua về ở ngay. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch ngay. LH: Vũ Nga : 0915031888 Chuyên Bất động sản thổ cư ,Đất nền , Chung cư , Tư vấn phong thủy , Hỗ trợ ngân hàng , Hỗ trợ thiết kế nhà , Hỗ trợ đi xem nhà miễn phí .",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791594.4953687, 1, 4,, 3
7 tỷ VNĐ,la khê, 45m2, 4, 5,"Bán Nhà! Lê Trọng Tấn. Ô Tô Kinh Doanh 45m2 x 5 tầng. Mặt Tiền 4m Giá 7 Tỷ.   PHÂN LÔ – Ô TÔ  – TIỆN ÍCH NGẬP TRÀN – KINH DOANH SIÊU ĐỈNH  + Nhà phân lô cách đường Lê Trọng Tấn vài bước chân, đường Lê Trọng Tấn giao với các đường  Văn Khê, Quang Trung, Tố Hữu, Cao Tốc Hoà Lạc.Ngả đi các hướng nội thành và các tỉnh thành xung quanh thành phố rất thuận tiện. + Nhà gần trường học các cấp La Khê, cách Uỷ Ban Và Công An Phường La Khê vài chục mét, gần Siêu Thị Mêtro Hà Đông, gần trung tâm Thương mại AON, Bệnh Viện Đa Khoa Hà Đông, Bến Xe Yên Nghĩa, Tuyến Xe Buýt Nhanh, Tàu Điện Trên Cao, cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất, rất thuận tiện cho kinh doanh, văn phòng, spa. Xung quanh tiện ích ngập tràn.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp và wc  - Tầng 2,3,4: Mỗi tầng 2  phòng ngủ và wc - Tầng 5 : Phòng thờ, sân chơi + Nhà xây dựng bê tông cốt thép rất chắc chắn. Chủ tự tay thiết kế rất tâm huyết.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791595.5994143,, 6,, 4
"2,9 tỷ VNĐ","Đường Quốc Lộ 2, Tân Dân, Sóc Sơn", 94m2, 5,,"
    Ko đầu tư vào đây thì đầu tư vào đâu ạ Tầm nhìn của nhà đầu tư lớn 
Diện tích 94m2 đất kinh doanh có sổ đỏ, đường rộng thênh thang,đất vuông như bánh trưng đường thông hè thoáng .
Cách đường vành đai 4 chỉ 1150m 
Ac quan tâm lh 0963.886.233- 0364.693.686 để xuống cọc
",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791596.8092177, 1,,,
"7,2 tỷ VNĐ","Đường Phùng Khoang, Trung Văn, Nam Từ Liêm", 45m2, 4, 5,"+ Chính chủ cần bán nhà Phố Phùng Khoang diện tích 45m2 x 5 tầng giá 7,2 tỷ. +Vị trí đắc địa nhà thuộc khu phân lô sau quy hoạch sẽ rất đẹp, khu dân trí cao, an ninh tốt, để ở hoặc kết hợp làm văn phòng, kinh doanh đều phù hợp.  + Đường trước nhà hiện tại Ô TÔ tránh có vỉa hè Phố thông đi các ngả. + Thiết kế mỗi tầng 2 phòng. + Sổ đỏ vuông đét sẵn sàng giao dịch + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791597.8982646, 10, 6,,
"3,1 tỷ VNĐ","Đường Hồng Tiến, Bồ Đề, Long Biên", 45m2, 5, 1,"BÁN ĐẤT PHỐ HỒNG TIẾN, LONG BIÊN, HÀ NỘI * ĐẤT ĐẸP, GẦN MẶT PHỐ, NGÕ THÔNG THOÁNG RỘNG RÃI, PHÙ HỢP XÂY NHÀ TO THANG MÁY, VỊ TRÍ VÀNG CỦA PHƯỜNG BỒ ĐỀ * 0975892929 * Mô tả:- Địa điểm: Ngõ phố Hồng Tiến thông Bồ Đề, gần trường quốc tế Wellspring, gần bệnh viện TÂM ANH, gần trường cấp 1, 2 Bồ Đề, gần công viên và công an Phường Bồ Đề.- Ưu điểm: Ngõ vào đất thông thoáng, sạch sẽ. Ô tô 7 chỗ vào tận đất. Phù hợp xây dựng nhà to, thang máy. Xung quanh toàn người thành đạt.- Chủ thiện chí bán giá 3,1 tỷ (Thương lượng trực tiếp với chủ đất)- Sổ đỏ đẹp, sang tên ngay ( Miễn TG - QC )- LH: Hoàng Đạo 0975892929    #tag các từ khóa liên quan:Bồ Đề; Hồng Tiến Bồ Đề; Lâm Du; Nguyễn Văn Cừ; Hoàng Như Tiếp; Ái Mộ; Lâm Hạ; Hoàng Minh Đạo; Nguyễn Sơn; Gia Thụy; Ngọc Lâm; Ngọc Thụy; Nhà đẹp; nhà cấp 4; nhà cũ; đất; đất đẹp; nở hậu; vuông vắn; không lỗi phong thủy; bán gấp; bán rẻ; giá rẻ; ô tô vào; ngõ thông; vị trí trung tâm; gần cầu chương dương; gần cầu Long Biên; cầu Trần Hưng Đạo",30/10/2022,Tin thường,batdongsan_so_com_vn_1673791599.0711553, 5, 1,, 1
