price,address,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Diện tích,Số toilet,Hướng,Mặt tiền
"3,18 tỷ VNĐ","Đường 179 Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai", 3, 5, 3,"
    
BÁN NHÀ PHỐ VĨNH HƯNG, 38M - 5 TẦNG - 3 ngủ- Ô TÔ ĐỖ CỔNG 3.18 TỶ

 bán nhà Vĩnh Hưng vị trí đường to ngõ rộng, gần trường học cấp 2, gần chợ.
- Nhà Vĩnh Hưng ngõ thông sang Tân Khai, Dương Văn Bé, Mai Động, ngõ oto đỗ 
LH ngay chính chủ 0946745650
- Sổ đỏ riêng chính chủ
",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787269.5825198, 38m2, 3,, 4
"2,4 tỷ VNĐ","Đường Long biên 1, Ngọc Lâm, Long Biên", 1, 4, 3,"Nhà mới đẹp phố Ngọc Lâm - Long Biên, Trung tâm phố, nhà 4 tầng, 33m2, giá: 2.35 tỷ + Căn nhà nằm đoạn giữa phố, với đủ mọi tiện ích chỉ trong vài bước chân.  + Nhà gần Trường học cấp 1,2 Ái Mộ, cấp 3 Nguyễn Gia Thiều trẻ em đi bộ tới trường. + Cách chợ lớn Gia lâm 300m, chỉ 15m ra phố xá cực kỳ sầm uất buôn bán kinh doanh không thiếu mặt hàng gì. + Hiện trạng đang là 2 nhà 3 tầng xây dựng chắc chắn, Ở một nhà, 1 nhà cho thuê cũng 4 triệu / tháng. + Diện tích 34m2, nhà 3 tầng, MT: 3.5m, giá: 2.35 tỷ +Giao thông vô cùng thuận tiện - Chỉ 5 phút qua trung tâm Hà Nội + Nhà còn rất mới có thể vềở luôn không phải sửa chữa gì. Liên hệ : Mr Khanh Điện thoại : 0977811387 - 0936018488 Đểđược tư vấn và xem chi tiết căn nhà.",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787270.5948088, 33m2, 4, Đông, 3
"1,68 tỷ VNĐ",Đại Mỗ Nam Từ Liêm Hà Nội,,, 2,"Chuyển đổi nhu cầu sử dụng căn hộ, vợ chồng mình sang nhượng căn hộ 2 phòng ngủ tại Đại Mỗ, Nam Từ Liêm, HN -  Vị Trí đắc địa + giao thông thuận,là  lợi khu vực đang phát triển -  Diện tích: 53m thông thủy -  Thiết kế: 2PN - 1WC,  1 lô gia -  Căn hộ có view thoáng mát, view PN đón ánh sáng -  Nội thất Giường ,tủ ,kệ tivi.Khu vực bếp phòng vệ sinh full đồ với các thiết bị tốt. -  Sổ đỏ chính chủ lâu dài -  Giá bán: liên hệ trao đổi và xem nhà trực tiếp qua SĐT: 0358911226 ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787271.61006, 53m2,,,
"2,65 tỷ VNĐ","Đường Thanh Nhàn, Thanh Nhàn, Hai Bà Trưng", 2, 4, 3,"BÁN NHÀ PHỐ THANH NHÀN MATIZ ĐỖ CỬA. + Vị trí rất đẹp, trước nhà cực rộng thoáng, ô tô đỗ cửa, thông các ngả, cách mặt phố Thanh Nhàn chỉ 50m. Xung quanh tiện ích trường, chợ, bệnh viện ...không thiếu thứ gì.   + Nhà xây 4 tầng và 1 gác xép, tổng 3 phòng ngủ, đầy đủ công năng cho 1 gia đình 2 thế hệ.  + Diện tích sử dụng 28m2, có 2 mặt thoáng và có thể đổi hướng cửa nhà.   + Nhà mới sửa đồ đạc còn mới, hiện đại chủ thiện chí tặng lại nội thất: Tủ phòng ngủ, tủ bếp, thiết bị vệ sinh, tủ lạnh Liên hệ xem nhà Ms : Thanh : ĐT : 0528301753.",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787272.63536, 28m2, 3,, 3
6 tỷ VNĐ,"Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 4, 6, 7,"Bán nhà phố Cầu Giấy 40m2x5tầng, nhà thoáng hướng đẹp,lô góc, KD, giá 6tỷ Mô tả: Đẹp nhất khu - Siêu phẩm Cầu Giấy 40m², 5 tầng, mặt tiền rộng 3.9m - Lô góc thoáng - nhà đẹp - thiết kế hiện đại - cách đường ô tô 15m - mới đẹp ở ngay - khu vực đáng sống bậc nhất Cầu Giấy. + Ngõ quận ủy Cầu Giấy đường Trước nhà Ba Gác tránh.. + Nhà xây được hơn 5 năm còn mới. Bàn giao nhà cho chủ mới được ngay.  + Thiết kế hiện đại, nội thất cao cấp, gồm 7 phòng,  Công năng đầy đủ! khách mua không có nhu cầu ở có thể chuyển đổi sang hình thức khai thác dòng tiền, doanh thu mỗi tháng khoảng 22 triệu / tháng cho dòng tiền cực tốt....  + Bán kính 1km là trường học các cấp, khu vực tập trung nhiều trường ĐH. - Chủ nhà đã mua nhà mới to rộng hơn...nên cần tiền bán gấp- Giá chào bán cực hợp lý (có thương lượng - ưu đãi cho khách mua đến sớm).- Sổ đỏ chính chủ, pháp lý chuẩn, quy hoạch ổn định, không tranh chấp (khách mua chỉ việc xách vali về ở luôn)...- Liên hệ chính chủ: Anh Thành 0901761713để được gặp trực tiếp với chủ nhà đàm phán)",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787273.658621, 40m2, 7,, 4
"6,5 tỷ VNĐ","Thanh Xuân, Hà Nội",,,,"Cần bán nhà Trường Chinh trước Tết: + Diện tích: 48 m. + Mặt tiền: 4,8 m. + Sổ đỏ phân lô, chính chủ. + Giá bán: 6,5 tỷ.   - Vị trí:  + Nhà phân lô, trước nhà ngõ ô tô dừng đỗ vài chục chiếc. + Gần phố Trường Chinh, gần nút giao thông Ngã Tư Vọng. + Bán kính 1 km nhiều trường đại học, bệnh viện lớn.  - Khu vực:   + Giáp ranh Thanh Xuân - Đống Đa - Hai Bà Trưng - Hoàng Mai di chuyển các quận lân cận rất dễ dàng. + Cơ sở hạ tầng đang quy hoạch phát triển mạnh. + Tiềm năng giá trị nhà đất tăng cao.  - Thiết kế: + Nhà hai thoáng Phong Thủy tốt. + Phong cách hiện đại tối ưu hóa công năng sử dụng có ô chờ thang máy. + Tổng 6 ngủ, bếp, phòng khách,  khu tiểu cảnh.  - Nhà phù hợp nhiều đối tượng khách hàng: + Mua để ở. + Vừa ở vừa kinh doanh. + Đầu tư lướt sóng.    - Liên hệ: Mr hải, 48 tuổi, 0946 921 974. (Anh, chị, em Môi giới, QC xin không làm phiền).   ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787274.835569, 48m2,,,
"3,1 tỷ VNĐ","Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 30, 1, 2,"💥 CHỈ 3,1 TỶ - CHUNG CƯ 137 NGUYỄN NGỌC VŨ, CĂN GÓC, 76M2 2PN+2WC- SĐCC 💥 ⭕️ LH NGAY 0982833366 (KHU VỰC TẦM GIÁ CHỈ CÓ MỘT CĂN-NHANH MỚI CÒN)----------------------------CHUNG CƯ 137 NGUYỄN NGỌC VŨ - CENLAND 76M2 CĂN GÓC VIEW ĐƯỜNG NGUYỄN NGỌC VŨ CỰC ĐẸPTẦNG TRUNG CỰC ĐẸP VIEW THOÁNG GIÁ HỢP LÝ- Căn hộ 76m2 2 Phòng ngủ, 2 WC, phòng ngủ nào cũng sáng tụ nhiên, cửa sổ to rộng- Nhà mới sửa cực đẹp về ở luôn không phải làm gì thêm- Tòa nhà 20 tầng - 3 tháng máy. - Sổ đỏ chính chủ- Giao dịch luôn và ngay.----------------------------🚀 GIÁ BÁN CHỈ: 3.1 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên nhà chung cư, nhà tập thể Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE CÓ NHU CẦU TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%Liên hệ: Mr Phương_Nhà_Phố (1981) 0982833366 - 0902223785 (FB/ZALO - 24/7)  + Chỉ tiếp khách có nhu cầu mua thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác vì CV mình rất bận. + Với kinh nghiệm nhiều năm trong lĩnh vực bất động sản, Phương_Nhà_Phố sở hữu thông tin hàng ngàn căn nhà với đủ phân khúc lớn nhỏ từ vài tỷ cho đến hàng trăm tỷ, vị trí đẹp, tính thanh khoản cao, đáp ứng đầy đủ nhu cầu ở, đầu tư sinh lời của các khách hàng, tại các khu vực quận trung tâm Hà Nội như Đống Đa, Ba Đình, Hoàn Kiếm, Cầu Giấy, Thanh Xuân, Hai Bà Trưng... giúp hàng trăm chủ nhà và khách hàng tìm được căn nhà ưng ý, tôi sẵn sàng hỗ trợ và tư vấn với sự nhiệt tình, kinh nghiệm để đưa đến những thông tin nhanh và chính xác nhất, không làm mất công sức thời gian của ACE tin tưởng + CÁC LĨNH VỰC BĐS THƯỜNG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô các khu vực VIP Hà Nội5. Chung cư, tập thể, nhà để ở theo từng phân khúc tài chính+ Liên hệ ngay để được tư vấn và tham khảo nguồn hàng phù hợp nhất. Xin cảm ơn!!!!!!!!!",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787275.8907905, 76m2, 2,,
7 tỷ VNĐ,"Lê Duẩn, Đống Đa",,,,"Lê Duẩn, 6 tầng, dòng tiền 50tr/tháng, nhà mới 7 tỷ. Cần bán căn nhà dòng tiền tại phố Lê Duẩn - Đống Đa. Cực gần chợ, gần công viên, bán kính quanh các trường Đại học lớn như Bách Khoa - Kinh tế Quốc dân - Xây dựng. Nhà mới hoàn thiện, đã có khách thuê kín phòng, dòng tiền hàng tháng lên tới 50 triệu/tháng. Mô tả :Tầng 1 : 1 phòng khép kín - chỗ để xeTầng 2,3,4,5 : Mỗi tầng 2 phòng khép kínTầng 6 : phòng thờ - sân phơi Diện tích: 48m2.Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: 7 tỷ (CÓ THƯƠNG LƯỢNG). Liên hệ: Quyên - 0343558823 (miễn môi giới, trung gian). QUYÊN - Chuyên nhà đẹp, nhà dòng tiền Hà Nội.",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787276.8472412, 48m2,,,
"5,9 tỷ VNĐ","Đường Hoàng Văn Thái, Thanh Xuân Nam, Thanh Xuân", 3, 4, 4,"+ Chính chủ cần bán nhà mặt đường Nguyễn Trãi Quận Thanh Xuân diện tích 61m2 x3 tầng giá 8,7 tỷ Ô TÔ 8 Làn, KINH DOANH Tuyệt đỉnh. + Vị trí đắc địa, ngay cạnh Đại học Khoa học Tự Nhiên. + Thiết kế: - Tầng 1: Phòng Khách + Bếp + Vệ sinh - Tầng 2: Gác lửng thiết kế tuyệt đẹp kinh doanh. - Tầng 3: 2 phòng ngủ + Vệ sinh. + Sổ đỏ chính chủ nở hậu, cất két sẵn sàng giao dịch. + LH, Hoàng Bắc ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787277.9183767, 37m2, 4,, 5
450 triệu VNĐ,"Đường , Kim Chung, Đông Anh", 6,,,"Cần Sang Nhượng Quán - Kim Chung – Đông Anh- Hà Nội  _ Địa chỉ: Kim Chung – Đông Anh- Hà Nội ( ngay gần chợ Mun và bệnh viện Nhiệt Đới Trung Ương)  - Mặt tiền 17m - Không gian 500m2 thiết kế đầy đủ mô hình quán bia -  Giá sang nhượng : 450tr (sang nhượng tất cả đồ đạc thiết bị) - Đảm bảo ko phải đất quy hoạch - Mình cũng muốn làm tiếp lắm nhưng do bận việc cá nhân , thời gian sắp tới không có thời gian trông coi và quản lý nên mình cần sang nhượng lại cho bạn nào có nhu cầu và đam mê kinh doanh. - Hiện tại đang kinh doanh đồ nhà hàng bia nhậu . các bạn có thể thiết kế lại thôi mô hình các bạn làm (tựu do thiết kế) - Có lượng khách quen ổn định. .  - Có  vỉa hè rộng rãi thoáng mát , phòng ngủ rộng rãi.  - Sang nhượng lại toàn bộ đồ dùng và cơ sở vật chất của quán, khách đến chỉ việc bắt tay vào kinh doanh luôn, không cần mua sắm thêm bất cứ thứ gì. - Lưu ý: Quán vẫn hoạt động bình thường. Không thanh lý lẻ .  - Giao thông đi lại thuận tiện, dễ dàng. ô tô đỗ thoải mái - An ninh khu vực rất tốt. có camera mình lắp sẵn. - Giá thuê đất chỉ 8tr/ tháng - Liên hệ với mình qua Ib hoặc qua SDT và Zalo :0983573939 - 0822355392      ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787279.1710382, 500m2,,,
