price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Mặt tiền,Hướng,Lộ giới,Số toilet
"5,3 tỷ VNĐ",Nguyễn Văn Trỗi- Hà Đông, 64m2, 5,"Nhỉnh 5 tỷ, ngõ thông ô tô, Nguyễn Văn Trỗi, Hà Đông,64m2, 5 tầng, nở hậu Giới thiệu đến quý khách hàng một căn nhà tại vị trí Trung tâm Quận Hà Đông sát vách làng Châu Âu, nhà đẹp nhất khu, ngõ thoáng, giao thông di chuyển quá thuận lợi các phố: Quang Trung, Nguyễn Khuyến, Yết Kiêu, Nguyễn Trãi, Phùng Hưng,Chiến Thắng, Ao Sen, Mỗ Lao, Vạn Phúc... Tiện ích ngút ngàn: xung quanh là các ngân hàng, trường học các cấp, bến xe, siêu thị, việc đi lại quá dễ dàng nhanh chóng. dân cư luôn tấp nập ngày đêm. Nhà được chủ thuê thiết kế xây rất chắc chắn, ở giữ gìn bao năm sạch đẹp như mới, các phòng đều mở cửa sổ thoáng sáng với 5 tầng rộng đẹp, ngõ ô tô thông, khu hiếm nhà bán. Xung quanh hàng xóm toàn cán bộ, giáo viên cấp cao, an ninh tuyệt đối, ở rất văn minh và tĩnh. Sổ đỏ cất két, giao dịch ngay. Giá: 5.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836173.4307811,,,,,
"3,47 tỷ VNĐ",Ngô Quyền - Hà Đông, 47m2,,"Cần bán gấp nhà 47m2, 4 ngủ rộng, ô tô đỗ gần, Ngô Quyền, Hà Đông Chủ mới mua biệt thự mặt phố cần chuyển nhà trong tháng cực kỳ muốn bán nhanh nhà đẹp tự xây khung cột bê tông vô cùng chắc chắn, phòng nào cũng rộng thoáng sáng, do chuyển đổi nhu cầu bán đi rất tiếc, thiện chí ra lộc cho khách mua. Vị trí đẹp, gia đình làm ăn rất có lộc, ngõ thoáng mát, xung quanh hàng xóm thân thiện, hòa đồng, nơi ở văn minh và tĩnh. Vài bước ra phố hưởng trọn nhiều lợi ích, các bệnh viện lớn , các trường Đại học hàng đầu, an sinh đỉnh, an ninh tuyệt đối, hiếm nhà bán. Tiếp giáp Khu đô thị Văn Khê. Giao thông di chuyển các phố: Văn Khê, Phan Đình Giót, Ngô Thì Nhậm, Tố Hữu,Lê Trọng Tấn, Quang Trung, Văn Phú.... Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.47 tỷ ( có gia lộc). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836175.7557058, 4,,,,
"3,45 tỷ VNĐ",Quang Trung - Hà Đông, 48m2, 4,"Nhỉnh 3 tỷ, 48m2, 4 tầng đẹp, nở hậu, ngõ thoáng, gần ô tô, Quang Trung, Hà Đông Nhà hiếm đẹp có 1-0-2 trung tâm Quận Hà Đông Quang Trung tuyến phố huyết mạch. Giao thông di chuyển thuận lợi các phố: Yết Kiêu, Ngô Thì Nhậm, Văn Khê, Phan Đình Giót, Vạn Phúc,Nguyễn Trãi, Văn Quán, Trần Phú..... Nhà được thiết kế công phu, khung cột bê tông đẹp chắc chắn mang phong cách hiện đại ấm cúng. Phòng nào cũng có ban công cửa sổ vô cùng thoáng sáng, view trước nhà rất đẹp, chỉ việc đến ở ngay. Xung quanh đầy đủ tiện ích gần phố: Siêu thị, ngân hàng, trường học, bệnh viện, cạnh chợ bước chân ra phố mua được cả thế giới. Hàng xóm xung quanh toàn công chức thân thiện, nếp sống hiện đại, văn minh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.45 tỷ ( có gia lộc). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836178.1291249,,,,,
4 tỷ VNĐ,Hà Nội, 49m2,," - Tòa nhà tọa lạc mặt ngõ phố Nguyễn Phúc Lai, sầm uất, thông thương, ô tô đỗ cửa. Ngõ thông Giảng Võ, thông Vũ Thạnh...  - Nhà 4 tầng, mặt tiền thoáng, 49m2, phù hợp kinh doanh, thiết kế hiện đại, tiện nghi, nội thất xịn. - Tầng 1: Phòng khách, phòng ăn, để xe, WC. - Tầng 2, 3: Nhiều phòng ngủ, WC. - Tầng 4: Phòng thờ, sân phơi. - Sổ đỏ vuông vắn chính chủ, bán gấp giá chỉ 4 tỷ có thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ miễn phí: Thanh Bình Thạc sĩ Thổ cư - 0856 968 656.",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836179.7347922,,,,,
,"thôn Minh Tân , Xã Minh Phú , huyện Sóc Sơn", 85m2,,"💁‍♀️ ĐẤT CỦA EM CHÍNH CHỦ , GIÁ HIỆN TẠI RẺ HƠN THỊ TRƯỜNG , SỔ ĐỎ , MẢNH PHÂN LÔ DỄ ĐẦU TƯ...CƠ SỞ HẠ TẦNG ĐẸP NHẤT SÓC SƠN ...✅ VỊ TRÍ ; Thôn Sơn Đoài , Xã Tân Minh , Minh Phú , Sóc Sơn✅ Diện tích 85m2✅ giá 7,5tr/m2 , lô góc 7,9tr/m2✅ đường ơ 2 tô tránh nhau , ngõ bê tông rộng đẹp✅,gần trường đua ngựa Sóc Sơn , cách quốc lộ 3 1km , cách sân bay nội bài 10km💁‍♀️ LIÊN HỆ E TRANG",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836182.0076487,, 4, Đông nam, 7,
4 tỷ VNĐ,Hà Nội, 48m2,," - Tòa nhà cực hiếm tọa lạc trên ngõ phố Trần Quang Diệu sầm uất buôn bán không thiếu thứ gì, gần công viên ô tô đỗ cả ngày lẫn đêm không ảnh hưởng ai. - Nhà kiên cố và rất đẹp, thoáng, thiết kế hiện đại, đầy đủ công năng cho một ngôi nhà an sinh tuyệt đỉnh, chính căn nhà này là nơi khôn lớn của 2 con người thành đạt: Viện trưởng viện Khoa học Xây dựng, Trưởng ban cơ yếu Chính phủ. - Nhà ở quá Lộc. - Nhà diện tích 48m2, 4 tầng, nhiều phòng ngủ, không ở hết thì cho thuê trọ, khu vực đuổi không hết người trọ. Đầy đủ Phòng khách, Bếp, Thờ, Sân phơi, Ban công, chỗ để xe… - Sổ đỏ chính chủ, chuẩn pháp lý, cần bán gấp giá mềm vì đã đặt cọc căn nhà mặt phố, đến hạn giao tiền nhận nhà mới. - Giá chào 4 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ miễn phí: Thanh Bình Thạc sĩ Thổ cư - 0856 968 656.",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836183.9219244,,,,,
600 triệu VNĐ,"thôn Phú Thịnh , xã Minh Phú , Sóc Sơn", 121m2,," cần bán 4 lô đất nền chính chủ , vị trí đẹp , nằm trong khu dân cư Phú Thịnh , rất thích hợp để đầu tư hoặc để ở buôn bán kinh doanh đều được .
vị trí : Thôn Phú Thịnh , xã Minh Phú , huyện Sóc Sơn .
 DIỆN TÍCH 3 lô thường : 83.2 , 86.4 , 89.4 GIÁ 7.5 TR/ M2 .THỔ CƯ 70M , MẶT TIỀN 4.8M
 LÔ GÓC 121 M2 GIÁ 8tr / M2 FULL THỔ CƯ .MẶT TIỀN 6M
 Cách đường 14 700m , đường rộng 4 m2 , 2 ô tô Chánh nhau , có chỗ quay và đỗ xe .
 Hướng Tây Bắc .
 PHÁP LÝ AN TOÀN TUYỆT ĐỐI ,
 gần Trường Tiểu Học Minh Phú , khu Công Nghiệp Mình Trí , Nằm trong khu Dân Cư , gần chợ trung tâm , thuộc quần thể sinh thái hồ Đồng Đò , Hanoi Golf Club Sóc Sơn
 LIÊN HỆ 0585664391 .
",22/09/2021,Tin thường,batdongsan_so_com_vn_1673836186.2024713,, 4, Tây bắc, 6,
"23,5 tỷ VNĐ","Đường Nguyễn Đình Tứ, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội", 116m2, 4,"✅Tên dự án: The Jade Orchid - Phạm Văn Đồng, Kiến tạo cuộc sống hoàn hảo ✅Vị trí dự án: Mặt đường Nguyễn Đình Tứ (rộng 30m), tiếp giáp được Phạm Văn Đồng (93m), Cổ Nhuế, Bắc Từ Liêm, Hà Nội ✅Quy mô dự án: Tổng diện tích: 20.154 m2 thuộc phân khu Michelia rộng 6.8ha.Diện tích xây dựng: 9.012 m2 Mật độ xây dựng: 39% Số lượng căn ra mắt: 104 căn Shophouse thấp tầng và 249 căn hộ cao tầng tòa HH3 đã ký HĐMB từ tháng 11/2021 Khởi công: tháng 08/2020 Hoàn thành: Dự kiến 18 tháng thấp tầng và 30 tháng cao tầng từ thời điểm khởi công. ✅Diện tích: Diện tích đất từ 116 - 289m2, Diện tích xây dựng từ 80,7 đến 121m2. ✅Thiết kế theo phong cách cổ điển châu âu - Biệt thự lâu đài với các mái và chóp hình lâu đài không có ở bất kỳ dự án nào ngoài thị trường. Vừa kinh doanh, vừa để ở với kiến trúc 3 tầng nổi, 1 tầng hầm và 1 tầng mái, tối ưu chỗ để xe ô tô, phòng cho giúp việc và nhà kho. ✅ Ưu đãi miễn phí dịch vụ quản lý nhà ở: miễn phí dịch vụ quản lý nhà ở 2 năm đầu tính từ thời điểm CĐT bàn giao nhà. ✅ Ưu đãi gói vay tài chính: Hỗ trợ vay lên tới 65%, hỗ trợ lãi suất 0% cho 12 tháng kể từ ngày giải ngân tại Ngân hàng BIDV hoặc ngân hàng Vietcombank. Chương trình bốc thăm trúng thưởng ô tô siêu hấp dẫn: cơ hội nhận được 01 xe Mercedes – Benz GLC 200 trị giá 1,9 tỷ Hotline: 0983.137.569",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836187.9499192, 4,,,, 3
5 tỷ VNĐ,Cầu giấy Hà Nội, 42m2, 5,"NHÀ ĐẸP _KHU VỰC TRUNG TÂM _ GẦN PHỐ _NGÕ BA GÁC Nhà vị trí quá đẹp , ngõ 68 là ngõ quận ủy ban cầu giấy , khu vực dân trí cao, ngõ nông , gần phố, cách ô tô 5m, ô tô có thể gửi bên quận ủy hoặc chung cư ngay đường rất tiện lợi .Khu vực trung tâm không thiếu thứ gì,đi bộ vài bước ra chợ, gần quận ủy có hồ nhỏ đi dạo ,tập thể dục... Tầng 1: khách , bếp Tầng 2,3,4: tầng 2 ngủ Tầng 5: phòng thờ,sân phơi - Sổ đỏ vuông đẹp, sẵn sàng giao dịch. - Liên hệ Mrs Huyền My- 0834176688 - tư vấn và xem nhà miễn phí.",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836190.1284373,,,,,
"10,8 tỷ VNĐ",Nguyễn Hoàng Tôn, 78m2, 5," Nhà Nguyễn Hoàng Tôn, có sẵn Gara 7 chỗ, 2 mặt tiền trước sau cây cối xanh mát quanh năm. Mặt sau view thẳng sân bóng Ciputra, lưu thông không khí thuận phong thuỷ, đi bộ ra Hồ Tây.+ Gần KĐT CIPUTRA, sống yên vui, đời trọn vẹn. Nhà ở ngay, hàng xóm đẳng cấp. Khu phố dân trí cao, phân lô bàn cờ, ngay Đầu Rồng Tây Hồ đi vào.+ Thiết kế 5 tầng, 78 m2/sàn. Tầng 2 phòng Mở tung cửa sổ, cầu thang giữa rộng bước đã cái chân.  -  Tầng 1: Gara + Phòng khách. -  Tầng 2: Phòng ăn + Phòng giải trí. -   Tầng 3: 2 ngủ. - Tầng 4: 1 ngủ + Phòng thay đồ. -  Tầng 5: Phòng thờ + Sân BBQ + thưởng trà + Phòng giặt, phơi. -  Tổng 8 phòng chức năng, khách mua linh động thay đổi tuỳ ý. Tặng full NỘI THẤT SANG SỊN đồng bộ, tranh vẽ, bình ngọc, đồ trang trí...+ Chủ cực ĐẲNG CẤP, chồng lãnh đạo lớn, vợ 1 tay 8-9 công ty đa ngành, 2 đứa con trai đẹp zai, huy chương treo lủng lẳng đầy nhà. + Giá: 11.6 tỷ có thương lượng.+ LH: Cung Khanh 0904080227 miễn trung gian.",14/12/2021,Tin thường,batdongsan_so_com_vn_1673836191.9465482, 4,,,,
