price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Hướng,Số toilet
"9,9 tỷ VNĐ",Đường Võ Chí Công, 66m2,,,"Chủ bán căn hộ dịch vụ vị trí nằm trong ngõ rộng thông thoáng ô tô qua cửa. Khu vực Võ Chí Công Phố Nghĩa Đô Cầu Giấy là khu đông dân, buôn bán sầm uất, thuê trọ nhà nghỉ luôn full phòng. Nhà gần chợ Bưởi, Lạc Long Quân, Hồ Tây lộng gió cực thoáng mát + Thiết kế & Diện tích: Nhà 66m2, mặt tiền 5.25m, 6 tầng. + Tầng 1: để xe, các tầng trên mỗi tầng là 3 phòng khép kín + Tổng có: 15 phòng cho thuê, nội thất đẹp, doanh thu 60 triệu/tháng + Nhà đẹp, xây mới, thang máy thang bộ cuối nhà, giá hợp lý, dòng tiền ổn định, vị trí trung tâm dễ kinh doanh + Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền... Sổ đỏ vuông vắn, sẵn sàng giao dịch. Liên hệ Mr Chính 079 212 2918 xem + đặt cọc + mua  nhà ",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815939.553765, 7,,,
180 triệu VNĐ,Đường Quốc lộ 21A phường Bình Yên, 77m2, 5,,"
    - Vị trí: TĐC giãn dân Đà Gạo - Bình Yên - Thạch Thất - Hà Nội.- Nằm sát quốc lộ 21A (có quy hoạch mở rộng 80m tỷ lệ quy hoạch 1/500) chỉ 300m.- Chỉ 1.5km đi đến các nhà máy của Vingroup, Viettel, hanwa, nissan, sumito, á châu, Pharma,...- 09/2022 Sinh viên khóa đầu tiên trường ĐHQG về học tập.- Vị trí tam giác vàng kết nối 3 khu đô thị vệ tinh - Sơn Tây - Hòa Lạc - Xuân Mai.0967119991
",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815943.530494,,,,
"3,223 tỷ VNĐ",Hồ Tùng Mậu, 40m2,,,"BÁN NHÀ CẦU GIẤY 40M 4T ĐẸP NHƯ HOTEL NHỈNH 3 TỶ NHÀ ĐẸP NHƯ CUNG ĐIỆN. Vị trí đẹp, tiện ích ngập tràn. Trung tâm phát triển cực mạnh. Giao thông thuận tiện, Gần các trục đường chính lớn.TTTM, KDT, Bệnh Viện 19-8, Y Học Cổ Truyền, Bến xe Mỹ Đình.. Gần các Trường Đại Học Thượng Mại, ĐH Ngoại Ngữ, ĐH Sư Phạm, Học Viện Báo Chí và Tuyên Truyền... Sổ đẹp, pháp lý sạch, sang tên nhanh gọn, Thiện trí Xem nhà Liên hệ Em Đức 0898839292. ",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815944.8441381,,,,
"5,4 tỷ VNĐ",Đường Phương Liệt phường Phương Liệt, 45m2, 4, 2,"Bán nhà phố PHƯƠNG LIỆT- Quận Thanh Xuân  Mô Tả. + Nhà nằm vị trí đẹp, Mặt ngõ rộng thoáng, sáng 10m ra phố Phương Liệt 40m ra Đường Giải Phóng, tiện ích ngập tràn. Gần nhiều trường đại học Bác Khoa, Kinh Tế, Xây Dựng. Gần viện Bạch Mai, Việt Pháp. + Nhà chủ mới xây được vài năm còn rất mới, thết kế 5 tầng hiện đại khung cột cọc móng chắc chắn, nội thất nhập ngoại, sang sịn, mịn, đầy đủ công năng. + Gia chủ là người thành đạt thay đổi chỗ ở thiện chí bán, giá linh động ( có thương lương cho khách thiện chí ) Pháp lý sạch, sổ đỏ vuông đẹp, sẵn sàng giao dịch. + Liên hệ: TRung Kiên đất thổ cư, nhà mặt phố, uy tín, chất lượng.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815946.251373, 5, 5,, 5
"3,1 tỷ VNĐ","Cổ Nhuế, Bắc Từ Liêm", 40m2,,,"Bán nhà Cổ Nhuế, vị trí hiếm, 40m2 x 4 tầng, giá 3.1 tỷ + Cần bán nhà Cổ Nhuế 2, Bắc Từ Liêm, dt 40m2 x 4 tầng, vị trí hiếm + Nhà nằm ở trung tâm phường Cổ Nhuế 2, giao thông thuận tiện kết nối với các tuyến phố như Phạm Văn Đồng, Hoàng Quốc Việt, Cầu Thăng Long….gần các trường đại học, cấp 1,2, chợ, siêu thị…. + Chỉ vài phút xe máy là sang các quận xung quanh như Tây Hồ, Cầu Giấy, Nam Từ Liêm…. + Nhà xây kiên cố, thiết kế hiện đại với 3 ngủ đủ công năng Sổ đỏ chính chủ, sẵn sàng giao dịch Lh Mr Tùng 0969541111( Chuyên Thổ Cư Hà Nội)",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815947.3833463, 4, 4,, 4
"2,73 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 39m2, 5, 2,"+ Chủ nhà là chị Thanh kinh doanh thời trang, vui tính, xởi lởi, bán nhà để chuyển về cầu giấy gần công ty. + Nhà 39m2 , vị trí hiếm, ngay cạnh công viên và hồ nước ,ngõ thoáng sáng, 2 ô tô tránh nhau đỗ tận cửa. + Bán nhà Thạch Bàn, Long Biên, Hà Nội. Ba bước lên Aeon Long Biên. Nhà gần trường THCS Thạch Bàn, gần trường mầm non Hoa Mai, gần chợ Thạch Bàn. Đường Thạch Bàn thông với Cổ Linh, Nguyễn Văn Linh, Huỳnh Tấn Phát. + Gía 2.73 tỷ ( có thương lượng với khách thiện chí ) + Sổ đỏ chính chủ, cất két sẵn sang giao dịch + Miễn tiếp trung gian + Liên hệ Mr Chượng 0962963121",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815948.883963, 5, 4,, 4
"3,8 tỷ VNĐ","Lâm Du, Bồ Đề, Long Biên", 26m2, 4, 4,"Bán gấp nhà mặt phố Bồ Đề. 100m ra Nguyễn Văn Cừ, cách cầu Chương Dương 200m. Sang phố cổ chỉ 5’ đi xe.Thiết kế nhà đẹp, 26m2 x 4 tầng đủ công năng.+ Vị trí đắc địa, đường trước nhà rộng, oto tránh kinh doanh cực đỉnh, hiện tại dang cho thuê lam Nail hơn 10tr/tháng. Dòng tiền ổn định.+ Ở cực sướng, an sinh đỉnh, gần phố cổ, trường song ngữ liên cấp quốc tế Wellspring, TTTM Mipec Long Biên và các cửa hàng tiện lợi ( Circle K, Vinmart,...); các bệnh viện ( bv Tâm Anh, bv Bắc Hà,...) - nâng tầm sức khỏe- Nội thất: có đầy đủ ( điều hòa, tủ lạnh,...) - hàng chất lượng cao, chỉ việc dọn vali đến là ở luôn.- Sổ đỏ chính chủ - sẵn sàng giao dịch. ☎️Hotline: 0978600***. Em Thành Long Biên để được tư vấn, xem nhà miễn phí, hỗ trợ vay vốn ngân hàng, pháp lý, phong thủy, sang tên làm sổ,...",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815950.134619, 4, 3,,
5 tỷ VNĐ,Tây Sơn, 38m2, 3,,"Bán nhà LÔ GÓC Phố Tây Sơn – Ngã Tư Sở, Ô TÔ dừng đỗ ngày đêm cách 30m. Diện tích: 38m2, 6 Tầng xây mới. Mặt tiền đẹp: 3.8m. Giá: Nhỉnh 5 Tỷ ( Có thương Lượng). + Vị trí nhà đẹp, thông sang Thịnh Quang, Đường Láng, Trường Chinh, tiện ích xung quanh không thiếu thứ gì. + Ngõ rộng thắng 2 ba gác tránh nhau, nhà Lô Góc thoáng sáng nên phòng nào cũng có cửa sổ. + Thiết kế nhà sang trọng, hiện đại, nội thất toàn đồ nhập khẩu, đầy đủ công năng sử dụng, khách mua về ở ngay. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh. LH: Em Hoan, 0925088355, miễn phí xem nhà 24/7.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815951.3887088, 6, 5,,
"8,95 tỷ VNĐ",ngõ phố Bạch Mai, 60m2, 6, 2,"(Ảnh Thật+Nhà Thật+TT Thật 100%)Bán tòa nhà 5 tầng phố Bạch Mai giao Phố Huế,60m2x5T,MT 6.5m lô góc 2 mặt thoáng, 14 phòng khép kín cho thuê, ngõ rộng sát phố giá 8.95tỷHiện trạng thiết kế 13 căn hộ, chủ mới về khai thác luôn.-Thiết kế hiện đại bao gồm:+Tầng 1 khu để xe và thiết kế 1 phòng có thể vừa ở vừa kinh doanh nhỏ+Tầng 2: 3 phòng khép kín.+Tầng 3,4: 4 phòng khép kín.+Tầng 5: 2 phòng khép kín.-Tổng có 13 căn hộ khép kín cho thuê.-Nhà hoàn thiện đầy đủ nội thất cao cấp, của chính 2 lớp, cửa thông phòng và tay vị cầu thang làm bằng gỗ Lim, sàn gỗ nhập khẩu, đèn Led tiết kiệm điện. Các phòng đã trang bị đầy đủ giường tủ, điều hòa, quạt điện, Bình nóng Lạnh, bếp, có công tơ điện nước riêng.-Khách mua về vào khai thác luôn mà ko cần phải đầu tư gì thêm nữa.-Vị trí cực đẹp cách mặt phố Bạch Mai 40m ngõ to rộng gần nhiều trường cấp 1, cấp 2, cấp 3, cách 3 trường Đại Học lớn như Bách Khoa, Kinh Tế, Xây Dựng không quá 1km. Rất thuận tiện cho việc đầu tư giữ tiền, khai thác cho thuê dòng tiền ổn định.-Giá 8,95 tỷ có thương lượng.liên hệ chị Yến ĐT:0702138238",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815952.7066786, 5, 10, Đông nam, 10
"4,5 tỷ VNĐ",ngõ 203 Kim Ngưu, 56m2, 10, 3,"Bán nhà ngõ 203 Kim Ngưu, Hai Bà Trưng. Diện tích 56m2, mặt tiền 6m, nhà xây 4 tầng đẹp long lanh. Thiết kế hiện đại, phong cách Châu Âu. Tầng 1 thiết kế là phòng khách, bếp và phòng ăn. Tầng 2,3 thiết kế mỗi tầng 2 phòng ngủ lớn, vệ sinhTầng 4: Phòng thờ và sân phơi. Ngôi nhà được đầu tư cẩn thận, nội thất hiện đại, sàn gỗ nhập khẩu, cửa 2 lớp, cầu thang làm bằng gỗ Lim, trần thạch cao.. Vị trí đẹp, ngõ thông 121 Kim Ngưu, trước nhà rất thoáng, gần mặt ngõ 203 Kim Ngưu ô tô qua lại, gần chợ, trường. Khu dân trí cao, an ninh tốt. SĐCC, Giá bán 4.5 tỷ. liên hệ chị Yến ĐT:0702138238",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815953.9482884, 4, 4, Đông bắc, 3
