price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới,Số tầng
"4,65 tỷ VNĐ","Đường Lê Quang Đạo, Mễ Trì, Nam Từ Liêm", 88m2,"
    
Bán căn hộ dự án The Matrix One, Lê Quang Đạo, Mễ Trì, Nam Từ Liêm. Căn hộ có diện tích sử dụng 88m2, gồm 2 phòng ngủ, 2 WC, nội thất cơ bản đã bao gồm tủ bếp full kịch trần chất liệu acrylic sang trọng, điều hòa âm trần toàn bộ căn hộ, 01 ban công, 01 lô gia. Ban công hướng Đông Bắc, view quảng trường nội khu rất đẹp.

Giá bán 4,65 tỷ có thương lượng cho khách mua thiện chí. Chủ nhà bao toàn bộ phí chuyển nhượng.
Liên hệ 0913966981 để xem nhà trực tiếp.
",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791949.9231606, 2, 2,, 9, 50, 30
"4,55 tỷ VNĐ","Đường Yên Hòa, Yên Hòa, Cầu Giấy", 53m2,"
    💋 Vị trí , rất hiếm nhà bán, ngõ thông rộng thoáng, tiện ích ngập tràn không thiếu thứ gì Ngõ rộng thông thoáng, trước nhà ba gác đua xe máy, ngõ thông các ngả giao thông thuận tiện, gần hồ điều hòa, bãi giữ xe💋 Thiết kế 5 tầng:- Tầng 1: Phòng khách + Bếp + WC.- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + WC.- Tầng 5: Phòng thờ + Sân phơi.📕📕📕 Sổ đỏ vuông đẹp, sẵn sàng giao dịch.LIÊN HỆ xem nhà 24/7
",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791951.117955, 3, 4,, 1, 1, 5
"6,5 tỷ VNĐ","Phúc Đồng, Long Biên,Hà Nội.", 70m2,"Bán gấp căn nhà 3 tầng, 70m2, mặt tiền 5m, đường trước nhà 2 oto tránh, kinh doanh tốt. Vị trí nhà tại đường Nguyễn Lam phường Phúc Đồng quận Long Biên. Vị trí nhà gần khu Biệt thự Vinhome Riverside, xung quanh có nhiều tiện ích như TTTM Aeon Mall Long Biên, gần các trường học, bệnh viện… Nhà thích hợp mua để ở hoặc hoặc kinh doanh. Sổ đỏ chính chủ, đất vuông đẹp. Giá 6.5 tỷ( có thương lượng). Liên hệ anh Trung: 0387803526.",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791952.2330446, 4, 3,, 5, 6, 3
500 triệu VNĐ,"TT Xuân Mai, Hà Nội", 40m2,"Bán đất thị trấn Xuân Mai Hà Nội 40m2 tặng nhà kinh doanh chợ-trường học giá chỉ 500tr Diện tích 40m2 vuông vắn Cần tiền bán gấp đất thị trấn Xuân Mai - Hà Nội. Nhanh tay kẻo bán mất, bán đất tặng nhà. Mặt tiền kinh doanh trước cổng trường C3, chợ lớn. Cách quốc lộ 6 chỉ 50m, khu vực phát triển. Đất ven đô rẻ nhất khu vực chưa mua đã sinh lời, kinh doanh buôn bán hoặc cho thuê. Liên hệ làm việc trực tiếp: 0914450004",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791953.303193,,,,,,
"1,2 tỷ VNĐ","Đường A, Đặng Xá, Gia Lâm", 28m2,"Phân khu đẳng cấp bậc nhất Vinhomes Ocean Park với nắm giữ 3 thiên đàng nghỉ ngơi nổi tiếng quả đât: Japan, Singapore, Dubai  địa điểm cận Biển kế Hồ trung tâm Phố. Số lượng có hạn, mật độ thấp, an ninh khép kín với các hàng rào cây cối.  CĐT nổi bậc dự án cảnh quan, kiến trúc mặt ngoài và bổ sung tiện ích Resort 5 sao.  Sở hữu Hồ 24,5ha, Biển 6,1ha, công viên Vinwonder 82ha và không khí sanh xinh thái sạch sẽ.  chất lượng với Vincom – Vinmec – Vinschool – Vinuni.",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791954.5578206, 1, 1,, 3, 1, 1
4 tỷ VNĐ,"Đường Đình Thôn, Mỹ Đình 1, Nam Từ Liêm", 95m2,"Chủ nhà bán căn hộ cao cấp The Emerald CT8 Mỹ Đình, nội thất cơ bản tòa E1, diện tích thông thủy 95m2, view quảng trường nội khu, giá bán 4,0 tỷ có thương lương. LH 0913966981.",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791955.5920532, 3, 2,, 10, 50, 30
"5,7 tỷ VNĐ",29 Tố Hữu, 123m2,"Bán 123m2 căn hộ tự thiết kế MHD Trung Văn giá 5tỷ7- Diện tích: 123 m² . Phòng đón cực nhiều ánh sáng tự nhiên.- Ký HĐMB trực tiếp với CĐT.- Tiện ích nội khu: Bể bơi, TTTM, Gym, Spa...- Tiện ích ngoại khu: Trường học quốc tế Olympia, Toronto, Amsterdam...; 3p tới công viên Thanh Xuân, gần các cơ quan hành chính nhà nước...- Cam kết trên HĐ: Có 1 suất đỗ ô tô và 2 suất để xe máy.",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791956.6198149, 3, 2,,,, 1
799 triệu VNĐ,135 Trần Phú, 74m2,"Quỹ căn hộ đầu tư chỉ từ 799tr tại Dự án Grand Sunlake, Văn Quán + 3p tới Ga Tàu điện Văn Quán , Đại học Kiến trúc, Học viện An ninh, + 5p tới chợ dân sinh, Big C, Trường tiểu học Nguyễn Du, Trường THCS Văn Quán, Hồ Văn Quán, + 10p tới Bệnh viện Đa khoa Hà Đông, Bệnh viện Quân Y 103, + 15p tới Trung tâm Hà Nội  Mô tả:  Khuôn viên hiện đại, cảnh quan thiên nhiên thơ mộng. Một mặt là Hồ Văn Quán, Hà Đông rộng 2000m2 Một mặt là khu phố sầm uất, nhộn nhịp Một khuôn viên kết hợp đô thị và thiên nhiên nghỉ dưỡng Tạo ra 1 căn hộ nghỉ dưỡng thuận lợi cả đi làm, đi học và nghỉ dưỡng   #Lưu ý: + Căn hộ bàn giao quý 4 năm 2024 + Dự án đang trong giai đoạn 2/8 xây dựng đến tầng 8/50 + Chi tiết: Liên hệ trực tiếp qua số điện thoại/Zalo",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791957.7886891,,,,,,
3 tỷ VNĐ,"Phường Trung Phụng, Đống Đa", 30m2,"Phường Trung Phụng 30m2 x 4 tầng, mặt tiền 4.8m, Giá chỉ 3 tỷ, LH 0332618488 Vị trí đắc địa trung tâm Đống Đa, thông ra nhiều phố lớn, nhà chủ mới xây, chắc chắn, trước nhà rộng để xe thoải mái,  Thiết kế 3 phòng mỗi phòng + WC.  Sổ đỏ đẹp, sẵn sàng giao dịch",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791958.7990282, 3, 3,, 4,, 4
4 tỷ VNĐ,"Đường phạm văn đồng, Mai Dịch", 40m2,"Bán nhà Phạm Văn Đồng-Cầu Giấy-40m2-giá  4.1 tỷ-lô góc-ngõ thoáng-cách mặt phố 50m-an sinh đỉnh GIAO THÔNG THUẬN TIỆN-LÔ GÓC-NGÕ THOÁNG-CÁCH MẶT PHỐ 50M+ Cách phố vài bước, mặt ngõ thông.+ Nhà đẹp,gần bộ công an , các trường đại học nổi tiếng thương mại,quốc gia, ngoại ngữ+ Ô tô cách 50m đi lại thuận tiện, giao xuân thủy, hồ tùng mậu,…+ Chủ thiện chí, bán mua nhà to hơn. Thiết kế:Tầng 1: Phòng khách + khu bếp ăn, wc.Tầng 2,3,4: Mỗi tầng 2 phòng ngủ + WC.Tầng 5: phòng thờ, sân phơi.- Sổ đỏ cất két, pháp lý chuẩn sẵn sàng giao dịch. Gọi ngay cho e:Vĩ 0979.575.113(zalo)Tư vấn,xem nhà miễn phí.",28/10/2022,Tin thường,batdongsan_so_com_vn_1673791959.8950958, 3, 4,, 4, 4, 5
