price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số toilet
139 tỷ VNĐ,Tô Hiến Thành-Hai Bà Trưng- HN, 175m2,,,,"- Bán nhà mặt phố Tô Hiến Thành - Quận Hai Bà Trưng, diện tích 175m2 mặt tiền 10m, nở hậu đẹp.- Nhà phù hợp nhiều mô hình đầu tư kinh doanh - Xe dừng đỗ 24/24.- Sổ đỏ chính chủ, pháp lý rõ ràng.- Giá 139 tỷ - có thương lượng.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822573.8089898,,,
5 tỷ VNĐ,"Nguyễn Khang, Yên Hòa", 32m2,, 5, 3,"🌋TRUNG TÂM CẦU GIẤY QUẬN 🏡5 TẦNG ĐẸP Ở VÀ KINH DOANH 🚘 Ô TÔ 7 CHỖ TRƯỚC NHÀ, 1 NHÀ RA PHỐ + Vị trí Trung tâm Cầu Giấy nối giữa vành đai 2 Đường Láng với tuyến Vành đai 2.5 là đường Nguyễn Văn Huyên Kéo Dài - Dương Đình Nghệ, trục giao thuông huyết mạch của Thủ đô, tiện ích giao thông đồng bộ. + Nhà cách trường cấp 1 Yên hòa vài bước chân, đi bộ thể dục hóng gió Công viên Cầu Giấy... + Thiết kế: Nhà đầy đủ nội thất: Điều hòa, nóng lạnh. + Tầng 1: Khách, bếp, có thể kinh doanh. + Tầng 2,3,4: Mỗi tầng 1 phòng ngủ, 1 wc. + Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ phân lô, chính chủ, sẵn sàng giao dịch. + Giá chỉ 5 tỷ (có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822576.2144654,,,
"4,9 tỷ VNĐ",Cầu Giấy, 51m2, 5, 5,,"+ Chuyển nhà bán gấp nhà quận Cầu Giấy, S: 51m2, mặt tiền 5m, 5 tầng.+ Vị trí: Nằm trung tâm quận Cầu Giấy, gần nhiều trường Đại học, công viên, Bệnh viện, tiện ích đầy đủ.+ Nhà 5 tầng mới đẹp, để lại toàn bộ nội thất, điều hòa…+ sổ đỏ chính chủ.+ Liên hệ em Đức Anh để xem nhà - 0975517689",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822577.112063,,,
18 tỷ VNĐ,Đường Mễ Trì phường Mễ Trì, 95m2, 7, 5, 5,"- Liền kề 5 Tầng với cây xanh tiền tỷ trước cửa nhà, chủ nhà quan chức cấp cao, nội thất hiện đại cực xịn xò, Thiết kế phong cách châu âu.- Tầng 1 Thông sàn, Gara Ô tô, Phòng khách,bếp, tiểu cảnh rất phong thuỷ. Có vườn cây tạo không gian sống thoáng đãng cho căn nhà.- Thiết kế các phòng đều có cửa sổ thoáng mát đón sinh khí và tài lộc quanh năm. - Nhà có ô chờ thang máy.Giá 18 tỷ ( Có thương lượng)- Sổ đỏ chính chủ sẵn sàng giao dịch.- Chủ nhà là doanh nhân thành đạt, nhiều nhà nên muốn bán bớt để đầu tư kinh doanh. Liên hệ Tôi CƯƠNG THỔ CƯ 0936.288.283 ( Luôn hỗ trợ tận tâm nhất)TÔI CAM KẾT: Cung cấp sản phẩm chính chủ không tranh chấp khiếu kiện. Việc đảm bảo giao dịch được an toàn và nhanh chóng là trách nhiệm của tôi. Xin cảm ơn! ",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822578.2969193,, 5, 5
"13,23 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng Hậu, 57m2, 4, 5, 5,"- Vị trí nhà đắc địa, vô cùng đẹp trên phố Cầu GiấyNgõ trước nhà siêu rộng, ô tô tránh nhau chạy vù vù, đỗ trước cửa nhà ngày đêm, xung quanh tiện ích ngập tràn, không thiếu thứ gì.Nhà Lô góc, 3 mặt thoáng vĩnh viễn,gần nhiều trường cao đẳng đại học công viên, hồ tây, bộ công an, - Nhà thiết kế 5 tầng, khung cột chắc chắn, đầy đủ công năng tiện ích, nội thất sang xịn mịn, vào là ở luôn. - Chủ ở cực lộc bán đi để đổi nhà to hơn - Sổ đỏ chính chủ, sẵn sàng giao dịch - Gía: 13,x tỷLiên hệ Tôi CƯƠNG THỔ CƯ 0936.288.283 ( Luôn hỗ trợ tận tâm nhất)TÔI CAM KẾT: Cung cấp sản phẩm chính chủ không tranh chấp khiếu kiện. Việc đảm bảo giao dịch được an toàn và nhanh chóng là trách nhiệm của tôi. Xin cảm ơn! ",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822579.2373805,, 6, 5
"11,4 tỷ VNĐ",Đường Nguyễn Ngọc Vũ phường Nhân Chính, 55m2, 5, 5, 5,"- Nhà thuộc phố Nguyễn Ngọc Vũ - Cầu Giấy vị trí trung tâm của quận, vô cùng đẹp, đắc địa, giá trị căn nhà vượt xa tầm giá, bạt ngàn tiện ích ngõ thông tứ tung, Ngõ trước nhà cực rộng, ô tô vào thẳng nhà, gần mặt phố thích hợp vừa ở vừa kinh doanh,- Nhà 5 tầng thoáng sáng, có khoảng sân trước nhà, mặt tiền siêu rông, thiết kế đầy đủ công năng, khung cột cực kỳ chắc chắn, các phòng thoáng sáng, thiết bị nội thất hàng nhập khẩu, sang trọng.Giá: 12,3tỷ ( có thương lượng)Liên hệ Tôi CƯƠNG THỔ CƯ 0936.288.283 ( Luôn hỗ trợ tận tâm nhất)TÔI CAM KẾT: Cung cấp sản phẩm chính chủ không tranh chấp khiếu kiện. Việc đảm bảo giao dịch được an toàn và nhanh chóng là trách nhiệm của tôi. Xin cảm ơn! ",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822580.2481027,, 5, 5
"1,15 tỷ VNĐ","Hòa Bình 7, Minh Khai", 33m2,, 5, 2,"NHỎ MÀ CÓ VÕ - SỔ ĐỎ NÉT CĂNG - TẦM TIỀN BAO LA KHÁCH - 4 Ô TÔ TRÁNH DƯỚI CHÂN CẦU THANG - CÁCH MẶT PHỐ MINH KHAI 50M - AN SINH TUYỆT ĐỈNH. + Ngõ Hòa Bình 7 là ngõ ô tô tránh nằm trên trục đường Minh Khai mới mở rộng thuộc trung tâm quận Hai Bà Trưng với mật độ dân cư đa dạng, sầm uất. + Nhà bán là nhà tập thể thuộc Tập thể cơ khí xây dựng . Diện tích nhà là 33m, lô góc nên hoàn toàn có thể cơi nới thêm 40m thành 70m nữa giống như các nhà khác với chi phí 100 triêu. Chủ nhà sẽ hỗ trợ khách mua việc này nếu có nhu cầu. Nhà 2 phòng ngủ, bếp, vệ sinh khép kín đầy đủ công năng cho 1 thế hệ gia đình ở. + Nhà hiện tại chủ đang cho người thân thuê với giá hữu nghị. Khách mua có thể cho thuê tiếp hoặc lấy lại nhà bất kỳ lúc nào. Xe máy gửi dưới tầng 1 200k/tháng, ô tô gửi miễn phí vì sân dưới khu tập thể có thể để được 10 xe ô tô thoải mái. + Giá chỉ nhỉnh 1 tỷ (Có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822581.6284516,,,
"1,15 tỷ VNĐ","Hòa Bình 7, Minh Khai", 33m2,, 5, 2,"NHỎ MÀ CÓ VÕ - SỔ ĐỎ NÉT CĂNG - TẦM TIỀN BAO LA KHÁCH - 4 Ô TÔ TRÁNH DƯỚI CHÂN CẦU THANG - CÁCH MẶT PHỐ MINH KHAI 50M - AN SINH TUYỆT ĐỈNH. + Ngõ Hòa Bình 7 là ngõ ô tô tránh nằm trên trục đường Minh Khai mới mở rộng thuộc trung tâm quận Hai Bà Trưng với mật độ dân cư đa dạng, sầm uất. + Nhà bán là nhà tập thể thuộc Tập thể cơ khí xây dựng . Diện tích nhà là 33m, lô góc nên hoàn toàn có thể cơi nới thêm 40m thành 70m nữa giống như các nhà khác với chi phí 100 triêu. Chủ nhà sẽ hỗ trợ khách mua việc này nếu có nhu cầu. Nhà 2 phòng ngủ, bếp, vệ sinh khép kín đầy đủ công năng cho 1 thế hệ gia đình ở. + Nhà hiện tại chủ đang cho người thân thuê với giá hữu nghị. Khách mua có thể cho thuê tiếp hoặc lấy lại nhà bất kỳ lúc nào. Xe máy gửi dưới tầng 1 200k/tháng, ô tô gửi miễn phí vì sân dưới khu tập thể có thể để được 10 xe ô tô thoải mái. + Giá chỉ nhỉnh 1 tỷ (Có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822582.855579,,,
,Mỹ Đình, 36m2, 4, 4,,"+ Chuyển nhà bán gấp nhà lô góc Mỹ Đình, Nam Từ Liêm, 36m2 X 4 tầng, MT: 4m, đường ô tô né nhau, kinh doanh sầm uất. + Vị trí: Nằm ở trung Mỹ Đình, khu vực đông dân cư, thông đi các đường Lê Đức Thọ, Nguyễn Hoàng, Phạm Hùng. + Chủ đangkinh doanh quán ăn, cho thuê dòng tiền tốt. Gần nhiều trường Đại Học lớn, hồ, tiện ích không thiếu gì. + Sổ đỏ chính chủ, sãn sang giao dịch. + Liên hệ ngay em Đức Anh để xem nhà – 0975517689",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822583.898789,,,
"6,5 tỷ VNĐ",Đường Hoàng Cầu phường hoàng cầu, 54m2, 6, 4, 4,"- Thiết kế: 4 tầng, tổng 4 ngủ, 3wc, phòng thờ, sân phơi.  Liên hệ: Mrs Kim Anh – chuyên nhà đẹp quận Đống Đa",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822585.0417316,, 3, 4
