price,address,Diện tích,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"1,15 tỷ VNĐ",Đường Tỉnh Lộ 131 phường Sóc Sơn, 63m2,,,,,,"
    Do cuối năm,ngân hàng tăng lãi suất, cần tiền trả nợ ngân hàng nên cần bán gấp mảnh đất ở Sóc Sơn, gần Khu công nghiệp Nội Bài.Địa chỉ: Thôn Bắc Thượng,xã Quang Tiến, huyện Sóc Sơn, Hà Nội.-Diện tích : 62.5m2.-Lô góc 2 mặt tiền-Mặt tiền: 4.7m-Mặt hậu: 4.92m, nở hậu-Dài: 13.3mĐường trục chính rộng 4m, ô tô đi thoải mái.+1km đi ra KCN Nội Bài+Giao thông thuận tiện: gần tl 131, ql3, ql2.Đất đẹp giá rẻ hơn thị trường, rất phù hợp mua đầu tư và mua ở.Gọi cho e để đi cọc đất.",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792771.8920865, 4
"5,8 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 40m2,, 4, 5, 4, 4,"+ Nhà vị trí đẹp, khu vực dân trí cao, toàn cán bộ Quân Đội, an ninh tuyệt đối.+ Khu vực đông dân cư, tiện ích không thiếu thứ gì, chủ rất thiện chí bán.+ Nhà diện tích 40m2, chủ tâm huyết xây 5 tầng, lô góc, các phòng thoáng sáng, đầy đủ công năng.+ Sổ đỏ chính chủ, giá 5.8 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792773.0679424, 4
"5,5 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 50m2,, 3, 4, 4, 4,"+ Vi trí khu vực sầm uất dân trí cao ngõ ô tô rộng thông Hồ Bồ Đề, Lâm Du, Hồng Tiến.+ Tiện ích xung quanh không thiếu thứ gì.+ Nhà thiết kế mới đẹp đầy đủ công năng, hiện đại, ô tô đỗ cổng, ngõ thông 2 đầu, nội thất xịn.+ Chủ nhà là dân Kiến Trúc, thiết kế rất đẹp, công năng. + Sổ đỏ chính chủ, giá 5.5 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792774.2099338, 4
68 tỷ VNĐ,"Vinhomes Riverside, Long Biên, HN", 250m2,,,,,,"+Xứ sở của các loại hoa . Vị trí đắt giá nhất của khu vực. + Nhà thiết kế 3 tầng tổng 4 ngủ. Phòng thờ, khách bếp. Phòng đọc sách, phòng sinh hoạt chung. Chủ mua xây thô về hoàn thiện theo thiết kế riêng rất đẳng cấp. + Nội thất xịn sò bày trí đẹp mắt ấm áp. Khách mua về ở ngoài giờ làm việc được hưởng thụ các dịch vụ sang chảnh, câu cá tại hồ, bể bơi riêng nội khu, con đường đi bộ thơ mộng. + Sổ đỏ vuông vắn sẵn sàng sang tên",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792775.4007487,
"2,4 tỷ VNĐ",Đường Phú Diễn phường Phú Diễn, 50m2,, 3, 1, 2, 2,"
    Siêu hiếm mảnh đất 50M nhà cấp 4 rẻ bằng nửa giá thị trường Phú Diễn Bắc Từ Liêm 0845681666Nhà bán hiện trạng nhà câp 4 đang cho thuê 4 triệu tháng Phú Diễn hiện còn mảnh đất duy nhất 50m 20m ra đường to ô tô tránhPhù hợp đầu tư xây toà nhà cho thuêVới nguồn hang 5000 căn nhà quanh các Quân Cầu Giấy , Nam Bắc Từ Liêm có già từ 3 tỷ đến 50 tỷSổ đỏ chính chủ sẵn sàng dao dịch ngayLH Trần Hảo 845681 666 để có giá tốt nhất tư vấn xem nhà miễn phí 24/7
",25/10/2022,Tin thường,batdongsan_so_com_vn_1673792776.5108519,
25 tỷ VNĐ,Hoàng Quốc Việt Cầu Giấy, 69m2,,, 7,, 7,"NHÀ ĐẸP HOÀNG QUỐC VIỆT, MẶT NGÕ Ô TÔ TRÁNH VỈA HÈ - 7 TẦNG THANG MÁY - KINH DOANH SẦM UẤT NHIỀU LOẠI HÌNH  - Diện tích 69m2 X7 Tầng. Mt 4m Giá 25 tỷ ( có thương lượng )  - Vị trí nằm mặt ngõ 203 Hoàng Quốc Việt, song song với phố Nguyễn Văn Huyên, thông sang Tô Hiệu. Ngõ rộng xe tải tránh nhau, vỉa hè rộng. Kinh doanh đỉnh cao. - Nhà dân xây, khung côt chắc chắn, thiết kế 7 tầng thông sàn kinh doanh. - Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo tuyệt đối.  - Sổ chính chủ, vuông vắn, sẵn sàng giao dịch.  ACE có nhu cầu liên hệ em Quân để được tư vấn. 0385 94 1802 ❤️Miễn ( TG Quảng Cáo ) ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792777.6926906, 4
"6,7 tỷ VNĐ","Hoàng Cầu, Đống Đa, Hà Nội", 67m2,,, 5, 3, 4,"Nhà giá tốt Tiện ích xung quanh ngõ rộng thông mặt phốMô tả chi tiết căn nhà:Tầng 1: phòng khách bếp vệ sinhTầng 2,3,4: mỗi tầng 2 phòng vệ sinhTầng 5 phòng thờ sân phơiCăn nhà nằm tại khu liền kề, dân cư sinh sống chủ yếu là người già, an sinh tốtNgõ trước nhà rộng, thoáng, thông ra mặt phố Hoàng cầu chỉ 100m, Phố Nguyễn Lương Bằng chỉ 50mNhà gần chợ Khu Ô Chợ Dừa, xung quanh nhiều quán ăn, cafe, nhà gần nhiều hồ, có tập thể bộ công an nên đảm bảo an ninh, có nhiều cửa hàng kinh doanh.Bán kính 1km: Trường Tiểu học Thịnh Hào, THCS Quang Trung, Bệnh viện Đống Đa, 200m ra hồ Hoàng Cầu, 50m ra vườn hoa thoáng mátNhà nằm mặt ngõ 59 Hoàng Cầu, ngay sát quận ủy Đống Đa, ngõ ô tô qua nhà thông sang vườn hoa ⅙, ngõ 180 Nguyễn Lương Bằng, gần phố Trần Quang Diệu.Sổ đỏ chính chủ. Sẵn sàng giao dịch.Giá 12.9tỷ thương lượng trực tiếp.Liên hệ xem nhà A.Bình 0922818727. ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792781.9289162, 3
,Đường Xã Đàn phường Phương Mai,,, 1, 5,,,"+ Vị trí đắc địa: gần đường, trường, chợ, các bệnh viện TT….thuận tiện mọi thứ. Tầng 1 thông sàn có thể cho thuê thu lợi nhận cao - Liên hệ Mrs Hiền 097.216.8342 ( MIỄN PHÍ 100% Xem, kiểm tra Quy hoạch, Pháp lý, Vay vốn ngân hàng, Mua và sang tên Sổ đỏ,…",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792783.1564934,
"8,9 tỷ VNĐ",Đường Hồng Tiến phường Bồ Đề, 80m2,, 7, 4, 5, 5,"Giảm cực manh   Từ 10.5 Tỷ về 8.9  Tỷ.  Bán nhà Phố Hoàng Như Tiếp Thông Ái Mộ,Phú Hựu 80M, 5Ngủ, ôtô, Chỉ 8.9tỷ.  LH:  Em  Thu  0916488589  Làm việc trực tiếp chủ nhà. Khu vực dân trí cao, Hàng xóm thân thiện, Ôtô  vào nhà Thông Ái Mộ, Phú Hựu. -  Diện tích 80m2 nhà dân tự xây 4 tầng 2 thoáng sáng tâm huyết. Ở rất có lộc Con cái thành đạt, hàng xóm thân thiện. - Tiện ích xung quanh không thiếu gì. - Hàng xóm khu Minh Nhựa. Nhà ngay gần Vườn hoa Bồ Đề Xanh khu vực khuôn viên HC Golden. - Bệnh Viện Đa Khoa Tâm Anh bậc nhất thành phố.  - Trường Quốc tế Wellspring,Hệ thống trường công lập ngay cạnh nhà. _ Pháp lý sổ đỏ chuẩn, sẵn sàng giao dịch.  LH Em Thu 0916488589  Làm việc trực tiếp chủ nhà.",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792783.9783313, 4
27 tỷ VNĐ,Mỹ Đình, 113m2,,, 7,,,"* Gà Đẻ trứng vàng,trung tâm khu đông dân, Gần các Trường đại học.bx Mỹ Đình....- CCMN 7 TẦNG THANG MÁY 24P KK - OTO ĐỖ CỬA - KINH DOANH SẦM UẤT - Nhà xây kiên cố đẹp long lanh, thang máy xịn. + Nội thất:- Phòng nào cũng trang bị đầy đủ máy giặt, điều hoà, nóng lạnh, giường, tủ đựng quần áo, bếp điện từ, tủ giầy, bàn tiếp khách. Các thượng đế chỉ xách Vali đến ở.Nhà hiện đang cho thuê khoán dòng tiền ~1.5 tỷ/1 năm tự kinh doanh lên đến 1.7 tỷ/1 năm.+ Sổ đỏ cất két,sẵn sàng giao dịch.+ Giá chỉ 26 tỷ.LH:0976023036 Em Thái Chuyên BĐS HN.",14/10/2022,Tin thường,batdongsan_so_com_vn_1673792784.9747083,
