price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
"2,6 tỷ VNĐ","Đường An Trai, xã Vân Canh. Hoài Đức, Hà Nội", 31.2m2, Đông nam, 3, 4, 3,"Chính chủ bán nhà riêng 4 tầng An Trai, Vân Canh, Hoài Đức. Cách ngã tư Phương Canh 350m + Nhà ngõ to, gần phố, cách đường ô tô khoảng 20m. Thuận tiện điện, đường, trường, trạm.. + Khu vực dân cư tập trung đông đúc, dân trí cao, nhiều dự án đang được triển khai từng ngày. + Nhà thiết kế hiện đại, tầng 1 là Sân để xe, Bếp, Cầu Thang, Vệ Sinh, Giếng Trời, tầng 2,3,4 tổng 3 Phòng Ngủ, Vệ Sinh riêng biệt. + Sẵn sổ công chứng trong ngày Liên hệ 0915885164 xem nhà chính chủ",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810440.0034218,, 3
"1,6 tỷ VNĐ",Trương Định - Hà Nội, 32m2,,,,,"Chả kiếm được căn thứ 2 có vị trí đẹp hơn nữa chỉ mất vài bước chân là ra phố,giao thông cùng thuận tiện. Nhà tọa lạc ngay gần ngã tư Trung tâm của các trung tâm Trương Định – Bạch Mai , đi đâu cũng tiện Hai Bà, Thanh Xuân, Đống Đa, Hoàng Mai…..và đặc biệt cực gần các trường Đại Học nổi tiếng như Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân,…. Đường Trương Định là tuyến đường huyết mạch đã có quy hoạch mở rộng giá đất chỉ có lên chứ không có xuống. Căn nhà là tâm huyết thời thanh xuân của gia chủ dân thiết kế nên cực kỳ sáng thoáng hiện đại và tiện nghi khách chỉ việc xách vali về ở.  -Mảnh đất lộc lá gia chủ đã mua được nhà mới trên phố  nên cực kỳ  thiện trí giá chỉ 1.6 tỷ.Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Phương châm làm việc :- Bán nhà bằng cái tâm và cái tầm.- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",06/08/2022,Tin thường,batdongsan_so_com_vn_1673810441.236593,,
"4,3 tỷ VNĐ",xã Tam Hiệp, 42m2,,,,,"+ Bán nhà Tựu Liệt, Thanh Trì, Hà Nội+ Vị trí nhà tuyệt đẹp, view sông, đường ô tô tránh, kinh doanh, 300m ra bệnh viện Nội Tiết, TTTM Thanh Trì , 600m ra bến xe Nước Ngầm, kết nối KĐT Linh Đàm, KĐT Pháp Vân, tiện ích ngập tràn.+ Nhà mới đẹp lunh ling, khung cột BTCT rất chắc chắn, thiết kế hiện đại, nội thất và thiết bị cao cấp. + Sổ đỏ chính chủ. Miễn TG. ",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810442.4713917,,
"6,7 tỷ /tháng",yên lãng, 60m2,,,,,"Mô Tả Chính chủ bán gấp căn nhà Yên Lãng Đống Đa, gần các khu vực Tây Sơn, Nguyễn Lương Bằng, Hồ Đắc Di, Trần Quang Diệu, Thái Hà, Chùa Bộc. Diện tích 60m2. + Tiện ích xung quanh rất nhiều: Chợ dân sinh cách vài m, có ao hồ không khí trong lành. Gần các trường đại học lớn: Đại học Công Đoàn, Học Viện Ngân Hàng, Đại học Thuỷ Lợi, Đại học Y Hà Nội,… + Nhà khung cột chắn chắn, chủ xây tâm huyết, vào ở ngay được. + Vị trí nhà thuộc khu sầm uất của phố Tây Sơn, an ninh tốt, trung tâm Đống Đa đi đâu cũng được. + Sổ đỏ đẹp, sẵn sàng giao dịch. + Giá bán: 6.7 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810443.7170591,,
"6,5 tỷ VNĐ",thai hà, 55m2,,,,,"Mô Tả Chính chủ bán gấp căn nhà Thái Hà Đống Đa, gần các khu vực Tây Sơn, Nguyễn Lương Bằng, Hồ Đắc Di, Trần Quang Diệu, Thái Hà, Chùa Bộc. Diện tích 55m2. + Nhà khung cột chắn chắn, chủ xây tâm huyết, vào ở ngay được. Tầng 1: Để xe + Phòng khách + Phòng ngủ + WC. Tầng 2: Bếp + 1 Phòng ngủ + WC. Tầng 3: 2 Phòng ngủ + WC Tầng 4: Sân phơi + Phòng thờ. + Vị trí nhà thuộc khu sầm uất của phố Tây Sơn, an ninh tốt, trung tâm Đống Đa đi đâu cũng được. + Tiện ích xung quanh rất nhiều: Chợ dân sinh cách vài m, có ao hồ không khí trong lành. Gần các trường đại học lớn: Đại học Công Đoàn, Học Viện Ngân Hàng, Đại học Thuỷ Lợi, Đại học Y Hà Nội,… + Sổ đỏ đẹp, sẵn sàng giao dịch. + Giá bán: 6.5 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810445.1053815,,
"6,3 tỷ VNĐ",tây sơn, 50m2,,,,,"Mô Tả Cần tiền bán gấp căn nhà Tây Sơn Đống Đa, gần các khu vực Nguyễn Lương Bằng, Hồ Đắc Di, Trần Quang Diệu, Thái Hà, Chùa Bộc. Diện tích 50m2. + Nhà khung cột chắn chắn, chủ xây tâm huyết, vào ở ngay được. + Vị trí nhà thuộc khu sầm uất của phố Tây Sơn, an ninh tốt, trung tâm Đống Đa đi đâu cũng được. + Tiện ích xung quanh rất nhiều: Chợ dân sinh cách vài m, có ao hồ không khí trong lành. Gần các trường đại học lớn: Đại học Công Đoàn, Học Viện Ngân Hàng, Đại học Thuỷ Lợi, Đại học Y Hà Nội,… + Sổ đỏ đẹp, sẵn sàng giao dịch. + Giá bán: 6.3 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810446.307167,,
"11,23 tỷ VNĐ",Hà Nội, 79m2,,,,,"
    CẦN BÁN NHÀ CCMN MỸ ĐÌNH 79M 7T THANG MÁY NHỈNH 11 TỶ
+ Vị trí đẹp: Trung tâm phát triển manh, tiện ích đầu đủ, Đông sinh viên người đi làm. vài bước ra phố, ô tô tránh.
+ Gần Trường Đại Học Thương Mại, Gần Bến Xe Mỹ Đình, KDT, TTTM,..
Đường Mỹ Đình, Lê Đức Thọ, Hồ Tùng Mậu, Phạm Hùng...
+ Sổ CC đẹp như tranh, sang tên nhanh gọn.
+ Gia thương lượng
+ Thiện trí xem nhà liên hệ Mr Trung 0812212525.
",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810447.4651177,,
"1,371 tỷ VNĐ",Đường Tây Mỗ phường Đại Mỗ, 35m2,, 5, 8, 1,"Căn hộ Studio SA3 Vinhomes Smart CityHướng Tây Bắc nội khu Vườn Nhật cực chillDiện tích: 35,m2Giá niêm yết: 1.574.335.486 tỉđược chiết khấu quà tặng nội thất 70 triệuQuà tặng chiết khấu cho người thân mua căn thứ 2 là 1% Miễn phí 5 năm phí quản lí dịch vụ, không nhận miễn phí dịch vụ được chiết khấu 700k/m2 Chiết khấu 6% + 8% dòng tiền thanh toán sớm Chiết khấu 0,8% Bảo lãnh ngân hàng Giá sau chiết khấu: 1,371 tỉ Quà tặng thêm tân gia 2 chỉ vàng HÃY LIÊN HỆ NGAY ĐỂ ĐẶT LỊCH THAM QUAN DỰ ÁN MIỄN PHÍ Hotline: 0981.465.885. Facebook: https://m.facebook.com/phuongthao.tran.3990#Vinhomessmartcity #dautuvinhomessmartcity #thanhphoquocte #dautucanhovinhomes #dautucanhovinhomessmartcity #dautuvinhomes.#canhovinhomes#vinhomessmct#muanhavinhomes, ",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810448.8883107, 40, 1
9 tỷ VNĐ,"+ Bán Nhà Phố hoàng Cầu, trung tâm Quận Đống Đa,", 70m2,,,,,"+ Bán Nhà Phố hoàng Cầu, trung tâm Quận Đống Đa, kết nối với phố xã đàn, nguyễn lương bằng,…, Khu vực dân trí cao, an ninh an toàn. + Thuận Tiên Giao thông, Sinh Hoạt thường ngày của gia đình, Trường Học Các Cấp, Chợ, Siêu Thị, Bệnh viện,  Khu vui chơi giải trí..., + Vị trí nhà rất đẹp, thoáng , cách Hồ Hoàng cầu chỉ vài buocs chân, Nhà 3 tầng cũ bán đất tặng nhà + LH: Vượng - 0912949598. Bất Động Sản Đống đa, Còn 20 căn tương tự. + Sổ Đỏ Chính Chủ Sẵn sàng giao dịch. + Hỗ trợ tư vấn Pháp lý, Đàm Phán, 70% ngân hang. #bannhathaiha#           #bannhadongda# #bannhatayson#           #bannhadelathanh# #bannhaxadan#            #bannhadangtiendong# #bannhatrungliet#         #bannhathaithinh# #bannhachuaboc#          #bannhatrungtu3 #bannhatonducthang#    #bannhavanchuong# #bannhathinhhao#",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810450.268292,,
"6,5 tỷ VNĐ",Hạ Đình, 46m2,, 4, 5,,"+ Trung tâm Phố Hạ Đình - Thanh Xuân, gần trường học các Cấp, chợ ngay sát nhà, gần Hồ Hạ Đình. Thông sang Khương Đình, Nguyễn Trãi, Nguyễn Xiển.  + Vị trí đẹp nhất Phố, ô tô vào nhà cách đường lớn vài chục mét, ngõ thông thoáng nên vừa ở và kinh doanh đều được. + Nhà lô góc thoáng sáng, nội thất toàn gỗ lim và gỗ xịn, chủ tặng lại hết cho khách. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810451.7722683,,
