price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
"3,5 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 66m2,"SỞ HỮU CĂN HỘ MANG PHONG CÁCH NHẬT BẢN NGAY TẠI VINHOMES SMART CITY- Vị trí: + Gần đường 52m trục chính của dự án+ Đối diện ga Metro+ Gần trường học Vinschool+ Gần văn phòng The Valley+ Gần bệnh viện Vinmec- Diện tích 66m- Hướng Đông Nam- View công viên Nhật Bản, cổng Nguyệt Môn, hồ bể bơi bốn mùa Metrolines...- Qùa tặng:+ Mùa Thu Vàng 150 triệu+ Miễn phí dịch vụ 5 năm (quy đổi 700k/m2 trừ trực tiếp vào giá)- HTLS 70% GTCH đến 15/12/2023- Tháng 1/2023 bàn giao nhà=> Liên hệ tôi số: 0971998868",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807645.857478,, 6, 22, 2, 2, 50
"20,8 tỷ VNĐ",Thái Hà Đống Đa, 60m2,"DIỆN TÍCH 60M2, X7 TẦNG, MT4,4M, 20,8 TỶ CÓ THƯƠNG LƯỢNG  - Nhà vị trí siêu đẹp, mặt ngõ Thái Hà, ô tô tránh! - Tòa nhà VIP 7 tầng mới xây, ngõ trước nhà 2 ô tô tránh nhau, - Khu dân trí cao, nằm ở trung tâm quân đống đa, cách phố Thái Hà 70m!   nhà thiết kế theo phong cách tân cổ điển sơn màu trắng sang trọng. Ốp đá tự nhiên cao cấp + Tầng 1 thông sàn làm gara ô tô hoặc kinh doanh. + Tầng 2,3, 4 thông sàn.+ Tầng 5,6,7 Phòng Ngủ, phòng thờ, sân phơi!  +Sổ đỏ hoa hậu, chính chủ, sẵn sàng giao dịch.  Alo cho em để được chiêm ngưỡng căn nhà.  Miễn TG Quảng Cáo. ",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807647.1360626,, 4, 7, 6, 6,
37 tỷ VNĐ,Bán nhà mặt phố Q.HBT 68m x 7 tầng SĐCC 550tr/m, 68m2,"Bán nhà mặt phố Q.HBT 68m x 7 tầng SĐCC 550tr/m  + Mặt phố quận HBT 68m vỉa hè rộng, kinh doanh sầm uất. + Thông thương với những tuyến phố lớn như Bà Triệu, Phố Huế... + Giao thông thuận lợi. Tiện ích đầy đủ, sổ đỏ riêng, vuông đẹp. + Nhà xây chắc chắn khung bê tông cốt thép. + Gần trường học, bệnh viện, ... hồ Thiền Quang Công viên Thống Nhất. Cách ga Hàng Cỏ, Cung Văn hóa hữu nghị Việt Xô 200m.  Liên hệ: Kim Hạnh 0946 553 655",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807648.344829,,,,,,
"4,5 tỷ VNĐ",Đường Yên Phúc phường Văn Quán, 50m2,,19/08/2022,Tin thường,batdongsan_so_com_vn_1673807649.7321444,, 4, 3, 3, 3, 8
3 tỷ VNĐ,Đường Phúc Lợi phường Phúc Lợi, 45m2,"Cần bán lô đất tại Phúc Lợi - Long Biên - Hà Nội + Diện Tích 45m2 , MT 3,63m - Hậu 4,03m ( Nở Hậu )+ Giá Công Khai 2tỉ9XX ( X Sơ Sinh )+ Đường Rộng, Ngõ Thông, Oto Vào Tận Đất+ 100m Ra Đến Trường THPT Phúc Lợi+ 150m Ra Đến THCS Lê Quý Đôn+ 100m Ra Đến Chung Cư RuBy, 300m Ra Đến Quần Thể Vinhomes Long Biên+ Tiện Ích Xung Quanh Ngập Tràn, Đầu Tư Hay Định Cư Cực Đẹp+ An Ninh Khu Vực tốt, Dân Trí Cao, Thân Thiện+ Pháp Lí Rõ Ràng-Sổ Đỏ Trên Bàn-Sẵn Sàng Đổi ChủAnh chị quan tâm liên hệ em  Lợi 0353073021",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807651.3169062,, 4,,,,
8 tỷ VNĐ,Đường Ao Sen phường Mộ Lao, 40m2,"Kinh doanh sầm uất, nhộn nhịp ngày đêm. Ô tô đỗ cửa đường trước nhà 10m.Mô tả:+ Khu vực tập trung rất nhiều trường đại học như kiến Trúc, Bưu Chính Viễn Thông, An Ninh.. Vv lên lưu lượng SV rất lớn sức mua cao.+ Vị trí nhà bán rất đẹp, mặt tiền rộng, thửa đất vuông vắn cả phố nhà nào cũng kinh doanh..+ Nhà xây 4 tầng BTCT chịu lực, phong cách kiến trúc hài hòa.- Tầng 1 thông sàn kinh doanh + WC.- Tầng 2: Thông sàn 1 phòng rộng + WC + Bếp.- Tầng 3: Thông sàn 1 phòng rộng.- Tầng 4: Sân phơi + Phòng thờ.+ Nhà hiện đang cho thuê mỗi tháng chủ thu về gần 20 triệu đều đặn. + Sổ đỏ đẹp, có giảm nữa.",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807652.8857079,, 5, 4, 6, 6, 10
"7,5 tỷ VNĐ",Ngọc Thụy Long Biên, 30m2," + Nhà thuộc khu tái định cư Ngọc Thuỵ, khu vực phát triển từng ngày, hàng xóm bắt đầu xây dựng toàn nhà cao tầng, gần như là kín khu, nhà mình sát công viên nội khu. Đằng sau còn 1 ngõ 2m nữa nên cực thoáng. Gần trường cấp 1,2 Ngọc Thuỵ, bến xe Gia Lâm 1km…  + Nhà chủ xây cực tâm huyết, tỉ mỉ, hoa văn cực kì chi tiết và bắt mắt, chủ chất chơi thuê thợ miền trong ra ngoài này thiết kế hoạ tiết hoa văn, thiết kế tân cổ điển, xây mất 8 tháng nhà 30m2, thiết bị toàn đồ chất, thiết bị vệ sinh Inax, cửa nhôm Xingfa cửa gỗ lim Nam Phi, tường sơn trực tiếp chứ không bả xong mới sơn (chất lượng cực bền theo thời gian), đèn bếp cảm ứng toàn bộ, tủ bếp nâng hạ, điều hoà Daikin mỗi tầng 1 điều hoà.. .Thiết kế: - Tầng 1: Gara + WC + thang máy - Tầng 2: Bếp + phòng khách - Tầng 3,4,5: Mỗi tầng 1 PN khép kín - Tầng 6: Phòng thờ + 1 phòng nhỏ tập Gym. - Tầng 7: Sân phơi. + Lh: 0987353408(zalo) luôn hỗ trợ nhiệt tình 24/24 và miễn phí xem nhà( Mr Quân chuyên BĐS Long Biên, Gia Lâm và Đông Anh)",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807654.1991937,, 3, 7, 4,, 6
"4,55 tỷ VNĐ","tương mai, hoàng mai, hà nội.", 52m2,"  + Nằm ở vị trí trung tân Quận Hoang Mai, giao thoa với các đường, Trương Định, Tân Mai, Kim Đồng, Sông Sét …Gần nhà có đầy đủ tiện ích xã hội như; Bến xe, chợ dân sinh,các trường Đại học,bệnh viện Bạch Mai,khu vui chơi và nhiều tiện ích khác…Ô Tô đỗ cửa, hiện chủ cho thuê T1 kinh doanh. +Nhà còn mới đẹp, thiết kế hiện đại, hệ thống móng cột theo đúng quy chuẩn, tối ưu hóa công năng sử dụng, khách mua về ở ngay, Phù hợp cho hộ gia đình 4 đến 5 người ở. Gần Sông Sét, di chuyển 15 phút đến Bờ Hồ., + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Gọi ngay để có cơ hội sở hữu; Mr Quân – 0911303899 (zalo-messenger). Chuyên khu vực Hoàng Mai,Hai Bà Trưng.Để được tư vẫn miễn phí, còn rất nhiều căn nhà cùng khu vực với tài chính từ 3-10 tỷ.",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807655.7620125, Đông nam, 4, 5, 6, 4,
"5,9 tỷ VNĐ",66, 50m2,"+Vị trí siêu đẹp Lô góc 2 mặt ngõ ô tô, ngõ thông bàn cờ với phố Yên Lạc. Mặt ngõ kinh doanh sầm uất các mặt hàng. +Xung quanh tiện ích bạt ngàn 5 phút lên trung tâm hồ Hoàn kiếm, gần trường học, trường chợ… +Nhà cũ Chủ xác định bán đất tặng nhà 2 tầng, Chủ mới về xây dựng tòa nhà 5-7 tầng vừa ở vừa kinh doanh thì quá tuyệt vời luôn. +Sổ đỏ vuông đẹp như bao diêm – sẵn sàng giao dịch. +Giá 5.9 tỷ - Có thương lượng Liên hệ: Dung Nguyễn 0989558620 (miễn trung gian), Chuyên nhà đất thổ cư khắp Hà Nội từ 1 - 333 tỷ. Tôi phục vụ khách hàng với tiêu chí giúp người là giúp chính mình, quý chữ tín hơn vàng, vươn tới tầm cao mới. Miễn phí 100% với khách mua, về dẫn đi xem nhà và kể cả giao dịch thành công. (Lưu ý: Khách chủ tự thương lượng giá, bên mua không mất phí, được tư vấn hỗ trợ pháp lý, hợp đồng, sổ đỏ 24/24h). ",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807657.2450447,, 4,,,,
750 triệu VNĐ,Đường Quốc Lộ 18 phường Hiền Ninh, 48m2,"Yên Ninh Hiền Ninh Sóc Sơn. Diện tích 48m2 full thổ cư.MT 6m nở hậu Hướng Đông NamĐường phía trước 5m ô tô tránh nhauKhu vực phía trước cách 30m là đường chính liên xã đi vào UBND Hiền Ninh, giao thương thuận lợi cách 500m ra bờ kênh và 300m tới UBND xã. Lh:0368898638 để đi xem đất miễn phí và đặt cọc",19/08/2022,Tin thường,batdongsan_so_com_vn_1673807659.1270123,, 6,,,,
