price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Số tầng
"2,6 tỷ VNĐ",đường Nam Dư- Hoàng Mai- Hà Nội, 32m2,"*Bán gấp siêu phẩm Nam Dư tầm tiền khó kiếm, vị trí đẹp, ở ngay. 0345752279 *Mô tả: +Diện tích: 32m2, 5 tầng, 4 phòng ngủ. thiết kế hiện đại hợp lý. +Giao thông thuận tiện, gần ô tô tránh, trung tâm thương mại, trường học các cấp,... +Chào giá 2.6 tỷ có thương lượng. +Sổ đỏ đẹp chính chủ, giao dịch nhanh chóng.*Gọi hoặc nhắn tin em Bình để được tư vấn và xem nhà hoàn toàn miễn phí mọi khung giờ! *Không tiếp môi giới.",15/03/2022,Tin thường,batdongsan_so_com_vn_1673830149.1232724,, 4,, 4,, 5
17 tỷ VNĐ,"Trường Chinh, Đống Đa, Hà Nội", 132m2,"Bán nhà phố Trường Chinh, Đống Đa 132m2, 4 tầng, mặt tiền 5m, giá chào 17 tỷ có thương lượng.+ Vị trí trung tâm tiếp giáp Ngã tư Sở, tiện ích ngập tràn. Có thể đi vào từ Lê Trọng Tấn.+ Mặt ngõ oto tránh, ngõ nông thẳng, cách mặt phố Trường Chinh 35M.+ Hiện tại là 3 tầng 1 tum, cầu thang giữa:- Tầng 1: Gara 7 chỗ, khách, WC, bếp & 1 phòng phụ ở cuối.- Tầng 2, 3: Mỗi tầng 2PN, 1WC giữa.- Tầng 4: Sân phơi sau, phòng thờ & sân tiểu cảnh phía trước.+ Pháp lý chuẩn, sổ đỏ nở hậu phong thủy.+ Liên hệ: Mr. Hoan 0877.855.777 Zalo, Viber, Fb ( Hoan Biệt thự, Liền Kề, Mặt Phố, Khách Sạn). Miễn phí xem nhà đến tư vấn pháp lý.+ Fanpage: https://www.facebook.com/Estatebds.vn",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830150.7221124,, 5, 5, 5, 8, 4
"2,43 tỷ VNĐ",Đa Sỹ- Hà Đông, 35m2,"Bán nhà Đa Sỹ, Hà Đông, 35mx4 tầng, ô tô gần, ngõ thoáng, nhỉnh 2 tỷ Cần bán nhà đẹp trung tâm Hà Đông xung quanh chợ lớn Hà Đông, các cơ quan hành chính của Quận, gần các bệnh viện lớn, vài bước chân ra chợ đầu mối 365, bán kính xung quanh đầy đủ tiện ích. Nhà đẹp, ngõ thoáng , ô tô gần,có ngân hàng, siêu thị, chợ, bệnh viện, trường học các cấp... không thiếu thứ gì. Nhà thiết kế phong cách hiện đại, khung cột bê tông chắc chắn, đầy đủ công năng sử dụng , các phòng thoáng sáng, nhà mới chỉ việc xách vali đến ở. Giao thông di chuyển các tuyến phố trung tâm: Phúc La, Mậu Lương, Văn Phú, Tô Hiệu, Bà Triệu,Xa La, Nhuệ Giang, Nguyễn Trãi, Văn Quán... Hàng xóm thân thiện, nơi ở văn minh, môi trường trong lành, chủ là doanh nhân thành đạt, nhà rất có lộc. Giá: 2.43 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830151.7802815,,,,,, 4
"2,45 tỷ VNĐ",Hà Trì- Hà Đông, 35m2,"Nhỉnh 2 tỷ nhà đẹp 35mx 4 tầng, Hà Trì, Hà Đông, ngõ thoáng, ô tô gần Bán nhà vị trí trung tâm giáp Khu đô thị Xa La sầm uất, vài bước ra chợ đầu mối 365, bán kính xung quanh là trường , chợ, bệnh viện, ngân hàng, siêu thị không thiếu thứ gì. Nhà đẹp hiện đại xây tâm huyết khung cột bê tông chắc chắn, phong cách mới thoáng sáng, đầy đủ công năng sử dụng, nội thất xịn. Nhà mới chỉ việc xách vali đến ở. Giao thông vô cùng thuận lợi di chuyển các phố trung tâm: Mậu Lương, Đa Sỹ, Tô Hiệu, Bà Triệu, Văn Quán, Nhuệ Giang, Phùng Hưng,.... Xung quanh đầy đủ tiện nghi, an ninh tuyệt đối, môi trường trong lành, hàng xóm thân thiện, gia chủ thành đạt, khu văn minh đáng sống. Sổ đỏ vuông, pháp lý sạch. Giá: 2.45 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830152.7187722,,,,,, 4
"2,43 tỷ VNĐ",Đa Sỹ- Hà Đông, 35m2,"Bán nhà Đa Sỹ, Hà Đông, 35mx4 tầng, ô tô gần, ngõ thoáng, nhỉnh 2 tỷ Cần bán nhà đẹp trung tâm Hà Đông xung quanh chợ lớn Hà Đông, các cơ quan hành chính của Quận, gần các bệnh viện lớn, vài bước chân ra chợ đầu mối 365, bán kính xung quanh đầy đủ tiện ích. Nhà đẹp, ngõ thoáng , ô tô gần,có ngân hàng, siêu thị, chợ, bệnh viện, trường học các cấp... không thiếu thứ gì. Nhà thiết kế phong cách hiện đại, khung cột bê tông chắc chắn, đầy đủ công năng sử dụng , các phòng thoáng sáng, nhà mới chỉ việc xách vali đến ở. Giao thông di chuyển các tuyến phố trung tâm: Phúc La, Mậu Lương, Văn Phú, Tô Hiệu, Bà Triệu,Xa La, Nhuệ Giang, Nguyễn Trãi, Văn Quán... Hàng xóm thân thiện, nơi ở văn minh, môi trường trong lành, chủ là doanh nhân thành đạt, nhà rất có lộc. Giá: 2.43 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830153.906595,,,,,, 4
"6,05 tỷ VNĐ",Nguyễn Văn Cừ phường Bồ Đề, 53m2,"NGUYỄN VĂN CỪ - Ô TÔ ĐỖ CỬA. + Vị trí vô cùng đắc địa, vài phút ra phố Hồng Tiến, Nguyễn Văn Cừ, Nguyễn Sơn, tiện ích không thiếu thứ gì.+ Ô tô đỗ cửa. Cách nhà chưa đầy 50m có ngay bãi trông giữ ô tô ngày đêm.+ Nhà đẹp được xây dựng vô cùng chắc chắn, mang phong cách biệt thự mini, thoáng trước sau vĩnh viễn.- Tầng 1: Sân để xe, phòng khách, bếp.- Tầng 2,3: Mỗi tầng 2 phòng ngủ thoảng sáng, vệ sinh chung.- Tầng 4: Phòng thờ , phòng ngủ trước và sân phơi phía sau.+ Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Lh: Mai ĐA 0983724773.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830155.1831787,,,,,,
750 triệu VNĐ/m2,"phố Đường Thành, Quận Hoàn Kiếm (gần chợ Hàng Da)", 130.4m2,"Cần bán gấp nhà mặt phố Đường Thành, Quận Hoàn Kiếm (gần chợ Hàng Da)Diện tích: 130,4m2 - Chiều rộng: 5m- Vị trí đẹp, trung tâm phố cổ- Thuận tiện ở, kinh doanhGiá bán: 750 Triệu/m2 - Có thương lượngLiên hệ chính chủ: 0365785334 - Sổ đỏ chính chủ Nguồn:  http://nhadathanoi.net.vn/nha-mat-pho/can-ban-gap-nha-mat-pho-duong-thanh-quan-hoan-kiem-gan-cho-hang-da-3550.html",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830156.261294,,,, 5,,
5 tỷ VNĐ,quang trung hà đông hà nội, 43m2,"PHÂN LÔ QUANG TRUNG - NHÀ ĐẸP DỌN ĐỒ VỀ Ở NGAY - PHÂN KHÚC SIÊU HIẾM CÒN LẠI CỦA HÀ ĐÔNG - ĐƯỜNG TRƯỚC NHÀ 3M. Nhà bán tại ngõ 8 Quang Trung Diện tích 42.6m , nhà  4 tầng mới siêu đẹp Giá bán công khai 5 tỷ + Tuyệt phẩm siêu hiếm với tầm tiền 5 tỷ của Hà Đông, nhà mới tinh tươm, khách hàng dọn đồ về ở ngay. Oto cách nhà 20m, cách 50m ra mặt phố Quang Trung. + Nhà xây thiết kế 4 tầng. + Tầng 1 : Phòng khách, bếp, wc. + Tầng 2,3 : Mỗi tầng 2 phòng ngủ, wc. + Tầng 4: Phòng thờ, sân phơi, kho để đồ. + Sổ đỏ chính chủ, sẵn sàng giao dịch. Khách mua về chỉ cần xách va ly về ở ngay, phù hợp với gia đình trẻ năng động Nhà thiết kế thông minh , tối ưu giá trị tốt nhất . Khách hàng quan tâm vui long liên hệ số máy nóng Hotline 24/7 : 0844 6666 97",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830159.1158664,, 4, 3, 3, 3, 4
15 tỷ VNĐ,"Pháo Đài Láng, Đống Đa, Hà Nội", 50m2,"Bán nhà mặt ngõ 157 Pháo Đài Láng, Đống Đa 50m2, 6 tầng thang máy, giá chào 15 tỷ còn thương lượng.+ Nhà mới, Kinh doanh, Ô tô, Ô Chờ Thang máy, Vỉa hè.+ Nhà xây thiết kế thông sàn, bố trí thang máy tháng bộ, khu vệ sinh.+ Ngõ 157 Pháo Đài Láng kinh doanh sầm uất, ngõ to như phố vỉa hè rộng. Ô tô đỗ ngày đêm.+ Sổ vuông đẹp.+ Liên hệ: Mr. Hoan 0877.855.777 Zalo, Viber, Fb ( Hoan Biệt thự, Liền Kề, Mặt Phố, Khách Sạn). Miễn phí xem nhà đến tư vấn pháp lý.+ Fanpage: https://www.facebook.com/Estatebds.vn",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830163.859007,, 5, 5, 5, 8, 6
"2,55 tỷ VNĐ","286 Nguyễn Xiển, Hà Nội", 75m2,"-    Vị trí đẹp, ngay mặt đường Nguyễn Xiển, tiện ích xung quanh không thiếu gì, có sân nội khu rộng rãi thoáng mát, siêu thị Topmarket, ngân hàng, trường học các cấp,...-    Căn ""hoa hậu"" của chung cư, thiết kế đẹp, thoáng đãng, đầy đủ công năng với 2 phòng ngủ, 2 WC.- Tặng lại nội thất gồm: tủ lạnh, sofa, máy giặt, bàn ghế, giường, máy lạnh,...-    Sổ đỏ chính chủ, sẵn sàng giao dịch.-    Liên hệ chính chủ: 0961678177 (Miễn Môi giới, trung gian).-       Gía đã bao sang tên. ",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830165.0139246,, 2, 2,,,
