price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet
"4,85 tỷ VNĐ","Đống Đa,Hà Nội", 36m2, 5,"+ Nhà nằm ở vị trí trung tâm Đống Đa, lô góc 3 thoáng. + Cực gần đường ô tô, cách 20m. Ngõ ba gác. + Nhà đẹp lung linh, thiết kế hiện đại. Vào xem là mê. + Mô tả: - Tầng 1: Phòng bếp rộng thênh thang. - Tầng 2: Phòng khách, vệ sinh. - Tầng 3, 4: Mỗi tầng 2 phòng ngủ, vệ sinh giữa. - Tầng 5: Phòng thờ sân phơi. + Nhà lô góc 3 thoáng nên ánh sáng tràn ngập, phòng nào cũng có cửa sổ. + Sổ đỏ nở hậu đẹp long lanh. Liên hệ : 0966682624",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833921.5067363, 4, 8,, 3
"5,5 tỷ VNĐ","Đống Đa,Hà Nội", 33m2, 5,"* Mô tả: + Nhà phố Đoàn Thị Điểm, ngõ nông rộng, vài bước chân là ra phố, đầy đủ tiện ích. + Diện tích 33m, MT 3.8m, nhà xây 5 tầng mới đẹp, vị trí lô góc, ánh sáng tự nhiên ngập tràn các phòng. + Thiết kế: - Tầng 1: PK + bếp - Tầng 2+3+4: mỗi tầng 1 PN rộng + WC - Tầng 5: phòng thờ + sân phơi. + Khu vực dân trí cao, an ninh tốt, yên tĩnh, sạch sẽ, ở tuyệt vời. + Sổ đỏ vuông đẹp, chính chủ. + Giá bán 5.5 tỷ. Liên hệ : 0966682624",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833923.8386216, 3, 3,, 3
"5,7 tỷ VNĐ","Đống Đa, Hà Nội", 73m2, 4,"Cần bán trước Tết căn nhà 4 tầng tự xây cẩn thận, chắc chắn. Xách valy vào ở luôn, + Vị trí: Trung tâm quận Đống Đa, đường La Thành, gần Hào Nam, Hoàng Cầu, Giảng Võ. Cách ô tô tránh 30m. + Thông số: 73m x 4 tầng, MT 5.7m. + Thiết kế: Nhà thiết kế đẹp, hợp lý, đầy đủ công năng, cầu thang giữa.  Tổng 4 phòng ngủ. Tầng 1: Để xe + phòng khách + bếp, WC Tầng 2+3: mỗi tầng 2 phòng ngủ, WC. Tầng 4: Phòng thờ + Sân phơi + Giá chào bán nhanh: 5.7 tỷ (giá cần bán nhanh trước Tết). Sau Tết sẽ là giá khác. + Liên hệ anh Đức 0988484701",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833928.3086755, 4, 5, 3, 4
"2,5 tỷ VNĐ","an khánh ,hoài đức", 33m2,,"Nhà nằm vị trí lô góc, thiết kế cực hiện đại, các phòng có rất nhiều cửa sổ thoáng sáng. Nhà mới đẹp, đầy đủ công năng mua về ở ngay. Nhà nằm vị trí đắc địa cách đường ô tô tránh chỉ hơn 20m, ngõ thông. Hưởng trọn tiện ích của KĐT Splendora, Vinhomes Thăng Long. Từ nhà ra cầu vượt An Khánh chỉ mấy trăm mét, tiện đi các hướng Đại lộ Thăng Long, Tây Mỗ, Xuân Phương, Mỹ Đình… Là khu vực có hạ tầng hoàn thiện, đã và đang rất tiềm năng khi Hoài Đức sắp lên quận. Giá chào 2 tỷ 500 triệu (khách đàm phán trực tiếp với chủ). Sổ đẹp cất két, sẵn giao dịch. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư khác 0932382236",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833932.1605651,,,,
"2,8 tỷ VNĐ","mỹ đình ,nam từ liêm", 36m2,,"Nhà cách đường ô tô chỉ 20m, đi Mỹ Đình, Phạm Hùng, Mễ Trì, Lê Đức Thọ, Nguyễn Hoàng, Lê Quang Đạo, Xuân Thủy... chỉ phút mốt. Sát nhà là chợ dân sinh, nhà văn hóa, trường tiểu học và trung học Mỹ Đình, là khu vực dân cư đông đúc, phát triển nhất của quận Nam Từ Liêm, xung quanh tiện ích phong phú không thiếu thứ gì. Diện tích 36m2, từ phố về đến cửa nhà là đường trải nhựa sáng bóng. Nhà có mặt tiền rộng 4m, xây 4 tầng với 4 phòng ngủ rộng rãi đảm bảo công năng sử dụng cho 1 đại gia đình. Giá chào 2 tỷ 800 triệu (khách trực tiếp gặp chủ thương lượng). Sổ đẹp cất két, sẵn giao dịch. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư khác 0932382236",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833934.2733989,,,,
"2,25 tỷ VNĐ","vân canh ,hoài đức", 39m2,,"Đường vào nhà rộng rãi, ô tô đỗ cổng, 100m ra đường vành đai 3,5 thông xe đầu năm 2022. Giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình. Nhà xây 4 tầng rộng rãi được thiết kế hợp lý đầy đủ công năng. Nhà còn có sân để xe riêng biệt sạch sẽ, an toàn tuyệt đối. Nhà nằm trong khu vực dân cư đông đúc, an sinh tuyệt đỉnh khi rất gần trường học, bệnh viện, chợ dân sinh. Tiềm năng cực lớn, đi trước đón đầu khi Hoài Đức sắp lên quận. Giá chào chỉ 2 tỷ 250 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833936.3724787,,,,
"32,5 tỷ VNĐ",KĐT Yên Hòa, 120m2,,"Chủ ra nước ngoài định cư, cần nhượng lại căn liền kề mặt phố Hạ Yên Quyết (khu biệt thự lão thành cách mạng). Gần vườn hoa trung tâm, mặt phố lớn vỉa hè cực rộng. Kinh doanh mọi loại hìnhDiện tích: 120m2 x 2 tầng, mặt tiền 5.2mGiá: 32.5 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)MẶT PHỐ VIP - GIÁ RẺ - TIỀM NĂNG TĂNG GIÁ - KINH DOANH - OTO ĐỖ CỬALiên hệ xem nhà và nhận thông tin chi tiết: 0981367887+ Nhà 2 tầng chủ xác định bán đất. Nhưng hiện đang cho thuê 50 triệu/tháng+ Phố Hạ Yên Quyết là phố mới. Giao nhau với các con phố: Trung Kính, Vũ Phạm, Trung Hoà, Trần Kim Xuyến- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833938.4061942,, 5, 27,
"3,1 tỷ VNĐ","Bán đất KĐT Đồng Mai, Hà Đông - 0933556604", 50m2,,"Bán đất KĐT Đồng Mai, Hà Đông - 0933556604  - Gồm 05 lô đất mỗi lô 50m2 sổ đỏ chính chủ, đường chính:  +LK11-7 khu 1 giá: 3.2 tỷ; +LK23-30 khu 2 giá 3.1 tỷ;  +LK9-34 khu 3 giá 2.85 tỷ.  +LK9-43 khu 4 giá 2.65 tỷ;  +LK5-12 khu4 giá 3.2 tỷ  - Khu an ninh tốt, giao thông thuận tiện, dân trí cao - Gần trường, gần chợ, gần các tiện ích xung quanh  Liên hệ: Trần Tuấn Khanh- 0933556604       http://www.sanbatdongsanviet.com.vn",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833940.6970553,,,,
"16,5 tỷ VNĐ","P.Thái Hà, Q.Đống Đa, TP Hà Nội", 45m2, 8,"CẦN BÁN NHÀ ĐẸP 102- PHÂN LÔ- GARA-VĂN PHÒNG & Ở - THANG MÁY- LÕI ĐỐNG ĐA- XEM LÀ CHỐT*** Mô tả:- Diện tích: 45 m x 8 tầng. MT: 4,4m.- Vị trí: trung tâm phố Thái Hà, ngõ rộng 2 ô tô tránh. Cách mặt phố khoảng 50m.- Toà nhà chủ xây 8 tầng cực kỳ tâm huyết và hiện đại, khách bước chân vào là mê. Thực sự không có điểm để chê.- Công năng vừa ở, vừa làm văn phòng công ty rất hợp lý. Có thể nói căn nhà là Gà đẻ trứng vàng cho gia chủ.- Nội thất chủ trang bị đầy đủ điều hoà âm trần, nóng lạnh, thiết bị bếp, thang máy chạy vù vù. Tất cả đều là hàng nhập vô cùng xịn xò và đẳng cấp.- Sổ phân lô, nhà đẹp chờ giao dịch.- Giá: 16,5 tỷ (có thương lượng).- Liên hệ xem nhà và tư vấn MP: Ms Hạnh (1977): 0986116707.",27/09/2021,Tin thường,batdongsan_so_com_vn_1673833942.7887616,, 4,,
"2,5 tỷ VNĐ","Ngô Thì Sỹ, Vạn Phúc", 35m2, 5,"+ Cần bán nhà tại phố Ngô Thì Sỹ quận Hà Đông diện tích 35m2, 5 tầng gần trường mầm nom, tiểu học Vạn Phúc, gần GoldSilk Vạn Phúc, gần chợ, bệnh viện, bưu điện Hà Đông.+ Ôtô vào nhà cách vài bước chân, dân trí cao, an ninh tốt.+ Nhà xây 5 tầng khung cột bê tông rất chắc chắn, 3 mặt thoáng, 4 ngủ, 4WC.+ Sổ đỏ chính chủ, sẵn sàn giao dịch. + Giá nhỉnh 2,5 tỷ, ưu tiên khách thiện chí mua có thể “Thương lượng”. + Liên hệ tôi Mr Hiển 0866485199 xem nhà trực tiếp hoàn toàn miễn phí.",31/12/2021,Tin thường,batdongsan_so_com_vn_1673833944.9767725, 4, 3,, 4
