price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Hướng,Số phòng ngủ,Số toilet
3 tỷ VNĐ,au co tay ho ha noi tay ho, 42m2,,"Siêu hiếm chủ cần tiền bán nhà gấp LÔ GÓC 42m x 5 tầng, Mặt tiền 6m.+ 5m ra phố Âu Cơ, ngõ to rộng.+ vị trí giao thông huyết mạch quận Tây Hồ, gần phố đi bộ Trịnh Công Sơn, ngay gần tòa Lotteria đang hoàn thiện, kết nối Lạc Long Quân, Xuân La còn hướng kia kéo dài ra Nghi Tàm, An Dương đi các quận lân cận như Cầu Giấy, Hoàn Kiếm, Long Biên.+ LÔ GÓC 3 thoáng thiết kế thông sàn, tặng full nội thất. + Sổ đỏ sẵn sàng sang tên.giá 3 tỷ nhỏ không thể có căn đẹp hơn.- Liên hệ : tôi : Nhung 0963401959.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786126.3711739, 6, 6,, 4, 4
"2,5 tỷ VNĐ","Đường Bồ Đề, Bồ Đề, Long Biên", 30m2, 3,"Diện tích: 30m², 5 tầng.- Mặt tiền: 6.3m.+ Nằm ở vị trí trung tâm quận Long Biên, sầm uất, phát triển.+ Cách cầu Chương Dương 500m, nằm giữa 2 bệnh viện Quốc Tế lớn Bắc Hà, Tâm Anh. 50m ra mặt phố Nguyễn Văn Cừ.+ Xây dựng khung cột bê tông kiên cố, chắn chắn. Thiết kế sang trọng hiện đại, đầy đủ công năng sử dụng. Chủ để lại toàn bộ nội thất cao cấp bằng gỗ, chủ mới chỉ việc xách vali về ở.+ Khu dân trí cao, an ninh tốt, tiện ích khỏi bàn. Căn nhà đang cực hot vì vị trí quá đẹp giá lại vô cùng tốt, chủ mua đầu tư hay ở đều sinh lãi mạnh.- Sổ đỏ chính chủ, pháp lý sạch sẽ. Sẵn sàng giao dịch. LH : 0983116268",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786127.4362786, 6, 2,, 2,
"2,7 tỷ VNĐ","Đường Lê Trọng Tấn, Dương Nội, Hà Đông", 117m2, 1,"
    Gia đình tôi chuyển công tác nên cần bán gấp căn hộ CT8 Dương Nội, diện tích 117m2 căn góc thiết kế 3 phòng ngủ, 2WC, 2 ban công, 1 phòng khách rộng, khu bếp.
Nhà đã hoàn thiện full nội thất: sàn gỗ, tủ bếp, bếp từ, hút mùi, nóng lạnh, điều hòa , ti vi, tủ lạnh, máy giặt, mành rèm, giường, tủ quần áo, sofa, tủ giầy, thiết bị vệ sinh cao cấp
Giá bán: 2,x tỷ. sổ đỏ chính chủ
 Liên hệ: Mr. Lập để được tư vấn miễn phí 0975.82.92.66
 

",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786128.3069494,,,,,
25 tỷ VNĐ,"Đường Ái Mộ, Bồ Đề, Long Biên", 166m2, 8,"Bán tòa nhà văn phòng 7 tầng thang máy Phố Ái Mộ, Phường Bồ Đề, quận Long Biên. Đường trước nhà rộng thênh thang, vỉa hè đá bóng, kinh doanh đa dạng, làm siêu thị tuyệt đỉnh, căn hộ đẳng cấp. Diện tích: 166m, 7 tầng, mặt tiền 11m, giá chào 25 tỷ. + Tòa nhà 7 tầng, lô góc, thang máy, gara ô tô, khung cột bê tông chắc chắn, gồm 8 căn hộ 2 phòng ngủ cho thuê, tầng 1,2 cho thuê văn phòng và siêu thị, gara ô tô xe máy riêng, lô góc thoáng sáng, trang bị nội thất cao cấp. + Xây dựng 100m2 tầng 1, từ tầng 2 xây dựng 125m2. + Doanh thu hàng tỷ đồng 1 năm. + Sổ đỏ chuẩn chỉ, siêu đẹp, chủ thiện chí bán. Liên hệ Mrs Thúy để xem miễn phí.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786129.3621674, 11, 7,, 6, 6
,"Đường Trần Duy Hưng, Trung Hòa, Cầu Giấy", 110m2, 11,"MỪNG BÀN THẮNG CỦA THẦN TƯỢNG CR7 TRONG CHIẾN THẮNG GHANA WC2022 BÁN NHÀ 8 TẦNG, CÓ HẦM - Ô TÔ TRẦN DUY HƯNG CẦU GIẤY HÀ NỘI 110m 33 TỶ TRẦN DUY HƯNG CẦU GIẤY HN  XEM XONG TRẬN BỒ ĐÀO NHA-GHANA QUYẾT ĐỊNH BÁN NHÀ 8 TẦNG VĂN PHÒNG KẾT HỢP Ở TẠI CON PHỐ NĂNG ĐỘNG NHẤT CẦU GIẤY. NHÀ MỚI, GIA CHỦ XÂY CẨN THẬN, 8 TẦNG THANG MÁY NHẬP KHẨU, CÁCH 30m TỚI BÃI GỬI Ô TÔ HÀNG TRĂM CHẾC.GẦN TRUNG TÂM THƯƠNG MẠI BIG C, TRƯỜNG AMSTERDAM, CÔNG VIÊN THANH XUÂN VÀ NGÀN TIỆN ÍCH KHÁC. DIỆN TÍCH: 110m GIÁ: 33 TỶ LIÊN HỆ: LIÊN HỆ: 0973879707 (XIN VUI LÒNG GỌI TRỰC TIẾP)",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786130.3735123, 5, 8,, 8, 8
3 tỷ VNĐ,Trương Định, 45m2,,"Bán lô đất HIẾM còn sót lại Phố Trương Định, Hoàng Mai - cách mặt phố 10m - lô góc, chỉ 3 tỷ. - Diện tích 45m², mặt tiền 5m, lô góc 2 thoáng.- Cách mặt phố Trương Định 10m 2 Ô tô tránh.- Vị trí nằm trên phố Trương Định, Hoàng Mai, hàng xóm chung cư Nam Đô. Gần bến xe Giáp Bát, bến xe Nước Ngầm, trục đường Giải Phóng.- Đầu tư giữ tiền cực tốt, hoặc xây nhà ở cũng rất thuận tiện.- Sổ đỏ cất két, sẵn sàng giao dịch.LH: 0986 270 765 (Mr Vượng) để được biết thông tin chi tiết.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786131.3349385,,,,,
"3,4 tỷ VNĐ",Phú diễn, 40m2, 3,"BÁN NHÀ PHÚ DIỄN, BẮC TỪ LIÊM- GẦN Ô TÔ- NHÀ DÂN- Ở NGAY- 0345752279 Vị trí gần trường học các cấp, tiềm năng lớn khi đường Hoàng Quốc Việt kéo dài và ga Phú Diễn khởi công. Giao thông các tuyến: Đức Diễn, Văn Tiến Dũng, Cầu diễn, đại học Tài nguyên Môi trường,… Nhà dân xây, khung cột bê tông, hiện trạng 4 tầng, 3 phòng, có thể lên thêm tầng. Sổ đỏ chính chủ sẵn sàng giao dịch. Cam kết thông tin chính xác 100% Gọi ngay cho tôi 24/24 để được tư vấn và xem nhà hoàn toàn miễn phí.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786132.5317364, 4, 4,, 3,
"5,2 tỷ VNĐ","Đường chùa láng, Láng Thượng, Đống Đa", 41m2, 3,"
    

 

PHÂN LÔ_ 2 MẶT NGÕ _ OTO TRƯỚC NHÀ _ SAU NHÀ BA GÁC _ FULL NỘI THÂT _ ĐẸP Ở NGAY_ CỰC CỰC HIẾM

+Vị trí thì đẹp cực kì, 2 mặt ngõ thoáng, trước nhà oto , Sau nhà Ba gác tránh xe. View thoáng vĩnh viễn, Gió lùa lưu thông.
+ Khu vực bên ngoài sầm uất giao thương, Bên trong yên tĩnh, an ninh tuyệt vời.
+ Ngôi nhà đẳng cấp 5sao, khung cột nội thất long lanh sáng bừng.
+ Sổ đỏ tuyệt sắc giai nhân, Chủ thiện chí bán gia lộc phát tài.

Liên Hệ em  Nguyễn Thu, chỉ chuyên nhà đẹp nội đô Hà Thành - 038.888.4252
",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786133.510123,, 5,, 3,
"5,68 tỷ VNĐ","Đường Lê Trọng Tấn, La Khê, Hà Đông", 60m2, 3,"
    
Bán Nhà Phân Lô Lê Trong Tấn Hà Đông 60m2 - 4 Tầng - 5 Tỷ X - Kinh Doanh - Oto Đỗ Cửa
+ Vị trí siêu đẹp, nhà 2 mặt ngõ thoáng trước sau, kinh doanh văn phòng rất tốt.

+ Tiện ích ngập tràn 15m ra mặt phố Lê Trọng Tấn, giao thông cực thuận tiện.

+ Thiết kế: 4 Tầng khung cột bê tông chủ tự xây cực chắn chắn.
+ Sổ đỏ phân lô sẵn sàng giao dịch.
+ Liên Hệ Mr Bình: 0984*913*088
",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786134.5662935,, 4,, 5, 4
"3,75 tỷ VNĐ","Đường Khương Đình, Hạ Đình, Thanh Xuân", 48m2, 3,"
    
Bán Nhà Ngã Tư Sở - Thanh Xuân 48m2 - 3 Tầng - Mặt tiền 6m- Nhà Đẹp 2 Mặt Thoáng Đón Tết
+ Vị trí gần ngay Ngã Tư Sở vô vàn tiện ích
+ Nhà xây chắc chắn thiết kế 3 tầng có 2 mặt thoáng, hiện đang cho thuê 10tr/ tháng
+ Liên hệ Mr Bình: 0984*913*088
+ Giá 3 Tỷ X
",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786135.6713371, 6, 3,, 4, 3
