price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số tầng,Lộ giới,Số phòng ngủ,Số toilet
"9,9 tỷ VNĐ",KĐT Văn Khê, 83m2,"LIỀN KỀ MỚI ĐẸP - VỊ TRÍ ĐỈNH - Ô TÔ TRÁNH, VỈA HÈ RỘNG - KINH DOANH - VĂN PHÒNG + Chính chủ nhờ bán nhà tại LK KĐT Văn Khê, Hà Đông. Diện tích 83m, nhà 4 tầng, mặt tiền rộng 5m, giá 9 tỷ 9 + Vị trí cực đẹp rất thoáng nằm sát lô góc, cách mặt đường Tố Hữu chỉ 50m. Trước nhà vỉa hè rộng đường contener tránh. Nhà ngay cạnh 1 loạt chung cư, khu vực dân cư rất sầm uất, vị trí kinh doanh tốt. + Khu vực phát triển cực nhanh, xung quanh tiện ích vô vàn nằm đối diện KĐT Dương Nội, 5phút ra Hồ Thiên Văn Học, TTTM Aeon Mall, hệ thống trường các cấp rất nhiều. Giao thông rất thuận tiện vài bước chân ra Bus BRT, gần Ngô Thị Nhậm, Lê Quang Đạo kéo dài... + Nhà chủ mới hoàn thiện được 3 năm rất mới, chủ làm kiến trúc thiết kế rất đẹp, xây gần full diện tích, giếng trời sáng thoáng. - Tầng 1: Thông sàn - Tầng 2: Phòng khách, bếp. - Tầng 3, 4: Mỗi tầng 2 phòng. + Sổ đỏ chính chủ, vuông vắn, giao dịch ngay. + Giá chào 9 tỷ 9 có thương lượng. + Liên hệ: Mr.Hiển 0902.08.31.39 ",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834528.6950011,, 5, 4,, 4, 4
"5,7 tỷ VNĐ","Lê Trọng Tấn, phường Khương Mai, quận Thanh Xuân, Hà Nội.", 47m2,"BÁN NHÀ LÊ TRỌNG TẤN, THÔNG SỐ VÀNG, NHÀ 5 TẦNG, LÔ GÓC, Ô TÔ ĐỖ GẦN, ĐẸP LONG LANH, GIÁ 5.7 TỶ.- Diện tích: 47m2 x 5 tầng, mặt tiền 4m, 4 phòng ngủ, giá 5.7 tỷ.- Sổ đỏ đẹp, sẵn sàng giao dịch, (có thương lượng).- Chi tiết liên hệ chị Yến ĐT, Zalo.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834532.7964683,,,,,,
"10,6 tỷ VNĐ","An Hưng, Hà đông.", 90m2,"Bán nhanh nhà 5 tầng, SĐCC 90m, gara ô tô, đô thị An Hưng, hà đông buôn bán rất tốt 10.6 tỷTôi cần bán nhanh căn liền kề khu đô thị An hưng, Hà đông 5 tầng, SĐCC 90m, hoàn thiện đẹp, trang bị nội thất hiện đại, tầng 1 kinh doanh, nhà có 3 phòng ngủ 4 vệ sinh đường 3 ô tải chánh, vỉa hè rộng. nhà cách đường Tố hữ 100m, cách Bưu điện Hà đông 2 km ngay chợ dân sinh nhà điểm kinh doanh tốt, gần trung tâm thương mại, . Giá B 10.6 tỷ có thương lượng LH A Lê 0982926694.",17/04/2021,Tin thường,batdongsan_so_com_vn_1673834534.8918912, Đông nam, 5, 5, 24, 4, 4
"7,1 tỷ VNĐ",văn khê hà đông hà nội, 50m2,"Bán gấp nhà liền kề 5 tầng xây dựng 2019 đô thị văn khê, hà đông SĐCC 50m2 đường 14m, ga ra ô tô 7,1 tỷ Tôi cần bán căn nhà liền kề, văn khê hà đông 5 tầng, SĐCC 50 m2; xây dựng 2019; Thiết kế đẹp, xây dựng kiên cố, trang bị nội thất hiện đại, tầng 1 ga ra ô tô trong nhà, phòng ăn, bếp cầu thang gỗ; tầng 2,3,4,5 nhà có 4 phòng ngủ , phòng khách, phòng thờ, sân phơi 4 phòng vệ sinh nhà hướng đông nam, mặt tiền 5m, đường 14m, vỉa hè rộng; Nhà trong khu đô thị văn khê hà đông dân cư có dân trí cao, an ninh bảo đảm tốt, phía trước vườn hoa rất thoáng, gần trung tâm thương mại siêu thị, aeon hà đông 2 km, cách đường Tố Hữu 200m gần chợ, bệnh viện lớn, trường học giá bán 7,1 tỷ có thương lượng liên hệ A Lê: 0982926694. ",14/07/2021,Tin thường,batdongsan_so_com_vn_1673834537.465877, Đông nam, 5, 5, 14, 4, 4
16 triệu VNĐ/m2,"Chính chủ bán lô đất tại Thôn Đại Lộ, xã Ninh Sở, Thường Tín, 16tr/m2; 0966842250", 779m2,"Chính chủ bán lô đất tại Thôn Đại Lộ, xã Ninh Sở, Thường Tín, 16tr/m2; 0966842250 Cơ hội đầu tư sinh lời không thể bỏ lỡ cho các nhà đầu tư.- Diện tích: 779m2.- Vị trí lô đất đẹp, giao thông thuận tiện.- Ngõ rộng 3m ô tô đỗ cửa thoải mái, ngõ cách đường lớn 10m.- Pháp lý rõ ràng, sổ đỏ đất ao có thể chuyển đổi sang đất thổ cư.- Có thể xây lên lam xưởng cho thuê, bên cạnh là một xưởng lam kính đá. - Giá: 16 triệu/m2 ( Có thương lượng)- Liên hệ số điện thoại hoặc zalo số: 0966842250  (KHÔNG QUA TRUNG GIAN)            http://www.sanbatdongsanviet.com.vn",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834539.425795,,,,,,
"2,78 tỷ VNĐ",Hà Cầu- Hà Đông, 41m2,"HOT! Hà Cầu, Hà Đông, ngõ thông, ô tô gần, 41mx4 tầng nhỉnh 2 tỷ - Vị trí: Phố Hà Cầu quận Hà Đông nơi giao thoa nhiều tuyến phố quan trọng: Quang Trung, Lê Lợi, Bà Triệu, Đa Sỹ, Mậu Lương, Xa La, ... nằm trên trục chính di chuyển thuận lợi. - Tiện ích: gần nhà có đầy đủ tiện ích xã hội như: chợ, siêu thị,  bãi xe, chợ dân sinh, ngân hàng, trường học các cấp, bệnh viện, sân bóng.... Nhà nằm lô góc, ánh sáng ngập tràn. - Nhà được thiết kế hiện đại chuẩn công năng sử dụng gần phố các phòng thoáng mát, khu hiếm nhà bán, an ninh tuyệt đối. - Giá chỉ có 2.78 tỷ ( có thương lượng) cho một căn nhà 4 tầng siêu đẹp diện tích 41m trung tâm quận Hà Đông. - Sổ đỏ vuông, pháp lý sạch. - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834541.5931485,,, 4,,,
"6,33 tỷ VNĐ",Chiến Thắng- Hà Đông, 61m2,"Nhỉnh 6 tỷ nhà đẹp gara ô tô, ngõ thông, Chiến Thắng, Hà Đông, 61m2, dân xây Phố Chiến Thắng nổi tiếng một trong những nơi đáng sống bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, môi trường trong lành, tiện ích ngút ngàn: Siêu thị, chợ, trường học các cấp, trục chính di chuyển thuận lợi:, Văn Quán, Vạn Phúc, Mỗ Lao,Nguyễn Khuyến, Ao Sen, Trần Phú, An Hòa, Nguyễn Văn Trỗi... Nhà được xây dựng trên mảnh đất đẹp, vượng khí tài lộc, gia chủ làm ăn rất phất, nhiều nhà nay bán bớt để mở rộng kinh doanh. Nhà có gara ô tô, ngõ thông tứ tung, các phòng đẹp thoáng sáng. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.33 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834543.8162322,,,,,,
"6,4 tỷ VNĐ",Thanh Bình- Hà Đông, 63m2,"SIÊU PHẨM trung tâm Quận Hà Đông, ô tô, ngõ thông, nội thất Xịn, 63m2, nhỉnh 6 tỷ, nở hậu Người thân gửi bán nhà đẹp nằm vị trí đắc địa trung tâm nơi đáng sống bậc nhất Quận Hà Đông Thanh Bình, Hà Đông, ngõ thông muôn nơi, gần hồ, gần chợ, nhiều tiện ích xung quanh. Giao thông thuận lợi thông: Văn Quán, Quang Trung, Yết Kiêu, Chiến Thắng, An Hòa, Ao Sen, Vạn Phúc, ...xung quanh các trường đại học lớn, siêu thị Coop mark, Big C , ngân hàng, trường học các cấp tư nhân đến quốc tế. Nhà thiết kế khung cột chắc chắn, khu hiếm nhà bán ra căn nào hết căn đó, các phòng mở cửa sổ thoáng sáng, vài bước ra phố ô tô tránh. Giá: 6.4 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834546.1104388,,,,,,
"6,35 tỷ VNĐ",Ngô Thì Nhậm- Hà Đông, 62m2,"Chính chủ bán nhà đẹp Ngô Thì Nhậm, Hà Đông, nở hậu, ô tô tránh, 62m2, nhỉnh 6 tỷ Ngô Thì Nhậm, Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành, dân trí cao quan chức về đây tụ họp rất nhiều như quần long tụ tụ, gần chợ Bông Đỏ, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp mới toanh chủ tự thuê thiết kế, phong cách Châu Âu hiện đại, nội thất xịn đẳng cấp, khu vực rất hiếm nhà bán, không có căn thứ 2, các phòng thoáng sáng đầy đủ công năng, vài bước chân ra phố ô tô tránh. Giao thông thuận lợi di chuyển các phố: Ngô Quyền, Quang Trung, Lê Trọng Tấn, Vạn Phúc, Phan Đình Giót, Nguyễn Viết Xuân,...gần gas Cát Linh, bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.35 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834548.2666821,,,,,,
"6,4 tỷ VNĐ",Thanh Bình- Hà Đông, 63m2,"SIÊU PHẨM trung tâm Quận Hà Đông, ô tô, ngõ thông, nội thất Xịn, 63m2, nhỉnh 6 tỷ, nở hậu Người thân gửi bán nhà đẹp nằm vị trí đắc địa trung tâm nơi đáng sống bậc nhất Quận Hà Đông Thanh Bình, Hà Đông, ngõ thông muôn nơi, gần hồ, gần chợ, nhiều tiện ích xung quanh. Giao thông thuận lợi thông: Văn Quán, Quang Trung, Yết Kiêu, Chiến Thắng, An Hòa, Ao Sen, Vạn Phúc, ...xung quanh các trường đại học lớn, siêu thị Coop mark, Big C , ngân hàng, trường học các cấp tư nhân đến quốc tế. Nhà thiết kế khung cột chắc chắn, khu hiếm nhà bán ra căn nào hết căn đó, các phòng mở cửa sổ thoáng sáng, vài bước ra phố ô tô tránh. Giá: 6.4 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834549.8016448,,,,,,
