price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới,Hướng
20 tỷ VNĐ,Hà Nội, 91m2,,"Bán gấp nhà Nguyễn Chí Thanh, phân lô vỉa hè, ô tô tránh, thang máy - LH: 0856 968 656.Diện tích 91m2, 8 tầng, chỉ 20 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. - Một căn duy nhất tại khu lõi Hà Nội, phân lô kinh doanh sầm uất, đường rộng vỉa hè, ô tô tải đua. - Khu vực cực kì phát triển, tiềm năng cực lớn, ngay trung tâm thủ đô. - Khu vực dân trí cao, an ninh tốt, vài bước chân ra trường học các cấp, chợ... - Nhà xây cực kì chắc chắn, thiết kế hiện đại, phù hợp vừa ở vừa làm văn phòng, siêu thị, nhà hàng... - Diện tích 91m2, 8 tầng, thang máy nhập khẩu cực xịn. - Sổ phân lô, vuông đẹp, sẵn sàng giao dịch. - Giá chào chỉ 20 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ: Bình thổ cư 0856 968 656 ngay để đi xem hàng trăm căn nhà cùng phân khúc trong khu vực.",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831982.428299,,,,,
"15,2 tỷ VNĐ",Hà Nội, 68m2,,"Cần bán gấp nhà phân lô, ô tô, vỉa hè, thang máy, kinh doanh đỉnh phố Nguyễn Phúc Lai, quận Đống Đa - LH: 0856 968 656. Sổ đỏ 68m2, 6 tầng, mặt tiền 6m vuông vắn hiện đại vào ở ngay có thang máy và ttrang bị toàn bộ nội thất cao cấp.Thiết kế:Tầng 1: Làm gara ô tô và để nhiều xe máy.Tầng 2, 3, 4, 5: Là các phòng đẹp tối ưu công năng. Tầng 6: Là phòng thờ sân phơi, vườn hoa.Nhà nằm gần phố ngõ rộng 7 chỗ tránh, vào nhà thoải mái có thể vừa ở vừa làm văn phòng công ty, kinh doanh các loại hình...Sổ đỏ chính chủ, pháp lý rõ ràng giao dịch nhanh chóng.Giá chào chỉ 15.2 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.LH: 0856 968 656.Mr. Bình chuyên gia nhà dòng tiền.",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831984.3903806,,,,,
"3,6 tỷ VNĐ","số 56 ngách 98 ngõ Thịnh Hào 3, Phường Hàng Bột, Quận Đống Đa", 58m2, 3,"Chính chủ bán nhà số 56 ngách 98 ngõ Thịnh Hào 3, Phường Hàng Bột, Quận Đống ĐaDiện tích: 58m2 x 2,5 tầng - Mặt tiền: 5,18m - Hướng Đông Bắc- Nhà xây 2 tầng 1 tum kiên cố, thiết kế hợp lý- Vị trí giao thông thuận tiện+ Cách 150m ra đường Tôn Đức Thắng, đường trước cửa 2m-2,5m sau nhà nhìn ra trường PTTH Thịnh Hào rất thoáng- An ninh rất tốt. Dân trí cao, thân thiệnGiá bán: 3,6 tỷ - Có thương lượng - - Sổ đỏ chính chủLiên hệ chính chủ:  0913095408 - Miễn TG, MG làm phiền   Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-so-56-ngach-98-ngo-thinh-hao-3-phuong-hang-bot-quan-dong-da-3514.html",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831986.452898, 5,,,, Đông bắc
"1,55 tỷ VNĐ",Thanh Nhàn - Hà Nội, 25m2,,"Vị trí cực đẹp ngay ngã tư Thanh Nhàn – Bạch Mai – Lê Thanh Nghị trung tâm của các trung tâm thuận tiện di chuyển đi mọi ngả Ngõ thông hè thoáng, đường vào nhà xe ba gác cực kỳ  thuận tiện cho đi lại.+ Thiết kế nhà kiên cố chắc chắn là tâm huyết thời trẻ của gia chủ về ở luôn thoải mái+ Khu vực đông đúc nhộn nhịp người qua lại, gần hồ, Trường cấp 1, cấp 2, an ninh đảm bảo.Gần các trường lớn như Đại hoc Bách Khoa, Xây Dựng, Kinh tế quốc dân….+ Sổ đẹp vuông đét pháp lý chuẩn.+ Giá chào 1.55 tỷ  Chi tiết LH: em Nhật 0977.194.820  (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",16/02/2022,Tin thường,batdongsan_so_com_vn_1673831987.7923954,,,,,
4 tỷ VNĐ,"Trâu quỳ , gia lâm , hà nội", 34m2,,"Nhà tái định cư 4 tầng chỉ 4ty , vị trí đẹp nhất Gia Lâm . Lh ; 0981752669.+ 34,2m mặt tiền 3m + Đường trước nhà 13m cả vỉa hè 2m , oto 24 chỗ chạy qua thoải mái , vị trí đẹp nhất quận+ Gần đường lớn , giao thông sầm uất + 20m sang dự án liền kề metro politan , 50m ra con đường chạy song song quốc lộ 5 lên Long Biên+ 300m tới bệnh viện quận Gia Lâm , 400m ra trung tâm hành chính quận , cạnh nhà văn hóa quận Gia Lâm + Gần các dự án lớn như Euro window , chung cư blue star , gần trường học , đại học , khu sinh viên , hàng quán tập trung+ Chỉ 4ty , giá đưa ra là giá chốt , không đàm phán , sổ đỏ sẵn sàngLiên hệ : 0981752669 em Vĩ xem đất miễn phí , giá cả hợp lí .",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831988.9103618, 3,,, 3,
"12,5 tỷ VNĐ","Ngõ 34 Xuân La, thông Võ Chí Công,Tây Hồ", 100m2, 3,"Chính chủ cần bán nhà trên đất 100m2 sổ đỏ. Ngõ 34 Xuân La, thông Võ Chí Công,Tây HồDiện tích: 100m2 - Mặt Tiền: 10m Ô tô 5 chỗ vào tốt.- Nhà xây tường đôi 2,5 tầng kiểu bán biệt thự, góc ngõ hướng Đông Nam-Tây Nam, hướng gió Hồ Tây mát mẻ- Nhà có sân 20m, chỉ cần sửa chút là thành biệt thự oto vào nhà. Đang chuẩn bị làm đường nhựa 10m có vỉa hè nối thẳng từ ngõ 38 Xuân La sang Võ Chí Công, kết nối với ngõ 36 kéo dài thành ngã ba, khi xong đường nhà sát ngay ngã ba phố- Vị trí đẹp, gần ngay ngã tư Võ Chí Công-Xuân La, gần Hồ Tây, khu Ngoại giao Đoàn, cầu Nhật Tân; rất thuận lợi vào phố trung tâm, đi sân bay. Nhà có sân 20m, chỉ cần sửa chút là thành biệt thự oto vào nhà- Giá bán: 12,5 tỷ - Có thương lượng mạnh cho người mua nhiệt tình. Miễn trung gian, MG.- Do còn bận công tác cơ quan nên ai mua xin nhắn tin trước khi gọi ĐT. Tôi sẽ gọi lại khi không bậnLiên hệ: 0949881715 Nguồn:  http://nhadathanoi.net.vn/dat-tho-cu/chinh-chu-can-ban-nha-tren-dat-100m2-so-do-ngo-34-xuan-la-thong-vo-chi-cong-tay-ho-3513.html",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831989.952574, 10,,,,
"2,3 tỷ VNĐ",Ngõ Tôn Đức Thắng, 31m2, 4,"+ Nhà 4 tầng, mỗi tầng đều có bếp + WC, trước cho thuê được hơn 10 triệu mỗi tháng.+ Hiện sổ đỏ là 25m2, chủ mua thêm phần  đối diện 6.8m2, đang nộp hồ sơ làm lại sổ. Khách mới về chỉ việc nộp tiền thuế là có thêm 6.8 m2 sổ đỏ.+ Nhà có hai cầu thang: một cái trong nhà chính từ T1 lên T2; một cái ở phần 6.8 m2 mua thêm từ T1 lên T4.+ Từ T2 diện tích sử dụng bao cả ngõ nên nhà thêm được 5 m2 nữa. Nếu xây kín là được tổng 37m2. + Trước sau nhà đều thoáng sáng, cửa mở thoải mái.+ Nhà trong ngách thông 2 ngõ lớn của phố Tôn Đức Thắng đi vài bước là ra hồ Văn Chương.+ Sổ đỏ chính chủ, pháp lý rõ ràng, liên hệ anh Tùng 0904854658 (sđt dùng cho facebook, zalo, viber, whatsapp.. whatever!)",11/02/2022,Tin thường,batdongsan_so_com_vn_1673831991.257084, 5, 2, 3,,
"6,8 tỷ VNĐ",quận Cầu Giấy- Hà Nội, 47m2, 5,"
    
Chính chủ giao Bán nhà Hoàng Quốc Việt 👉ô tô vào nhà👈 👉tặng nội thất Thiên tỷ👈.DT 47 m 5T 6.8 tỷ. Anh chị em quan tâm liên hệ em Nguyệt số 037 269 1055❤ để được Xem nhà miễn phí ❤hỗ trợ vay vốn ngân hàng 👉lưu ý gọi điện trực tiếp không chat với mình vì mình rất ít thời gian online✍✍✍


 

",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831992.371105,,,,,
"6,2 tỷ VNĐ",quận Cầu Giấy - Hà Nội, 58m2,,"🌸🌸🌸Để được phát lộc💯% năm 2022,Nhanh tay sở hữu chung cư mini Xuân Thủy Cầu Giấy ,DT 58m2,5 tầng ,MT 4.3m ,6.2 tỷ. Dòng tiền siêu khủng 540 triệu/năm. Chung cư mi ni Xuân Thủy ,9 phòng khép kín ,🌹dòng tiền 540 triệu/ năm 🌹,1 bước ra phố, ngõ nông, thông rộng, tiện ích mọi thứ. ACE quan tâm liên hệ em Nguyệt số : 037 269 1055 . Để được xem nhà miễn phí 👉 ( ACE lưu ý giúp mình 💙💙💙quan tâm gọi điện trực tiếp cho mình nhé) 👈 vì mình rất ít online. 🤝🤝🤝",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831993.320564,,,,,
"2,53 tỷ VNĐ",Hà Cầu- Hà Đông, 37m2, 5," HOT! Nhỉnh 2 tỷ, Hà Cầu, Hà Đông, ô tô gần, ngõ thoáng, 37mx 5 tầng Do nhu cầu mở rộng kinh doanh nhà xưởng cần bán gấp nhà để mua trang thiết bị máy móc, nhà nằm vị trí trung tâm quận Hà Đông, giao thông vô cùng thuận lợi đi các hướng: Văn Quán, Phùng Hưng, Yên Xá, Xa La, Đa Sỹ, Tô Hiệu, Bà Triệu. Xung quanh là các bệnh viện lớn, an sinh đỉnh nhất khu vực. Chủ nhà xây tâm huyết, khung cột chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ phòng ốc sử dụng, nhà rất đẹp nội thất xịn. Ngõ thoáng rộng, rất gần ô tô. Xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, chợ, siêu thị, trung tâm mua sắm,..vài bước chân ra phố hưởng trọn nhiều lợi ích, khu ít nhà bán, dân cư văn minh, nơi ở trong lành. Sổ đỏ vuông, pháp lý sạch. Giá: 2.53 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831994.3139067,,,,,
