price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"4,6 tỷ VNĐ","Phố Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội", 35m2,"+ Gần cầu Khương Đình, gần ngã tư Sở, đường Kim Giang, Vũ Tông Phan, Khương Hạ....+ Nhà thiết kế 5 tầng, khung cột bê tông chắc chắn, khách chỉ việc sách vali về ở.+ Sổ đỏ vuông đẹp, chính chủ.+ Liên hệ Phương Nam : 0386.702.912.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815012.394868,, 5,,,
8 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 83m2,GẤP GẤP Bán nhà CÓ THẬT ở ngay Ngọc Lâm Long Biên thông Nguyễn Văn Cừ.+ Diện tích 83m2 xây khung cột chắc chắn móng 7 tầng có thể lắp thang máy hiện đại.+ Mặt tiền 6M Ôtô vào nhà không sợ va quệt.+ Đường trước nhà thông làm ăn có lộc.+ Chủ mới tráng lại nước sơn sửa nhẹ là bán có lời ngay.+ Sổ đỏ pháp lý đầy đủ sẵn sàng giao dịch mua là có lợi ngay đôi tỷGọi E Thu 0916488589 làm việc trực tiếp chủ nhà.,12/07/2022,Tin thường,batdongsan_so_com_vn_1673815013.6186457, 6, 4, 5, 5, 5
"8,2 tỷ VNĐ/m2","Đường Vĩnh Tuy, quận Hai Bà Trưng", 116m2,"Nhà hiện trạng đang có 11 phòng cho thuê  mỗi tháng doanh thu gần 50tr- Khách mua đập đi cây CCMN doanh thu không dưới 100triệu/tháng- Hoặc chia lô xây 3 căn OK luôn.- Khách giữ nguyên hiện trạng chồng thêm 2 tầng(thêm 10 phòng) thoải mái.- Ngõ thoáng thông tứ tung, thông sang Dương Văn Bé, Nguyễn Khoái.- Hàng xóm timcity. Cần tư vấn chi tiết LH em: Long (zalo).",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815014.9134846, 7, 3, 10, 16,
20 tỷ VNĐ,Nguyễn Đức Quý - Thanh Xuân - Hà Nội, 85m2,"Bán nhà mặt phố Nguyễn Quý Đức , Thanh Xuân ô tô, kinh doanh, vỉa hè rộng.- Diện tích: 85m, 5 tầng, mặt tiền 5m.- Nằm trên đoạn đường đẹp nhất của khu phố, kinh doanh sầm uất, có thể kinh doanh rất nhiều loại hình như: Spa, hiệu thuốc, siêu thị, văn phòng, cửa hàng, ....- Nằm trong khu vực dân cư đông đúc, buôn bán sầm uất, hiếm nhà bán.- Gần các phố lớn như Khuất Duy Tiến, phố Nguyễn Trãi, phố Lương Thế Vinh, phố Vũ Hữu.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- giá: 20 tỷ ( có thương lượng ).- Liên hệ: Công Dũng - 0913319185",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815015.9886096,,,,,
11 tỷ VNĐ,Phạm Tuấn Tài - Cầu Giấy - Hà Nội, 50m2," Bán nhà phân lô cán bộ cao cấp, ô tô, phố Phạm Tuấn Tài, Cầu Giấy:-Diện tích: 50m2, 5 tầng, bố trí đầy đủ công năng sử dụng.- Ngõ ô tô tránh, thông, kinh doanh.- Phân lô toàn cán bộ cao cấp, dân trí rất cao, an ninh cực tốt.- Gần nhiều trường quốc tế, gần trường đại học Quốc Gia.- Gần ngay các phố xuân thủy, phố Cầy Giấy, phố Mai Dịch, .....- Sổ đỏ đẹp, chính chủ.- Giá: 11 tỷ ( có thương lượng ).- Liên hệ: Công Dũng - 0913319185.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815019.1145194,,,,,
9 tỷ VNĐ,Đường Việt Hưng phường Việt Hưng, 65m2,"Gồm : Gara ô tô, bếp khách, 5 ngủ, phòng thờ , sân phơi.  Uy Tín _ Chân Thành_ Thành Công",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815020.9099123, 5, 5, 5, 9, 4
,"Bán Gấp Nhà VĂN CHƯƠNG, TÔN ĐỨC THẮNG, 4 tầng, chỉ 2.2 tỷ,  S rộng, sầm uất, có BANK.", 30m2,"Bán Gấp Nhà VĂN CHƯƠNG, TÔN ĐỨC THẮNG, 4 tầng, chỉ 2.2 tỷ,  S rộng, sầm uất, có BANK + Vị trí: Khu trung tâm Đống Đa. Nhà rất gần phố Tôn Đức Thắng, gần hồ Văn Chương, 5p lên Lăng Bác, Hồ Gươm, Công viên Thống Nhất, Ga Hà Nội ... thông tứ hướng + Trường học các cấp, bệnh viên,siêu thi, vui chơi giải trí, thể thao… * Thiết kế: Nhà xây dựng khung chắc chắn, nâng thêm tầng thoải mái. + Tầng 1: Phòng khách, bếp, wc. + Tầng 2: Phòng ngủ rộng, wc. + Tầng 3: 2 phòng ngủ, sân phơi sáng. + Anh Vượng - 0912949598. Bất Động Sản Đống đa Sổ Đỏ Sẵn sàng giao dịch, Hỗ trợ tư vấn Pháp lý & bank",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815022.1765237,,,,,
"2,21 tỷ VNĐ",Đường Nguyên Khê phường Nguyên Khê, 66m2,"
    
Cần tiền bán nhanh lô góc 66m Nguyên Khê, đường 5m ô tô đỗ thoải mái giá đầu tư sinh lời cao- Diện tích 66m- MT 4.6m. Hướng Tây- Đường thông 5m, đường ven sườn 3.5m- Cách trục chính 10 bước chân, cách bìa làng 100m- Cách đường gom Võ Nguyên Giáp chỉ 350m- Khu dân cư đông đúc, hệ thống đường điện và đường giao thông đang đc nâng cấp đồng bộ- Giao thông kết nối mọi hướng, di chuyển lên sân bay Nội Bài và sang nội thành Hà Nội chỉ mất 15pKhu vực đang trên đà phát triển mạnh, tiềm năng tăng giá cực caoAnh chị quan tâm về lô đất vui lòng liên hệ e Thanh Lam theo số đtđể xem đất và gặp chính chủ
""="""" !important;="""" border-right:="""" medium="""" none;="""" width:="""" 431px;="""" vertical-align:="""" baseline;="""" border-bottom:="""" padding-bottom:="""" 0px;="""" padding-top:="""" padding-left:="""" border-left:="""" margin:="""" 0px="""" 16px;="""" line-height:="""" 20px;="""" padding-right:="""" -webkit-tap-highlight-color:="""" transparent'="""" liroboto="""" float:="""" left;="""" 8px="""" transparent'spanroboto="""" regular"";="""" white-space:="""" normal;="""" word-spacing:="""" text-transform:="""" font-weight:="""" 400;="""" color:="""" rgb(0,0,0);="""" font-style:="""" text-align:="""" orphans:="""" 2;="""" widows:="""" display:="""" inline="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-thickness:="""" initial;="""" text-decoration-style:="""" text-decoration-color:="""" initial'="""">

",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815023.5289392, 4,,,,
885 triệu VNĐ,Đường Tỉnh Lộ 131 phường Quang Tiến, 59m2,"- Diện tích 59m2.- Đường trước đất 3.5m ô tô đỗ tận nơi.- Kết nối 3 cụm khu công nghiệp Nội Bài - Sóc Sơn, dự án khu công nghiệp sạch, dự án khu công nghiệp Quang Minh..."",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'-="""" dân="""" cư="""" đông="""" đúc,="""" cực="""" kì="""" phát="""" triển,="""" giao="""" thông="""" thuận="""" tiện="""" di="""" chuyển="""" mọi="""" hướng.="""" span="""" p="""" pspanroboto="""" regular"";="""" float:="""" rgb(0,0,0);="""" display:="""" inline="""" !important;="""" rgb(255,255,255);="""" text-decoration-thickness:="""" initial'span="""" text'="""">-Chủ đất bác Hưng quan chức có tuổi, bán để tán lộc cho con cháu.  "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'-giá="""" hơn="""" 800tr="""" rẻ="""" nhất="""" khu="""" vực,="""" có="""" thương="""" lượng="""" nhẹ="""" về="""" giá.="""" span="""" p="""" pspanroboto="""" regular"";="""" float:="""" rgb(0,0,0);="""" display:="""" inline="""" !important;="""" rgb(255,255,255);="""" text-decoration-thickness:="""" initial'span="""" text'="""">- Mảnh đất tiềm năng phù hợp để ở hoặc đầu tư anh chị quan tâm liên hệ qua sđt: 0333967741
",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815024.9042602, 4,,,,
"3,65 tỷ VNĐ",Tư Đình, 40m2,"- Vị trí nằm trong khu phân lô Quân đội, an ninh, dân trí, hàng xóm thân thiện, ô tô 10m , ngõ phân lô vòng quanh tứ ngã.-  Nhà 3 tầng tự xây rất cẩn thận, sàn gỗ, cầu thang toàn lim, tường móng kiên cố, chắc chắn, mua về lên thêm tầng nếu muốn. Thiết kế:+ Tầng 1: phòng khách,  VS, bếp.+ Tầng 2: 2PN, 1 VS.+ Tầng 3: 1PN, phòng thờ, sân phơi. - Sổ đỏ vuông vắn, nở hậu nhẹ, giao dịch ngay.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815026.3267615,,,,,
