price,address,Lộ giới,Details,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng
"11,9 tỷ VNĐ","Cầu Giấy, Hà Nội",,"Bán nhà Cầu Giấy dòng tiền 80tr/th, nhà mới, thang máy xịn, nhỉnh 11 tỷ.Cần bán gấp căn hộ dòng tiền tại đường Cầu Giấy, khu vực cực kỳ đông sinh viên và người đi làm. Đuổi không hết khách thuê.Nhà xây mới 7 tầng, kết cấu bê tông cốt thép cực kỳ chắc chắn, thang máy nhập khẩu loại to đẹp.Thiết kế: 12 phòng 1 ngủ + 1 khách, hiện đang cho thuê 6,6 triệu/phòng/tháng. Khách đã thuê kín 12 phòng. Diện tích: 65m2.Sổ đỏ chính chủ sẵn sàng giao dịch ngay.Giá: 11.9 tỷ (CÓ THƯƠNG LƯỢNG)Liên hệ: QUYÊN - 0343558823 (miễn môi giới và trung gian). Quyên - chuyên nhà đẹp và nhà dòng tiền. Hỗ trợ thủ tục vay vốn ngân hàng, thủ tục đơn giản, giải ngân nhanh.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788709.3211207, 65m2,, 7,,,
"17,5 tỷ VNĐ",QUẬN THANH XUÂN,,"CỰC HIẾM. NHÀ ĐẸP MẶT PHỐ PHÂN LÔ CÙ CHÍNH LAN KINH DOANH Ô TÔ LH 0962745289+ DT. 65M2*5 TẦNG – MẶT TIỀN 4.5M. GIÁ CHỈ 17.5 TỶ THANH XUÂN. TIỆN ÍCH MIỄN BÀN.+ Vị trí trung tâm quận Thanh Xuân, ô tô 16 chỗ vào nhà. Giao thông thuận tiện đi Nguyễn Ngọc Nại, Lê Trọng Tấn,  Nguyễn Viết Xuân, Hoàng Văn Thái, Tô Vĩnh Diện... 2 phút đi bộ ra Trường Chinh, Tây Sơn. Khu vực dân trí cao, xung quanh là các trường đại học lớn, Viện Y Học Hàng Không.+ Sổ đỏ đẹp giao dịch ngay.+ Giá có thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788710.6226413, 65m2,,,,,
"16,3 tỷ VNĐ",Đường Doãn Kế Thiện,,"Cần bán gấp nhà mặt phố Doãn Kế Thiện,Cầu Giấy Diện tích 50/55m x 5 tầng,mặt tiền 3.60m Nhà cách mặt phố Phạm Văn Đồng 50m, đối diện trường Hermann Gmeiner Hà Nội kinh doanh cực tốt Nhà chủ nhà thiết kế cầu thang giữa có để lỗ chờ thang máy, mỗi tầng 2 phòng, mặt trước đường Doãn Kế Thiện, mặt sau sảnh chung cư thoáng vĩnh viễn Đường trước nhà 15m, vỉa hè 5m phù hợp mọi mô hình kinh doanh Tọa lạc tại vị trí quá thuận tiện về giao thông, dân trí cao,... Sổ đỏ chính chủ,giao dịch ngay Giá 16.3 tỷ có thương lượng Liện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788711.6828034, 50m2,,,,,
"4,3 tỷ VNĐ","Đường Gia Quất, Thượng Thanh, Long Biên", 3,"ÁN NHÀ ĐẸP GIA QUẤT 43M, 5 TẦNG, Ô TÔ NHỈNH 4 TỶCần bán nhà đẹp mới tinh phố Gia Quất Thượng Thanh 43m, 5 tầng, mt 4m rộng thoáng sáng. Nhà nằm gần chợ Gia Quất, xung quanh là các trường cấp 1, mầm non Gia Quất, hàng xóm chung cư Homeland, khu đô thị Khai Sơn, vài bước ra cầu chui, Nguyễn Văn Cừ, Ngọc Lâm giao thông vô cùng thuận tiện. Nhà xây 5 tầng tổng 5 ngủ rất phù hợp cho các gia đình đông thế hệ cần nhiều phòng ngủ. Sổ đỏ siêu đẹp cần giao dịch nhanh.  Lh em 0968769022 để xem nhà ạ.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788712.902539, 45m2, 4, 5, 5,,
"5,6 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 3,"+ Khu vực trung tâm Quận Cầu Giấy tiếp giáp quận Ba Đình. Giao thông thuận tiện. Thông sang nhiều tuyến phố chính Nguyễn Khánh Toàn, Quan Hoa… + Vị trí: Khu dân trí tốt, dân cư sầm uất, cạnh chợ, ở, văn phòng, kinh doanh sầm uất. + Cách ô tô chỉ 50m. Ngõ to rộng thoáng, ba gác tránh nhau.  + Dân trí cao, hàng xóm toàn cán bộ, văn phòng Chính phủ, giáo viên…  + Thiết kế 5 Tầng thông sàn, hiện đại: - Tầng 1: Phòng khách, bếp, vs. - Tầng 2,3,4: mỗi tầng 1 phòng ngủ, vs khép kín. - Tầng 5: Phòng thờ, sân phơi. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788714.1492054, 35m2, 4, 5, 4,,
500 triệu VNĐ,"Khu Chợ Nông Sản, tt.Chúc Sơn, H. Chương Mỹ, Hà Nội",,"  CHÍNH CHỦ BÁN MẢNH ĐẤT SIÊU ĐẸP- Cạnh Trường THCS NGÔ SỸ LIÊN- NGAY TT THỊ TRẤN CHÚC SƠN - khu vực đang được giới đầu tư rất quan tâm săn đón.
S = 75m. Lô GÓC 2 mặt tiền.
 Đường rông thênh thang 9m, 3 oto tránh nhau
Vị trí: Chợ Nông Sản, TT Chúc Sơn, Chương Mỹ, Hà Nội
Quần thể siêu thị Lan Chi, UBND huyện, chợ Chúc Sơn, Trường Học, Công Viên....Bán kính chưa đầy 300.
 Khu vực dân trí cao
Giá rẻ nhất khu vực
 Gọi ngay cho tôi trước khi tôi bán: 0906210068
",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788715.1954138, 75m2,,,,,
"4,2 tỷ VNĐ",Hoàng Mai,,"+ Gia đình cần bán mảnh đất tại đường Kim Giang, tặng nhà cấp 4, hiện đang cho thuê 6tr/ tháng. + Sổ đỏ vuông vắn trước sau như một, mặt tiền 4,1m. + Giấy phép xây dựng cao tầng, hàng xóm rất nhiều nhà 8 tầng đang kinh doanh cho thuê. + Ngõ thông tứ tung, ô tô chạy thoải mái. Cao ráo không lo ngập nước. + Gần trường cấp 1,2,3. Khu vui chơi, công an phường…..+ ĐẶC BIỆT TRẠM XĂNG PTROLIMEX CÁCH NHÀ 500 M. KHÔNG BAO GIỜ HẾT XĂNG.  🤝 LH: Mr Quý: 0986560636 ( Zalo)🏠 Xem nhà miễn phí 24/7. 🏦 Hỗ trợ thủ tục pháp lý, ngân hàng.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788716.3513129, 47m2,,,,,
"4,2 tỷ VNĐ",Hoàng Mai,,"+ Gia đình cần bán mảnh đất tại đường Kim Giang, tặng nhà cấp 4, hiện đang cho thuê 6tr/ tháng. + Sổ đỏ vuông vắn trước sau như một, mặt tiền 4,1m. + Giấy phép xây dựng cao tầng, hàng xóm rất nhiều nhà 8 tầng đang kinh doanh cho thuê. + Ngõ thông tứ tung, ô tô chạy thoải mái. Cao ráo không lo ngập nước. + Gần trường cấp 1,2,3. Khu vui chơi, công an phường…..+ ĐẶC BIỆT TRẠM XĂNG PTROLIMEX CÁCH NHÀ 500 M. KHÔNG BAO GIỜ HẾT XĂNG.  🤝 LH: Mr Quý: 0986560636 ( Zalo)🏠 Xem nhà miễn phí 24/7. 🏦 Hỗ trợ thủ tục pháp lý, ngân hàng.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788717.4773028, 47m2,,,,,
"4,9 tỷ VNĐ","Đường Mễ Trì Hạ, Mễ Trì, Nam Từ Liêm", 2,"Ô TÔ TRÁNH CÁCH VÀI BƯỚC CHÂN - NHÀ ĐẸP - KHU VỰC HIẾM NHÀ BÁN - TIỆN ÍCH VÔ VÀN - CHỦ TẶNG KHÁCH MUA TOÀN BỘ NỘI THẤT.        Mễ Trì Hạ 45m2 x 5 tầng  giá 4.8 tỷ  + Mô tả:- Nhà ngay gần Khu đô thị vườn hoa Mễ Trì , cách đường ô tô tránh 10m, vài bước ra chợ,  giao thông thuận tiện, tiện ích xung quanh ngập tràn.- Nhà thiết kế 4 tầng hiện đại.   _ Tầng 1: Khách, bếp, để xe, vệ sinh.   _ Tầng 2 3: 2 Ngủ, vệ sinh.   _ Tầng 4 : Phòng thờ, sân phơi rộng.- Sổ đỏ vuông đẹp, sẵn sàng giao dịch. Lh: 0974392934",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788719.0690427, 45m2, 3, 5, 5, 4,
"1,696825 tỷ VNĐ","Đường Tỉnh Lộ 446, Tiến Xuân, Thạch Thất",," Vị Trí lô đất nằm NGAY KHU ĐHQG- Ô tô vào tận đất- Gần tỉnh lộ 446- Sát khu nghỉ dưỡng Xanh Villas- Quá phù hợp mua đầu tư hoặc xây nhà ở, cho thuê,..- Pháp lý rõ ràng, sẵn sổ cầm tay.Liên hệ ngay em QUÍ để đi xem thực tế: 0971902466",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788720.320778, 75m2, 7,,,, Bắc
