price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
"15,5 tỷ VNĐ",ngõ 128 Đại La, 80m2, 3, 7, 9,"Bán tòa chung cư mini 7 tầng thang máy ngõ 128 Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,đã cho thuê full phòng.doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ khép kín.Nội thất hoàn thiện đầy đủ 100%, đã cho thuê full phòng mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821604.0347037, 7, 10, Nam
17 tỷ VNĐ,Hà Nội, 90m2,,,," - Siêu phẩm nhà đẹp nội thất tiền tỷ, sang trọng đẳng cấp tặng toàn bộ cho khách mua. - Vị trí đắc địa trung tâm Hà Nội, đường 2 ô tô tránh nhau thoải mái, thẳng tắp. - Diện tích 90 m2, xây 8 tầng thang máy ở và cho thuê, kinh doanh tốt. - Sổ đỏ chính chủ đẹp.Giá chỉ 17 tỷ thương lượng rất nhiều.Liên hệ trực tiếp ngay (em chủ nhà) Ms Thanh: 0366 555 258.",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821605.038502,,,
"4,5 tỷ VNĐ",ngõ 15A Đầm Trấu, 33m2, 3, 5, 3,"Bán nhà phố Đầm Trấu,Vân Đồn- Hai Bà Trưng, DT  MT 6m, ngõ thông sang KĐT Đầm Trấu rất  thuận tiện, Giá 4.5 tỷ.-Diện tích 33m2x5T-MT 6mNhà xây mới móng bè khung cột phong cách thời thượng.Thiết kế hiện đại tối ưu công năng sử dụng: Tầng 1: , phòng Khách, bếp, vs phụTầng 2 :  1 phòng ngủ, vệ sinhTầng3 ,4: mỗi tầng 1 phòng ngủ  nhà vệ sinhTầng 5  là phòng thờ, sân phơiNhà hoàn thiện hoàn toàn nội thất đẹp, đèn trang trí, cửa, cầu thang gỗ Lim Nam Phi, sàn gỗ tự nhiên, thiết bị vệ sinh Toto chính hãng, nội thất nhập khẩu cao cấp.Các phòng ngủ mở cửa sổ thoáng, giúp ngôi nhà luôn nhiều ánh sáng tự nhiênKhu Vân Đồn dân trí cao, xung quanh yên tĩnh, an ninh tốt,ngõ ngách rộng thoáng, ô tô cách nhà 10m, lên trung tâm Phố Cổ-Hồ Guơm cực tiện, gần nhiều bệnh viện, trường học, trung tâm thương mại lớn..SDCC, giá 4,5 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821606.2582293, 6, 4, Tây
"7,4 tỷ VNĐ",Quan Hoa - Cầu Giấy - Hà Nội, 65m2,,,,"CỰC PHẨM GÓC CHILL QUAN HOA - GẦN PHỐ - HƯỞNG TRỌN TIỆN ÍCH KHU TT CẦU GIẤY.Vị trí trung tâm Cầu Giấy, giao thông thuận tiện, kết nối với các đường Nguyễn Khánh Toàn, Láng, Cầu Giấy, Dương Quảng Hàm....- Khu vực tập trung dân cư đông đúc, kinh doanh buôn bán sầm uất, nhà mình có thể kinh doanh giặt là, tạp hóa...- Nhà thiết kế 5 tầng hiện đại, có sân để xe, chủ tự xây nên khung dầm chắc chắn, công năng giúp sinh hoạt cực kỳ hợp lý.- Nhà đã đầy đủ nội thất xịn, bạn chỉ cần dọn về ở ngay.Thiết kế : + Tầng 1       : Sân để xe + phòng khách + phòng ăn, WC.+ Tầng 2,3    : Mỗi tầng 2 phòng ngủ khép kín.+ Tầng 4       : Phòng thờ + sân phơi + góc chill coffee, thuốc lá.Nhà hiếm, vị trí đẹp, hàng xóm dân trí cao, ở sướng.LIÊN HỆ : Nguyễn Tiến Hoàng để biết thêm thông tin - 0976817296 - tư vấn nhiệt tình vui vẻ 24/24.",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821607.306425,,,
"2,7 tỷ VNĐ","Đa Sỹ, Kiến Hưng", 32m2,, 4, 4,"Mô tả:Cần bán gấp nhà Đa sỹ 32m2*4tầng chỉ 2,7tỷ nhà đẹp ở ngay + Trung tâm Hà Đông, gần khu Đấu giá Đa Sỹ, Bể bơi Đa Sỹ, Sân bóng Đa Sỹ,  Bãi xe, Bưu Điện Hà Đông...+ Nhà còn rất mới đẹp chủ muốn bán nhanh đầu tư sơn sửa rất long lanh.+ Ngõ to, đẹp, dải nhựa asphalt tận nhà, có 102 tại khu vực.+ Thiết kế 4 tầng, 4 ngủ, 1 thờ, sân phơi. Đầy đủ công năng, các tầng đều có cửa sổ, khe thoáng rất mát mẻ.+ sổ đỏ chính chủ sẵn sàng giao dịch + giá 2,7tỷ (có thương lượng)+ Gọi ngay Mrs Hương Chuyên bán và nhận ký gửi nhà đất thổ cư Hà Đông. ",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821608.551362,,,
"1,742 tỷ VNĐ",Đường Đại lộ Thăng Long phường Bình Yên, 205m2,,,,"CHÍNH CHỦ CẦN BÁN 205M, 2 MẶT TIỀN NGAY CẠNH SÂN BÓNG XÃ BÌNH YÊN , THẠCH THẤT, HÀ NỘI. GIÁ CHỈ 8,XTR/M2 - Do chủ không có nhu cầu sử dụng, cần bán gấp lô đất cách sân bóng Bình Yên chỉ vài bước chân, cách đường tình 420 chưa đến 1km. Cách khu công nghệ cao HL chỉ 3km, cách ĐHQG 6km - Thế đất bằng phẳng, nở hậu, mặt tiền 7m hậu 7,1m - có 60m thổ cư, còn lại đất vườn có thể đăng ký lên thêm nếu muốn, không thì vẫn xây dựng bình thường. - Xung quanh cư dân đông đúc, thân thiện, đường to,thông thoáng, oto vào thoải mái - Phù hợp để xây nhà ở, hoặc đầu tư sinh lời, hứa hẹn giá sẽ tăng mạnh vào cuối năm - Pháp lý rõ ràng, sổ hồng công chứng trong ngày. Liên hệ em Hằng để sở hữu lô đất tiềm năng này nhé!",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821609.637457, 7,,
"5,2 tỷ VNĐ",nội đồng- đại thịnh- mê linh- hà nội, 104m2, 13,,,"#hud_melinh_central.khu đô thị mê linh- thanh lâm- đại thịnh 2mở bán biệt thự- liền kề hud mê linh central đợt 1.Bán lô NV07B-03- 104m2- mtien 5,2m.Giá chênh nhẹ với giá sàn CĐTChỉ 5,x tỷ ( X mầm non)LH: 0989726892 Em Phượng",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821610.5869164, 5,, Nam
16 tỷ VNĐ,Hà Nội, 72m2,,,," - Tôi cần bán nhà phố Trần Đại Nghĩa Hai Bà Trưng - SĐT: 0366 555 258. - Vị trí đẹp nhất phố, đường rộng 2 xe ô tô tải tránh nhau, kinh doanh buôn bán tốt, thích hợp làm văn phòng, lớp dạy... - Diện tích 72 m2, chủ xây 7 tầng thang máy, thiết kế hiện đại, nội thất cao cấp, công năng tối ưu. - Khu phân lô cán bộ cao cấp, dân trí cao, ngay gần trường Kinh Tế Quốc Dân, Xây Dựng, Bách Khoa, bệnh viện Bạch Mai, Tai Mũi Họng Trung Ương... - Sổ đỏ chính chủ.Giá chào chỉ 16 tỷ thương lượng mạnh tay.Liên hệ chính chủ, môi giới xin không làm phiền - 0366 555 258.Vui lòng đọc kỹ tin đăng.",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821611.8984113,,,
"2,035 tỷ VNĐ",Đường Xuân Nộn phường Xuân Nộn, 76m2,,,,"Siêu cắt lỗ đất gần đường liên xã tại Đường Nhạn, Xuân Nộn, Đông Anh. LH 0332995330 - Diện tích: 76.8m2 đường oto 3,5m - Cách đường liên xã 150m - Cách trung tâm hành chính xã 300m - Dân cư đã và đang phát triển,thân thiện - Gần trường học và chợ lớn,tiện ích vô cùng nhiều - Cách QL3 chỉ 1km,tới sân bay Nội Bài chỉ 15p chạy xe - Bán kính 2km lùi có bệnh viện và các hà máy lớn - Giao thông vô cùng thuận tiện - Làm việc chính chủ,pháp lý rõ ràng Giá chỉ 2x triêu/m2  - Liên hệ trực tiếp em Xuân 0332995330",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821612.9426146, 4,,
"3,9 tỷ VNĐ","Sáp Mai, Võng La, Đông Anh", 75m2,,,,"+ Vị trí đẹp , gần đường Bờ Kênh 4 làn xe tránh nhau, tiện ích xung quanh gồm trường học, Bệnh viện, chợ dân sinh. + Thửa đất 75m, mặt tiền 4m rất đẹp, ngỗ thông , ô tô dừng đõ vào nhà thoải mái. + Gần khu công nghiệp Bắc Thăng Long, đi sân bay hay sang TT Hà Nội rất thuận tiện. + Khu dân cư đông đúc, dân trí cao, rất phù hợp mua để ở hoặc đầu tư giứ tiền ,tăng tài sản. + Pháp lý chuẩn, sổ đỏ chính chủ, sẵn sàng chuyển giao. + Giá 3x tỷ có thương lượng nhiệt tình, ( Miễn Trung Gian & Môi Giới ). + LH :  0889995548/0915126183 Đồng Thái Dự .",04/06/2022,Tin thường,batdongsan_so_com_vn_1673821614.0237231, 4,,
