price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"8,35 tỷ VNĐ",hà nội, 92m2,,"
    HIẾM HIÊM ! BÁN CCMN ĐẠI LỘ THĂNG LONG, MỄ TRÌ GIÁ RẺ SẬP SÀN 62m 6T 8 TỶ
- CCMN Mỹ Đình giá rẻ
- Khu vực phát triển cực mạnh, tiện ích ngập tràn.
- Gần đường chính lớn, Phạm Hùng, Đại lộ thăng Long, Đỗ Đức Dục, Miếu Đầm.
- Sổ đẹp như Hoa Hậu, pháp lý rõ ràng sang tên nhanh gọn.
- Xem nhà gọi Mr Đức 0898839292.
",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804538.7291758,,,,,
"6,4 tỷ VNĐ",Khương Trung, 48m2, 5,"+ Vị trí đắc địa, gần Ngã Tư Sở, trường học Cấp 1,2,3. Gần chợ, bệnh viện, bãi xe ô tô 20m.+ Nhà mặt ngõ thông, ô tô qua nhà khu vực kinh doanh sầm uất ngày đêm.+ Nhà mới đẹp, nội thất cao cấp, đầy đủ công năng sử dụng.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.   LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804539.8830884,,,,,
"6,4 tỷ VNĐ",la khê, 52m2, 4,"Bán Nhà, Phan Đình Giót. Hà Đông. Ô Tô Kinh Doanh 52m2 x 4 tầng. Mặt Tiền 4.3m Giá 6.4 Tỷ.    MẶT PHỐ - KINH DOANH SẦM UẤT – Ô TÔ ĐỖ NGÀY ĐÊM  + Nhà mặt phố Phan Đình Giót, giao với đường Trần Phú, Lê Trọng Tấn, Nguyễn Trãi, Ngã Tư Sở, Vành Đai 3, Quang Trung, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp La Khê, cách Uỷ Ban Nhân Dân và Công An Phường La Khê vài trăm mét, gần Trung Tâm Thương mại AON, Bệnh Viện Đa Khoa Hà Đông, Nhà Thi Đấu Hà Đông, Siêu Thị MêTro Hà Đông, Bến Xe Yên Nghĩa, Tuyến xe Buýt nhanh, cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất và rất tấp lập của Hà Đông, buôn bán, kinh doanh, hàng ăn, spa, văn phòng và các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 4 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3: Mỗi tầng 2 phòng ngủ và wc - Tầng 4 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắc. Chủ bán để chuyển về ở với các con.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804541.3012943, 4, 4, 3,,
"7,9 tỷ VNĐ",mỗ lao, 46m2, 5,"Bán Nhà, Ao Sen. Hà Đông. Ô Tô Kinh Doanh 46m2 x 5 tầng. Mặt Tiền 4.2m Giá 7.9 Tỷ.    PHÂN LÔ - KINH DOANH SẦM UẤT – KHU VỰC RẤT PHÁT TRIỂN  + Nhà phân lô, cách đường Ao Sen vài bước chân, giao với đường Trần Phú, Nguyễn Trãi, Ngã Tư Sở, Vành Đai 3, Quang Trung, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần các trường đại học lớn như: Đại Học Kiến Trúc, Bưu Chính Viễn Thông, Học Viện An Ninh, nhà gần ga tàu điện trên cao, siêu thị BigC Hà Đông, Siêu Thị Coopmax, Chợ Phùng Quang, Chợ Xanh, Chợ Đầu Mối, gần Trung Tâm Thương mại Roal Anl CiTy, Bệnh Viện 103, Huyện Uỷ Hà Đông, cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất bậc nhất Hà Đông, buôn bán, kinh doanh, hàng ăn, spa, văn phòng và các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắc. Chủ xây dựng rất tâm huyết.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804542.5669086, 4, 6, 4,,
866 triệu VNĐ,"Tân Phúc, ân thi , hưng yên", 80m2,,"🎉Chào đón dự án đất nền giá rẻ chuẩn bị mở bán gần nút giao cao tốc 5B, giáp quy hoạch khu đô thị mới, giá chỉ từ 866tr/ lô.🍃Diện tích: 70~80m2, đường áp phan rộng 5~7m🌺Vị trí vô cùng tiềm năng:👉Tiếp giáp các trục quốc lộ như: quốc lộ 5B , quốc lộ 38, đặc biệt tuyến đường mới đang được triển khai có lô giới 66m kết nối các khu công nghiệp có diện tích 300 - 500 ha. Thu hút hàng ngàn lao động sinh sống , làm việc .👉Nằm cạnh nút giao cao tốc Hà Nội – Hải Phòng- Quảng Ninh nơi kết nối vùng kinh tế trọng điểm 4 tỉnh: Hưng Yên- Hải Dương- Hải Phòng- Quảng Ninh.👉Trường học, ủy ban nhân dân, chợ bán kính một cây số🌷Nơi thích hợp cho các nhà đầu tư khó tính nhất, tài chính đầu tư không quá lớn, cũng là nơi an cư cho các cặp vợ chồng trẻ, công nhân viên các Cụm công nghiệp, Khu công nghiệp ở địa phương.🌷Đã có sổ đỏ riêng từng lô, đất ở lâu dài, ký công chứng chuyển nhượng trong ngày, nhanh chóng và không mất thêm thời gian và chi phí.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804543.886379, 5,,, Đông nam, 7
"3,55 tỷ VNĐ",Đường Tân Mai phường Tân Mai, 36m2, 5,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'+="""" diện="""" tích="""" 36m,="""" vị="""" trí="""" cực="""" đẹp,="""" gần="""" phố,="""" hồ="""" trung="""" tâm="""" khu="""" hành="""" chính,="""" sân="""" bóng,="""" chợ="""" tân="""" mai,="""" tiện="""" ích="""" không="""" thiếu="""" thứ="""" gì.="""" Ô="""" tô="""" cách="""" 10m,="""" đi="""" vài="""" bước="""" dạo="""" bộ="""" ra="""" đất="""" trống="""" đã="""" quy="""" hoạch="""" để="""" xây="""" dựng="""" các="""" chung="""" cư="""" và="""" mở="""" rộng="""" đường,="""" nhà="""" mình="""" chỉ="""" đường="""" chục="""" chân,="""" tương="""" lai="""" giá="""" trị="""" tăng="""" cao.="""" hàng="""" xóm="""" thân="""" thiện,="""" ngõ="""" thông="""" ngả,="""" có="""" thể="""" được="""" 147="""" đến="""" 293="""" hay="""" cạnh="""" bóng="""" Đền="""" lừ="""" men="""" vào="""" cũng="""" tới="""" bán="""" span="""" p="""" pspan="""" initial'="""" -="""" thiết="""" kế:="""" kcbt,="""" 5="""" tầng,="""" 3="""" ngủ="""" đủ="""" công="""" năng,="""" full="""" nội="""" thất,="""" cần="""" xách="""" vali="""" về="""" ở="""" luôn.="""">- Tầng 1: Phòng khách, bếp. "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'="""" -="""" tầng="""" 2,3,4:="""" 1="""" phòng,="""" wc,="""" ban="""" công.="""" span="""" p="""" pspan="""" 5:="""" phòng="""" thờ,="""" sân="""" phơi.="""">- Sổ đỏ đẹp, sẵn sàng giao dịch. ",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804545.1739373, 3, 3, 4,, 2
12 tỷ VNĐ,Đường Lương Khánh Thiện phường Tân Mai, 110m2, 5,"
    + Chính chủ bán tòa nhà nằm vị trí đẹp nhất phố Lương Khánh Thiện, quận Hoàng Mai, Hà Nội, diện tích 110m2, 5 tầng, phân lô ô tô tránh, kinh doanh cực đỉnh, toà văn phòng đẳng cấp, khu vực kinh doanh sầm uât, hạ tầng đẹp, văn minh, nói không với quy hoạch ... + Phố Lương Khánh Thiện kết nối các tuyến phố chính của quận Hoàng Mai: Tân Mai (Vành đai 2.5) Trương Định, bên cạnh hồ Đền Lừ…. Giá trị phát triển từng ngày…+ Tòa nhà trên khuôn đất vuông đẹp vượng lộc nhiều lộc, chủ bán để chia tài sản cho con. + Sổ đỏ vuông đẹp - mặt tiền to. + Giá bán chỉ 12 tỷ.Liên hệ: Tôi Chung 0977435869 để làm việc trực tiếp với chủ nhà. Miễn Môi giới, QC.
",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804546.4146178, 5, 6, 4,, 9
,gia lâm hà nội, 90m2,,"👑  Chuẩn bị mở bán khu dân cư mới tự xây tân phúc giá chỉ từ 886 triệu/ lô , sổ đỏ riêng công chứng sang tên chuyển nhượng ngay.🌻 diện tích 70-90m2 phù hợp với thiết kế nhà hiện đại . 🌻  đường rộng 5- 7m 🌻  cơ sở pháp lý rõ ràng , sổ riêng từng nền đất ở lâu dài sở hữu vĩnh viễn 💎  Vị trí đầy kim cương : gần quốc lộ 38 ,cao tốc và nút giao cao tốc hà nội -hưng yên - hải dương - hải phòng .💥 Trong vùng quy hoạch hàng nghìn héc ta ở Ân Thi- Bãi Sậy - Tân Phúc - Hoàng Hoa Thám - Quang Vinh loạt dự án khu dân cư mới và cụm công nghiệp lớn.🔸 Nằm trong khu dân cư đông đúc đầy đủ các tiện ích trường học, y tế, cửa hàng tiện ích, bán kính không quá 1km💰  Cơ hội cho các nhà đầu tư thông thái , chiết khâu 3% khi mua 2 lô ☎️ Liên hệ chính chủ: 0866 478 590 để biết thêm thôn tin",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804553.3304496,,,,,
"6,4 tỷ VNĐ",Vũ Tông Phan, 50m2, 5,"Ô TÔ QUA - MẶT NGÕ THÔNG - GẦN PHỐ - NHÀ MỚI ĐẸP - Ở - KINH DOANH.+ Vị trí nhà đẹp, gần Ngã Tư Sở, cách mặt Phố Vũ Tông Phan 60m, gần chợ, trường học.+ Nhà mặt ngõ thông, ô tô qua nhà, phù hợp để ở hoặc kinh doanh, cho thuê.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804554.553235,,,,,
12 tỷ VNĐ,Đường Tân Mai phường Tân Mai, 105m2, 5,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'+="""" cần="""" bán="""" gấp="""" phố="""" tân="""" mai,="""" quận="""" hoàng="""" hà="""" nội,="""" diện="""" tích="""" 105m2,="""" 5="""" tầng,="""" phân="""" lô="""" ô="""" tô="""" tránh,="""" kinh="""" doanh="""" cực="""" đỉnh,="""" toà="""" văn="""" phòng="""" đẳng="""" cấp,="""" khu="""" vực="""" sầm="""" uât,="""" hạ="""" tầng="""" đẹp,="""" minh,="""" nói="""" không="""" với="""" quy="""" hoạch="""" ...="""" span="""" p="""" pspan="""" mai="""" to="""" (="""" vành="""" đai="""" 2.5)="""" kết="""" nối="""" các="""" tuyến="""" chính="""" của="""" mai:="""" kim="""" Đồng,="""" trương="""" Định,="""" bên="""" cạnh="""" hồ="""" Đền="""" lừ….="""" giá="""" trị="""" phát="""" triển="""" từng="""" ngày…="""" initial'="""">+ Tòa nhà trên khuôn đất vuông đẹp vượng lộc nhiều lộc, chủ bán để sang Vinhome ở.  ",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804555.6608243, 5, 6, 4,, 9
