price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"4,25 tỷ VNĐ",Cầu Đơ- Hà Đông, 40m2,"Bán nhà Cầu Đơ, Hà Đông, 40m, 5 tầng, ngõ thông, ô tô đỗ cửa Cần bán gấp nhà đẹp trong tuần, với thiết kế hiện đại 5 tầng thoáng sáng, nội thật hiện đại, chuẩn công năng sử dụng, mặt tiền rộng, ô tô đỗ cửa, ngõ thông tứ tung, khu trung tâm cực hiếm nhà bán. Nhà cạnh chợ lớn Hà Đông, ngân hàng, siêu thị Metro, trường học các cấp, quận uỷ, trạm y tế, bệnh viện ,..khu vực dân cư đông đúc khu vực trung tâm nối các phố cổ. Nhà thuộc trục chính nối các tuyến phố quan trọng vài bước ra Quang Trung, hàng xóm Lê Hồng Phong, cắt Hoàng Hoa Thám, đối diện Lê Lợi, cạnh Tản Đà, thông sang Tô Hiệu,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 4.25 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819227.5731275,, 5,,,
"4,2 tỷ VNĐ",Phúc La- Hà Đông, 41m2,"Siêu phẩm Phúc La, Hà Đông, ô tô đỗ cửa, 41m, 5 tầng, ngõ thông, gần phố Chủ nhà chuẩn bị sang định cư ở nước ngoài nên cần bán gấp nhà đẹp thiết kế hiện đại 5 tầng thoáng sáng, nội thất nhập khẩu, mặt tiền rộng, ô tô đỗ cửa, ngõ thông tứ tung, khu trung tâm gần các bệnh viện lớn. Nhà giáp khu đô thị Văn Quán hưởng trọn lợi ích gần chợ lớn Hà Đông, siêu thị, vườn hoa, ngân hàng, khu vui chơi giải trí,… Giao thông trục chính trung tâm tâm nối các tuyến phố Mỗ Lao, giáp yết Kiêu, hàng xóm Vạn Phúc, thông sang Tô Hiệu, hàng xóm Hà Trì,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 4.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819228.8805993,, 5,,,
"4,2 tỷ VNĐ",Phúc La- Hà Đông, 41m2,"Siêu phẩm Phúc La, Hà Đông, ô tô đỗ cửa, 41m, 5 tầng, ngõ thông, gần phố Chủ nhà chuẩn bị sang định cư ở nước ngoài nên cần bán gấp nhà đẹp thiết kế hiện đại 5 tầng thoáng sáng, nội thất nhập khẩu, mặt tiền rộng, ô tô đỗ cửa, ngõ thông tứ tung, khu trung tâm gần các bệnh viện lớn. Nhà giáp khu đô thị Văn Quán hưởng trọn lợi ích gần chợ lớn Hà Đông, siêu thị, vườn hoa, ngân hàng, khu vui chơi giải trí,… Giao thông trục chính trung tâm tâm nối các tuyến phố Mỗ Lao, giáp yết Kiêu, hàng xóm Vạn Phúc, thông sang Tô Hiệu, hàng xóm Hà Trì,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 4.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819230.1043284,, 5,,,
"4,25 tỷ VNĐ",Cầu Đơ- Hà Đông, 40m2,"Bán nhà Cầu Đơ, Hà Đông, 40m, 5 tầng, ngõ thông, ô tô đỗ cửa Cần bán gấp nhà đẹp trong tuần, với thiết kế hiện đại 5 tầng thoáng sáng, nội thật hiện đại, chuẩn công năng sử dụng, mặt tiền rộng, ô tô đỗ cửa, ngõ thông tứ tung, khu trung tâm cực hiếm nhà bán. Nhà cạnh chợ lớn Hà Đông, ngân hàng, siêu thị Metro, trường học các cấp, quận uỷ, trạm y tế, bệnh viện ,..khu vực dân cư đông đúc khu vực trung tâm nối các phố cổ. Nhà thuộc trục chính nối các tuyến phố quan trọng vài bước ra Quang Trung, hàng xóm Lê Hồng Phong, cắt Hoàng Hoa Thám, đối diện Lê Lợi, cạnh Tản Đà, thông sang Tô Hiệu,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 4.25 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819231.3310444,, 5,,,
4 tỷ VNĐ,Phố Thái Hà, 40m2,"Bán nhà Thái Hà 40m X 5T , căn góc , ngõ ô tô, nhỉnh 4 tỷ+ Nhà 5 tầng chủ nhà mới sửa, nội thất đẹp . chỉ việc xách vali về ở .+ Ba bước ra phố .khu vực trung tâm Đống đa, ngõ to rộng , tiện ich vô vàn , an sinh tốt.+ Chủ nhà chuyển đổi chỗ ở do nhu cầu công việc . Cần bán gấp ( giá nào cũng bán )Xem nhà và tư vấn hỗ trợ miễn phí .Trung 0896695659",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819232.6026428,,,,,
5 tỷ VNĐ,Đường Trường Chinh phường Khương Thượng, 65m2," Bán Nhà Riêng Tại Ngõ 102 Trường Chinh - Quận Đống Đa.
- Diện Tích 65m2 - 5 Tỷ.

- Vị Trí Ngõ Đẹp To Như Phố Ô Tô Tránh KD Ngày Đêm - Nhà Chủ Mới Xây Được 3 Năm Còn Mới Nguyên.
- Thiết Kế 4 Tầng Tổng 4 Phòng Ngủ Rộng Nội Thất Đầy Đủ Chỉ Việc Ở Luôn!
 

 Sổ Đỏ, Pháp Lý Chuẩn Sẵn Sàng Giao Dịch Luôn!
- Chi Tiết Vui Lòng Liên Hệ Mr Đức. 
-                                                                                  Trân Trọng...
",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819233.75855, 6, 4, 4, 4, 5
"2,93 tỷ VNĐ",Đường Yên Xá phường Tân Triêu, 55m2,"HOT.. HOT NHÀ ĐẸP FULL NỘI THẤT GÍA RẺ +Nhà đẹp Yên Xá Văn Quán, vị trí trung tâm, ngõ thông khắp ngả, tiện ích ngập tràn +Nhà đẹp full nội thất, 4 phòng ngủ, đầy đủ công năng sử dụng +Diện tích 55m, MT 4m, sổ vuông đẹp sẵn sàng giao dịch +Sổ vuông đẹp cất két sẵn sàng giao dịch +Gía 2.93tỷ có thương lượng cho khách thiện chí mua +LH e Loan để xem miễn phí",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819234.9174497, 4, 5, 4, 10, 5
,Ngõ 23 Thông Phong, 10m2,"Bán nhà chính chủ Quốc tử Giám, Đống Đa, HN. Khu trung tâm văn hoá chính tri, kinh tế, đất long mạch vượng cát khí Thăng long, gần bệnh viện tư nhân đa khoa Tràng An, gần Hồ Quốc Tử Giám, Văn Miếu Quốc Tử Giám.Diện tích 10m2; 3 tầng giá 1tỷ,.. Liên hệ A Nam: 0837990016",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819236.0050488,,,,,
"5,5 tỷ VNĐ","Nguyễn Đức Cảnh, Hoàng Mai, HN", 30m2,"+ Vị trí mặt ngõ  Nguyễn Đức Cảnh thông sang Hoàng Mai, Đền Lừ, Trương Định. ô tô 7C tránh nhau, kinh doanh sầm uất, xung quanh tiện ích, Trước nhà là sân chung thoáng vĩnh viễn - T1: Khách, bếp, wc. - T2,3, 4: Mỗi tầng 1 ngủ, wc. - T5: Phòng thờ, sân phơi.  + Sổ đỏ vuông vắn sang tên nhanh gọn.",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819239.9337366,,,,,
"1,77 tỷ VNĐ","An Đà , Đặng Xá , Gia Lâm", 57m2,"Chỉ 1ty770 sở hữu gần 60m đất Đặng Xá , Gia Lâm , Hà nội gần hồ An Đà . Lh : 0981752669.+ 57,1m mặt tiền 4m + Khu vực cạnh hồ AN Đà Đặng Xá giáp chợ , trường học , khu đô thị Đặng Xá + Chỉ 31tr/m giá cả hợp lí nhất khu vực , chủ nhà thiện chí bán + Có ra lộc nhiều cho khách , sổ sẵn công chứng được ngay + Giao thông thuận tiện Liên hệ : 0981752669 em Vĩ - xem đất miễn phí , giá cả hợp lí",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819241.0527894, 4,,, 2,
