price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Mặt tiền,Số tầng
"3,19 tỷ VNĐ",Vạn Phúc- Hà Đông, 41m2,"Bán nhà đẹp gần chợ Vạn Phúc, Hà Đông, 41m, 5 tầng, ngõ thoáng, dân xây + Quận Hà Đông đang phát triển hiện đại, một nơi lý tưởng để an cư lập nghiệp, quỹ đất ở hạn hẹp dần, sở hữu một căn nhà trung tâm Quận Hà Đông là bắt kịp xu thế đầu tư lợi nhuận, ở đẳng cấp và tiện nghi, di chuyển đi đâu cũng vô cùng thuận lợi được coi là cửa ngõ thủ đô. + Nhà phố Vạn Phúc, 41m vuông vắn, nhà thiết kế hiện đại các phòng ngập tràn ánh sáng tự nhiên là sự lựa chọn số 1 cho anh chị đang tìm nhà trên 3 tỷ . Căn nhà tại vị trí vô cùng đắc địa, thuận lợi di chuyển các tuyến phố trung tâm: Ngô Quyền, Tố Hữu, Thanh Bình, Yết Kiêu, Văn Quán, Mỗ Lao, Phúc La, Quang Trung, Nguyễn Tãi,... + Tôi và anh chị có thể tham khảo so sánh thêm một số căn nhà rất đẹp đang chào bán khoảng hơn 3 tỷ: - Nhà Mậu Lương 30m, 4 tầng mới đẹp. - Nhà Đa Sỹ 32m, ngõ thoáng. - Đất Hà Trì 41m sổ đỏ vuông vức, ngõ thông. - Sổ đỏ vuông, sẵn sàng giao dịch. - Giá: 3.19 tỷ ( có thương lượng). - Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828595.849396,,,,, 5
"3,14 tỷ VNĐ",Văn Phú- Hà Đông, 41m2,"Nhỉnh 3 tỷ, 41m, 5 tầng, ngõ thông, dân xây, ô tô gần, Văn Phú, Hà Đông - Vị trí: Nhà thuộc phố Văn Phú trung tâm quận Hà Đông, giao thông vô cùng thuận lợi Có thể đi từ các tuyến phố chính như Lê Trọng Tấn, Văn La, Lý Thường Kiệt, Trần Đăng Ninh, Hoàng Đôn Hòa, Hà Càu, Quang Trung,... - Nhà giáp Khu đô thị Văn Phú hưởng trọn nhiều lợi ích: bãi xe, chợdan sinh, siêu thị, trường học các cấp, ngân hàng,.... Nhà thiết kế siêu sang chảnh ánh sáng ngập tràn, ngõ thoáng rộng , vài bước ra ô tô tránh, nhà đẹp xách vali đến ở ngay. - Giá chỉ có 3.14 tỷ cho một căn nhà 5 tầng siêu đẹp 41m2 trung tâm quận Hà Đông. - Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn.",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828596.901539,,,,, 5
11 tỷ VNĐ,"Phố Trần Phú, Phường Mỗ Lao, Quận Hà Đông, HN", 60m2,"NHÀ NGÕ TO HƠN PHỐ - PHÂN LÔ – VỈA HÈ – Ô TÔ CHẠY VÒNG QUANH – CẢ PHỐ KINH DOANH - CỰC HIẾM NHÀ BÁN - KHÓ CÓ CĂN THỨ 2 + Cần bán gấp nhà tại ngõ 108 Trần Phú, Mỗ Lao, Hà Đông, Diện tích 60m nhà 5 tầng, mặt tiền 4.2m giá 11 tỷ. + Vị trí : Cách phố Trần Phú vài bước chân, phân lô thông thương, gần ngay chân mấy tòa chung cư Hồ Gươm Plaza, Booyoung, ngõ ô tô thông sang Làng Việt Kiều Châu Âu, đường Vũ Trọng Khánh, Tố Hữu, Thanh Bình. + Phố kinh doanh ngày đêm, hiệu suất cho thuê cực cao. + Nhà tự xây chăm chút từng chi tiết nhỏ, nhìn rất là mê, nhà xây 5 tầng với thiết kế đầy đủ công năng vừa ở và kinh doanh. + Khu vực dân trí cao, an ninh rất tốt, người dân thân thiện, diện tích rộng không gian thoáng mát.Mua một lần nhiều đời sau hưởng lộc. + Pháp lý chuẩn, sổ đỏ chính chủ xem sổ ngay tại nhà. + Giá : 11 tỷ (có thương lượng). + Liên hệ xem nhà: 0902.083.139",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828597.9746692,, 4, 4, 4, 5
"15,3 tỷ VNĐ","KĐT An Hưng, phường La Khê, quận Hà Đông, HN", 65m2,"ĐẲNG CẤP BẬC NHẤT HÀ ĐÔNG - KINH DOANH VĂN PHÒNG TUYỆT VỜI. SHOPHOUSE THE TERRA AN HƯNG!!  + Nằm tại quần thể khu Đô thị mới An Hưng danh giá đắc địa tiềm năng cực phát triển, trước mặt là toà CC cao cấp thương mại và dịch vụ đang hình thành giai đoạn cuối và bàn giao. + Nhà thuộc Dự án The Terra An Hưng thuộc khu đô thị mới An Hưng, có vị trí đẹp nhất khu đô thị An Hưng + Giao thông thuận tiện kết nối thẳng khu vực trung tâm qua đường Tố Hữu, Lê Văn Lương, đường Nguyễn Trãi, Đại Lộ Thăng Long. 5 phút ra AONMALL 3 phút ra công viên Thiên Văn học.... Tổng diện tích sàn: 65m2 Chiều cao mỗi căn: 5 – 6 tầng + 1 tầng lửng + 1 tầng tum. + Thiết kế cơ bản: Gara, cầu thang, thang máy cuối; Mỗi tầng 2 phòng 1 vệ sinh. + Nhà hiện trạng thiết kế 6 tầng thang máy xây thô, thông sàn hoàn thiện mặt ngoài. + Vị trí ĐẮC ĐỊA nhất khu đô thị An Hưng phù hợp kinh doanh cafe, nhà hàng, làm văn phòng. + Sổ đẹp sẵn giao dịch. + Giá chào 15 tỷ 3 ( Có thương lượng) + Liên hệ xem nhà: 0902.083.139",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828599.1256359,, 5, 5, 6, 6
15 tỷ VNĐ,Hà Nội, 74m2,"Bán nhà chính chủ đường Văn Cao - SĐT: 0366 555 258.Trước nhà rộng ô tô tránh, ngõ thông thẳng tắp, kinh doanh tốt.Diện tích 74 m2.Mặt tiền 5 m.Xây 7 tầng thang máy.Nhà xây chắc chắn, trịnh văn quyết g63 gia chủ dày công thiết kế bố trí rất hợp lý.Nội thất toàn đồ xịn nhập khẩu châu Âu có thể ở được ngay.  + Tầng 1: Văn Phòng công ty. + Tầng 2, 3, 4, 5, 6: Các phòng + Wc. + Tầng 7: Phòng thờ + Sân phơi.Sổ đỏ chính chủ.Giá chào chỉ 15 tỷ thương lượng mạnh.Liên hệ ngay 24/7 Ms Thanh để xem nhà - 0366 555 258.",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828600.2695293,,,,,
"4,25 tỷ VNĐ","858 Kim Giang, Thanh Liệt, Thanh Trì, hà Nội", 40m2,"Nhà đẹp Kim Giang -Thanh Liệt, vừa hoàn thiện xong, mới koong, ngõ ô tô tránh, thông phố Thanh Liệt khu vực đang phát triển, giá BĐS cao từng ngày. Diện tích 40m2 x 5 tầng, giá 4.25 tỷ có thương lượng. Mô tả: + Tiện ích xung quanh vô vàn, trường học các cấp vây quanh, ô tô vài bước chân, thừa hưởng tiện ích khu đô thị Linh Đàm và đại đô thị lớn The Manor Central Park. + Thiết kế 5 tầng, hiện đại, tiện nghi + Tầng 1: Phòng khách + Bếp + Tầng 2,3,4 mỗi tầng 1 phòng ngủ rộng, khép kín. + Tầng 5 : Phòng thờ, sân phơi. + Sổ đỏ chia lô vuông vức sẵn sàng giao dịch. Giá chỉ 4.25 tỷ  có thương lượng. LH: em Nhung 0367819123 được dẫn xem ngay nhà, cơ hội sở hữu căn nhà đẹp an sinh, đảm bảo sinh lời ngay khi khách xuống tiền. # Nguồn bất động sản phong phú thuộc các tuyến phố như vành đai Nguyễn Xiển, Linh Đàm, Pháp Vân, Giải Phóng, đường đôi Thanh Liệt, Cầu Bươu, Yên Xá, Đại Kim, Nghiêm Xuân Yên, Kim Văn Kim Lũ, Nguyễn Hữu Thọ, Khương Đình, Khương Trung, Thanh Xuân, Vũ Tông Phan, Đại Từ, Hoàng Đạo Thành …… Có rất nhiều các trường tiểu học, trung học xung quanh, đại học Thăng Long, công viên Chu Văn An, đại đô thị mới The Manor Central Park, Chợ Quang, Sân vận động lớn, ……",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828601.5062256,, 4, 5, 4, 5
4 tỷ VNĐ,Khương Đình, 38m2,"- Chủ cần bán gấp lấy tiền mua biệt thự. - Diện tích: 38m2, 5 tầng mặt tiền 3.5m. - Vị trí trung tâm quận Thanh Xuân, ngõ thông, thoáng, xe bác gác tránh, nhà cách mặt phố Khương Đình vài bước chân. - Bãi gửi ô tô ngay cạnh hồ gần nhà, chợ Khương Trung ngay gần đó, gần trường, cách ngã Tư Sở chỉ khoảng 1 - 2 km… - Giá 4 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ chính chủ vuông vắn, giao dịch trực tiếp. - Liên hệ ngay em Thảo chuyên thổ cư Hà Nội. ",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828603.1019578,, 5,,, 5
"5,4 tỷ VNĐ","Đường Hoàng Mai, quận hoàng mai, Hà Nội", 48m2,"NHÀ ĐẸP - KINH DOANH - Ô TÔ VÀO NHÀ S = 48m, giá 5.4 tỷ *Thiết kế: 5 tầng. - T1: Phòng khách, bếp, vệ sinh.- T2+3+4: tổng 6 phòng ngủ.- T5: Phòng thờ, sân phơi. + Vị trí cực đẹp, kinh doanh mọi mặt hàng. + Giao thông thuận tiện, gần hồ Đền Lừ, Nguyễn Đức Cảnh, Tân Mai, Mai Động,... + Tặng nội thất sang trọng đẳng cấp. + Sổ đỏ chính chủ giao dịch ngay. * Liên hệ: Tôi – Bình, để được tư vấn và xem nhà miễn phí.* Không tiếp môi giới.",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828607.14392,, 6, 6, 4, 5
3 tỷ VNĐ,Cầu Giấy, 33m2,"+ Kinh doanh buôn bán các mặt hàng rất tốt. ——————————– + Các công trình nổi bật ở khu như: công viên Cầu Giấy, công viên Nghĩa Tân, bệnh viện 198, bệnh viện y học cổ truyền. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà ngay: 0963 005 936. ",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828612.2089794,,,,,
35 tỷ VNĐ,Phố Lò Đúc Hai Bà Trưng Hà Nội, 90m2,"+ Bán nhà mặt phố Lò Đúc quận Hai Bà Trưng, Hoa Hậu giữa phố, kinh doanh sầm uất ngày đêm. + DT 90m2, 3 tầng, mặt tiền 5m. + 1 sổ 1 chủ, sang tên ngay. + Giá: 35 tỷ + Quan tâm xin liên hệ: Minh Quang 0327085656 Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn.",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828613.2644446,, 3,, 5, 3
