price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Số phòng ngủ
,TRẦM LỘNG ƯNG HÒA, 80m2,,,,,"⛳⛳ 𝘝𝑖̣ 𝘵𝘳𝑖́ 𝘤𝑢̛̣𝘤 𝘬𝑦̀ đ𝑎̆́𝘤 đ𝑖̣𝘢 : 𝘹𝑎̃ 𝘛𝘳𝑎̂̀𝘮 𝘓𝑜̣̂𝘯𝘨 - 𝑈̛́𝘯𝘨 𝘏𝘰𝑎̀ - 𝘏𝑎̀ 𝘕𝑜̣̂𝘪 ✳ 𝐕𝐢̣ 𝐭𝐫𝐢́ 𝐭𝐡𝐮𝐚̣̂𝐧 𝐥𝐨̛̣𝐢: ⚜️ Cách nút giao đường cao tốc Tây Bắc QL5 với đường Cienco 5 chỉ 100m ⚜️ Cách thị trấn Vân Đình QL 21 khoảng 7km ⚜️ Cách thị trấn Tế Tiêu 6km ⚜️ Bán kính 500m đầy đủ tiện ích gồm trường học các cấp, chợ, trạm y tế, UBND xã... ⚜️ Cách KCN Đồng Văn Hà Nam 5km ⚜️ Cách nút giao Pháp Vân - Cầu Giẽ 15 Phút đi xe. ⚜️ Cách ngã ba Ba La Hà Đông khoảng 30km. ✳ 𝗧𝗶𝗲̂̀𝗺 𝗻𝗮̆𝗻𝗴 𝘀𝗶𝗻𝗵 𝗹𝗼̛̀𝗶: ▶ 1 trong 5 đô thị vệ tinh của thành phố Hà Nội, ▶ Cửa ngõ phát triển trung tâm hành chính, thương mại, dịch vụ của phía Nam Hà Nội ▶ Khơi dậy cơ hội đầu tư bất động sản với những dự án lớn như: Khu đô thị phố cổ 33 Đường Thanh, Khu đô thị Vinhomes Smart City, Khu đô thị Eurowindow River Park, Khu đô thị Văn La – Văn Khê, Khu đô thị Tây Nam Hồ Linh Đàm 💢 𝐐𝐔𝐘 𝐓𝐑𝐈̀𝐍𝐇 𝐌𝐔𝐀 𝐁𝐀́𝐍 ✍️ Mua phiếu bốc thăm tương đương 500.000/ phiếu, mỗi lô 5 phiếu. ✍️ Đặt cọc 20tr trong 24h vào 80tr ký HĐĐC. ✍️ Trong vòng 05 ngày ký HĐCC thanh toán 100% bao gồm tiền đặt cọc. ✍️ Mua bán chính chủ bán giá niêm yết công khai không qua trung gian môi giới. 📩 Thông tin chi tiết xin liên hệ: 0989809368",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787022.573539,
"2,7 tỷ VNĐ",Tân Mai, 35m2,,,,,"Bán nhà TÂN MAI Hoàng Mai, 45m, Ô TÔ đỗ cách 10m, giá 2.xx tỷ LH:0986270765 Vị trí đẹp, gần chợ, trường, hồ Đền Lừ, chợ Đầu mối Phía Nam, bến xe Giáp Bát.An sinh tốt, hàng xóm thân thiện, khu vực buôn bán sầm uất, thuận tiện giao thương.Di chuyển dễ dàng ra Bạch Mai, Tam Trinh, Minh Khai, Trương Định, Kim Đồng…Sổ đỏ vuông vắn, sẵn sàng giao dịchLiên hệ để được xem trực tiếp: 0986.270.765 (Mr Vượng) ",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787023.5988352,
"2,7 tỷ VNĐ",Tân Mai, 35m2,,,,,"Bán nhà TÂN MAI Hoàng Mai, 45m, Ô TÔ đỗ cách 10m, giá 2.xx tỷ LH:0986270765 Vị trí đẹp, gần chợ, trường, hồ Đền Lừ, chợ Đầu mối Phía Nam, bến xe Giáp Bát.An sinh tốt, hàng xóm thân thiện, khu vực buôn bán sầm uất, thuận tiện giao thương.Di chuyển dễ dàng ra Bạch Mai, Tam Trinh, Minh Khai, Trương Định, Kim Đồng…Sổ đỏ vuông vắn, sẵn sàng giao dịchLiên hệ để được xem trực tiếp: 0986.270.765 (Mr Vượng) ",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787024.4914417,
"12,5 tỷ VNĐ","Đường Hoàng Ngân, Nhân Chính, Thanh Xuân", 45m2, 6, 30, 7,,"+ Nhà vị trí đắc địa, siêu hiếm mặt phố Hoàng Ngân diện tích  45m2 x 7 tầng thang máy giá 12,5 tỷ, ô tô 7 chỗ vào nhà, kinh doanh đỉnh cao. + Trung tâm Quận Cầu Giấy, gần trường cấp 123, gần 4 chợ lớn, mặt phố kinh doanh sầm uất, nhà mới chỉ việc ở và kinh doanh, mặt tiền đẹp, thang máy nhập ngoại. Giáp Lê Văn Lương, Quan Nhân, Nguyễn Thị Định…  + Ngoài phục vụ nhu cầu sinh hoạt; tại đây con đường sầm uất mặt phố có thể kinh doanh, làm thẩm mỹ viện, spa, showroom, phòng khám, văn phòng,... + Với thiết kế nhập khẩu cơ bản cao cấp mỗi tầng mang lại 1 không gian hơi hướng mềm mại, độc đáo và không giống nhau. + Thiết kế: Tầng 1: Thông sàn kinh doanh + thang máy + wc. Tầng 2: Thông sàn kinh doanh hoặc khách + wc. Tầng 3: Phòng sinh hoạt chung + phòng ngủ + wc. Tầng 4,5: phòng ngủ master + wc. Tầng 6: Phòng ăn bếp + sân chơi + wc. Tầng 7: Phòng thờ + thượng sân phơi. - Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787030.0187147, 6
98 tỷ VNĐ,"Đường Hàng Cót, Hàng Mã, Hoàn Kiếm", 161m2, 4, 11, 2, 5," ✝️ Vị trí: Nhà bán mặt phố Hàng Cót, vỉa hè rộng, kinh doanh siêu đỉnh. Nằm trên mặt phố cổ, giao thông sầm uất, kinh doanh gì cũng thuận lợi, hưởng toàn bộ không gian 36 phố phường của Hà Nội. Xung quanh vô vàn tiện ích như Chợ Đồng Xuân, chợ Thanh Hà, trường học cấp 1 2,3, Bệnh Viên Việt Đức, Ga Long Biên, Hồ Hoàn Kiếm .. ✝️ Thiết kế: Chủ tự xây  2 tầng, khung cột, chắc chắn, có 4 phòng ngủ đẹp. Chủ đang cho thuê bán đồ phong thủy, HĐ thuê 5 năm. ✝️ Sổ đỏ chính chủ, nở hậu, 1 sổ không chung đụng.Giá thương lượng 98 tỷ.Liên hệ: Lê Tiến 0979393221 xem nhà.",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787031.3073065, 5
"2,7 tỷ VNĐ","Đường Tây Mỗ, Tây Mỗ, Nam Từ Liêm", 58m2, 6,,,,"+ Nhà trung tâm Quận Nam Từ Liêm, gần với Đại Mỗ, gần sân vận Động Mỹ Đình, Mễ Trì. Ngay sát Vincom Smart City hưởng trọn tiện ích.  + Nhà chỉ cách 20m ra mặt ngõ ô tô, ngõ trước nhà gần 3m. Vài bước ra siêu thị, ra chợ.  + Chủ tách thửa phần vuông đẹp nhất, 2 thoáng cho khách. 42m2. Lối đi riêng 16m2. Sẵn nhà C4 còn mới đẹp ở được ngay.  Hoặc phương án bán cả mảnh với thông số là 95 C4 14 6.1 tỷ. + Vị trí đẹp này xây Phân Lô hay CCMN cực đỉnh. Mua giữ tiền. Xây nhà vườn, biệt thự...đều hết ý.  Sổ đỏ chính chủ, pháp lý chuẩn. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7  ",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787032.1909494,
9 tỷ VNĐ,"đường Hoàng Mai, Quận Hoàng Mai", 71m2, 9,, 5,,"CHÍNH CHỦ BÁN NHÀ ĐƯỜNG HOÀNG MAI, QUẬN HOÀNG MAI, 71M2 GIÁ 9 TỶDiện tích: 71m2 x 5 tầng - Mặt tiền: 9,2m - Sổ đỏ chính chủ- Nhà mình xây được 5 năm, xây thành 2 khối nhà, KCBT rất chắc chắn.+ Căn ngoài xây 4,5 tầng - Tổng có 6 phòng ngủ + 4 phòng vệ sinh+ Căn trong xây 5,5 tầng - Tổng có 8 phòng ngủ + 4 vệ sinh- Nhà mình có sân khoảng 10M để xe thỏa mái- Vị trí thuận tiện giao thông, gần trường, chợ, an ninh rất tốt, hàng xóm thân thiện, cởi mởGiá bán: 9 tỷ - Có thương lượng và gia lộcLiên hệ: Mr. Lan: 0985883152 - Bán trực tiếp cho người mua",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787033.6172032,
9 tỷ VNĐ,"đường Hoàng Mai, Quận Hoàng Mai", 71m2, 9,, 5,,"CHÍNH CHỦ BÁN NHÀ ĐƯỜNG HOÀNG MAI, QUẬN HOÀNG MAI, 71M2 GIÁ 9 TỶDiện tích: 71m2 x 5 tầng - Mặt tiền: 9,2m - Sổ đỏ chính chủ- Nhà mình xây được 5 năm, xây thành 2 khối nhà, KCBT rất chắc chắn.+ Căn ngoài xây 4,5 tầng - Tổng có 6 phòng ngủ + 4 phòng vệ sinh+ Căn trong xây 5,5 tầng - Tổng có 8 phòng ngủ + 4 vệ sinh- Nhà mình có sân khoảng 10M để xe thỏa mái- Vị trí thuận tiện giao thông, gần trường, chợ, an ninh rất tốt, hàng xóm thân thiện, cởi mởGiá bán: 9 tỷ - Có thương lượng và gia lộcLiên hệ: Mr. Lan: 0985883152 - Bán trực tiếp cho người mua",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787035.090396,
"4,1 tỷ VNĐ","Đường Thụy Khuê, Bưởi, Tây Hồ", 26m2, 5, 3, 5, 3,"Vị trí trung tâm quận Tây Hồ vài bước chân ra Hồ Tây lộng gió,gần trường học Chu Văn An các cấp tiện đưa con đi học,gần bệnh viện quốc tế Thu Cúc,Medlatec Thiết kê 5 tầng mt 5m cách mặt phố 20m,Ô tô nhỏ đỗ cửa được Sổ đỏ đẹp sẵn sàng giao dịch Liên hệ ngay : 0945550369(Khôi bds Tây Hồ-Ba Đình)",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787036.1146224, 3
"6,8 tỷ VNĐ",PHƯỜNG MAI DỊCH, 50m2,,,,,"ĐẬP HỘP NHÀ MỚI LUNG LINH ĐÓN TẾT DUY NHẤT 01 CĂN DƯƠNG KHUÊ 50M2*4T NHỈNH 6 TỶ 0962745289+ Vị trí cực đẹp trung tâm Quận Cầu Giấy, 2 thoáng trước sau, ngõ thông ô tô đỗ cửa. Nhà dân xây chắc chắn mới tinh ở ngay đón Tết. giao thông đồng bộ, kết nối Hồ Tùng Mậu, Lê Đức Thọ, Hàm Nghi, Nguyễn Hoàng, Phạm Hùng...Khu vực tập trung nhiều tập đoàn Công ty, Trường học các cấp ….. + Ba bước chân ra chợ, khuôn viên cây xanh, xung quanh nhiều tiện ích.+ Sổ đỏ phân lô A4 cất két sẵn sàng giao dịch.+ Giá thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7.",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787037.3213944,
