price,address,Diện tích,Hướng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới
11 tỷ VNĐ,"KĐT Định Công, Hoàng Mai, Hà Nội", 79m2,,,,"Chính chủ cần bán nhà liền kề KĐT Định Công, DT 79m2, 4 tầng, giá 11 tỷ+ Khu đô thị mới Định Công là khu ĐT vip của quận Hoàng Mai, gần bệnh viện Bưu Điện, chung cư AZ Sky, vỉa hè, kinh doanh văn phòng, làn đường quanh cả khu rộng, thoáng, cây xanh rợp trời, ô tô tránh thoải mái.- Tầng 1: Gara + bếp + tiểu cảnh + WC.- Tầng 2: Phòng khách + 1 ngủ + WC.- Tầng 3: 2 ngủ + WC.- Tầng 4: Sân phơi + phòng thờ + 1 ngủ + WC.+ Mặt sau có khoảng không giữa 2 dãy nhà nên rất thông thoáng.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Diện tích: 79m2 x 4 tầng, giá 11 tỷ (có thương lượng)+ Liên hệ: Thành 0912525146",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826692.492953,,,
"4,85 tỷ VNĐ",Phường Nguyễn Trãi, 41m2,,,,"Mô tả: DT 41m, MT 3.5m, 4T. Vị trí đẹp, cách mặt phố tô hiệu 20m, ô tô đỗ cạnh nhà, xung quanh có nhiều siêu thị tiện ích,          gần ngân hàng, bệnh viện, gần trường cấp 1 cấp 2 chỉ 2km…. không thiếu thứ gì. Còn là khu vực trung tâm quận Hà Đông. Ngõ thẳng, sạch, đẹp, thoáng đãng, khu dân trí cao. - Thiết kế: tầng 1 khách + Bếp + WC+ Tầng 2 + 3: Tổng 4 PN + 2 WC                 + Tầng 4: Phòng thờ + Sân phơi. Sổ đỏ vuông đẹp, nét, sẵn sàng giao dịch. Giá 4.85 tỷ có thương lượng. Liên hệ: Tôi Quang 0936590234 để được tư vấn và được xem nhà miễn phí.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826693.5721042,,,
"6,5 tỷ VNĐ","Đình Thôn, Phường Mỹ Đình 2,quận Nam Từ Liêm, Hà Nội", 58m2,, 6,,"+ Nhà vị trí rất đẹp nằm ở đoạn đầu phố Đình Thôn gần đường Phạm Hùng, nằm cách mặt phố vài bước chân, ngõ rộng thoáng để nhiều xe máy thoải mái, nhà có sân rộng để được nhiều xe. Nhà thích hợp để kinh doanh online hoặc làm văn phòng.+ Tiện ích xung quanh ngập tràn ra mặt phố kinh doanh sầm uất, gần khu đô thị Sông Đà, khu vực nhiều người Hàn Quốc, Kengnam...+ Nhà 4 tầng khung cột kiêng cố chắc chắn, chủ mới sửa lại mới đẹp khách mua về ở ngay. Thiết kế mỗi tầng 2 phòng- Tầng 1: Khách, bếp, WC, sân để xe.- Tầng 2,3: Mỗi tầng 2 phòng, WC.- Tầng 4: ngủ, phòng thờ, sân chơi.+ Sổ đỏ chính chủ, giao dịch ngay. ",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826694.7249832, 4,,
"4,8 tỷ /tháng","Khương Đình, Thanh Xuân", 40m2,,,,"BÁN NHÀ NGÕ 460 PHỐ KHƯƠNG ĐÌNH, THANH XUÂN, DT 40M2, 5 TẦNG, NHÀ ĐẸP Ở NGAY. + Nhà vị trí rất đẹp ngõ thẳng tắp khoảng 30m ra đến mặt phố Khương Đình, trước nhà xe ba gác. Ngõ thoáng thông sang ngõ 420 Khương Đình, Hồ Hạ Đình. + Khu vực tiện ích ngập tràn ngày gần chung cư Five Star, gần trường học các cấp, bệnh viện, chợ, TTTM, giao thông thuận tiện gần mặt phố, gần ô tô. + Nhà đẹp chắc chắn, chủ tự xây khách mua về ở luôn không phải sửa sang gì. Thiết kế cơ bản cầu thang giữa, mỗi tầng 2 phòng. + Sổ đỏ chính chủ, giao dịch ngay. + Liên hệ em Thái để được xem chi tiết ngôi nhà.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826695.994593,,,
"5,527 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168.1m2, Tây nam, 3, 2,"
    
Chỉ 33tr/m2 sở hữu ngay căn hộ 3 ngủ diện tích 168m. Chính sách chiết khấu 3%, miễn 2 năm phí dịch vụ, sổ đỏ vĩnh viễn.
Địa chỉ: Khu đô thị Ciputra, đường Võ Chí Công, quận Tây Hồ, Hà Nội
Văn phòng bán hàng - Hotline Em Vân Anh: 0977 568 223


Chính sách ưu đãi
- Thanh toán 30%GTCH được ký hợp đồng mua bán
- Hỗ trợ vay 50%GTCH lãi suất 0% 12 tháng
- Chiết khấu 3%GTCH
- Miễn 2 năm phí dịch vụ
- Sổ đỏ lâu dài


Loại hình căn hộ
- 2 ngủ: 84,3m và 85,67m
- 3 ngủ: 126m và 168,1m
- 4 ngủ: 147,91m
- Duplex: 250m, 255m và 295m


Mọi thắc mắc xin vui long liên hệ Em Vân Anh: 0977 568 223 (Zalo/Fb/SMS)
Udic Westlake – Đẳng cấp không phô trương

",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826697.0437865, 8,,
"6,85 tỷ VNĐ","DƯƠNG VĂN BÉ, HAI BÀ TƯƠNG", 64m2,, 4,,"Mô tả: + Nhà mặt ngõ rộng, tại phố Dương văn bé, ngay cạnh time city. + Được hưởng các tiện ích của Time city… + Nhà xây quá đẹp, kiên cố, chắc chắn, + Có thể làm văn phòng, 1 bước ra phố, tỏa đi mọi hướng đều thuận tiện + 3 phút lên bờ hồ, Phố cổ + Một bước chân ra chợ vĩnh tuy, chợ chợ cóc Dương Văn Bé. + 2 phút ra bệnh viện Thanh Nhàn, bệnh viện Bạch Mai.,  Gần các trường học như cấp 1,2,3 và các trường đại học Kinh Doanh và Công Nghệ, ĐH Bách Khoa, ĐH Kinh Tế Quốc Dân, ĐH Xây Dựng… + Giá chào 6.85 tỷ,  Có thương lượng. + Diện tích 64m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826698.1657853, 4, 5, 3
"3,6 tỷ VNĐ",Phố Trương Định, 30m2,,,,"+ Nhà ngay bên hông toà nhà Nam Đô,ngõ rộng thông, cách ô tô 50m, bãi để ô tô cách nhà khoảng 100m. + Nhà mới ở được vài năm còn khá mới. Sau nhà có khe thoáng, thiết kế hiện đại. Tầng 1: Khách + bếp. Tầng 234: Mỗi tầng 1 ngủ + vệ sinh. Tầng 5: Phòng thờ + sân phơi. + Sổ đỏ vuông đẹp, sẵn sàng giao dịch",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826699.3575966, 5, 5,
"3,5 tỷ VNĐ",Đường Yên Hòa phường Yên Hòa, 35m2,, 3, 4,"Bán nhà phố Yên Hòa - sổ đẹp - mặt tiền rộng - nhỉnh 3 tỷ - vị trí trung tâm Cầu Giấy - căn có 1 không 2. - Nhà cách chợ 50m, xung quanh có các trường Mầm Non cấp 1 2 THCS Yên Hòa, 500m ra bệnh viện. - DT 35m2 sử dụng rất thoải mái. Nhà xây dựng khung cột rất chắc chắn, nhà sạch sẽ mới. - Vị trí đẹp trung tâm, giáp Trung Kính, Hạ Yên, Khu đô thị Yên Hòa, di chuyển đường Láng, Nguyễn Khang, Vũ Phạm Hàm, Trung Kính,... Cực tiện. Thiết kế: 5 tầng, 3 ngủ Giá bán: 3.5 tỷ (có gia lộc).Liên hệ em Huyền (call/sms/zalo): ",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826700.646198, 5, 4, 2
"15,5 tỷ VNĐ",ngõ phố Trần Đại Nghĩa, 80m2, Nam, 10, 10,"Bán tòa chung cư mini 7 tầng thang máy ngõ phố Trần Đại Nghĩa, Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,đã cho thuê full phòng.doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ khép kín.Nội thất hoàn thiện đầy đủ 100%, đã cho thuê full phòng mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826701.7462065, 7, 7, 3
27 tỷ VNĐ,ngõ 61 lạc Trung, 133m2, Bắc,,,"Bán nhà PL Lạc Trung Hai Bà Trưng. Diện tích 133m2, mặt tiền 9m, nhà vuông vắn (có thể bán 1/2 căn 1 nửa- 70m2 mt 4,5m). hoặc mua cả nhà là 133m Vị trí đắc địa, ngõ trước nhà 2 ô tô tránh nhau, vỉa hè rộng. Phù hợp xây tòa nhà văn phòng, bệnh viện, TT Spa.. Ngõ 61 Lạc Trung rộng thông sang Mạc Thị Bưởi, thông sang Times City, Imperia.. SĐCC, Giá bán 27 tỷ. xung quanh nhiều tiện ích liên hệ chị yến ĐT:0702138238",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826702.7834318,, 9, 8
