price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet
"9,8 tỷ VNĐ",MP Chùa Quỳnh, 50m2, Đông nam, 1, 1,"BÁN NHÀ CŨ TRÊN MẶT PHỐ CHÙA QUỲNH, GẦN NGAY MẶT PHỐ THANH NHÀN, KINH DOANH TẤP LẬP, 50M2, 9.8 TỶ- Hiện trạng : nhà cũ (rất thuận lợi khi phá dỡ để xây tòa nhà).- Hướng : Đông nam.- Diện tích : 50 m2.- Mặt tiền : 3.71 m.- Mặt hậu : 5.99 m ( nở hậu vuông đẹp ).- Vị trí : căn nhà cũ nằm trên mặt phố Chùa Quỳnh, ngay gần mặt phố Thanh Nhàn, nên kinh doanh rất tấp lập. Cách bệnh viện Thanh Nhàn 150m, cụm đại học Bách Khoa – Kinh Tế– Xây Dựng 1km, Hồ Gươm 3km…- Pháp lý : sổ đỏ chính chủ.- Giá : 9.8 tỷ.( có thương lượng)liên hệ chị Yến ĐT:0702138238",03/03/2022,Tin thường,batdongsan_so_com_vn_1673830888.6074667, 3, 10, 1
"4,4 tỷ VNĐ",ngõ phố Kim Ngưu, 45m2, Nam, 5, 6,"Bán nhà ngõ 559 Kim Ngưu Hai Bà Trưng , Hà Nội.Diện tích 45m2x 5 tầng xây mới, giá 4,4  tỷ . 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim._Thiết kế hiện đại bao gồm:- Tầng 1: sân để xe .Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4 Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa.- Tầng 5: Phòng thờ,sân phơi -Vị trí đẹp  khu dân trí cao xung quanh nhiều tiện ích Giao thông thuận tiện,cách mặt phố Kim Ngưu 100m  thông sang  khu đô thị Times City đi nên phố cổ mất 5 phút gần bệnh viện Thanh Nhàn, bệnh viện Bạch mai, bệnh viện việt pháp gần nhiều trường cấp 1,cấp 2, cấp 3 và nhiều trường Đại Học nổi tiếng như Bách Khoa, Xây Dựng, Kinh Tế-sổ đỏ chính chủ pháp lý sạch giá 4,4 tỷ có thương lượng .liên hệ chị Yến ĐT:0702138238",03/03/2022,Tin thường,batdongsan_so_com_vn_1673830890.1723177, 3, 3, 4
"6,3 tỷ VNĐ",ngõ 136 Nguyễn  An Ninh, 55m2, Đông nam, 5, 6,"Bán nhà Phân lô Cán bộ  Nguyễn An Ninh, thông sang Trần Đại Nghĩa, Hoàng Mai, Hà Nội.Diện tích 55m2, 5 tầng mới đẹp, 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, chỉ nẹp gỗ, đèn led trang trí hiện đại, tiết kiệm điện- Tầng 1: Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng có điều hòa, vệ sinh các tầng đã lắp bình nóng lạnh  - Tầng 5: Phòng thờ, sân phơi trước sau. Vị trí đắc địa mặt ngõ rộng ô tô gần nhà, cách phố Nguyễn an Ninh 50m, gần đường Trần Đại Nghĩa kéo dàiGiao thông thuận tiện, thông các ngả.Xung quanh có đầy đủ mọi tiện ích: gần nhiều trường mầm non, cấp 1, cấp 2. Cách Trường Bách Khoa, Xây Dựng, Kinh Tế 500m, gần nhiều bệnh viện lớn như Bạch Mai, Việt PhápSDCC, giá 6.3 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830891.4812937, 3, 3, 4
30 tỷ VNĐ,"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội .", 127m2,, 2, 3,"Vị trí nhà cực đắc địa có 1 không 2 thuộc lô góc của 5 ngõ to rộng 3 ô tô tránh cực kỳ đẹp, cộng thêm diện tích lớn 127m2 và mặt tiền 12m cực khủng . 2 tầng Cho thuê hơn 60tr/ tháng  thời covit. + Cách  Hồ Láng 3 bước chân  dễ dàng di chuyển ra các tuyến phố lớn khác Cầu Giấy , Đường Láng , Đường Vành Đai 2 , Đê La Thành … +Xung quanh bán kính 500m là các trường  Đại Học Giao Thông Vận Tải , ĐH Luật Hà Nội , Học Viện Hành Chính Quốc Gia , Học Viện Ngoại Giao  … Các bệnh viện lớn BV phụ sản , BV Nhi TW , BV Giao Thông Vận Tải .. Cũng rất gần Đại Sứ Quán Nga.. + Qúa đẹp cho người mua đầu tư giữ tiền , cho thuê cực tốt .! + Các nhà đầu tư mua để xây tòa văn phòng , căn hộ cho thuê hoặc nhà hàng , khách sạn thì cực kỳ giá trị ! + Sổ đỏ chính chủ , quy hoạch ổn định với giá chỉ 30 tỷ có thương lượng ưu tiên các nhà đầu tư sẵn tài chính vào việc nhanh , am hiểu về  BDS khu vực ! Liên hệ ngay : Nguyễn Minh 0978741699 để gặp chủ nhà ép giá ! Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội .",23/11/2021,Tin thường,batdongsan_so_com_vn_1673830892.5963173, 12, 16, 3
28 tỷ VNĐ,"Bắc Linh Đàm phường Đại Kim, quận Hoàng Mai, Hà Nội", 224m2,, 4, 7," *    BÁN NHANH BIỆT THỰ SANG XỊN MỊN ĐẸP THOÁNG , GARA , SÂN VƯỜN , ĐÀI PHUN NƯỚC , PHÒNG LÀM VIỆC NGOÀI TRỜI  . BIỆT THỰ KIỂU MỚI TIỆN ÍCH KHÔNG THỂ CHÊ   * + Biệt thự có khuôn viên vô cùng rộng đẹp nên tới 224m2 được thiết kế 4 tầng vô cùng tâm huyết và sang trọng của chủ nhà có chỗ để oto , sân chơi  , tiểu cảnh đài phun nước vô cùng đẹp mắt . + Kết hợp hài hòa rất nhiều cây cối tạo không gian xanh vô cùng thoáng mát dễ chịu , quây quần cùng gia đình  ,để nghỉ ngơi sau 1 ngày làm việc mệt mỏi . + Đặc biệt chủ nhà thiết kế 1 phòng làm việc ngoài trời vô cùng thú vị giúp giải tỏa căng thẳng tạo cảm giác sảng khoái khi làm việc ở nhà . + Biệt thự có vị trí đẹp vỉa hè rộng ,đường lớn ô tô vào tận nhà giúp việc di chuyển vô cùng thuận tiện với các tuyến đường khác như : Đường Vành Đai 3 , Nghiêm Xuân Yêm , Phố Linh Đàm , Nguyễn Xiển , Bán Đảo Bắc Linh Đàm  Nguyễn Hữu Thọ , ….. +  Đường trước nhà ô tô tránh vỉa hè 2 bên, gần công viên Linh Đàm, Hồ Linh Đàm  , Chợ Xanh Linh Đàm , sau khách sạn Mường Thanh , Ngân Hàng Á CHÂU  , Techcombank , Agribank , các trường học, bệnh viện lớn nhỏ khác  ……… +Đồ nội thất , thiết bị vệ sinh toàn đồ nhập ngoại cao cấp , bồn tắm đứng , nằm đủ bộ theo từng tầng vô cùng sang trọng .. + Biệt thự với tổng 7 phòng ngủ 1 phòng thờ đáp ửng đủ nhu cầu cho 1 đại gia đình sinh hoạt Khu  vực an ninh vô cùng tốt , yên tĩnh không ồn ào , tiện ích xung quanh đầy đủ để nghỉ ngơi , ông bà dưỡng già quây quần cùng gia đình vô cùng tuyệt vời . Liên hệ ngay : Nguyễn Minh  0978741699   để được hỗ trợ tốt nhất . Bắc Linh Đàm phường Đại Kim, quận Hoàng Mai, Hà Nội ",29/11/2021,Tin thường,batdongsan_so_com_vn_1673830894.137189, 15, 12, 8
33 tỷ VNĐ,"Hồ Ba Mẫu phường Phương Liên, quận Đống Đa, Hà Nội", 95m2,, 4, 6,"Cc cần bán nhà mặt hồ, vị trí đẹp, mặt tiền to, View hồ, cạnh công viên, có chỗ đậu xe ô tô siêu rộng + Do nhu cầu chuyển hướng đầu tư nên gia đình đang rất cần bán căn nhà đã gắn bó với gia đình mấy chục năm. Vị trí nhà siêu siêu đẹp, hưởng trọn không gian và View Hồ Ba Mẫu nên cực kì thoáng và khí hậu trong lành mát mẻ. + Nhà được gia đình tâm huyết thuê kiến trúc sư về thiết kế hiện trạng đang là 4 tầng tuy nhiên gia đình đã xây móng 9 tầng để sau định lên thêm tầng khi có nhu cầu sử dụng. Tổng diện tích sử dụng của nhà là 95m2 nên thiết kế vô cùng đẹp và phù hợp với diện tích và không gian nhà. + Nhà hiện đang vừa ở vừa Kinh doanh bởi vị trí rất đẹp để Kinh Doanh, thuộc khu phố trung tâm nhất của Quận Đống Đa, nhà mình mặt phố kiêm mặt hồ, 2 bên lại có vỉa hè vô cùng rộng và mặt tiền trên 6m rất đẹp để Kinh doanh, cạnh nhà mình là công viên xanh, bãi cỏ rộng để đậu xe ô tô mà không ảnh hưởng đến giao thông đi lại của cư dân. + Khu phố vô cùng tấp nập là không gian lý tưởng để cho cư dân đi thể dục, đi dạo bộ hưởng trọn không gian xanh thiên nhiên với khí hậu vô cùng thoáng mát và trong lành, tránh hẳn sự ồn ào bụi bặm của xe cộ. + Nhà có vị trí trung tâm giao với Quận Đống Đa và Ba Đình, giáp danh với con phố Lê Duẩn, Xã Đàn, đi lên Trần Nhân Tông, Trần Bình Trọng, Trần Hưng Đạo, Lý Thường Kiệt của quận Hoàn Kiếm cực gần. + Nhà mình đi bộ 5 phút sang công viên Thống Nhất, 5 phút chạy xe lên Hồ Gươm lên phố cổ chợ đêm, Đi khoảng 7 phút ra các trường đại học xung quanh của khu vực quần thể Bách – Kinh – Xây, cạnh bệnh viện Bạch Mai, Đại học Y, bán kính 500m là Bệnh viện Việt Đức, Phụ Sản TW, Răng Hàm Mặt, Viện 108. + Sổ đỏ vuông đẹp, chính chủ, gia đình bán 33 tỷ và sẽ có gia lộc cho khách thiện chí mua. + Liên hệ:    Nguyễn Minh     0978741699    , gia đình chỉ gặp trực tiếp người mua, miễn MG trung gian.",03/12/2021,Tin thường,batdongsan_so_com_vn_1673830896.038181, 6, 20, 6
"6,8 tỷ VNĐ",Sơn Đồng - Hoài Đức - Hà Nội, 92m2,,,,"✅Mở bán dự án Sơn Đồng Center.✔️ ✔️Vị trí: Xã Sơn Đồng, Huyện Hoài Đức, TP Hà Nội. (Mặt đường Tỉnh Lộ 422, cách QL 32 1,5km, cách Đại Lộ Thăng Long 2km. Kết nối đường 40m Trịnh Văn Bô đi qua dự án).- Chủ đầu tư MB Land Invest.- Quy mô: 2.58 ha.- Tổng số lượng sản phẩm: 150 căn LK, SH.- Diện tích: Từ 62.64m2 - 131.9 m2.- Mặt tiền: Từ 5 - 7m. - Sổ đó chính chủ từng lô.- Ngân Hàng HTLS 0% trong 12 tháng.- Tặng Ngay 100 triệu cho 30 khách đầu tiên. ✔️Quỹ căn khan hiếm trước khi Hoài Đức lên quận.✔️Diện tích mặt tiền từng lô hợp lý để kinh doanh.✔️Vị trí trí trung tâm trong làng nghề 800 năm. ✔️Nhanh tay sở hữu quỹ căn đẹp nhất tại Sơn Đồng Center✔️Quản lý sản phẩm: 0779.27.37.87✔️",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830897.7625682,,,
"1,26 tỷ VNĐ","Lô đất CT4, Khu đô thị Kim Chung Đông Anh, thành phố Hà Nội.", 58.47m2, Đông bắc, 4, 2,"Vị trí đắc địa, giao thông thuận tiện, nằm ngay mặt đường Quốc lộ 5 kéo dài (quốc lộ 23B) rộng 50m. Gần cổng chính khu công nghiệp Bắc Thăng Long, chỉ cách bệnh viện bệnh Nhiệt Đới 500 m, cách trường cấp 3 Kim Chung Đông Anh 500 m, gần chợ Mun Kim Chung. + Thông tin căn hộ: - Tầng 4, Tòa A. - Diện tích xây dựng căn hộ: 62, 05 m2. - Diện tích sử dụng: 58,47 m2. - Thiết kế căn hộ có 1 phòng khách, 1 phòng bếp + ăn, 2 phòng ngủ, 2 phòng vệ sinh, 2 lô gia. - Hướng cửa chính: Đông Bắc. Hướng 2 ban công: Tây Nam. - Căn hộ được hoàn thiện cơ bản: Cửa gỗ, cửa thông phòng, sàn lát gạch, trần thạch cao, thiết bị đèn điện chiếu sáng, thiết bị vệ sinh và các đầu chờ: mạng, điều hòa, thông gió, công tắc ổ cắm điện và đường nước.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830898.930993,, 50, 2
"3,35 tỷ VNĐ","Lô đất CT04, KĐT Nam Thăng Long, Tây Hồ, Hà Nội", 86m2, Đông nam, 1, 2,"📍Chung cư cao cấp Udic Westlake - Tây Hồ, mặt đường Võ Chí Công, dự án có nội khu sân vườn rộng, bể bơi 4 mùa, đặc biệt là đối diện Lotte Mall lớn nhất Tây Hồ đang xây dựng✅ Sở hữu căn hộ diện tích 86 m²: 2PN, 2WC, bếp, phòng khách, tất cả phòng đều ánh sáng.- Giá : thỏa thuận ~3,3tỷ (bao gồm VAT + full đồ nội thất).- Nhận nhà ở ngay.- Chính sách ưu đãi thanh toán sớm chiết khấu 4%.- Ký hợp đồng trực tiếp với chủ đầu tư.☎️ Liên hệ em Vân Anh : 0977568223",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830900.1706772,,, 2
95 tỷ VNĐ,"phố Lò Sũ, phường Lý Thái Tổ", 130m2,, 9,,"KHÁCH SẠN 9 TẦNG - GÀ ĐẺ TRỨNG VÀNG - NGAY HỒ HOÀN KIẾM. Khách sạn nằm ngay trên mặt phố Lò Sũ, chủ nhượng lại đồ. Khu vực đắc địa đi bộ vài bước là tới Hồ Gươm thì tiện ích vô vàn, không cần đề cập. Xe ô tô khách ra vào tốt. Thông số: diện tích 130m2, mặt tiền 6m, xây dựng 9 tầng (trong đó 01 tầm hầm), 28 phòng đơn – đôi; nhà mới hoàn thiện và đi vào hoạt động cuối 2019, kinh doanh du lịch cực tốt, hiện chủ đang cần tài chính để làm việc khác nên muốn bán lại. Khách mua về có thể tự khai thác hoặc cho chính chủ nhà thuê lại ngay với giá 300 triệu/ tháng cùng hợp đồng dài hạn; kinh doanh dòng tiền rất ổn định, thu lợi nhuận đều đặn. Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Giá: 95 tỷ Liên hệ: E. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian).",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830901.3096337,,,
