price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Mặt tiền
"1,9 tỷ VNĐ","Chuyển nhượng căn  S1.12245A Vinhomes Oecan Park, Gia Lâm, 1,9 tỷ, 0972215382", 45m2,"Chuyển nhượng căn  S1.12245A Vinhomes Oecan Park, Gia Lâm, 1,9 tỷ, 0972215382  Loại căn:45m, 1n +1K + 1vs Nội thất: full thiếu đồ điện tử Khu an ninh tốt, giao thông thuận tiện, dân trí cao Gần trường, gần chợ, gần các tiện ích xung quanh  Giá chuyển nhượng: 1.900.000.000  Bao phí: có Sổ đỏ: có Vay ngân hàng: có View: biệt thự liền kề, đại học vinuni  Liên hệ chính chủ SĐT: 0972215382        http://www.sanbatdongsanviet.com.vn",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821469.2055438,,,,,
"5,4 tỷ VNĐ",Bà Triệu- Hà Đông, 45m2,"Hiếm nhà phố Bà Triệu, Hà Đông, 45m, 5 tầng, ngõ ô tô thông, dân xây Cần bán căn nhà quá lộc nằm ở vị trí đắc địa lõi Quận Hà Đông với các tuyến phố cổ bao quanh Tô Hiệu, hàng xóm Lê Lợi, giáp Hà Cầu, thông sang Văn Quán, vài bước ra Lê Hồng Phong. Khu vực văn minh đáng sáng, dân cư đông đúc, kinh doanh sầm uất ngày đêm. Nhà xây khung cột chắc chắn với 5 tầng thoáng sáng, thiết kế hiện đại, các phòng rộng ngập tràn ánh sáng với giếng trời mát mẻ, nội thất xịn chỉ việc xách vali đến ở, ngõ ô tô rộng thông muôn nơi. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 5.4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821470.2477582, 5,,,,
"5,45 tỷ VNĐ",Tô Hiệu- Hà Đông, 46m2,"Cần bán nhà Tô Hiệu, Hà Đông, ô tô, 46mx5 tầng, ngõ thông, dân xây Do nhu cầu chuyển nhà mới cần bán gấp nhà đẹp khu vực phố cổ Hà Đông, thiết kế hiện đại các phòng thoáng sáng đầy đủ công năng sử dụng với 5 tầng rộng đẹp, ngõ ô tô thông muôn nơi, gần phố rất hiếm nhà bán. Xung quanh nhà đầy đủ tiệ ích trường học, siêu thị, chợ, ngân hàng, khu vui chơi,..không thiếu thứ gì. Giao thông thuận lợi di chuyển các phố Bà Triệu, giáp Lê Lợi, hàng xóm Hà Cầu, vài bước ra Khu đô thị Văn Quán, gần bệnh viện Quân y 103, thông sang Lê Hồng Phong,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 5.45 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821471.334876, 5,,,,
"3,6 tỷ VNĐ","Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội", 50m2,"Chuyển Công Tác Bán Nhà Ngô Gia Tự, Phường Đức Giang, Long Biên 50m2, 4T, chỉ 3,6 tỷ Thiết Kế : Tầng 1 : Phòng Khách + Bếp, wc. Tầng 2,3 : Mỗi tầng 2 phòng ngủ, wc. Tầng 4 : Phòng thờ, sân phơi. + Nhà dân xây dựng chắc chắn, chủ xây dựng móng cọc bê tông cốt thép tâm huyết và vẫn còn rất mới…nhà ngõ vào thuận tiện. + Xung quanh kết nối các tuyến thuận tiện như ra Đường Ngô Gia Tự, Thanh Am, Đặng Vũ Hỷ, Đức Giang, Cầu Đuống..xung quanh các chợ, trường học và các tổ hợp dịch vụ sầm uất. + Sổ vuông vắn, pháp lý rõ ràng.",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821472.5236924, 4,, 4,,
2 tỷ VNĐ,"Chuyển nhượng căn S2.032420 Vinhomes Oecan Park, Gia Lâm, 2 tỷ, 0972215382", 55m2,"Chuyển nhượng căn S2.032420 Vinhomes Oecan Park, Gia Lâm, 2 tỷ, 0972215382  Loại căn: 55m, 2PN + 1PK+ 1WC  Nội thất: full thiếu đồ điện tử Khu an ninh tốt, giao thông thuận tiện, dân trí cao Gần trường, gần chợ, gần các tiện ích xung quanh   Giá chuyển nhượng: 2 tỷ  Bao phí: có Sổ đỏ chính chủ Vay ngân hàng: có  View: mặt hồ  Liên hệ chính chủ SĐT: 0972215382      http://www.sanbatdongsanviet.com.vn",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821473.577766,,,,,
5 tỷ VNĐ,"TRƯỜNG CHINH, ĐỐNG ĐA", 55m2,"SIÊU PHẨM: NHÀ PHỐ TRƯỜNG CHINH, THANH XUÂN, DT55M2, MT 4M, NGÕ THÔNG PHỐ, KINH DOANH, NHÀ MỚI KÍNH KOONG. + Vị trí mặt ngõ rộng, cách mấy nhà ra mặt phố TRƯỜNG CHINH, ngõ thông tứ tung. + Nhà xây mới 5 tầng hiện đại, sàn gỗ các tầng. + Sổ đỏ nở hậu, sẵn sàng giao dịch. + Liên hệ em Thái để được đi xem nhà ngay và luôn. ",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821474.7745636,,,,,
"23,5 tỷ VNĐ",Đường Nguyễn Thị Định phường Trung Hòa, 72m2,"
    Chính chủ cần bán gấp tòa nhà 7 tầng, thang máy nhập khẩu ở Phố VIP NGUYỄN THỊ ĐỊNH. PHƯỜNG TRUNG HÒA CẦU GIẤY, HÀ NỘI, tọa lạc vị trí đắc địa, giao thông thuận tiện, tiện ích vô đối- Mô tả+ 7 tầng thang máy nhập khẩu+ Mặt tiền đẹp 5m+ Thiết kế sang trọng, hiện đai+ Nội thất hoàng gia, nhập khẩu+ Dt : 72.1m vuông+ Giá 23.5 tỷ+ Đất vượng khí+ Chủ nhà làm ăn rất có lộc, vui tính, thiện chí bán+ Sổ đỏ chính chủ cất két, giao dịch trong 1 nốt nhacLiên hệ: Ms Thiên Trang nhà đẹp 0988152328 để đi xem nhà và được tư vấn miễn phí
",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821475.9234965, 7, 10, 6, 7, 6
"10,4 tỷ VNĐ",Phố Triều Khúc, 53m2,"PHÂN LÔ QUÂN ĐỘI- VIP THANH XUÂN- NHÀ CỰC ĐẸP - Ô TÔ TRÁNH - GARA - 2 THOÁNG - TIỆN ÍCH PANDORA  + Triều Khúc - Thanh Xuân.  + Diện tích 53m - Nhà 5 tầng - Mặt tiền 4m - 10.4 tỷ.  + Liên hệ: 0902083139.  + Vị trí: Nhà nằm ngay đầu Phố Triều Khúc khu vực đang phát triển mạnh, xung quanh rất nhiều trường học như Kiến Trúc, Công Nghệ Giao Thông Vận Tải, Bưu Chính Viễn Thông, An Ninh...  Hưởng trọn tiện ích của khu chung cư Pandora và rất nhiều tiện ích khác, giao thông thuận lợi.  + Nhà chủ tự xây có nhờ thiết kế theo phong cách cực kỳ hiện đại. Thoáng trước sau cộng thêm giếng trời nên các phòng đều hưởng đủ ánh sáng, không khí trong lành.  + Đường trước nhà 6m văn minh thoáng mát, ô tô dừng đỗ, ô tô vào nhà.  + Tầng nào cũng có ban công rộng để trồng cây, thưởng trà.  + Thiết kế hiện đại, cực kỳ hợp lý.    - Tầng 1: Khách, bếp (có thể làm gara để ô tô)    - Tầng 2,3: 4 phòng ngủ, vệ sinh giữa.    - Tầng 4: Phòng thờ, phòng ngủ.    - Tầng 5: Sân phơi, giặt giũ.  + Khu phân lô an ninh tốt, dân trí cao.  + Sổ đỏ vuông đẹp cất két. ",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821477.0775054, 5,, 4, 4, 4
"10,2 tỷ VNĐ",Đường Văn Quán phường Văn Quán, 55m2,"
    
- Nhà đẹp thuộc khu đô thị Văn Quán - Hà đông, 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
- Nhà đẹp thuộc khu đô thị Văn Quán - Hà Đông, đường rộng thênh thang ô tô tải tránh nhau, vỉa hè rộng 10m, kinh doanh thì cực đỉnh.
- Nhà thiết kế xây 5 tầng mới cắc chắn và cực đẹp, nhà chủ xây để ở nên rất tâm huyết và thiết kế theo kiểu hiện đại.
- Tầng1: kinh doanh, bếp, Wc.
- Tầng 2: Phòng khách, phòng ngủ và Wc.
-Tầng 3,4: mỗi tầng 2 phòng ngủ và Wc.
- Tầng 5: phòng thờ, sân phơi, sân vườn tuyệt đẹp.
- hàng xóm thân thiện, an ninh đảm bảo tốt.
- Sổ đỏ chính chủ sẵn sàng giao dịch.
-Giá: 10,2 tỷ ( CÓ THƯƠNG LƯỢNG).
- ACE đang quan tâm nhà ở hay kinh doanh thì hãy nhấc máy liên hệ Em Thùy ngay nhé.
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821478.2688406, 5, 1, 3, 4, 3
6 triệu VNĐ,LÊ Thanh Nghị, 45m2,"Hiếm chỉ 6 tỷ có ngay nhà 4 tầng lô góc phố Lê Thanh Nghị MT6m, kinh doanh VIP Gọi ngay 0373729889 Lê Thanh Nghị, mặt ngõ ô tô, thông Giải Phóng, kinh doanh sầm uất đêm ngày.+ Lê Thanh Nghị được ví là tuyến phố Công Nghệ, thuộc vùng lõi quận Hai Bà Trưng, nằm giữa 3 trường đại học Bách Khoa - Kinh Tế - Xây Dựng, đối diện bệnh viện Bạch Mai - Việt Pháp, vô cùng thuận lợi trong kinh doanh với đa dạng mọi thể loại.+ Nhà cách mặt phố có vài chục mét, nằm trên mặt ngõ ô tô thông từ Lê Thanh Nghị sang Giải Phóng, thiết kế 4 tầng kiên cố, đầy đủ công năng sử dụng.+ Sổ đỏ riêng, chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch.Giá chỉ 6 tỷ (có thương lượng)Liên hệ: 03737329889 - Minh thổ cư hỗ trợ khách hàng xem nhà miễn phí đến tận lúc hoàn thành thủ tục mua nhà.",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821479.518546, 4,, 4, 4, 6
