price,address,Diện tích,Mặt tiền,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số tầng
"6,3 tỷ VNĐ","Ngô Gia Khảm, Ngọc Lâm, Long Biên.", 70m2,,,,"SIÊU PHẨM NHÀ CỰC ĐẸP - KINH DOANH - ĐỐI DIỆN BẾN XE GIA LÂM  - GIÁ CỰC TỐT. Ngô Gia Khảm với 70m2, vị trí lý tưởng, kinh doanh, đối diện Bến xe Gia Lâm. Nhà cực đẹp, ngõ thông khắp ngả ra  Nguyễn Sơn, Hồ Ngọc Lâm, xung quanh trường chợ, tiện ích ngập tràn.+ Nhà chủ tự xây, vô cùng tâm huyết, kiên cố chắc chắn, cực đẹp.- Tầng 1: Sân để xe, khách + bếp siêu rộng, thoáng, đẹp.- Tầng 2, 3: Mỗi tầng 2 phòng ngủ + WC.- Tầng 4: Phòng thờ, sân phơi.+ Sổ đỏ lung linh, vuông đét.+ Liên hệ: Ms Mai 0983724773.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834096.6268013,,,
"6,3 tỷ VNĐ",Văn Phú- Hà Đông, 61m2,,,,"Bán gấp nhà đẹp Văn Phú, Hà Đông, nở hậu, ô tô tránh, 61m2, nhỉnh 6 tỷ Phố Văn Phú, Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành, dân trí cao quan chức về đây tụ họp rất nhiều như quần long tụ tụ, gần siêu thị Metro, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp chủ tự thuê thiết kế, phong cách Châu Âu hiện đại, nội thất xịn đẳng cấp, khu vực rất hiếm nhà bán, không có căn thứ 2, các phòng thoáng sáng đầy đủ công năng, vài bước chân ra phố. Giao thông thuận lợi di chuyển các phố: Hà Cầu, Đa Sỹ, Lê Hồng Phong,Lý Thường Kiệt, Trần Đăng Ninh, Hoàng Đôn Hòa, Cầu Đơ...gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.3 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834099.1247652,,,
"6,3 tỷ VNĐ",Cầu Đơ- Hà Đông, 58m2,,,,"Nhỉnh 6 tỷ, gara ô tô, ngõ thông, nở hậu, 58m2x5 tầng, Cầu Đơ, Hà Đông Tôi cần bán nhà đẹp mới, ở ngay, nhà tự xây chắc chắn đầy đủ công năng sử dụng, phòng nào cũng có cửa sổ đón nắng gió với 4 tầng rộng đẹp nhất khu vực.Nhà thoáng trước thoáng sau, đường trước nhà ô tô tránh. Ngõ rộng thông, ô tô vào nhà, vừa ở- kinh doanh hoặc cho thuê quá Đỉnh, khu vực không có căn thứ 2. Giao thông di chuyển các phố: Tô Hiệu, Lê Lai, Lê Hồng Phong, Đa Sỹ, Vạn Phúc, Nguyễn Trãi, Hoàng Hoa Thám, Vạn Phúc, Văn Quán, Mỗ Lao, bến xe bus rất gần, gần gas Hà Đông vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, siêu thị, bệnh viện, ngân hàng, trung tâm mua sắm sầm uất bậc nhất Hà Đông, không thiếu thứ gì, không ở đây quá phí.Hàng xóm toàn quan chức, khu văn minh, an ninh tuyệt đối. Giá: 6.3 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834101.2344666,,, 5
650 triệu VNĐ,Thạch Thất- Hà Nội, 60m2,,,,-Chuẩn bị ra lò--Nóng hổi chính chủ đầu tư -Sổ đỏ chính chủ đầu tư -VỊ TRÍ: Quá siêu đẹp.đi bộ ra bờ hồ Tân Xã 100m -Kinh doanh quá ổn áp -Quá chuẩn cho tương lai gần -X2 đến X4 trong thời gian ngắn -liên hệ em sớm để còn lô đẹp nhất dự án - rất nhiều đất đẹp mọi vị trí  ---0966772113--,30/12/2021,Tin thường,batdongsan_so_com_vn_1673834105.1560457,,,
"5,6 tỷ VNĐ","Nguyễn Huy Tưởng,", 118m2,,,,"Gia đình tôi cần bán Căn hộ Chung cư Imperia Garden 203Nguyễn Huy Tưởng:- Tòa D căn 01, Diện tích: 118 m2 - Thiết kế 3 phòng ngủ+ 2 vệ sinh, ban công đã có tiểu cảnh vườn đẹp - Cửa vào Hướng cửa Tây Nam, ban công Đông Bắc. View nội khu nhìn ra vườn và bể bơi - Rất thuận tiện đi lại, an toàn và an ninh tốt. Căn hộ thoáng và tiện ích đầy đủ. Gia chủ đang ở với thiết kế đẹp và chất liệu tốt Để lại đồ gỗ & bếp từ cho khách mua lại Giá bán: 5.6 tỷ( có thương lượng) Liên hệ chính chủ: Mr Hoàng: 0839 763 366  Chung cư imperia garden, căn hộ chung cư imperia garden nguyễn huy tưởng, chung cư imperia thanh xuân, bán căn hộ chính chủ imperia garden.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834109.2041035,,,
"15,5 tỷ VNĐ","Bán nhà ngõ 128C Đại La, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 259 phố Vọng", 80m2, 6, 10, 10,"Bán tòa chung cư mini 7 tầng thang máy ngõ 141 phố Vọng Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ mini, mỗi căn hộ gồm 1 phòng ngủ + 1 phòng khách + 1 bếp + phòng tắm + ban công thoáng.Nội thất hoàn thiện đầy đủ 100%, khách chỉ cần xách vali đến ở: mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834111.1190898, Nam, 3, 7
"4,85 tỷ VNĐ","Bán nhà ngõ 136 Nguyễn An Ninh, Bán nhà ngõ 71 Nguyễn An Ninh Bán nhà ngõ 104 Nguyễn An Ninh", 55m2, 3, 3, 3,"Bán nhà phân lô ô tô đỗ cửa Nguyễn An Ninh, Trần Đại Nghĩa Hai Bà Trưng 55m2x3T, giá 4.85 tỷ Nhà nằm ở vị trí đẹp, ngay mặt ngõ ô tô đỗ cách nhà 30m sổ  vuông vắn, thiết kế gồm: - Tầng 1: Phòng Khách, bếp, vệ sinh- Tầng 2: Mỗi tầng 2 phòng ngủ rộng và nhà tắm giữa- Tầng 3:1 phòng  thờ,1 phòng ngủ,1 vệ sinh,1 sân phơiHoàn thiện nội thất cao cấp, sàn gỗ Malaysia, khách mua về ở luôn được ko cần phải sửa chữa.Vị trí nhà mặt ngõ phân lô, ngõ thông thoáng các ngả,gần đường ô tô, gần các trường Kinh Tế Quốc Dân, Bách Khoa, gần nhiều bện viện lớn như Bạch Mai, Việt Pháp đi lên các tuyến phố rất tiện.SĐCC, giá 4.85 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",18/12/2021,Tin thường,batdongsan_so_com_vn_1673834113.283019, Đông nam, 4, 3
"12,3 tỷ VNĐ","Bán nhà ngõ 559 Kim Ngưu, Bán nhà phân lô ngõ 61 Lạc Trung, Bán nhà phân lô ngõ 88 Võ Thị Sáu", 85m2, 4, 10, 10,"Bán toà nhà chung cư mini 19 Phòng cho thuê, ngõ 559 Kim Ngưu, Vĩnh Tuy, Hai Bà Trưng,Hà Nội, thang máy hiện đại giá chỉ 12.3 tỷDiện tích 85m2, mặt tiền 4.5m, nhà xây mới tinh 7 tầng đẹp long lanh. Thiết kế hiện đại, phong cách Châu Âu, có thang máy xịn, chuyên để cho thuê. Tầng 1: Thiết kế làm chỗ để xe, sức chứa 60 xe máy. Tầng 2,3,4,5: Thiết kế mỗi tầng 4 phòng khép kín, vệ sinh khép kín từng phòngTầng 6 là 2 phòng khép kín đầy đủ tiện nghi + sân phơi chung rộng rãiTầng 7 thiết kế 1 căn hộ rộng với 1 phòng khách, bếp và 1 phòng ngủNội thất được hoàn thiện chất lượng cao với điều hoà 1200K, Vệ sinh ToTo, nóng lạnh 30 lít, quạt treo tường, Giường Tủ, kệ bếp, công tơ điện nước riêng đầy đủ, cửa sổ, cửa nhà mở các phòng cực thoáng, khách thuê chỉ cần xách Vali về ở...Hiệu suất cho thuê nếu chủ tự quản lý 960tr/năm. Cam kết thuê lại với giá 700-750tr/nămVị trí đẹp, ngõ thông, cách phố Kim Ngưu chỉ 80m xung quanh tiện ích đồng bộ Trường học, bệnh viện, TTTM…SĐCC, Giá bán 12.3 tỷ (có thương lượng)liên hệ chị Yến ĐT:0702138238",18/12/2021,Tin thường,batdongsan_so_com_vn_1673834115.1149788, Tây, 3, 7
"4,85 tỷ VNĐ","Bán nhà ngõ 136 Nguyễn An Ninh, Bán nhà ngõ 71 Nguyễn An Ninh Bán nhà ngõ 104 Nguyễn An Ninh", 55m2, 3, 3,,"Bán nhà phân lô ngõ 383  Trần Đại Nghĩa Hai Bà Trưng 55m2x3T, giá 4.85 tỷ Nhà nằm ở vị trí đẹp, ngay mặt ngõ ô tô đỗ cách nhà 30m sổ  vuông vắn, thiết kế gồm: - Tầng 1: Phòng Khách, bếp, vệ sinh- Tầng 2: Mỗi tầng 2 phòng ngủ rộng và nhà tắm giữa- Tầng 3:1 phòng  thờ,1 phòng ngủ,1 vệ sinh,1 sân phơiHoàn thiện nội thất cao cấp, sàn gỗ Malaysia, khách mua về ở luôn được ko cần phải sửa chữa.Vị trí nhà mặt ngõ phân lô, ngõ thông thoáng các ngả,gần đường ô tô, gần các trường Kinh Tế Quốc Dân, Bách Khoa, gần nhiều bện viện lớn như Bạch Mai, Việt Pháp đi lên các tuyến phố rất tiện.SĐCC, giá 4.85 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834117.4613445, Đông nam, 3, 3
,bằng liệt hoàng mai ha noi, 45m2,,,,"+Đường trước nhà ô tô qua,dừng đỗ. +Lô góc.Hướng đẹp,thoáng sáng,ngõ ô tô rộng,thông,kinh doanh tốt. +Nhà xây mới 5tầng,mt3.6m thiết kế đẹp,hiện đại.chuẩn công năng sử dụng. +Khu vực dân cư văn minh dân trí cao.Đất lành,vượng khí. +ĐI dạo đến chợ,trường MN ,THCS Chu Văn AN,KHU P/Lliền kề,kết nối KĐT Tây Nam Linh Đàm chung cư HH Linh Đàm với bạt ngàn tiện ích VIP +Giao thông thuận tiện : di chuyển vào TTTP với nhiều ngả đường,gần vành đai 3,bến xe,bệnh viện, cao tốc Pháp Vân. +Pháp lý chuẩn đẹp.giao dịch ngay ạ +Giá 4.8 tỷ(có thương lượng) ạ. LH Mr Phúc 097.8895.889zalo -0912.338.038  ",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834119.38082,,,
