price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
62 triệu VNĐ,Đường Nguyên Khê phường Nguyên Khê, 88m2,"Bán đất đấu giá X3 Khê Nữ Nguyên Khê Đông Anh năm 2022 Diện tích: 88m2. Lô góc 2 mặt tiền rất rộng, sau này KINH DOANH rất đẹp. 2 mặt đường Quy hoạch, 1 đường 20m, 1 đường 15m, sau này là ngã 4 sầm uất. Vị trí khu đất X3 đấu giá Khê Nữ Nguyên Khê: Cách đường Lê Hữu Tựu chỉ 100m. Cách 200m là đầy đủ: Trung tâm hành chính xã + trường học các cấp + Chợ Lắp Ghép… Gần khu đô thị Nguyên Khê vô cùng phát triển, nhiều tiện ích kéo theo. Cách đường Võ Nguyên Giáp và Công viên phần mềm Vintech 1km. Cách trung tâm HN và Sân bay Nội Bài 10p chạy xe. Em Linh 0919841234 để xẻm đất thực tế và làm việc với chủ đất Ngoài ra bên em còn nhiều lô đất khác tại khu đấu giá này có nhu cầu bán quý khách liên hệ để biết thêm chi tiết –           Tư vấn nhà đất Đông Anh miễn phí. –           Kiểm tra quy hoạch mới nhất giá rẻ.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817118.0465808, 8,,,,
"7,9 tỷ VNĐ","Tô Hiến Thành, Hà Đông, Hà Nội.", 48m2," * CC cần bán nhà, căn góc, 2 mặt tiền, 3 mặt thoáng, ô tô đỗ cửa, khu Yên Phúc quận Hà Đông. DT 48m, 4T, cần bán nhanh trong 2 tuần, giá 7.9 tỷ. + Vị Trí: đông đúc, thuận tiện, kinh doanh tấp nập ngày đêm, ngay cạnh KĐT Văn Quán, gần đường Phùng Hưng, thông đường 19/5, Nguyễn Khuyễn, Bạch Thái Bưởi, Tô Hiến Thành... + Sổ đỏ chính chủ, sẵn sàng giao dịch. * Nhanh tay LH: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ). ",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817119.4149082,, 5, 4, 7,
,Đường Nam Cương phường Hiền Ninh, 100m2,"ng - Hiụng ô tô full thưặn=5.28m, mậ hĐường 3.5m, ô tô ảng trCách ợng chCách trươn Hoá Nam cỉắ 500M ổ, sdcc.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817120.7493384, 5,,,,
"4,3 tỷ VNĐ","Kim Giang, Thanh Trì, Hà Nội.", 37m2," # Siêu phẩm nhà đẹp, xây chắc, ở sướng, an sinh đỉnh, nhà trong ngõ đường Kim Giang, Thanh Trì, Hà Nội, DT 37m, 5T, mt 4.3m, giá chỉ xíu 4.3 tỷ. + Vị trí tiềm năng nay mai, khu vực đang phát triển mạnh, nằm cạnh KĐT The Manor, gần hồ Chu Văn An, gần đường đôi Thanh Liệt, vài phút ra đến Chợ Quang, trường học các cấp, giao thông thuận lợi, tiện ích đủ đầy. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. # nhanh tay LH: Tình nhà phố 0906113879 ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông - Hà Nội ).",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817122.057274, 4, 5, 4, 2,
"3,4 tỷ VNĐ","Thanh Trì, Hà Nội", 41m2,"Cổ Điển A, Tứ Hiệp, Thanh Trì Cách đường 2 ô tô tránh nhau 10m. Thông ra khu TĐC Tứ Hiệp và khu ĐG.  Gần 2 trường chuẩn Quốc gia Ngô Sỹ Kiện và Chu Văn An. Tiện ích vô vàn.  Nhà chủ tự xây, thiết kế cực kỳ đẹp và sang trọng  Sổ đỏ chuẩn đẹp, sẵn sàng giao dịch.  ",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817124.0888395,,,,,
"2,7 tỷ VNĐ","Núi Trúc , Ba Đình", 80m2,"Siêu Hot . Nhà Núi Trúc, Ba Đình 80m x 3T , MT 4m , Kinh doanh được: 2.7 tỷ+ Cơ hội cho các khách tầm tiền ,vị trí tuyệt vời , ôtô chạy quanh nhà , ba bước ra hồ Giảng Võ Trường cấp 1,2,3 con đi bộ đi học , kinh doanh được.+ Nhà xây 3 Tầng Đẹp , chỉ việc xách va li về ở+ Sổ sẵn sàng giao dịchXem nhà và tư vấn hỗ trợ miễn phí .Trung 0896695659",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817125.3045878,,,,,
"1,8 tỷ VNĐ",Đường Vũ Lăng phường Tứ Hiệp, 70m2,"
    Tặng gói Smart Home tới 35 triệu Và Quà Tặng.----------------------4 mặt giáp đường lớn và sát cạnh các tuyến đường trọng điểm: QL 1A, đường kết nối Pháp Vân Cầu Giẽ - Vành đai 3.- 2km tới Bệnh viện Nội tiết TW.----------------------Thiết kế căn hộ thông minh, tiện nghi.------------------
",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817126.7642395, 7, 16, 2, 10, 2
"6,4 tỷ VNĐ","Lý Thường Kiệt, Hà Đông, Hà Nội", 30m2," * Hiếm có khó tìm, nhà mặt phố Lý Thường Kiệt quận Hà Đông, kinh doanh sầm uất, đường 3 ô tô tránh, vỉa hè 2 bên, khu dân trí, hạ tầng ổn định, an ninh, an sinh tốt, ở, cho thuê, văn phòng...Đỉnh. DT 30/35m, 5T, giá chỉ 6.4 tỷ. + Vị Trí: đắc địa, trung tâm quận Hà Đông, kinh doanh ngày đêm, chạy song song với đường Quang Trung, cạnh KĐT Văn Phú, gần nhiều Trường, Chợ, Siêu thị, khu vui chơi, đường ô bàn cờ, giao thông thuận tiện, tiện ích ngập tràn. + Sổ đỏ đẹp chính chủ, pháp lý chuẩn, sang tên nhanh. # HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi có uy tín trong giới Nhà Đất quận Hà Đông – Hà Nội ).",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817127.9630344, 4, 5, 4, 10,
"5,55 tỷ VNĐ",Nguyễn Trãi, 43m2,"Bán gấp căn nhà mặt tiền đẹp 4.3m tại phố Nguyễn Trãi - Thanh Xuân.+ Vị trí nhà đẹp, đi bộ vài phút ra mặt phố, gần Royal City, trường học các cấp.+ Ô TÔ tránh cách 15m, khu dân trí cao, an ninh tốt rất đáng sống.+ Thiết kế nhà hiện đại, nội thất cao cấp, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817129.179156, 4, 5, 6,,
"4,8 tỷ VNĐ",thượng đình, 42m2," Bán Nhà, Nguyễn Trãi, Thanh Xuân. Ô Tô Kinh Doanh 42m2 x 5 tầng. Mặt Tiền 4.6m Giá 4.8 Tỷ.  NHÀ MỚI – GẦN PHỐ - KINH DOANH ĐA DẠNG – SINH SỐNG CỰC ĐỈNH  - Nhà gần phố, gần  Trường học các cấp, cách UBND Công An Phường vài chục mét, an ninh tuyệt đối, tiện ích vô vàn. Nhà gần trường Đại Học khoa Học Xã Hội Và Nhân Văn, Đại Học Thuỷ Lợi. Gần trung tâm thương mại Roal Anl City. - Nhà cách mặt phố Nguyễn Trãi vài chục mét ngả đi các hướng, Ngã Tư Sở, Hà Đông, vành đai 3 đi các tỉnh ven Hà Nội. Giao thông cực kỳ thuận tiện. - Chủ tự xây cực kỳ tâm huyết, thiết kế hiện đại. mới kính coong, nội thất đắt tiền chủ tâm huyết tỉ mỉ ở có lộc muốn mua nhà to hơn. - Nhà thiết kế 5 tầng: + Tầng 1: Phòng khách, bếp, wc. + Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc + Tầng 5: Phòng thờ sân phơi   + Sổ siêu đẹp, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179  ",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817131.0309906,, 5, 6,, 4
