price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Mặt tiền
"5,7 tỷ VNĐ",Đường Đầm Trấu  phường Bạch Đằng, 40m2,, 5, 5, 5,"CẦN BÁN NHÀ ĐẦM TRẤU Q.HAI BÀ TRƯNG NHƯ SAU :  - Nhà sáng và thoáng 2 mặt ,ô tô đỗ , xây dựng chắc chắn, thiết kế hiện đại , chủ mới dọn đồ ở ngay .  - Nhà có thể cho thuê văn phòng và ở. Vị trí phân lô cực thoáng sáng, ô tô đỗ quanh nhà ngày đêm.   - Nhà thông khắp các ngả đường : Nguyễn Khoái , Bạch Đằng, Lò Đúc, Tăng Bạt Hổ, Nguyễn Cao, Trần Khát Chân, Kim Ngưu ; Yên Lạc; Minh Khai; Thanh Nhàn; Lạc Trung .... Thuận tiện di chuyển các trường Đại Học xung quanh như Bách Khoa, Công Nghệ ; Kinh Tế Quốc Dân , Xây Dựng ... Gần nhiều bệnh viện lớn : Việt Xô , Quân Đội 108 ,  - Pháp lý chuẩn chỉ  Liên hệ : Trang bđs 0904604669",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806277.8642437, 5, 5
"2,527 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 52m2,,, 2, 1,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'cĂn="""" hỘ="""" thÔng="""" minh="""" 1="""" pn="""" +1-="""" lÀ="""" sỰ="""" lỰa="""" chỌn="""" hoÀn="""" hẢo="""" -="""" spanspan="""" text'="""" lÃi="""" vỐn="""" tỐt="""" dÒng="""" tiỀn="""" cao="""" dỄ="""" thanh="""" khoẢn="""" span="""" p="""" pspansegoe="""" float:="""" display:="""" inline="""" !important;="""" initial'="""">SA3 - The Sakura- Vinhomes Smart City: Là phân khu duy nhất sở hữu bể bơi bốn mùa trong nhà, cùng hệ thống bể sục Jacuzzi. Trải nghiệm không gian sống đẳng cấp với công viên Vườn Nhật nội khu sắc sảo và tinh tế đến từng Centimet. + Giá căn hộ chưa chiết khấu: 2,689 tỷ - Hướng ban công: Đông Nam,  - CK BLNH: 0,8% - Chiết khấu khách hàng thân thiết: 1% ",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806279.2245986, 50, 5
,Đường Đại Lộ Thăng Long phường Tây Mỗ, 65m2,, 5, 15, 2,Liên hệ 0912785252  Thông tin dự án và thương lượng giá ,26/08/2022,Tin thường,batdongsan_so_com_vn_1673806280.295733, 20, 5
31 tỷ VNĐ,Nghi Tàm Tây Hồ, 142m2,, 6, 5, 5,"SIÊU MẪU MẶT PHỐ NGHI TÀM TÂY HỒ 142M2 X6 TẦNG THANG MÁY, MT 5M GIÁ 31 TỶ CÓ THƯƠNG LƯỢNG     + Vị trí đẹp xung quanh kinh doanh cực kỳ sầm uốt, Spa, Văn phòng   + Thiết kế mỗi tầng 2 phòng, ở giữa là thang bộ, thang máy!   + Vừa ở vừa cho thuê kinh doanh cafe tầng 1 và tầng 6!   + Sổ đỏ chính chủ,  vuông vắn, sẵn sàng giao dịch!   Liên hệ ngay với em  Miễn TG Quảng Cáo ",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806281.4895387,, 5
"5,4 tỷ VNĐ",Đường Vương Thừa Vũ phường Khương Trung, 30m2,, 5, 4, 4,"BÁN NHÀ MẶT PHỐ VƯƠNG THỪA VŨ. 33 M2 5,395 TỶ  - Nhà mới thiết kế hiện đại đầy đủ tính năng theo phong cách trẻ trung, nằm giữa trung tâm khu vực đông dân cư, kinh doanh buôn bán sầm uất. + Thuận tiện giao thông .  + Gần tất cả các trường học các cấp, đại học: Kinh tế, Xây dựng, Bách khoa ... Ngã tư sở và các bệnh viện lớn như Bạch Mai, BV Đại học y Hà Nội ... - Thiết kế : 5 tầng 4 phòng ngủ, bếp, phòng thờ, phòng để xe, sân phơi, WC. - Sổ đỏ vuông đét sẵn sàng chờ chủ mới. - LH: Gia Hiên xem nhà. 0974414868.",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806282.6953127, 8, 6
"3,98 tỷ VNĐ",Đường Kim Ngưu phường Thanh Lương, 35m2,, 5, 4, 5,"C"",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'ần="""" bán="""" n="""" spanspantimes="""" yes'hà="""" phố="""" spanspan="""" vi'="""">Kim Ngưu HBT "",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'35="""" spanspantimes="""" yes'm="""" vi'=""""> x"",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes'="""" spanspan="""" yes;="""" mso-ansi-language:="""" vi'5="""" spanspantimes="""">tầng"",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'span="""" span="""" spanspan="""" yes'span="""" vi'="""">Giá3 tỷ"",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'span="""" spanmt4m="""" span="""" p="""" class=""MsoNormalSPANTimes"" yes'v="""" spanspan="""" vi'="""">ớVị trí đắc địa, hiếm có, khách xem là không muốn về, cách bệnh viện Thanh Nhàn 500m, hồ Hoàn Kiếm chỉ 3 phút đi xe máy, gần nhiều trường Đại học lớn...  tầng, xây chắc chắn, hiện đại,  Sổ đỏ chính chủ "",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'cất="""" két="""" spanspantimes="""" yes'="""" vượng="""" khí="""" sẵn="""" sàng="""" giao="""" dịch="""" span="""" p="""" class=""MsoNormalSPANTimes"">Giá3.98 tỷ "",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'span="""" span="""" spanspantimes="""" yes'--="""" spanspan="""" vi'="""">LLiên hệ "",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'chính="""" chủ="""" spanspan="""" yes'="""" spanspantimes="""">Liên Phạm "",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'để="""" biết="""" thêm="""" chi="""" tiết="""" span="""" p="""" class=""MsoNormalSPANTimes"" yes'0904560717="""" –="""" 0988599411="""" pspantimes="""" mso-fareast-font-family:="""" calibri;="""" mso-fareast-theme-font:="""" minor-latin;="""" en-us;="""" mso-fareast-language:="""" mso-bidi-language:="""" ar-sa'="""">quachcuong411@gmail.com ",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806283.830009, 3, 4
"3,75 tỷ VNĐ",Đường Lê Quang Đạo phường Phú Đô, 30m2,, 5, 4, 3,,26/08/2022,Tin thường,batdongsan_so_com_vn_1673806284.9948921, 4, 4
"6,8 tỷ VNĐ",Đường Đàm Quang Trung phường Long Biên, 38m2,, 6, 3, 4,"Nhà 6 tầng-lô góc-thang máy-gara ô tô 7 chỗ-đối diện Aeon Long Biên 💥💥💥⏩Nhà còn rất mới chủ mới ở được 2 năm, thang máy xịn xò, ô tô 7 chỗ vào tận nhà. Chủ để lại toàn bộ nội thất cho khách mua. ⏩Đường trước nhà rộng rãi, ngõ thông, ô tô qua lại ⏩Vị trí nhà ngay chân cầu Vĩnh Tuy, đi sang nội thành chỉ 10ph, cách 500m là TTTM Aeon Long Biên, tiện ích dịch vụ đầy đủ, xung quanh đông dân, an ninh tốt.⏩Thiết kế:- Tầng 1: Gara + WC. - Tầng 2: Khách + Bếp. - Tầng 3,4,5: 01 P. Ngủ + WC. - Tầng 6: Phòng thờ + Sân phơi. ⏩Sổ đỏ chính chủ, giao dịch ngay.  A,c,e Quan tâm vui lòng liên hệ  Cảm ơn đã xem tin",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806286.169795, 4, 3
17 tỷ VNĐ,"Trần Duy Hưnng, Cầu Giấy, Hà Nội", 69m2,, 5, 4, 4,"TRẦN DUY HƯNG – CẦU GIẤY, Ô TÔ TRÁNH – VỈA HÈ – KINH DOANH SẦM UẤT - Chính chủ nhờ  bán nhà Trần Duy Hưng – Cầu Giấy, ô tô tránnh  -vỉa hè, kinh   doanh vô địch - Nhà 5 tầng 69m2, xây dựng thông sàn phục vụ kinh doanh. - Nhà  xây dựng chắc chắn. Chủ mới về sửa sang lại, có thể lên thêm tầng, lắp thang máy. - Chủ nhà đã kiểm tra  quy hoạch và chỉ giới đỏ  xây  dựng với mục đích xây tòa nhà. Nay thay đổi phương án kinh doanh nên bán. - Sổ đỏ nở hậu đẹp, sẵn sàng giao dịch. Chủ thiện chí - Liên hệ: K.S Phương – 0918120568 để được hướng dẫn xem nhà và gặp trực tiếp chủ nhà thương lượng giá tốt",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806287.411473,,
"9,8 tỷ VNĐ",Đường Nguyễn Trãi phường Khương Đình, 70m2,, 4, 4, 3,"- BÁN NHÀ PHỐ  NGUYỄN TRÃI LÔ GÓC 70M2, 4 TẦNG, MT6M, GIÁ 9.8 TỶ ÔTÔ ĐỖ CỬA, HÀNG XÓM ROYAL CTY. KINH DOANH. - Nhà xây kiên cố đầy đủ tính năng, khu vực đông dân cư kinh doanh buôn bán sầm uất, giao thông thuận tiện. gần trung tâm thương mại hàng đầu VN. ROYAL CTY, các trường học các cấp đên đại học: Đại học QG, Đại học công nghệ giao thông vận tải, Đại học Hà nội... - thiết kế: 4 tầng 4 phòng ngủ, nhà xe, phòng khách, bếp, phòng thờ, sân phơi và WC. - Chủ mới mua về tách phân lô 2 biệt thự xinh đẹp. - sổ đỏ năm kêt sẵn sáng chờ chủ mới. - LH: Gia Hiên 0974414868.",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806288.4677043, 20, 6
