price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới
"7,3 tỷ VNĐ",Văn Phú- Hà Đông, 50m2,,,,,,"Bán nhà cạnh tòa Victoria Văn Phú, Hà Đông,50m2, nhỉnh 7 tỷ Bán nhà đẹp ngay cạnh tòa Victoria Văn Phú, vỉa hè đá bóng, ô tô thông vòng quanh, cạnh khu đô thị Văn Phú, nhà tự xây tâm huyết, các tầng thoáng sáng đầy đủ tiện nghi phù hợp với ở kết hợp kinh doanh hoặc làm văn phòng. Khu dân cư đông đúc, xung quanh nhiều tòa chung cư, văn phòng, nhu cầu ở thuê rất lớn, tiện ích không thiếu. Giao thông qua các phố chính Quang Trung, hàng xóm với Trần Đăng Ninh và phố Lý Thường Kiệt, phía trên là Hoàng Đôn Hòa, ngay cạnh siêu thị Metro và Quận ủy các khu trung tâm hành chính quan trọng. Sổ vuông như tờ A4, sẵn sàng giao dịch. Giá: 7.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826907.7616646,
"7,3 tỷ VNĐ",Văn Phú- Hà Đông, 50m2,,,,,,"Bán nhà cạnh tòa Victoria Văn Phú, Hà Đông,50m2, nhỉnh 7 tỷ Bán nhà đẹp ngay cạnh tòa Victoria Văn Phú, vỉa hè đá bóng, ô tô thông vòng quanh, cạnh khu đô thị Văn Phú, nhà tự xây tâm huyết, các tầng thoáng sáng đầy đủ tiện nghi phù hợp với ở kết hợp kinh doanh hoặc làm văn phòng. Khu dân cư đông đúc, xung quanh nhiều tòa chung cư, văn phòng, nhu cầu ở thuê rất lớn, tiện ích không thiếu. Giao thông qua các phố chính Quang Trung, hàng xóm với Trần Đăng Ninh và phố Lý Thường Kiệt, phía trên là Hoàng Đôn Hòa, ngay cạnh siêu thị Metro và Quận ủy các khu trung tâm hành chính quan trọng. Sổ vuông như tờ A4, sẵn sàng giao dịch. Giá: 7.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826908.8158443,
"7,2 tỷ VNĐ",Chiến Thắng- Hà Đông, 50m2,,, 5,,,"Nhà đẹp, Chiến Thắng, Hà Đông,vỉa hè,ô tô tránh, 50m, 5 tầng Phố Chiến Thắng, Hà Đông sầm uất bậc nhất, ngay cạnh Khu đô thị Văn Quán, thông ra Tân Triều và Triều Khúc, vị trí lý tưởng gần các trường Đại học lớn. Nhà xây trên mảnh đất vượng khí, gia chủ thành đạt, nhà tự xây tâm huyết, đường trước nhà ô tô tránh, vỉa hè thênh thang, ở kết hợp kinh doanh văn phòng quá đỉnh. Bán kính xung quanh đầy đủ tiện ích: trường học, ngân hàng, chợ, .... Khu trung tâm di chuyển thuận lợi lên Thanh Xuân và Từ Liêm, hàng xóm Lương Ngọc Quyến, sang bên đường là An Hòa, cạnh Khu đô thị Mỗ Lao, gần Big C Nguyễn Văn Lộc Chủ nhà là doanh nhân thành đạt, con cháu đuề huề, chuyển sang ở Biệt thự rộng hơn nên cần bán gấp. Sổ vuông như tờ A4, sẵn sàng giao dịch. Giá: 7.2 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826909.838111,
"6,3 tỷ VNĐ",Đường Lương Khánh Thiện phường Tân Mai, 51m2,, 4, 4, 3, 3,"
    Phố Lương Khánh Thiện nối sang phố Tân Mai với phố Nguyễn Đức Cảnh và  khu Đền Lừ... Xung quanh rất nhiều dự án lớn và các tiện ích cao cấp như, TTTM, công viên, bến xe, bệnh viện...Nhà nằm trong khu phân lô cán bộ, cách mặt phố chưa đến 100m, bãi gửi xe ô tô ngay đầu ngõ.Ngõ rộng sạch đẹp, 3 gác tránh SH thoải mái.+ Nhà chủ tự xây được hơn 1 năm, chắc chắn, kiên cố, thiết kế hiện đại...+ T1: Phòng khách rộng, phòng ăn, bếp, vệ sinh.+ T2: Phòng ngủ master, ban công, vệ sinh.+ T3: 2 ngủ, hành lang, vệ sinh.+ T4: Phòng thờ, sân phơi, ban công rộng.+ Chủ để lại toàn bộ nội thất nhập khẩu mới tinh.+ Chủ nhà là người quen của TP, trẻ tuổi, thành đạt, hiểu chuyện, hợp tác tuyệt đối.+ Sổ đỏ chính chủ, phân lô, vuông vắn.Liên Hệ Vũ sdt, zalo để được tư vấn và đi xem nhà miễn phí.
",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826911.0388975, 3
,PHường Xuân Đỉnh, 55m2,,,,,,"Chính chủ bán nhà Xuân Đỉnh. 55m2, 6 tầng, MT 7m. Ô tô tránh. Kinh oanh đỉnh. Giá nhỉnh 100tr/m2.+ Nhà rất đẹp, công năng đầy đủ, tiện ích.Phòng khách rộng có sân trước để xe. + Có 08 phòng – 06 phòng không ở đến có thể cho thuê dòng tiền gần 300/ năm.+ Mặt tiền tuyến đường chính ô tô tránh thoải mái, Kinh doanh đỉnh, đường  thông ra các tuyến phố nội đô sầm uất tiện ích. + Gần trường học các cấp, ba bước chân ra chợ.Dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán kinh doanh tấp lập..+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:5,7 tỷLiên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7. ",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826912.0522301,
8 tỷ VNĐ,Sơn Đồng-Hoài Đức-Hà Nội, 92m2,,,,,,"☑️✅Sơn Đồng Center thổi bùng ngọn lửa Bđs Phía Tây Hà Nội.- Sở hữu ưu thế về mặt vị trí, kết nối, hạ tầng, pháp lý,... - Sơn Đồng Center đang là điểm nóng thu hút khách hàng và giới đầu tư.- Dự án tọa lạc tại toạ độ chiến lược trung tâm làng nghề hơn 800 năm tuổi Sơn Đồng, nằm khu vực quy hoạch hạ tầng giao thông đón Hoài Đức lên Quận. ☑️ Thông tin dự án.- Dự án: Khu đấu giá làng nghề Sơn Đồng, Hoài Đức.- Tên thương mại: Sơn Đồng Center.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: MB Land Invest.- Tổng diện tích: 25.837m2.- Số lượng: 150 căn liền kề.- Diện tích từ: 70m2 - 103m2.- Xây dựng: 4.5 tầng.- Loại hình: Liền kề, Shophouse.- Bàn giao: Xây thô hoàn thiện ngoài.- Hạ tầng đã xong, hiện đang xây thô - sổ đỏ chính chủ - đất ở lâu dài. ✅ Tiềm năng tăng giá trong tương lai nhờ hưởng trọn lợi thế về hệ thống giao thông và cơ sở hạ tầng được đầu tư bài bản, đồng bộ: - Đường vành đai 3.5, Hoàng Quốc Việt kéo dài,tuyến tỉnh lộ 422...- Các trục đường lớn nối từ Nhổn tới Đại lộ Thăng Long chạy qua huyện Hoài Đức mở rộng lên tới 4 làn xe. - Tuyến metro Nhổn ga Hà Nội sắp vận hành.- Đặc biệt khi tuyến đường Trịnh Văn Bô đi vào hoạt động thì việc di chuyển đến Mỹ Đình và nội đô nhanh chóng hơn.- Sơn Đồng Center Nghìn năm tinh hoa khơi nguồn thịnh vượng. ———-------------------------------- ✔️ Liên hệ Hotline: : 0779273787",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826913.1492963,
"4,8 tỷ VNĐ",Đường Khương Hạ phường Khương Đình, 46m2,, 4, 4, 4, 3," Cần bán gấp nhà Khương Đình, quận Thanh Xuân. Nhà nằm ở vị trí đẹp, gần phố, Ô Tô, gần Royal City, UBND Phường, trạm y tế, chợ, siêu thị, TTTM, trường học các cấp... + Nhà chủ tự xây 4 tầng khung cột chắc chắn, nhà 2 mặt thoáng, các tầng đều có ban công thoáng đẹp. + Khu vực có dân trí cao, giao thông thuận tiện giao cắt phố Kim Giang, Nguyễn Trãi, Ngã Tư Sở, Khương Thượng, Vũ Tông Phan, Nguyễn Xiển... + Sổ đỏ chính chủ sẵn sàng giao dịch. + Giá: 4.8 tỷ ( có thương lượng ) Liên hệ 0926891993 ( Liệu ) để được xem nhà miễn phí, làm việc trực tiếp chính chủ, miễn trung gian.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826914.1456373, 5
"15,1 tỷ VNĐ",Hà Nội, 72m2,,,,,,"Bán nhà Nguyễn Viết Xuân, kinh doanh đỉnh - SĐT: 0366 555 258. - Vị trí đắc địa hoa hậu phố Nguyễn Viết Xuân, ô tô tránh, kinh doanh tốt. - Diện tích 72 m2, 6 tầng thang máy, mặt tiền 5 m. - Đất lành phong thủy đẹp ở rất lộc lá. - Khu phân lô quân đội, an ninh tuyệt đối, dân trí cao. - Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào chỉ 15.1 tỷ thương lượng mạnh.Liên hệ ngay 24/24 Ms Thanh - 0366 555 258.Uy tín - Nhiệt tình - Chân thành.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826915.2008135,
"5,1 tỷ VNĐ",Kim Mã - Kim Mã - Ba Đình - Hà Nôi, 40m2,, 8, 5, 4, 4,"Bán nhà Kim Mã vị trí đẹp oto đỗ cách nhà vài bước chân diện tích thực 40m2, mặt tiền 8,5m giá chỉ 5,1 tỷ Nhà mới thiết kế hiện đại chỉ việc xách vali ở ngay không cần sửa chữa Nhà thiết kế cầu thang giữa chia 2 phòng, từ tầng 2 đua ra trên 40m Ngõ rộng thoáng, thuận tiện di chuyển sang các con phố lớn như Văn Cao, Liễu Giai, Lotte, Kim Mã, Đào Tấn,… Khu vực dân trí cao, an ninh đảm bảo Mô tả chi tiết: Tầng 1: Bếp + Phòng ăn + vệ sinh Tầng 2: Phòng ngủ + phòng khách + vệ sinh Tầng 3: Phòng ngủ + phòng trưng bày kèm chỗ tập + VS Tầng 4: Phòng ngủ + phòng thay đồ + vệ sinh Tầng 5: Phòng thờ + sân phơi Nhà mới đẹp dễ cải tạo các phòng theo ý thích Lh: E Quân: 0964875503 ",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826916.2849133,
"4,9 tỷ VNĐ",Bùi Xương Trạch, 40m2,, 3, 5, 4,,"+ Vị trí đẹp, 2 mặt thoáng vĩnh viễn trước sau, ngõ trước nhà ba gác đỗ cửa thoải mái. + Nội thất tặng lại, chỉ xách vali về ở luôn. + Nhà thiết kế 5 tầng chắc chắn, sang trọng. + Sổ đỏ nở hậu ,sẵn sàng giao dịch.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826917.3969383,
