price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Hướng,Lộ giới,Số toilet
"4,95 tỷ VNĐ",Phố Thạch Bàn, 46m2,"Mô tả: - Vi trí nhà nằm gần ngã tư Cổ Linh - Thạch Bàn, cách đại siêu thị Aone Mall 500m; gần khu đô thị mới Him Lam Thạch Bàn; các trường mầm non, cấp 1,2,3. - Ngõ trước nhà ôtô 5 chỗ đỗ cửa. - Nhà đẹp thang máy, mỗi tầng 1 phòng rộng rãi. - Lô góc 3 thoáng tràn ngập ánh sáng Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ em Long : 0988 073 894",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828725.9709263,,,,,,
"3,7 tỷ VNĐ",khương trung, 38m2,"- Chủ cần bán gấp lấy tiền mua nhà to hơn. - Diện tích: 38m2, 5 tầng. - Vị trí: Nhà nằm trên mặt ngõ thông, rộng, ba gác tránh. - Gần chợ, gần trường học các cấp, đầy đủ tiện ích, giao thông thuận tiện, hàng xóm thân thiện. - Nhà thiết kế đẹp, hiện đại. - Giá 3.7 tỷ thương lượng với chủ nhà. - Sổ đỏ chính chủ, vuông vắn. - Liên hệ ngay em Thảo chuyên đất thổ cư Hà Nội.",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828727.149773, 5, 5,,,,
"12,8 tỷ VNĐ",Nguyễn Chí Thanh-Láng Thượng-Đống Đa-Hà Nội, 40m2,"Nhà có đặc điểm sau-Vị trị đẹp, dan trí cao kinh doanh sầm uất, đường trước nhà oto tránh nhau, xe 7 chỗ vào nhà-Nhà thiết kế 7 phòng ngủ khép kin-Nội thất cơ bản mới tinh-Thang máy nhập khẩu chỉ chờ khách đi thử -Diện tích 40 m-Căn nhà qua rẻ so với khu vục-Giá 12,8 tỷ-ACE : ☎️ 0845681666",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828728.2009602,,,,,,
11 tỷ VNĐ,"Kim Giang, Thanh Xuân, Hà Nội", 68m2,"Chính Chủ Cần Bán gấp Nhà Phố Kim Giang. Dt 68m*4t giá 11 tỷ.+ Vị trí cực đẹp đường thông các ngả, Hoàng Đạo Thành, Nguyễn Xiển... Khu dân trí cao, giao thông thuận tiện, tiện ích không thiếu thứ gì, kinh doanh văn phòng, spa, trường học, hay cho thuê...+ Đường trước nhà ô tô tránh, có vỉa hè, mới xây được vài năm, cực hiện đại, nội thất xịn, thiết kế tỷ mỷ, phòng nào cũng có cửa sổ đón sinh khí và tài lộc.- Tầng 1: Thông sàn, phòng rộng ở hoặc Kinh Doanh đều được.- Tầng 2,3: Mỗi tầng 2 phòng ngủ, wc chung.- Tầng 4: Phòng thờ + sân phơi.+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.+ Liên hệ: A Thành, 0912525146.",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828729.1613905,,,,,,
"6,8 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 92m2,"✅🔰 HOÀI ĐỨC LÊN QUẬNĐâu đang là khu đất vàng đang được săn đón trước khi Hoài Đức lên quận 2023 - 2024 ...👉 Sơn Đồng Center, shophouse làng nghề, tiềm năng sinh lời cao theo cấp số nhân trong tương lai gần khi Hoài Đức chính thức lên Quận 2023-2024📍 Shophouse mặt đường Trịnh Văn Bô kéo dài, kết nối Mỹ Đình – VĐ3 – Sơn Đồng chỉ 10p di chuyển📍 Shophouse mặt đường Sơn Đồng (cách ngã tư Sơn Đồng 300m)📍 Shophouse làng nghề 800 năm tuổi tại Hà Nội\📍 Shophouse Trung tâm ""quận"" Hoài Đức tương lai, tiềm năng tăng giá 150%-200% trong 1-2 năm tới💎 Shophouse 2 mặt tiền thuận tiện kinh doanh hoặc cho thuê với tiềm năng lợi nhuận khủng, sinh lời bền vững, hình thành tâm điểm giao thương sầm uất, trung tâm triển lãm đồ thờ lớn nhất miền bắc thu hút đầu tư kinh doanh💎 Địa điểm vui chơi, giải trí duy nhất cho hàng ngàn cư dân tại làng nghề Sơn Đồng và trung tâm Hoài Đức⭕ Số lượng giới hạn chỉ 150 lô shophouse mặt tiền lên tới 6,5-7m✔️ Pháp lý minh bạch - Sổ đỏ từng lô#BatDongSanToanCau #BatDongSanHaiHung #BatDongSan #ThongTinBatDongSan ✔️ Liên hệ Hotline: : 0779273787",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828730.3163013,,, 6,,,
"5,3 tỷ VNĐ",175 Nguyễn Khang, 31m2,"Bán gấp nhà 5 tầng mới phố Nguyễn Khang Cách phố 50m . Vị trí thuận tiện , gần bệnh xá , gần chợ , ngõ tránh xe ô tô . Gần ngay trung tâm thương mại  ,khu vui chơi  và nhiều tiện ích . Diện tích sổ đỏ 31m2 , 5 tầng , mặt tiền 5m giá 5,3 tỷ có thương lượng Nhà thiết kế theo phong cách sang trọng , sàn gỗ , sàn đá hoa , nội thất nhập khẩu , đầy đủ công năng . Sổ đỏ vuông đẹp , chính chủ luôn sẵn sang giao dịch , bàn giao . Khách hàng quan tâm , đi xem nhà liên hệ Mr Khải 0363255077",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828731.582913, 5, 3, 5,,, 4
"6,9 tỷ VNĐ",Trần Phú Mộ Lao Hà Đông, 48m2,"PHÂN LÔ - Ô TÔ - NHÀ TRẦN PHÚ HÀ ĐÔNG 48M 4 TẦNG GIÁ 6.9 TỶ + Nhà nằm trong ngõ 108 Trần Phú thông sang ngõ 102 Trần Phú, rất thuận tiện kinh doanh, mở văn phòng.- Ô tô đậu trước nhà, ga za ô tô, ô tô lượn vòng quanh.- Vị trí: Ngay cạnh Big C Hồ Gươm, 70m 100m ra tới đường Trần Phú, gần các trường đại học lớn như An Ninh, Bưu Chính, Kiến Trúc, trường các cấp, chợ , y tế, siêu thị lớn..., tiện ích ngập tràn.- Nhà được thiết kế 4 tầng với 4 ngủ, 3 vệ sinh, gaza ô tô, phòng thờ, sân phơi.- Sổ đỏ phân lô vuông đét, pháp lý chuẩn.- Liên hệ cho Thụ để được tư vấn và xem nhà trực tiếp. ",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828732.764752, 4, 4, 3, Đông nam, 14, 3
15 tỷ VNĐ,Hà Nội, 70m2,"Bán nhà chính chủ đường Vạn Bảo - LH: 0856 968 656.Diện tích 70m2, 7 tầng thang máy, mặt tiền 5.5m. - Ngôi nhà nằm trên tuyến phố Vạn Bảo, khu ngoại giao, tây ở nhiều hơn ta. - Nhà xây dựng 7 tầng thang máy, khung cột chắc chắn, chủ tự xây năm 2018. - Thiết kế hiện đại, đồ nội thất nhập khẩu, phòng nào cũng có cửa sổ thoáng mát. - Tầng 1: Phòng khách + bếp + wc. - Tầng 2, 3, 4, 5, 6: Các phòng lung linh + wc. - Tầng 7: Phòng thờ + sân phơi.Khu vực dân trí cao, an ninh tốt nhiều cán bộ và người nước ngoài ở, tiện ích quanh nhà vô biên.Gần đại sứ quán Úc, Nhật... các TT thương mại lớn will smith Chris Rock Lotte Center Hà Nội Vincom Letropolis... 3 phút ra Hồ Tây.Đường trước nhà ô tô tránh, dừng đỗ ngày đêm, tiện di chuyển ra Nguyễn Chí Thanh, Vạn Phúc, Liễu Giai, Đào Tấn, Kim Mã…Sổ đỏ chính chủ.Giá chào chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 em Bình - 0856 968 656.",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828733.9685311,,,,,,
"3,6 tỷ VNĐ",Triều Khúc - Thanh Xuân Nam, 35m2,"Vị trí: Ngõ trước nhà rộng rãi, ba gác đua, 15m ra đường ô tô tránh. - Nhà còn rất mới, thiết kế tỉ mỉ, xây dựng chắc chắn. - Trước nhà sáng thoáng, an sinh tuyệt vời. - Tiện ích khu đông dân, nhiều trường đại học, buôn bán tấp nập. - Giá 3.6 tỷ thương lượng với chủ nhà. - Sổ vuông đét nét căng sẵn sàng giao dịch. - Liên hệ ngay em Thảo chuyên thổ cư Hà Nội.",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828735.6311214, 5, 5, 4,,,
"4,1 tỷ VNĐ",ngõ 559 Kim Ngưu HBT Hà Nội, 45m2,"Bán nhà ngõ 559 Kim Ngưu Hai Bà Trưng , Hà Nội.Diện tích 45m2x 5 tầng xây mới, giá 4.1  tỷ . 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim._Thiết kế hiện đại bao gồm:- Tầng 1: sân để xe .Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4 Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa.- Tầng 5: Phòng thờ,sân phơi -Vị trí đẹp  khu dân trí cao xung quanh nhiều tiện ích Giao thông thuận tiện,cách mặt phố Kim Ngưu 100m  thông sang  khu đô thị Times City đi nên phố cổ mất 5 phút gần bệnh viện Thanh Nhàn, bệnh viện Bạch mai, bệnh viện việt pháp gần nhiều trường cấp 1,cấp 2, cấp 3 và nhiều trường Đại Học nổi tiếng như Bách Khoa, Xây Dựng, Kinh Tế-sổ đỏ chính chủ pháp lý sạch giá 4.1 tỷ có thương lượng .liên hệ chị Yến ĐT:0702138238",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828736.8339043, 5, 6, 3, Nam, 3, 4
