price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"3,7 tỷ VNĐ","Bồ Đề, Long Biên, Hà Nội", 42m2, 5,"- Căn nhà thiết kế 5 tầng với diện tích 42m2, có đầy đủ đồ nội thất cao cấp, sang trọng, chất lượng - nội thất Toto - nội thất cao cấp hàng đầu- Nhà có sân riêng biệt, lô góc thoáng, có chỗ cho oto để cả ngày và đêm thoải mái.- An sinh cực đỉnh, hướng nhà đẹp, không gian xung quanh nhà yên tĩnh, thoáng đãng, mát mẻ có nhiều cây xanh và gần hồ.- Vị trí: ở gần ngay TTTM Aeon Mall, rất thuận tiện để mua sắm đồ dùng cho gia đình, xung quanh có nhiều cửa hàng tiện lợi, dễ dàng mua đồ ăn nhanh sau những ngày đi làm mệt mỏi. Đường xa rộng rãi, giao thông thuận tiện   ☎️Liên hệ ngay 0978600***. Em Thành Long Biên.- Tư vấn miễn phí, xem nhà miễn phí, hỗ trợ vay vốn ngân hàng, pháp lý, phong thủy, sang tên làm sổ,...",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816923.6695442, 4, 4,, 4
"4,4 tỷ VNĐ",Quan Nhân, 42m2, 5," Cần bán căn nhà 2 thoáng tại phố Quan Nhân - Thanh Xuân: - Mặt tiền đẹp: 4.4m - Diện tích: 42m2, 5 Tầng dân xây. - Ô TÔ đỗ cách nhà 10m, giao thông thuận tiện thông sang: Vũ Trọng Phụng, Chính Kinh, Nhân Hòa. - Giá: 4.4 Tỷ ( Còn thương lượng nhiều). Nhà chủ tự tay xây dựng nên cực kỳ tâm huyết, nội thất xịn xò, khách mua xách vali về ở ngay.   Sổ đỏ vuông vắn, sang tên nhanh, pháp lý chuẩn.LH: Em Hoan, 0925088355, miễn phí xem nhà 24/7.42",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816925.0642135, 4, 5,,
"8,9 tỷ VNĐ",khương trung, 54m2, 4,"Bán Nhà, Vương Thừa Vũ, Thanh Xuân. Ô Tô Kinh Doanh 54m2 x 4 tầng. Mặt Tiền 3.6m Giá 8.9 Tỷ.    2 MẶT THOÁNG VĨNH VIỄN - KINH DOANH VĂN PHÒNG, SPA - GARA OTO, OTO ĐỖ CỬA - PHÂN LÔ QUÂN ĐỘI  + Thiết kế nhà cực đẹp,nhà dân tự xây ép cọc bê tông, 2 mặt thoáng vĩnh viễn. + Nội thất cao cấp, cửa phòng+cầu thang gỗ Lim Lào, Tủ bếp, bếp từ, hút mùi nhập khẩu Tây Ban Nha, khung nhôm cửa kính Xingfa, vệ sinh Inax, sơn Dulux, bể cá Koi Nhật Bản, tiểu cảnh sân vườn T4 ngồi uống cà phê thư giãn. Vị trí cực đẹp, dân trí cao toàn tướng tá quân đội, tiện ích vô vàn. Giao thông cực thuận tiện, giáp các phố lớn Trường Chinh, Hoàng Văn Thái, Lê Trọng Tấn sát chợ, trường học. Gần trung tâm thương mại roal anl city và rất nhiều tiện ích xung quanh. Sổ đỏ thi hoa hậu, xây nở hậu. + Chủ nhà ở rất có lộc, sau gần 5 năm sinh sống và làm việc tại ngôi nhà này đã mua được biệt thự, nhà đất rất nhiều , hiện tại nhà này vẫn đang dùng làm văn phòng và kho Công ty.  - Nhà thiết kế 4 tầng: + Tầng 1: Phòng khách, bếp, wc. + Tầng 2,3: Mỗi tầng 2 phòng ngủ và wc + Tầng 4: Phòng thờ sân phơi   + Sổ chính chủ, sẵn sàng giao dịch.  LH: E KHánh 0984568179 TUYỆT PHẨM! Vương Thừa Vũ, Thanh Xuân. OTO KINH DOANH 54m2 x 4t. MT3.6m. Giá 8.9Tỷ ",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816926.3318222, 3, 4, 3,
"8,8 tỷ VNĐ",phú đô, 76m2, 6,"SIÊU PHẨM DÒNG TIỀN , THANG MÁY - CÁCH 1 NHÀ RA MẶT PHỐ Ô TÔ TRÁNH, NHÀ ĐẸP PHÒNG RỘNG, HIỆN CÓ 7 PHÒNG. CHO THUÊ 35TR/ THÁNG.Mô Tả:+ Nhà DT 76m xây 6 tầng thang máy, hiện đang cho thuê kín phòng. Cách 1 nhà ra mặt phố Phú Đô. Cách chợ 150m ngõ trước nhà rộng, cực thoáng.Thiết kế:+ Tầng 1: Để xe, tiểu cảnh.+ Tầng 2: 1 phòng khép kín, Phòng khách chung rộng.+ Tầng 3.4.5: Tổng 6 phòng khép kín.+ Tầng 6: Chủ mới về cải tạo thêm 2 phòng nữa.+ Nhà đẹp, vị trí đẹp, chủ thiện chí bán.+ Sổ đỏ chính chủ, giao dịch ngay.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816927.6912792, 6, 8, 10, 6
"5,2 tỷ VNĐ","Khương Trung, Thanh Xuân, Hà Nội.", 33m2, 6," * CC cần bán nhà trong ngõ Khương Trung quận Thanh Xuân. nhà thiết kế đẹp, phong cách hiện đại, đầy đủ nội thất, về ở ngay, an sinh đỉnh. DT 33m, 6T, giá chỉ 5.2 tỷ. + Vị trí gần đường 40m ra đường ô tô tránh, 300m ra ngã Tư Sở, Royal CiTy, giao thông thuận lợi, tiện ích ngập tràn. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. # nhanh tay LH: Tình nhà phố 0906113879 ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông - Hà Nội ).",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816928.9738472, 3, 4,, 2
10 tỷ VNĐ,Phùng Hưng- Hà Đông, 60m2, 5,"Chỉ 10 tỷ mặt phố Phùng Hưng, Hà Đông 60mx5 T, lô góc, vỉa hè, KD sầm uất Bán gấp em chân dài mặt phố Phùng Hưng, Hà Đông rất hiếm, vị trí đắc địa cạnh Bệnh viện Quân y 103, Viện Bỏng: +  Phù hợp kinh doanh nhiều loại hình: Quán thuốc, phòng khám, siêu thị,quán ăn, café, …. + Diện tích 60m, 5 tầng thoáng sáng, mặt tiền rộng lô góc kinh doanh. Giao thông di chuyển ra trục chính Văn Quán nối Quang Trung hàng xóm Mỗ Lao, giáp vườn hoa Nguyễn Trãi, xuôi xuống Thanh Trì, thông ra các tuyến phố cổ Tô Hiệu,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816930.3002982,,,,
"10,1 tỷ VNĐ",An Hoà- Hà Đông, 60m2, 5,"Nhỉnh 10 tỷ mặt phố An Hoà, Hà Đông 60mx5T, ô tô tránh, lô góc, vỉa hè KD đỉnh Bán gấp em hoa hậu mặt phố An Hoà, Hà Đông, có vỉa hè, đường ô tô tránh, lô góc hiếm có kinh doanh tuyệt vời với thông số vàng: 60m với 5 tầng rộng thoáng, vỉa hè lớn, khu vực nhiều trường học, dân cư đông đúc, văn minh. Nhà bán hưởng trọn lợi ích khu đô thị Mỗ Lao. phù hợp làm: quán cơm, spa, siêu thị, hiệu thuốc, café,…cho dòng tiền khủng hơn gửi ngân hàng rất nhiều. Giao thông đi muôn nơi hàng xóm Văn Quán, song song Nguyễn Khuyến, cạnh Nguyễn Văn Lộc, đối diện Chiến Thắng,… Sổ đỏ vuông, nở hậu sẵn sàng giao dịch. Giá: 10.1 tỷ ( có gia lộc mạnh). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816931.913023,,,,
"10,1 tỷ VNĐ",An Hoà- Hà Đông, 60m2, 5,"Nhỉnh 10 tỷ mặt phố An Hoà, Hà Đông 60mx5T, ô tô tránh, lô góc, vỉa hè KD đỉnh Bán gấp em hoa hậu mặt phố An Hoà, Hà Đông, có vỉa hè, đường ô tô tránh, lô góc hiếm có kinh doanh tuyệt vời với thông số vàng: 60m với 5 tầng rộng thoáng, vỉa hè lớn, khu vực nhiều trường học, dân cư đông đúc, văn minh. Nhà bán hưởng trọn lợi ích khu đô thị Mỗ Lao. phù hợp làm: quán cơm, spa, siêu thị, hiệu thuốc, café,…cho dòng tiền khủng hơn gửi ngân hàng rất nhiều. Giao thông đi muôn nơi hàng xóm Văn Quán, song song Nguyễn Khuyến, cạnh Nguyễn Văn Lộc, đối diện Chiến Thắng,… Sổ đỏ vuông, nở hậu sẵn sàng giao dịch. Giá: 10.1 tỷ ( có gia lộc mạnh). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816933.0788274,,,,
10 tỷ VNĐ,Phùng Hưng- Hà Đông, 60m2, 5,"Chỉ 10 tỷ mặt phố Phùng Hưng, Hà Đông 60mx5 T, lô góc, vỉa hè, KD sầm uất Bán gấp em chân dài mặt phố Phùng Hưng, Hà Đông rất hiếm, vị trí đắc địa cạnh Bệnh viện Quân y 103, Viện Bỏng: +  Phù hợp kinh doanh nhiều loại hình: Quán thuốc, phòng khám, siêu thị,quán ăn, café, …. + Diện tích 60m, 5 tầng thoáng sáng, mặt tiền rộng lô góc kinh doanh. Giao thông di chuyển ra trục chính Văn Quán nối Quang Trung hàng xóm Mỗ Lao, giáp vườn hoa Nguyễn Trãi, xuôi xuống Thanh Trì, thông ra các tuyến phố cổ Tô Hiệu,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816934.3165505,,,,
51 triệu VNĐ,Đường Minh Khai phường Minh Khai, 210m2,,"+ Đây là khu vực dân cư đông đúc với các khu tập thể, tòa nhà chung cư, khu đô thị. Mặt đường kinh doanh nhộn nhịp, sầm uất, hệ thống dịch vụ tiện ích đầy đủ và hiện đại vào bậc nhất thủ đô với hàng loạt các bệnh viện, trường học, trung tâm giải trí… ",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816935.6654553,,,,
