price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Lộ giới
"6,2 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 66m2,,,,,"BAY! Nhà đẹp trung tâm Hà Đông, 66m, MT 3.7m,mặt ngõ thông, ô tô vào nhà, nhỉnh 6 tỷ Nhà nằm vị trí đắc địa, mặt tiền rộng, thông muôn nơi, 15m ra phố, đường trước nhà ô tô tránh, kinh doanh, ở, cho thuê quá đỉnh, nhà dân tự xây khung cột bên tông chắc chắc, không gian sống thoáng đãng, diện tích lớn hiếm có. Nhà thuộc phố Lê Trọng Tấn trung tâm quận Hà Đông nơi giao thoa các tuyến phố quan trọng: Văn Phú, Phan Đình Giót, Dương Nội, Yên Nghĩa, Quang Trung. Bán kính xung quanh nhiều tiện ích: gần chợ dân sinh, khu vui chơi, gần các trường học, nơi cư dân tập trung đông đúc nhiều trí thức, các trung tâm thương tâm thương mại, siêu thị. Giá: 6.2 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn.",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828990.140523,,
"5,95 tỷ VNĐ",Mỗ Lao- Hà Đông, 68m2,,,,,"ĐỂ SỞ HỮU CĂN NHÀ ĐẸP VỊ TRÍ TRUNG TÂM QUẬN HÀ ĐỘNG VỚI TÀI CHÍNH DƯỚI 6 TỶ. + Đường Mỗ Lao nối đường Quốc Lộ 6 với đường Trần Phú, thông thương Phùng Hưng, Vạn Phúc, Quang Trung nằm ở khu trung tâm quận Hà Đông. + Khu vực nhiều trường đại học lớn tập trung như: Kiến Trúc, Bưu chính Viễn Thông, Học Viện Quân y, Học viện An ninh, trường tiểu học, siêu thị, chợ, các trung tâm mua sắm thương mại… + Chủ cần tiền để ra nước ngoài ở cùng con nên cần bán gấp, giá có thể thương lượng. + Nhà có diện tích rộng 68m rất hiếm, mặt tiền thoáng đãng 4m, các phòng thoáng sáng, môi trường xung quanh trong lành, đường trước nhà ô tô tránh, cách phố rất gần. Giá: 5.95 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn. ",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828991.0979571,,
"5,95 tỷ VNĐ",Mỗ Lao- Hà Đông, 68m2,,,,,"ĐỂ SỞ HỮU CĂN NHÀ ĐẸP VỊ TRÍ TRUNG TÂM QUẬN HÀ ĐỘNG VỚI TÀI CHÍNH DƯỚI 6 TỶ. + Đường Mỗ Lao nối đường Quốc Lộ 6 với đường Trần Phú, thông thương Phùng Hưng, Vạn Phúc, Quang Trung nằm ở khu trung tâm quận Hà Đông. + Khu vực nhiều trường đại học lớn tập trung như: Kiến Trúc, Bưu chính Viễn Thông, Học Viện Quân y, Học viện An ninh, trường tiểu học, siêu thị, chợ, các trung tâm mua sắm thương mại… + Chủ cần tiền để ra nước ngoài ở cùng con nên cần bán gấp, giá có thể thương lượng. + Nhà có diện tích rộng 68m rất hiếm, mặt tiền thoáng đãng 4m, các phòng thoáng sáng, môi trường xung quanh trong lành, đường trước nhà ô tô tránh, cách phố rất gần. Giá: 5.95 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn. ",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828992.4792607,,
"6,2 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 66m2,,,,,"BAY! Nhà đẹp trung tâm Hà Đông, 66m, MT 3.7m,mặt ngõ thông, ô tô vào nhà, nhỉnh 6 tỷ Nhà nằm vị trí đắc địa, mặt tiền rộng, thông muôn nơi, 15m ra phố, đường trước nhà ô tô tránh, kinh doanh, ở, cho thuê quá đỉnh, nhà dân tự xây khung cột bên tông chắc chắc, không gian sống thoáng đãng, diện tích lớn hiếm có. Nhà thuộc phố Lê Trọng Tấn trung tâm quận Hà Đông nơi giao thoa các tuyến phố quan trọng: Văn Phú, Phan Đình Giót, Dương Nội, Yên Nghĩa, Quang Trung. Bán kính xung quanh nhiều tiện ích: gần chợ dân sinh, khu vui chơi, gần các trường học, nơi cư dân tập trung đông đúc nhiều trí thức, các trung tâm thương tâm thương mại, siêu thị. Giá: 6.2 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn.",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828993.4317138,,
"4,49 tỷ VNĐ","Ngõ Phố Mai Dịch, Cầu Giấy, Hà Nội", 38m2,, 4, 5, 4,"✅  Bán 1 căn độc lập mới cực đẹp tại Mai Dịch, Cầu Giấy. Nhà 3 mặt tiền rộng, view cực thoáng. Nhà gần các khu trung tâm tiện đi lại và sinh hoạt. Diện tích nhà 38m2, 5 tầng.  Nội thất sang trọng, tiện nghi và đẳng cấp. --------------------------------------------------------------------- ✔️ Thiết kế, công năng: Kiến Trúc Tân cổ điển, sang trọng. - Diện tích: 38m2, 5 tầng mới đẹp và sang. Vị trí trung tâm. - Tầng 1: Phòng khách. Phòng bếp + ăn. - Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ (phòng Master) + Vệ sinh. - Tầng 5: Phòng thờ, sân phơi, kho, Khu xinh hoạt ngoài trời. ✔️ Vị trí: - Nhà có 1 căn nên vị trí rất đẹp, nhà nằm vị trí 3 mặt cực thoáng. Không gian thoáng, nhiều ánh sáng tự nhiên. - Giao thông thuận tiện, gần cầu vượt Mai Dịch, gần các trường Đại Học, Học Viện, UBND phường, Ngân hàng,…Phạm Văn Đồng, Xuân Thủy,… - Vị trí an ninh tốt, khu dân trí rất cao. Đáng để gia chủ An Cư. ✔️ Nội thất: - Được gia chủ đầu tư cực đẹp: Các cửa, cầu thang là gỗ Lim Nam Phi. Sàn gỗ Malaysia chống trơn trượt, sang trọng và đẳng cấp. - Thiết bị vệ sinh Toto nhập khẩu. Nóng lạnh Picenza, nhôm kính Vietphap, trang trí đèn chùm, trần thạch cao sang trọng. ✔️  Pháp lý: Sổ đỏ chính chủ, Giấy phép xây dựng đầy đủ. ✔️  Giá thương lượng chỉ: 4.49 tỷ (có thương lượng, bao sang tên). ✔️  Liên hệ xem nhà trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG, MG)",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828994.4958668, 4, 3
"5,2 tỷ VNĐ",Đường Láng - Láng Thượng - Đống Đa - Hà Nội, 47m2,, 4, 4, 4,"Bán Nhà Láng Hạ - Gần Ngã Tư sở - Nhà Đẹp – Ngõ Rộng – Ở Luôn.        _______________________________________  _Bán Nhà Láng Hạ 41/47m – 4 Tầng – mt 4.1m – Giá 5.2 tỷ    _Ngõ Rộng Thông , Gần Phố.       _ Nhà Xây 4 tầng chủ xây kiên cố ,chắc chắn, Cầu Thang giữa , Tổng 4 Ngủ , phòng Thờ sân phơi đầy đủ. _Nhà Thuộc khu vực dân trí cao, an sinh đảm bảo, Tiện ích ngập tràn , Gần Phố gần đường vành đai 2 nên giao thông thuận tiện.     _Sổ Vuông đẹp sẵn sàng giao dịch         _Lh : Em Trường Zalo 0349 616 626",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828995.6976526, 3,
"4,2 tỷ VNĐ","Kim Giang, Thanh Trì", 57m2,,,,,57,29/03/2022,Tin thường,batdongsan_so_com_vn_1673828997.1617813,,
,YÊN VIÊN GIA LÂM, 184m2,, 4, 3, 4,"Cần bán gấp nhà mặt phố - giá rẻ- vỉa hè rộng- đường công tránh, chia 2 lô – 2 mặt thoáng- kd đỉnh. + Vị trí đẹp mặt phố Thiên Đức có khoảng 20m lưu không trước nhà; nhà 2 mặt thoáng, + Giáp Long Biên, khu vực sắp lên Quận.đi Sân bay Nội Bài chỉ mất 20 phút. + Chủ cần bán gấp nhu cầu tài chính cao; chào giá chỉ 75 triệu/m2. + Phù hợp khách xây làm văn phòng hoặc chia 2 lô xây bán, ở đều thoải mái. + Sổ đỏ , pháp lý chuẩn, ss giao dịch. + Liên hệ: Quân: 0987353408 để được tư vấn miễn phí.",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828998.5769496,, 30
"14,8 tỷ VNĐ",Cầu giấy, 50m2,,, 5, 4,"🍇 PHÂN LÔ - VỈA HÈ - Ô TRÁNH - KINH DOANH ĐỈNH - KHU VỰC AN SINH ĐỈNH CAO. 🍇 Khu vực hiếm nhà bán, nhiều người tìm, nằm trong khu phân lô của Cán Bộ dân trí cao, lý tưởng sống. 🍇 Nhà vừa ở vùa kinh doanh hợp lý, vị trí thông các trục đường chính như Mạc thái Tổ, Trung Hòa, Nguyễn Chánh, xung quanh là các tòa VP, Siêu Thị, các cơ quan Nhà Nước, Trường Học, Bệnh Viện, Bến Xe Mỹ Đình... đi lại rất thuận tiện. 🍇 Chủ Nhà là cán bộ Nhà Nước về hưu mong muốn bán để về quê an dưỡng tuổi già, ở rất có lộc. 🍇 Nhà Chủ xây tâm huyết 5 tầng công năng sử dụng đầy đủ. 🍇 Sổ đỏ pháp lý rõ ràng, chính Chủ, giao dịch nhanh. 🍇 Liên hệ E My.0834176688 ( chuyên BĐS thổ cư HN)",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828999.8086538,,
"8,35 tỷ VNĐ",ngõ 299 Hoàng Mai, 52m2, Đông, 4, 5, 6,"Bán nhà KPL 333 Đền Lừ 2, Hoàng Mai, HN.DT 52m2 x 5 tầng mới , ngõ thông, ôtô tránh, vào nhàNhà xây khung cột, móng cọc kiên cố và chắc chắn. Diện tích 52m2, xây mới 5 tầng, ô tô  vào nhà, thích hợp để ở, làm văn phòng. Ngõ thông kinh doanh buôn bán tốt.Thiết kế hiện đại bao gồm: Tầng 1:  Gara ô tô, phòng bếp, phòng ăn, vệ sinh Tầng :2,3,4: mỗi tầng 2 phòng ngủ vệ sinh khép kínTầng 5 phòng thờ sân phơi.Nội thất cơ bản đầy đủ: Cửa cuốn, các cửa thông phòng toàn bộ làm bằng gỗ lim Nam Phi, cửa nhôm Việt Pháp, tủ bếp xoan đào, thiết bị vệ sinh Inax, dây điện trần phú…Khu phân lô ô bàn cờ, dân trí cao, an ninh tốt, hưởng đầy đủ tiện ích của khu đô thị đền lừ: hồ nước, công viên, trường học, khu vui chơi giải trí, nhà hàng….Sổ đỏ chính chủ, pháp lý rõ ràngGiá bán 8.35  tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",29/03/2022,Tin thường,batdongsan_so_com_vn_1673829000.9456131, 4, 5
