price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
7 tỷ VNĐ,"Ngay viện 103, Hà đông , HN", 55m2,, 8, 10,"Bán GẤP Nhà Yên Xá 55m2,8T thang máy, KD Nhỉnh 7 tỷVị trí đẹp:- Trung tâm Hà Đông, Gần viện Quân Y 103.- Vị trí đỉnh cao kết nối giao thông thuận tiện, tàu điện trên cao.- Diện tích: 55m2 tầng 1, 52m2 , 8 tầng thang máySổ đỏ chính chủ, pháp lý sạch.- Giá: Nhỉnh 7 tỷ ( Có thương lượng ).Miễn môi giới và trung gian..!Liên hệ: Hưng: 0978810369.(Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nhau.+ Liên hệ: Hưng 0978810369 – Chuyên nhà đất thổ cư, nhà mặt phố Hà Nội+ Hỗ trợ pháp lý từ A-Z, tư vấn đầu tư Bất Động Sản hiệu quả hoàn toàn Miễn Phí.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786171.8138392,,, Tây bắc
"6,2 tỷ VNĐ","Đường vạn phúc, Vạn Phúc, Thanh Trì", 230m2,,,,"Chủ nhờ bán gấp 230m đất Vạn Phúc Thanh Trì.  Vị trí đẹp kinh doanh đỉnh Đường oto tránh nhau. Khu dân cư đông đúc, an sinh đỉnh Mặt đường liên xã, xây nhà xưởng hoặc xây Biệt Thự quá phù hợp.  Sổ vuông đẹp.  Giá 27tr/m có thương lượng.  Liên hệ để xem đất  alo Mrs Phương 0366563989.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786172.829123, 10,,
8 tỷ VNĐ,"Đường vạn phúc, Vạn Phúc, Thanh Trì", 330m2,,,,"Chủ nhờ bán gấp 330m đất Vạn Phúc Thanh Trì.  Đất lô góc, đường oto tránh nhau. Khu dân cư đông đúc, an sinh đỉnh  Gần đường liên xã, xây nhà xưởng hoặc xây Biệt Thự quá phù hợp.  Sổ vuông đẹp.  Giá 26tr/m có thương lượng.  Liên hệ để xem đất  alo Mrs Phương 0366563989.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786173.750658, 10,,
"15,5 tỷ VNĐ",Lạc Long Quân Tây Hồ Hà Nội, 48m2,, 6, 4,"- Diện tích 48m2 X6 tầng Mt 4.8m Giá bán 15.5 tỷ ( có thương lượng )- Vị trí cực đắc địa, ngõ to hơn phố, vỉa hè rộng càng tôn thêm vẻ đẹp của căn nhà. Khu vực phân lô VIP ngay gần Hồ Tây thơ mộng! Nhà thiết kế hợp lý, lợi thế mặt tiền rộng, hai mặt ngõ nên các phòng đều sáng, siêu thoáng. - Thiết kếTầng 1: Gara, bếp!Tầng 2: phòng khách, phòng sinh hoạt chung!Tầng 3;4: mỗi tầng 2 ngủ lớn!Tầng 5: phòng thờ, phòng xông hơi, 1 ngủ.Tầng 6: sân phơi!- Khu vực an sinh lý tưởng tiện ích bạt ngàn vừa ở vừa kinh doanh! - Sổ đỏ nở hậu cực đẹp sẵn sàng giao dịch Liên hệ em Quân để được tư vấn 0385 94 1802Miễn ( TG Quảng Cáo )",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786175.0392118, 4, 4,
990 triệu VNĐ,"Đường An Dương, Yên Phụ, Tây Hồ", 20m2, 1, 3, 2,"Bán nhà 3 Tầng, 2 ngủ, Tây Hồ, Giá nhỉnh 900 triệu x nhỏ + Cách ô tô khang 100m  + Ngõ rộng, ô tô để ngày và đêm + Chủ đang ôm hàng tết, nên cần bán gấp, giá chốt bất ngờ. + Nhà vuông vắn, Giấy tờ đầy đủ, sẵn sàng giao dịch. LH: Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp. Nhận mua bán, ký gửi nhà.2290/2476/1132 #Thuongthanh Telegram, Zalo: 0934035888 https://t.me/batdongsantc https://www.facebook.com/groups/batdongsantc3mien",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786176.1502385, 3, 2,
4 tỷ VNĐ,Phú Diễn, 40m2, 5,,,"+ S = 40m, mặt tiền 3,2m nở hậu, giá 4 tỷ  + Vị trí đẹp, đường ô tô tránh, khu vực dân trí cao kinh doanh siêu đỉnh. Gần các trường đại học Tài nguyên và môi trường, đại học Công Nghiệp Hà Nội, học viện Cảnh Sát  + Giao thông thuận tiện thông tứ tung, gần các trục đường lớn : Quốc Lộ 32, Đức Diễn, Phúc Diễn, Văn Tiến Dũng, Hồ Tùng Mậu, Đình Quán,...  + Sổ đỏ cất két, pháp lí rõ ràng  + Liên hệ E.Trường : 0373680538 để được tư vấn và xem nhà miễn phí.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786177.1196454, 3,, Tây bắc
330 triệu VNĐ,"Đường Lê Ngọc Hân, Phạm Đình Hổ, Hai Bà Trưng", 317m2, 15, 1,,"Chính chủ bán nhà cấp 4 mặt phố Lê Ngọc Hân, Phường Phạm Đình Hổ, quận Hai Bà Trưng, Hà Nội.Diện tích 317m², nhà nở hậu, rộng.Sổ đỏ chính chủ.Giá: 104,61 tỷ (330 triệu/m²).Liên hệ: (Chính chủ) 0912100795 -  0369944186 - 0379873677",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786178.210757,,,
"3,95 tỷ VNĐ","Đường Kim Ngưu, Vĩnh Tuy, Hai Bà Trưng", 30m2, 2, 5, 3,"BÁN NHÀ PHỐ KIM NGƯU - 30M NHÀ 5 TẦNG - KINH DOANH NHỎ - SÁT TIMECITY CHỈ TẦM 4TY - Hướng: Đông Nam.  - Vị trí: nhà mặt ngõ thông, ba gác tránh, thông ra Minh Khai. Nhà hàng xóm của Timecity, kề bên khu đô thị Imperia Sky Garden. - Nhà Gần BV Thanh Nhàn, ĐH Bách Khoa, Xây Dựng, Kinh Tế.  - Khu cư dân yên tĩnh, dẫn trí cao, hàng xóm hiền lành thân thiện.  + Tầng 1 : PK, Bếp, WC.  + Tầng 2, 3, 4 : Mỗi tầng 1 PN, WC.  + Tầng 5 : Phòng thờ, Sân Phơi, vườn cảnh.  Em Nhân thổ cư phố, uy tín, pháp lý chuẩn. ",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786179.5905902, 7, 4, Đông nam
"2,7 tỷ VNĐ","Đường Tây Mỗ, Tây Mỗ, Nam Từ Liêm", 58m2,,,,"+ Nhà trung tâm Quận Nam Từ Liêm, gần với Đại Mỗ, gần sân vận Động Mỹ Đình, Mễ Trì. Ngay sát Vincom Smart City hưởng trọn tiện ích.  + Nhà chỉ cách 20m ra mặt ngõ ô tô, ngõ trước nhà gần 3m. Vài bước ra siêu thị, ra chợ.  + Chủ tách thửa phần vuông đẹp nhất, 2 thoáng cho khách. 42m2. Lối đi riêng 16m2. Sẵn nhà C4 còn mới đẹp ở được ngay.  Hoặc phương án bán cả mảnh với thông số là 95 C4 14 6.1 tỷ. + Vị trí đẹp này xây Phân Lô hay CCMN cực đỉnh. Mua giữ tiền. Xây nhà vườn, biệt thự...đều hết ý.  Sổ đỏ chính chủ, pháp lý chuẩn. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7  ",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786180.6497943, 6,,
35 tỷ VNĐ,"Đường Bạch Mai, Cầu Dền, Hai Bà Trưng", 130m2, 11, 5, 5,"BÁN NHÀ MẶT PHỐ BẠCH MAI 130m2 35 tỷ   + Vị trí nhà mặt phố, ô tô dừng đỗ 2 chiều, kinh doanh đắc địa.  + Nhà mặt phố chủ tự thiết kế xây để ở cực kỳ chắc chắn, móng 7 tầng, cầu thang tay vịn và bậc ốp gỗ, có chỗ chờ cầu thang máy, sàn nhà ốp gỗ. Mỗi tầng 2 phòng + vệ sinh từng tầng. Phía sau còn khoảng 40m2 làm sân chưa xây. - Tầng 1: Cửa hàng ngoài + phòng ăn (bếp) + vệ sinh. - Tầng 2: Phòng khách + phòng ngủ + vệ sinh. - Tầng 3, 4: Mỗi tầng 2 phòng ngủ + vệ sinh từng tầng. - Tầng 5: Tum bình nước và chỉ chứa đồ. + Sổ đỏ chính chủ, pháp lý sạch.  Liên hệ xem nhà Ms : Thanh : ĐT : 0528301753.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786181.5454397, 4, 6,
