price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng,Số toilet
110 tỷ VNĐ,Chính chủ cần bán gấp tòa nhà Mặt Phố Linh Lang Kim Mã Liễu Giai Đào Tấn Cống Vị Ba Đình dt 220 m2  giá 110 tỷ, 220m2, 11, 20, 10,"Chính chủ cần bán gấp tòa nhà Mặt Phố Linh Lang Kim Mã Liễu Giai Đào Tấn Cống Vị Ba Đình dt 220 m2  giá 110 tỷ Gia đình em cần bán gấp tòa nhà 11 tầng CHCC mặt phố Linh Lang, Đào Tấn, Liễu Giai, Kim Mã, phường Cống Vị, Quận Ba Đình, nhà có diện tích 220 m2, mặt tiền 11,2m, nhà lô góc mặt tiền đường mặt ngõ, trang trí nội thất hiện đại, tiện nghi đầy đủ , thang máy nhập khẩu, thiết bị wc cao cấp, nhà vị đẹp, gia đình đạng cho thuê với doanh thu 4,5 tỷ / năm, hợp đồng 10 năm và đang còn 6 năm nữa,  SĐCC, vị trí đắc địa , giao thông đi lại thuận tiện, giá bán 110 tỷ Có thương lượng, mtg, môi giới làm phiền. LH Anh Thụy 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như Ý",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784207.1933615,, Đông nam,
"3,95 tỷ VNĐ","Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội", 75m2, 5,, 4,"Khoản đầu tư CÓ LỢI KÉP cho khách mua: Nhà phố thương mại kết hợp ngôi nhà thứ 2!Cần chuyển nhượng nhà phố liền kề kết hợp “Ngôi nhà thứ 2” sinh lời kép: 3 tầng 1 tum tại suối khoáng nóng Wyndham Thanh Thủy, chỉ cách Hà Nội 65km.Vì sao đây là 1 vụ đầu tư rất hời cho người mua:1. Vốn ít: Chỉ cần 3,95 tỷ đã sở hữu 1 căn nhà phố thương mại tại phố đi bộ hot nhất dự án khoáng nóng cách Hà Nội chỉ 1h chạy xe.2. 200 căn shophouse đã bán hết, khách muốn mua chỉ có thể mua chuyển nhượng như căn này. Hàng chủ đầu tư hiện còn dòng căn hộ (~ 1 tỷ) và biệt thự (7-8 tỷ)3. Là ngôi nhà thứ 2 của khách hàng ở Hà Nội, Bắc Ninh, Lạng Sơn, Hải Phòng, Hải Dương... trong quần thể suối khoáng nóng, khu khách sạn nghỉ dưỡng, công viên cảnh quan chuẩn Nhật...4. Thu nhập cam kết ~ 280 triệu/ năm trong 10 năm đảm bảo bằng USD (xem bảng tính thu nhập bên dưới) với tiềm năng khai thác 4 mùa quanh năm.5. Mức giá bao gồm đất 75m2 (MT5m x 15m), xây 3,5 tầng với tổng sàn xây dựng 220m2. Bàn giao hoàn thiện full nội thất:1. Tầng 1: shop thương mại hoàn thiện cơ bản2. Tầng 2+3+tum: Khu căn hộ hoàn thiện full nội thất.6. Thanh khoản tốt, pháp lý đầy đủ.7. Có nhà sớm: dự kiến bàn giao Tháng 10.2022",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784208.1802697, 4,, 4
"6,9 tỷ VNĐ","Đường Tôn Đức Thắng, Nam Đồng, Đống Đa", 52m2, 5, 2, 4,"
    
Nhà Đẹp Đống Đa - Tôn Đức Thắng 52m2 4 tầng. Mặt tiền 5m. Ngõ thông, kinh doanh. 6.9 tỷ
Vị trí: Tông Đức Thắng con phố sầm uất quận Đống Đa, thông thương với các tuyến phố Nguyễn Lương Bằng, Cát Linh, Nguyễn Thái Học. Ngõ thông, kinh doanh, tiện íchxung quanh nhiều.

Nhà 4 tầng mới, đẹp. Khung cột bê tông chắc chắn. Thiết kế đầy đủ công năng: kinh doanh, khách, bếp, nhiều phòng ngủ, phòng thờ, sân phơi...

Sổ đỏ: sẵn sàng giao dịch.

LH: 0836797686 - Ngọc Duyên.
",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784209.3810565, 5,, 4
9 triệu VNĐ/m2,hà nội, 61m2,,,,"Diện tích từ 60 - 120m, mặt tiền từ 4m - 10mCách nút giao đường trục đường tỉnh 426 vơi đường tỉnh 428 chỉ 1,5km,thông ra QL21BVị trí vàng tại trung tâm xã Trầm Lộng, dân cư đông đúc, không khí trong lành.Bán kính 200m tiện ích đầy đủ: Chợ , Trường Học, Trung Tâm Hành Chính Công.Giao thông thuận tiện kết nối nhanh chóng với nội thành Hà NộiĐất vuông vắn, mốc giới rõ ràng.Tiềm năng tăng giá cao, thanh khoản tốtSổ đỏ chính chủ sang tên ngayPháp lý minh bạch mua bán công khai Hỗ trợ khách hàng 24/7.Cách nút giao Pháp Vân - Cầu Giẽ 15p đi xeCách KCN Đồng Văn Hà Nam 5kmChỉ 2,5km là đến trường THPT Ứng Hòa B.Cách thị trấn Vân Đình chỉ 10p lái xe",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784210.3355038,,,
"9,2 tỷ VNĐ","Đường Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm", 45m2, 5, 10, 6,"+ Chính chủ cần bán nhà diện tích 45m2 x 6 tầng MT Rộng giá 9.2 tỷ.  + Nhà mới 6 tầng thông sàn, móng 10 tầng, ô chờ thang máy. Khách mua về bỏ thêm 200 - 300 triệu lắp thang máy thì quá đẹp. + Ngõ thông, ô tô tránh, sầm uất, kinh doanh bất chấp. + Khu vực đang phát triển mạnh, gần khách sạn Marriot, gần trường, gần chợ. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784211.361789, 6,,
4 tỷ VNĐ,Vũ Trọng Phụng, 120m2,,,,"RẺ THẬT SỰ,  CH 3 ngủ, đầy đủ nội thất, lốt oto khu Hapulico Thanh Xuân 120m2, giá 4 tỷ. 0912 388 305 Chính chủ cọc nhà mới gửi bán nhanh trước Tết căn góc Đông Nam 120m² 3 phòng ngủ  Phú Gia Nguyễn Huy Tưởng, cạnh Hapulico Vũ Trọng Phụng, trục chính quận Thanh Xuân, gần Ngã Tư Sở, Nguyễn Trãi, RoyalCity.Nhà nội thất mới sửa sang còn mới đẹp, view 2 mặt thoáng căn góc hướng mát, 2 ban công, ánh sáng tự nhiên tràn ngập, view thành phố.- Bồn cầu tự động, vệ sinh ốp gạch mới, hệ tủ gương mới, 2 bình nóng lạnh. Bộ bàn ăn, bàn thờ gỗ thật, đẹp mới.Hệ thống bếp hút mùi Pháp. Tủ lạnh side by side Samsung.Máy giặt sấy LG. Hệ thống tủ bếp, giường, giá sách, sofa, bàn, thảm, bàn trang điểm.Có lốt đỗ xe ô tô.4 điều hoà cho 3 ngủ, 1 khách. Siêu thị chân tòa nhà, gym, spa, trường mầm non, nhà hàng, sân chơi trẻ em rộng, phí dịch vụ hợp lý.+ SĐCC, giá 4 tỷ full đồ bao phí và ra lộc ai thiện chí.(Khách ko lấy đồ rời (tivi, tủ lạnh, máy giặt) có thể sẽ giảm đi chi phí phần này.) LH: 0912.388.305 (Yến sn90)",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784212.6882422, 3,, 2
"4,25 tỷ VNĐ","Đường Lò Đúc, Phạm Đình Hổ, Hai Bà Trưng", 97m2, 8, 1, 9,"Phòng Kinh doanh trực tiếp CĐT tòa nhà Kinh Đô bán cac căn hộ sổ đỏ chính chủ, nhà mới 100% như sau:Loại căn hộ 2 PN:- Căn số 12 tầng 6, ban công ĐN, diện tích 96,5 m², 2 phòng ngủ, 1 phòng khách, giá 46,8 tr/m².- Căn số 7, tầng 7, 98 m², 2 phòng ngủ, 1 phòng khách, cửa hướng Đông, giá 47 tr/m².- Căn số 08 tầng 6 hoặc tầng 7, diện tích 114,5 m², 2 phòng ngủ, 1 phòng khách, giá 46,6 tr/m².- Căn số 05 tầng 6, diện tích 92,6m², 2 phòng ngủ, 1 phòng khách, giá 49,2 tr/m².Loại căn hộ 3 PN:- Căn số 12A tầng 6, bban công ĐN, diện tích 116,3 m², căn góc 3 phòng ngủ, 1 phòng khách, Giá 45,8 tr/m².- Căn số 11 tầng 7, diện tích 119m², căn góc 3 phòng ngủ, 1 phòng khách, cửa hướng Tây, ban công hướng Đông Nam, giá 50,6 tr/m².- Căn số 4 tầng 6 hoặc tầng 7, ban công hướng Bắc, diện tích 113,5 m², căn góc 3 phòng ngủ, 1 phòng khách. Giá 46,2 tr/m².-Căn số 3 tầng 6, ban công hướng Bắc, 185m², 3PN giá 44 tr/m2- Nội thất: Bàn giao nội thất cơ bản, mới 100% đã bao gồm sàn gỗ nhập khẩu, thiết bị vệ sinh, bếp, tủ bếp, hút mùi đồng bộ, cửa chính lõi thép chống cháy, khóa từ thẻ từ...+ View căn hộ rất đẹp, quan sát được toàn cảnh trung tâm Hà Nội, hồ Hoàn Kiếm, Sông Hồng, giao thông thuận tiện.+ Căn hộ thoáng mát về mùa hè, ấm về mùa đông, hành lang rất thoáng rộng.+ Tòa nhà có phòng tập, đối diện là nhà trẻ, trường học cấp 1, 2, 3.+ Vị trí trung tâm cách hồ Hoàn Kiếm trung tâm 1km, tiện cho sinh hoạt làm việc, học tập, ở phố.+ Có các siêu thị lớn và các trung tâm sức khỏe, ăn uống.- View hướng Lò Đúc, Hồ Hoàn Kiếm rất đẹp.Là khu tòa nhà dân trí cao, an ninh tốt, nhiều dịch vụ chất lượng cao cấp, tòa nhà có văn phòng, ngân hàng, siêu thị, các cửa hàng mua sắm tiện lợi.+ Giá bán đã bao gồm sang tên sổ đỏ cho khách, có thương lượng cho khách hàng có thiện chí.Liên hệ trực tiếp PKD 0985126680",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784213.6975868, 3,, 2
"3,5 tỷ VNĐ",Bà Triệu - Hà Đông, 33m2,,, 5,"Bán nhà Bà Triệu, Hà Đông 33mx5 tầng ngõ nông gần phố ở ngay hơn 3 tỷ Chủ nhà cần tiền giải quyết việc gia đình bán gấp nhà đẹp trước Tết hơn 3 tỷ khu trung tâm Bà Triệu, Hà Đông 32m với 5 tầng hiện đại ngõ nông vài bước chân ra phố, nhà đẹp ở ngay. Bán kính xung quanh có chợ Hà Đông gần tàu điện, bến xe trường học các cấp, bệnh viện, ngân hàng. Giáp Tô Hiệu xuống Lê Lợi gần Lê Hồng Phong ra Nhuệ Giang sang Văn Quán đối diện Phúc La. Sổ vuông sẵn sàng giao dịch. Giá: 3.5 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784214.8175454,,,
"3,5 tỷ VNĐ",Tô Hiệu - Hà Đông, 32m2,,, 5,"Bán nhà Tô Hiệu, Hà Đông 32mx5 tầng gần phố ngõ nông ở ngày hơn 3 tỷ Chính chủ bán nhà riêng trước Tết phố Tô Hiệu, Hà Đông ngay giáp chợ lớn Hà Đông tiện ích ngập tràn khu vực văn minh ít nhà bán hơn 3 tỷ không có căn thứ 2. Nhà tự xây 5 tầng rộng đẹp 32m ngõ nông rất gần phố. Nhà gần chợ lớn Hà Đông khu vực trung tâm phố cổ luôn đông đúc sầm uất ngày đêm mua gì cũng có. Giáp các phố Tô Hiệu xuống Lê Lợi gần Lê Hồng Phong ra Nhuệ Giang sang Văn Quán đối diện Phúc La. Sổ vuông sẵn sàng giao dịch. Giá: 3.5 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784215.860758,,,
"6,6 tỷ VNĐ",Phùng Hưng - Hà Đông, 90m2,,, 3,"Bán nhà Phùng Hưng, Hà Đông 90mx3 tầng, ô tô kinh doanh ngõ thông hơn 6 tỷ Siêu hiếm mặt ngõ to như phố ô tô tránh kinh doanh sầm uất đa dạng các loại hình diện tích lớn 90m nhà 3 tầng đầy đủ công năng, mặt tiền rộng hiếm vài bước ra phố. Nhà gần các bệnh viện lớn Học viện quân y, Viện Bỏng, Viện K trường học các cấp nhu cầu thuê rất cao, kinh doanh đỉnh, gần bến xe bus đi lại vô cùng thuận tiện. Sổ vuông sẵn sàng giao dịch. Giá: 6.6 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784216.8700662,,,
