price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
"4,2 tỷ VNĐ","Chính chủ bán căn góc tầng 12 chung cư Sky Light Minh Khai, Hai Bà Trưng; 4,2 tỷ; 0936728587", 124m2,,"Chính chủ bán căn góc tầng 12 chung cư Sky Light Minh Khai, Hai Bà Trưng; 4,2 tỷ; 0936728587 Không có nhu cầu sử dụng nên tôi cần bán lại nhà căn góc tầng 12: Địa chỉ: Chung Cư Sky Light, 125D Đường Minh Khai Phường Minh Khai Quận Hai Bà Trưng Hà Nội.Diện tích: 124m2.- Căn 3 Phòng Ngủ, 1 Phòng Khách 1 phòng bếp 2 WC, ban công rộng rất thoáng mát, phòng đẹp- Nội thất: điều hòa, nóng lạnh, tủ bếp, giường tủ quần áo đầy đủ.- Vị trí trung tâm, giao thông thuận tiện, an ninh tốt.  Giá bán: 4,2 tỷ ( có thương lượng )Liên hệ: 0936728587       http://www.sanbatdongsanviet.com.vn",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792878.9587562,,,,
415 tỷ VNĐ,Đường Ngô Quyền phường Vạn Phúc, 35m2, 3," + Thiết kế: - Tầng 1: Phòng khách, bếp, phòng ăn. - Tầng 6: Sân phơi.  ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792880.5116422, 3, 6, 4, 4
"15,9 tỷ VNĐ",Đường Nhân Mỹ phường Mỹ Đình 2, 118m2,," phân lô cực đẹp.Mảnh đất thuộc ngõ 322 Mỹ Đình ( Nhân Mỹ) khu vực dân cư đông đúc, nhiều sinh viên, nhu cầu thuê phòng rất cao, đầu tư xây chung cư mini thì dòng tiền cực tốt. Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7
",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792881.9926805, 30,,,
"25,37 triệu VNĐ",Đường Quốc lộ 3 phường Xuân Nộn, 46m2,,"💥💥💥 Chưa đến 1,2 tỷ các a/c có thể sở hữu lô đất đường 3m ô tô đỗ cửa .- Diện tích:  46,5m2. - Mặt tiền : 4m - hậu 4m vuông vắn đẹp. - Vị trí Đình Trung, Xuân Nộn, Đông Anh, Hà Nội- Bán kính chưa đến 1m đầy đủ tiện ích k thiếu thứ gì ☎☎Liên hệ e Trang: 0971396855 để xem đất ạ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792883.4138777, 4,,,
"25,5 tỷ VNĐ",Đường LẠC LONG QUÂN phường Xuân La, 70m2, 6,"Mô tả: Mặt tiền 6m-Diện tích 66m + Vị trí đẹp, kinh doanh, ô tô vào nhà. + Nhà 7 tầng THANG MÁY. + Nhà thiết kế hiện đại 6phòng ngủ khép kín. -Tầng 1 : gara ô tô + wc. - Tầng 7 là phòng thờ và sân phơi. + Nhà mua để ở hoặc làm văn phòng công ty thì tuyệt vời, kết hợp kinh doanh. + Khu dân trí an ninh tốt, gần chợ, gần trường các cấp, giao thông thuận tiện,đường đi sân bay. +Pháp lý rõ ràng sổ đỏ chính chủ sẵn sàng giao dịch. +Hỗ trợ tư vấn Miễn Phí từ lúc xem nhà đến công Chứng. +Phân khúc từ trăm triệu>> trăm tỷ. 14:10      ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792884.906967, 6, 7, 5, 8
"3,6127 tỷ VNĐ",Đường Võ Nguyên Giáp phường Vĩnh Ngọc, 80m2,,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'1.="""" thông="""" tin:="""" span="""" text'-="""" diện="""" tích="""" 68m2="""" vuông="""" vắn="""" text'="""">- Mặt tiền 5,2m. "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'chiều="""" dài="""" 13,4m.="""" span="""" text'="""" spanspan="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'-="""" thửa="""" đất="""" đẹp,="""" kinh="""" doanh="""" tốt,="""" đi="""" lại="""" nhiều="""" lối="""" thoáng="""" sướng.="""" hạ="""" tầng="""" đường="""" xá="""" đồng="""" bộ="""" sạch="""" sẽ,="""" gần="""" trung="""" tâm="""" nội="""" thành.="""" span="""" spanbrroboto="""" regular"";="""" rgb(0,0,0);="""" text-decoration-thickness:="""" -webkit-tap-highlight-color:="""" transparent'="""" text'="""">2. Tiện ích:  "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'-="""" vị="""" trí="""" đất="""" ở="""" t="""" spanspan="""" text'span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'rục="""" đắc="""" địa="""" kinh="""" doanh="""" siêu="""" đỉnh,="""" sầm="""" uất="""" bậc="""" nhất="""" khu="""" vực,="""" tiềm="""" năng="""" phát="""" triển="""" và="""" sinh="""" lời="""" rất="""" cao="""" span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'="""" span="""" spanspan="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'-="""" gần="""" trung="""" tâm="""" hành="""" chính="""" của="""" xã,="""" x="""" span="""" spanspan="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'ung="""" quanh="""" đầy="""" đủ="""" tiện="""" ích:="""" trường="""" học="""" các="""" cấp,="""" siêu="""" thị="""" lớn="""" vinmart,="""" fpt,="""" ubnd,="""" bệnh="""" viện="""" tw...="""" span="""" text'span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'-="""" gần="""" hồ="""" điều="""" hòa,="""" nhà="""" văn="""" hóa,="""" chợ="""" lớn="""" trung="""" tâm,="""" khu="""" vực="""" đông="""" dân="""" cư,="""" trí="""" cực="""" kì="""" phát="""" triển,="""" tiện="""" ích="""" không="""" thiếu="""" thứ="""" gì.="""" span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'="""" span="""" spanspan="""">- Giao thông thuận tiện mọi hướng, đi bộ là đường Võ Nguyên Giáp, cầu Nhật Tân, "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'di="""" chuyển="""" 5="""" phút="""" sang="""" nội="""" thành.="""" span="""" text'-="""" di="""" đến="""" cầu="""" thăng="""" long,="""" spanspan="""" text'=""""> 15 phút đến Sân bay Nội Bài. "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'-="""" cách="""" kcn="""" bắc="""" thăng="""" long="""" và="""" mê="""" linh="""" chưa="""" đến="""" 5km.="""" span="""" text'span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'spanroboto="""" regular"";="""" float:="""" rgb(0,0,0);="""" display:="""" inline="""" !important;="""" text-decoration-thickness:="""" initial'spansegoe="""" initial'="""">-",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792889.26944, 5,,,
"3,76 tỷ VNĐ",Đường Võ Nguyên Giáp phường Nguyên Khê, 80m2,,"Chủ đất cần tiền thiện chí bán rẻ hơn mặt bằng lô đất tại khu Đấu giá X2 Sơn Du, Nguyên Khê, Đông Anh - Cách đường Võ Nguyên Giáp chỉ 300m (Cao tốc Nhật Tân - Nội Bài)  - Diện tích: 80m2 - Mặt tiền: 4.45m - Đất vuông vức, không lỗi gì. - Đường ô tô tránh nhau, thông bàn cờ, vỉa hè 2 bên.  - Khu đấu giá bám sát đường Lê Hữu Tựu kéo dài, nối xã Nguyên Khê và Bắc Hồng. Giá thấp hơn mặt bằng nên mua để đón đầu sóng cuối năm rất tiềm năng.  Liên hệ e Huy kết nối chính chủ: 0979.696.848",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792890.7594476, 4,,,
"8,4 tỷ VNĐ",Đường Tôn Đức Thắng phường Ô Chợ Dừa, 48m2, 3,""",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'="""" p="""" #050505;="""" mso-fareast-font-family:="""" ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui="""" historic""'bán="""" nhà="""" Đống="""" Đa="""" phố="""" nguyễn="""" phúc="""" lai="""" gần="""" hồ="""" hoàng="""" cầu="""" 48m2x4t,="""" mt="""" 5brmô="""" tả="""" :br+="""" vị="""" trí="""" quá="""" đẹp="""" để="""" ở,="""" ngõ="""" ô="""" tô="""" con="""" qua="""" nhà.="""" 30m="""" ra="""" đường="""" tránh,="""" 50m="""" cầu.="""" br+="""" chủ="""" xây="""" chắc="""" chắn="""" 4="""" tầng,="""" thang="""" giữa,="""" khách="""" mua="""" về="""" thêm="""" nước="""" sơn="""" là="""" ở="""" được="""" ngay.="""" tầm="""" tiền="""" nhiều="""" tìm="""" kiếm.="""" sổ="""" đỏ="""" vuông="""" vắn="""" trước="""" sau="""" như="""" một.="""" sẵn="""" sàng="""" giao="""" dịch.br+="""" hãy="""" gọi="""" ngay="""" cho="""" tôi="""" 24="""" 7br+="""" miễn="""" tg,="""" mg="""" làm="""" phiềnbr+="""" cam="""" kết="""" thông="""" tin="""" thật,="""" ảnh="""" thật="""" 100%.="""" không="""" đăng="""" ảo="""" mất="""" thời="""" gian="""" hàng.br="""" span="""" pspaninherit"",""serif"";="""" historic""'="""">
   ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792892.8276463, 5, 4, 3, 3
3 tỷ VNĐ,Đường Khương Trung phường Khương Trung, 24m2, 3,"PHÂN LÔ KHƯƠNG TRUNG - NHÀ XÂY MỚI- NGÕ THÔNG - CÁCH Ô TÔ DỪNG ĐỖ 5M - BÃI GỬI Ô TÔ 30MKhương Trung diện tích 24m2, xây 4 tầng, mặt tiền 3m, giá nhỉnh 3 tỷ  Mô tả:- Ngõ thông, cách ô tô tránh, dừng đỗ 5m, khách mới mua về cũng có để xe tại bãi xe đó, chi phí chỉ 1 vài trăm ngàn- Thiết kế:Tầng 1: bếp + kháchTầng 2,3: PN + WCTầng 4: PN + gian thờ riêng+ Sân Phơi- Sổ đẹp, không tranh chấp pháp lý, sẵn sàn giao dịch",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792894.116199, 3, 4, 3, 3
"3,7 tỷ VNĐ","Cần bán gấp nhà nhà số 62 ngõ 156 Lạc Trung, P.Thanh Lương, Hai Bà Trưng, 3,7 tỷ; 0902372529", 47m2,,"Cần bán gấp nhà nhà số 62 ngõ 156 Lạc Trung, P.Thanh Lương, Hai Bà Trưng, 3,7 tỷ; 0902372529  Diện tích: 4,5m x 10,5 m, khoảng trên 45m2, Nhà 3 tầng, có 2 mặt đường, đường phía trước rộng 6 m, 2 xe tải tránh nhau được, có vỉa hè rộng 1,5 m rất tiện cho việc kinh doanh, khu dân cư đông đúc, nhà đang cho thuê, ngõ sau rộng 3m,nhà đang chờ sổ đỏ,  Giá bán 3,7 tỷ Số điện thoại liên hệ 0902372529       http://www.sanbatdongsanviet.com.vn",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792895.5403926,,,,
