price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet
"3,5 tỷ VNĐ",Vĩnh Hưng Hoàng Mai Hà Nội, 38m2,, 4,"+ Gia đình cần bán nhà Phố Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội. + Vị trí đẹp, ngõ ô tô, gần phố, khu vực gần công an phường Vĩnh Hưng, gần chợ, xe bus, các trường các cấp… + Diện tích 38m2, mặt tiền 4m, 4 phòng ngủ, phòng nào cũng tràn ngập ánh sáng. + Nhà mới xây được 2 năm, nhà đẹp khách về ở ngay. + Sổ đỏ chính chủ, giao dịch phút mốt. + Giá 3.5 tỷ + Khách hàng hợp nhu cầu hãy liên hệ: Nguyễn Minh Quang 0327085656 ( xem nhà trực tiếp miễn phí )",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786424.9174786,, 4, 4,
"1,73 tỷ VNĐ","Bán CHCC 1703 ĐN1T2 Thăng Long Victory An Khánh, Hoài Đức, 1,73 tỷ; 0977654576", 70m2,,,"Bán CHCC 1703 ĐN1T2 Thăng Long Victory An Khánh, Hoài Đức, 1,73 tỷ; 0977654576   Chính chủ bán CHCC tại Tòa T2 CCThăng Long Victory 70m2, đã có sổ, view nhìn đẹp, rất thoáng mát, hướng cửa chính ĐN Chi tiết: 2 phòng ngủ, trong đó 1 phòng ngủ có giường tầng và giường kéo phụ thích hợp cho gia đình có 2 hoặc 3 bé.  - 2 phòng vệ sinh đều lắp đặt vách kính sạch sẽ, đã có đèn sưởi, bình nóng lạnh  - 2 ban công hướng nhìn thoáng đẹp  - Nội thất đã có: 2 điều hòa 2 chiều phòng ngủ, giường tầng, tủ quần áo đẹp, các tủ kệ liền tường (tủ bếp, giá sách), bếp điện từ Mitsubishi.  - Tiện ích xung quanh: Hành lang tầng 1 sạch sẽ dài và rộng nối liền 4 tòa có mái che, thuận tiện đi dạo ngày mưa và nắng. Hiện tại có 2 ngân hàng TP Bank, BIDV.  + Nhiều siêu thị và cửa hàng, nhà hàng, phòng khám đa khoa uy tín (bác sĩ viện 108), phòng khám răng, 3 nhà trẻ tư thục. Bên cạnh có sân chơi cỏ nhân tạo, sân tennis.  + Cách trường học và chợ 500m. Cách TTTM Aeon 2km - Địa chỉ: căn 1703 ĐN2T2 Tòa Chung cư Thăng Long Victory,  Đường An Khánh, xã An Khánh, huyện Hoài Đức, Hà Nội  - Giá bán: 1,73 tỷ - Liên hệ chính chủ: 0977654576       http://www.sanbatdongsanviet.com.vn",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786425.9776418,,,,
"2,6 tỷ VNĐ",huỳnh cung tam hiệp thanh trì hà nội, 42m2, 11,,"BÁN GẤP ĐẤT HUỲNH CUNG- TAM HIỆP 42M LÔ GÓC Ô TÔ CHỈ 2,6 TỶ + Mảnh đất lô góc hai mặt thoáng , ngõ thông, ô tô ủy ban, chợ,nhà văn hóa, trường học… + Khu vực tiềm năng tăng giá cao khi lên quận, rất nhiều dự án mới chỉ cần khởi công thôi là sẽ tăng cao: mở đường nội khu, khu đấu giá, đường liên phường… + Sổ vuông vắn, pháp lý chuẩn + Lh em Thúy 0365904086 để được tư vấn",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786426.880228,, 4,,
900 triệu VNĐ,Cổ Đồng - Sơn Tây - Hà Nội, 61m2,,,"Vị trí cực đẹp, thuận tiện giao thông, gần quốc lộ 21.  Gần khu công nghệ cao Hòa Lạc, gần trường Đại học FPT Sổ đỏ có sẵn. Đường trước mặt 2 ô tô tránh nhau Hạ tầng hoàn thiện , dân cư đông đúc. Sẵn sàng giao dịch , sang tên sổ đỏ trong ngày. Hỗ trợ vay Ngân hàng , miễn lãi trong 2 năm đầu.",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786428.180789,,,,
"6,9 tỷ VNĐ","Đường Quốc lộ 32, Kim Chung, Hoài Đức", 70m2, 3, 7,"
    Cực Hiếm Duy nhất 1 căn có 1 0 2 Cần Bán CCMN Rẻ nhất Lai xá, Kim Chung, Hoài Đức 70M 7 tầng Thang máy Nhỉnh 6 tỷ
+ Vị trí siêu đẹp, Trung tâm phát tiển, gần các Trường Đại Học Thành Đô, ĐH Công nghiệp Hà Nội, ĐH Tài nguyên Môi trường.. KCN Nhổn, Di Trạch..
+ Full Nội thất xịn xò, đang hoạt động tốt, sẵn khai thác.
+ Giao thông thuận tiện Quốc lộ 32, Đường Xuân phương, ga Nhổn, Bến xe Mỹ Đình.. 10 phút tới trung tâm thành phố.
+ Tiện ích ngập tràn, rất đông sinh viên, người đi làm nhà mới mà luôn kín phòng. Nhu cầu thuê rất cao.
+ Sổ CC, Hoa Hậu , pháp lý rõ ràng, sẵn sang tên, thủ tục nhanh gọn.
+ Xem nhà gọi Mr Đức Nhà Đẹp Rất nhiều nhà đẹp phù hợp mọi nhu cầu Anh Chị Em.
",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786429.1232288,, 4, 12, 12
"2,65 tỷ VNĐ","Đường Lý Sơn, Long Biên, Long Biên", 38m2,,,"Cần bán lô đất phố Lý Sơn - Ngọc Thuỵ ô tô vào tận đất diện tích 38m² giá 2.65 tỷ.  - Vị trí nằm gần đường Lý Sơn, gần Cầu Đông Trù, gần Hv Hậu Cần, bên cạnh là khu Him Lam Đức Giang và Khai Sơn. Chỉ vài bước chân ra phố Lý Sơn, xung quanh có chung cư khu quân đội KZ1333 - Xung quanh bán kính 200m đến 300m đầy đủ chợ , trường học, bệnh viện Đức Giang, trạm y tế phường.  - Khu dân cư dân trí cao an ninh tốt  - Diện tích 38m² mặt tiền 4m . Sổ vuông vắn pháp lý sạch sẵn sàng giao dịch.  - Giá chào bán 2.65 tỷ có thương lượng.  - LH e Thanh. Tư vấn xem nhà đất miễn phí",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786430.1794024,, 4,,
"32,95 tỷ VNĐ","Chính chủ cần Bán gấp tòa nhà VP Tại Phố Nghĩa Tân Tô Hiệu Hoàng Quốc Việt Cầu Giấy Hà Nội dt 80 m2 x 10 tầng mới giá 32,95 tỷ", 80m2, 12, 10,"Chính chủ cần Bán gấp tòa nhà VP Tại Phố Nghĩa Tân Tô Hiệu Hoàng Quốc Việt Cầu Giấy Hà Nội dt 80 m2 x 10 tầng mới giá 32,95 tỷGia Đình em cần Bán gấp tòa nhà Văn Phòng, Kinh Doanh, Khu phân Lô Nghĩa Tân , Phố Hoàng Quốc Việt, Phố Tô Hiệu, Phường Nghĩa Tân , Quận Cầu Giấy, nhà 76 m2 , thực tế xây dựng tầng diện tích 80 m2, mặt tiền 5,5 m, nhà xây dựng 9,5 tầng cầu thang máy , gồm 1tầng hầm + 7 tầng nổi và 1 tum, 3 tầng trên thiết kế để ở, nhà có thiết kế thang máy, nhà được thiết kế xây dựng thông sàn làm văn phòng công ty, spa, mở phòng khám, kinh doanh, vvv. Vv, nhà nằm ở vị trí đẹp, cách Phố Tô Hiệu chỉ vài bước chân, cách phố Hoàng Quốc Việt, Chợ Nghĩa Tan 100m, Phố Nguyễn Văn Huyên Kéo Dài Càu Giấy Tay Hồ, Công Viên Nghĩa Đô, lên rất tiện cho sinh hoạt , giao thông đi lại thuận tiện, sđcc , giá bán 32,95 tỷ và nhà căn hộ Cao tầng có 30 phòng với diện tích 100 m2 nhà lô góc đẹp tại Phố Cầu Giấy chỉ 25 tỷ có thương lượng, MTG, môi giới Làm Phiền, LH chủ nhà anh Thụy, 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ a đến z để quý.",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786432.017556, Nam, 5,,
8 tỷ VNĐ,"Xã Cổ Bi, Huyện Gia Lâm, TP Hà Nội", 90m2,,,"“Ít có thứ gì trên đời làm tâm trí tôi thấy ấm áp hơn là sở hữu một mảnh đất” - Harriet Martineau. Ông đã nói thế và dự án của chúng tôi đang rất là NÓNG HỔI SÔI SỤC của thị trường BĐS Dự án GREEN LITTLE TOWN có tổng diện tích quy hoạch khoảng 3,2 ha. 🏨Vị trí dự án: Đường Bình Minh - Sau nhà thi đấu Gia Lâm (ngay cạnh ngã tư Trâu Quỳ, KĐT Đặng Xá) 🏨 Loại hình: Khoảng 170 căn liền kề và 1 tòa chung cư, kết hợp 5 tầng trung tâm thương mại. 🏤Diện tích: 87,5-90-100-150m2 ( Liền kề - Shophouse ) 180-200-280m2 ( Biệt Thự ) 🏤 Giá từ: 12-15 tỷ/căn 💰Đơn giá đất từ 110-135tr/m2 📍 1. CẬN TRUNG TÂM - KỀ QUỐC LỘ - Trái tim Gia Lâm với vị trí chiến lược phía Đông thủ đô - Cửa ngõ tam giác kinh tế vàng Hà Nội – Hải Phòng – Quảng Ninh ❗ 2. ĐÓN SÓNG HẠ TẦNG - NÂNG TẦM GIÁ TRỊ - Hạ tầng giao thông kết nối với cao tốc Hà Nội – Hải Phòng/Quảng Ninh, Nút giao Cổ Linh - Các cây cầu “Nghìn tỉ” và các đường quy hoạch lớn đang mở rộng nằm xung quanh dự án - Gia Lâm lên “Quận” sẽ trở thành trung tâm mới phía Đông của thủ đô - Tiếp giáp 2 tỉnh thành có nhiều khu công nghiệp là Bắc Ninh và Hưng Yên 💯 3. TIỆN ÍCH TIỆN NGHI - TRẢI NGHIỆM XỨNG TẦM T - Thừa hưởng hệ thống tiện ích ngoại khu: trường học, bệnh viên đã hoàn thiện đồng bộ: Vincom Mall, Aeon Mall, Vin school, trường học quốc tế, Bệnh viện Tâm Anh, bênh viên Gia Lâm,… - Tiện ích nội khu độc đáo: Công viên trung tâm, trung tâm thương mại, trường mầm non tiêu chuẩn, bể bơi 4 mùa…. 🏘 4. TỐI ƯU THIẾT KẾ - TỐI ĐA CÔNG NĂNG - Thiết kế tối ưu công năng sử dụng: Xây dựng 5 tầng với 01 không gian xanh tự do sáng tạo 💫 5. DẤU ẤN TRUYỀN ĐỜI - BÁU VẬT THỊNH VƯỢNG - 100% sản phẩm sở hữu lâu dài với tiềm năng tăng giá vô hạn ----------------------------------------------------------------- Mọi thông tin chi tiết về dự án xin vui lòng liên hệ trực tiếp Chủ đầu tư: ☎️☎️ ☎️ 𝐇𝐎𝐓𝐋𝐈𝐍𝐄 : 0983.599.837 ( ib - zalo - sms ) ️🎯 Địa chỉ: Xã Cổ Bi, Huyện Gia Lâm, TP Hà Nội (Gần Nhà thi đấu Gia Lâm) ",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786433.192413,, 7,,
"3,35 tỷ VNĐ",x16 Phú Viên, 41m2,, 4,"Bán Nhà MẶT PHỐ VIP Phú Viên - Long Biên - KINH DOANH - 41m2 - MT3.5m - 3.35 Tỷ MẶT PHỐ VIP - Ô TÔ TRÁNH - KINH DOANH SẦM UẤT - MẶT TIỀN LÝ TƯỞNGMô tả :+ Nhà mặt phố, ô tô tránh.+ Nhà dân xây khung cột bê tông.+ Mảnh đất vuông đẹp, vị trí đẹp tuyệt.+ Anh/Chị có nhu cầu mua nhà vui lòng liên hệ : TRẦN QUYẾT BĐS LONG BIÊN, điện thoại/ Zalo: 0374148382.",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786434.3766205,, 3, 4, 3
"4,6 tỷ VNĐ","Đường Ngọc Khánh, Giảng Võ, Ba Đình", 105m2, 10,,"
    Bán CHCC Ba Đình.Tòa Artex 172 Ngọc Khánh, DT105m2,3PN,2WC.Giá4.6T.LH:091.615.2339
",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786435.4008803,, 10, 3, 2
