price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"4,3 tỷ VNĐ",Khương Trung, 32m2, 5,"NHÀ HOT 🧧🧧 CỰC PHẨM KHƯƠNG TRUNG- THANH XUÂN- 5 TẦNG- KHÉP KÍN - OTO 7 CHỖ CÁCH NHÀ 10M- CHỦ ĐỂ LẠI FULL NỘI THẤT - Diện tích 32m2, 5 tầng, mặt tiền 3.6m- Nhà xây 5 tầng, tổng 3 phòng ngủ : + Tầng 1: phòng khách, bếp, WC+ Tầng 2,3,4: mỗi tầng 1 Ngủ, WC+ Tầng 5: Phòng thờ, sân phơi- Bãi đỗ xe ô tô ngay gần nhà- Vị trí đẹp- Sổ đẹp Lh 0962842028",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827150.9923975,, 3, 3, 4,
"5,7 tỷ VNĐ",Tô Vĩnh Diện, 58m2,,"+ Bán nhà phố Tô Vĩnh Diện, Thanh Xuân, diện tích 58m2, mặt tiền 4m, 5 tầng khung cột bê tông chắc chắn, có thể nâng tầng và lắp thêm thang máy.+ Nhà thuộc khu phân lô quân đội, dân trí cao. Ngõ rộng ô tô thông, trước nhà ô tô dừng đỗ, giao thông thuận tiện. Kinh doanh các loại hình như cửa hàng, văn phòng, cho thuê. Gần trung tâm Ngã Tư Sở ngay cạnh các tuyến phố lớn Trường Chinh, Khương Trung, Vương Thừa Vũ, Hoàng Văn Thái.+ Chủ để lại toàn bộ nội thất.+ Khu vực yên tĩnh, an sinh tuyệt vời.+ Sổ vuông phân lô,  sẵn sàng giao dịch.+ Liên hệ: Phùng Trang  0975124520",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827151.9797585,,,,,
4 tỷ VNĐ,"TRƯƠNG ĐỊNH, HOÀNG MAI", 40m2,,"NHÀ ĐẸP Ở NGAY TRƯƠNG ĐỊNH, DIỆN TÍCH 40M2, NGÕ RỘNG THÔNG PHỐ. + Nhà nằm trên một ngõ rộng thông nhau, dân trí cao, nhộn nhịp, có thể kết hợp vừa ở vừa kinh doanh. + Nhà 4 tầng chắc chắn móng lên tầng, thiết kế nội thất cực đẹp đẳng cấp. + Chủ giữ gìn nhà cẩn thận nay bán lại chủ mới lên chung cư ở các con và dành tiền làm ăn. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827156.0069976,,,,,
110 triệu VNĐ/m2,"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên", 132m2, 6,"+ Chính chủ cần bán nhà gần cầu Chương Dương, DT 132m2, MT 5,7m, 6 tầng, cầu thang máy, ngõ rộng oto vào tận nhà, dòng tiền mùa dịch hơn 50tr/tháng. + Sổ hồng vuông vắn nở hậu sẵn sàng giao dịch. + Giá: nhỉnh 110tr/m2 + Liên Hệ xem nhà miễn phí: Dũng 0948677782 Chuyên BDS thổ cư Hà Nội.",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827158.4192872,, 5, 10, 10, 8
9 tỷ VNĐ,giáp nhị hoàng mai hà nội, 76m2, 4,"
    + Vị trí tuyệt đẹp trong phố Giáp Nhị. Chủ nhiều nhà muốn bán bớt
+ Nhà ngõ to như phố, ô tô tránh , thoáng sáng
+ Nhà chủ tự xây tâm huyết 4 tầng kiên cố và chắc chắn
+ Tầng 1. Sân + phòng khách + bếp
+ Tầng 2.3 mỗi tầng 2 ngủ + wc. Tầng 4 kho + sân phơi
+ 2 phút ra đường Trương Định + Giải Phóng + Thịnh Liệt
+ Gần nhiều trường học cấp 1,2,3. Gần hồ Linh Đàm. Khu phố thân thiện, an sinh tuyệt đỉnh
+ Sổ đỏ chính chủ sãn sàng giao dịch
+ LH 089364334 Miễn mọi chi phí khi xem nhà
",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827159.5184655,,, 4, 5,
"7,6 tỷ VNĐ",Nguyễn Ngọc Nại, 63m2,,"+ Bán nhà phố Nguyễn Ngọc Nại, Thanh Xuân, diện tích 63m2, mặt tiền 4m, 5 tầng khung cột bê tông chắc chắn, có thể nâng tầng và lắp thêm thang máy.+ Nhà thuộc khu phân lô quân đội, dân trí cao. Ngõ rộng ô tô thông, trước nhà ô tô dừng đỗ, giao thông thuận tiện. Kinh doanh các loại hình như cửa hàng, văn phòng, cho thuê. Gần trung tâm Ngã Tư Sở ngay cạnh các tuyến phố lớn Trường Chinh, Khương Trung, Vương Thừa Vũ, Hoàng Văn Thái.+ Chủ để lại toàn bộ nội thất.+ Khu vực yên tĩnh, an sinh tuyệt vời.+ Sổ vuông phân lô, không lỗi phong thủy, sẵn sàng giao dịch.+ Liên hệ: Phùng Trang  0975124520.",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827160.4908178,,,,,
"5,3 tỷ VNĐ",Phố Nguyễn Văn Cừ, 60m2, 4,"Nhỉnh 5 tỷ có ngay nhà phố Nguyễn Văn Cừ 60m2 3.5 tầng mặt tiền 4.4m  Mô tả:  + Hình thức: Nhà dân xây , còn rất đẹp, chắc chắn, khách mua ở ngay. Nhà 3 tầng rưỡi. Tổng 4 ngủ, có phòng thờ riêng, wc từng tầng, cầu thang giữa, tầng 1 có sân nhỏ để xe.  + Vị trí: Ngõ thông trải nhựa sạch đẹp, morning vào nhà, thuộc Gia Thụy, khu vực nhiều cán bộ nhân viên hàng không sinh sống nên dân trí cao, hạ tầng phát triển, dịch vụ dư thừa. Gần trường học chợ siêu thị. + Sổ đỏ cất két sẵn sàng giao dịch Liên hệ e Long : 0988073894",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827161.5838954,,, 4,,
12 tỷ VNĐ,"Đường Hồng Hà,  Phường Phúc Tân, Quận Hoàn Kiếm", 102m2,,"+ Đất mặt phố, Kinh doanh sầm uất, đi bộ ra Bờ Hồ, DT 102m2, MT 4,5m phù hợp với mọi loại hình kinh doanh. + Vị trí nhà cực kỳ thuận lợi để ở, xây khách sạn, căn hộ cho thuê hay văn phòng các kiểu đều tuyệt.( khách mua được tặng kèm thiết kế). + Phố trước nhà ô tô tránh, vỉa hè nhìn sang phố cổ. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá: nhỉnh 117tr/m2. + Liên Hệ xem nhà miễn phí: Dũng 0948677782 Chuyên BDS thổ cư Hà Nội.",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827162.837582,, 4,,, 8
"7,2 tỷ VNĐ","phố Khương Trung, phường Khương Đình", 62m2, 4,"SIÊU PHẨM NHÀ ĐẸP - THOÁNG TRƯỚC SAU - SỔ ĐỎ NỞ HẬU - 20M OTO TRÁNH Cần bán căn nhà 4 tầng tại đường Khương Trung, phường Khương Đình, quận Thanh Xuân. Nhà thoáng trước sau, diện tích 62m2, mặt tiền 4,2m, đẹp long lanh lóng lánh 4 tầng thiết kế hiện đại: - Tầng 1: khách bếp WC, khe thoáng sau, có sân để xe - Tầng 2, 3: mỗi tầng 2 ngủ rộng + WC - Tầng 4: 1 phòng, 1 sân phơi Chủ để lại hết nội thất Ngõ chính rộng như phố, ô tô đi, thông ra Hoàng Văn Thái, Khương Trung, giao cắt Khương Hạ, Vũ Tông Phan, Khương Đình… toàn phố VIP quận Thanh Xuân; sát hồ Đầm Hồng, gần chợ Khương Đình,… an sinh đỉnh cao. Cách bãi đậu ô tô 20m.  Hàng xóm toàn nhà xây mới, dân trí cao. Sổ đỏ chính chủ phân lô vuông đét, nở hậu nhẹ, sẵn sàng giao dịch. Giá: 7,2 tỷ VNĐ Thanh Xuân giờ giá lên vù vù, anh chị em cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (chuyên khu vực Khương Đình). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827163.984514,,, 5,,
"4,8 tỷ VNĐ",Ngọc hà, 37m2,,"Cần bán gấp nhà Ngọc Hà gần phố, lô góc 50m ra oto tải tránh, vị trí ngay trung tâm ba đình. +Thiết kế thông minh, giếng trời cực thoáng +Trước nhà không có nhà đối diện, cực kỳ yên tĩnh +Nhà đẹp long lanh, xây khung cột bê tông cực kỳ chắc chắn -Thiết kế: +Tầng 1: Khách, bếp, wc +Tầng 2,3,4: mỗi tầng 1 phòng ngủ,wc +Tầng 5: 1 phòng, sân phơi Sổ đỏ vuông đẹp, sẵn sàng giao dịch LH:0962370591-Nguyễn Phúc Lộc",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827164.9329762,,,,,
