price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"3,5 tỷ VNĐ","Đường Bồ Đề, Bồ Đề, Long Biên", 38m2, 4,"Bán nhà Bồ Đề, Long Biên, Hà Nội. Gần Tiểu học bồ Đề, gần UBND phường Bồ Đề, Trường song ngữ Liên cấp Wellspring. Bệnh viện Tâm Anh. Đường trước nhà thoáng, rộng, quy hoạch ổn định. rất thuận tiện đi lại, sinh hoạt. tiếp giáp với nhiều phố lớn như Nguyễn Văn Cừ, Hồng Tiến, Ái Mộ, Lâm Du, , Hoàng Như Tiếp, Lâm Hạ... Sát cầu Chương Dương vài phút là sang phố - Nhà thiết kế thông minh, hiện đại, công năng hoàn hảo  - Sổ đỏ chính chủ đẹp, sẵn sàng giao dịch - Rất thiện chí bán, giá chào 3.5 tỷ (Thương lượng trực tiếp với chủ nhà) - Lh: Thanh Quyên (Miễn TG - MG)",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781485.7259269, 4, 3, 7, 4
8 tỷ VNĐ,"Đường Tây Sơn 2, Ngã Tư Sở, Đống Đa", 52m2, 4,"- Bán nhà ngõ phố Tây Sơn, thông, ngõ kinh doanh, lô góc, cách phố Tây Sơn và Nguyễn Văn Tuyết vài bước chân- Khu trung tâm tiện ích đầy đủ, trường học, bệnh viện, bể bơi, bãi đỗ xe...- Kết nối giao thông nhanh với các đường Thái Hà, Tôn Đức Thắng, Láng Hạ...- Căn nhà nằm ở vị trí thuận lợi, cách ô tô đỗ vài bước chân, khách mua về có thể vừa ở vừa cho thuê kinh doanh- Nhà 6 tầng, chủ tự xây chắc chắn, cầu thang giứa, đủ công năng, 8 phòng ngủ.- 52m2, sổ đỏ đẹp, nở hậu, sẵn sàng giao dịch- Mr Hải call, zalo 0931261111 để xem và gặp chủ nhà",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781487.691295, 6, 8, 2, 5
"14,25 tỷ VNĐ","Đường Đại lộ Thăng Long, Vân Côn, Hoài Đức", 430m2, 20,"Cực Hiếm ! Có 1 0 2 Bán Đất Vân Côn, Hoài Đức 425m Ô tô vào nhà 14,x tỷ  - Đầu tư Bất chấp, Xây CCMN , Chia lô cực đỉnh.  Ô tô vào nhà.  + Đại lộ Thăng long 50m, Cách trung tâm 10 phút đi xe.  - Giá thương lượng,  Sổ CC , Sẵn sang tên nhanh gọn.  Liên hệ Mr Đức Nhà Đẹp 0812212525 - 0898839292. Tư vấn, xem Nhà Đất miễn phí, Hỗ trợ Ngân Hàng 24/24 Rất nhiều nhà đất đẹp, phù hợp mọi nhu cầu.",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781489.9321141,,,,
4 tỷ VNĐ,Bách Khoa - Hà Nội, 40m2,,"Cực hiếm - lô góc sáng thoáng trước sau - ngõ ba gác phi thoải mái – đúng 3 bước chân ra mặt phố.- Khu vực ít nhà bán, không có nhà mà mua. Vị trí vàng. - Vị trí cực đẹp, cách mặt đường phố chính chỉ vài bước chân ngay ngã tư trung tâm bậc nhất Trần Đại Nghĩa – Lê Thanh Nghị, trước nhà rộng rãi thoáng mát. Dân trí thì khỏi bàn toàn cán bộ giáo viên các trường đại học lớn, xe máy thoải mái quay đầu, trong bán kính 500m đầy đủ tiện ích: Siêu thị Vinmart, bệnh viện Bạch Mai, trường ĐH Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân, cách Times City chỉ 1km, lên Hồ Hoàn Kiếm chỉ 10p chạy xe.- Chủ hiện tại đang cho cho thuê gần 30 triệu / tháng.- Nhà xây chắc chắn, 5 tầng, 7 ngủ đầy đủ công năng giá chỉ 4 tỷ. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu.- Không kênh giá chủ nhà.- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý. ",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781492.3198054,,,,
"4,55 tỷ VNĐ","Đường Tỉnh lộ 422, Sơn Đồng, Hoài Đức", 75m2, 6,"
    Cắt lỗ Cần Bán gấp Đất ĐG Sơn Đồng Center , Hoài Đức 75m Ô tô, Kinh doanh chỉ 4,x tỷ
- Đầu tư, giữ tiền, Kinh doanh, ở sướng. P.Lô cực đẹp.
- Vị trí đẹp. Trung tâm, tương lai mặt đường lớn, Quận Hoài Đức.
-Tiện ích xung quanh đầy đủ, gần trường học Cấp1,2,3, Trường Chuyên Nguyễn Văn Huyên.., y tế, chợ, siêu thị, KĐT
- Giao thông thuận tiện, thông các ngả. Đường TL 422, TL 422B, Đường DH06, Quốc lộ 32, Đường vành đai 3.5
- Giá thương lượng, chủ rất thiện chí hợp tác.
Có nhu cầu thật, hiểu thị trường khu vực, gọi Mr Đức Nhà Đẹp.
Rất nhiều Nhà, Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",31/12/2022,Tin thường,batdongsan_so_com_vn_1673781494.2677724, 5, 4, 5, 3
"7,3 tỷ VNĐ","Đường Yên Hoà, Biên Giang, Hà Đông", 180m2, 14,"BIỆT THỰ HAI MẶT ĐƯỜNG, 4 THOÁNG, Ô TÔ ĐỖ SÂN, YÊN NGHĨA - HIẾM - ĐẸP - RẺ HÓT!!HÓT!!HÓT Biệt thự 3 tầng lô góc hai mặt đường ô tô tránh, chủ tự xây để ở rất tâm huyết, đất chia lô, ô bàn cờ, đường thông tứ tung gần trường, chợ, khu thương mại, bến xe Yên Nghĩa, xung quanh nhiều tiện ích.

Tầng 1 sân cổng, tường bao, phòng khách, 1 phòng ngủ, bếp, phòng ăn, 4 mặt thoáng, cửa mở các hướng.

Tầng hai 3 phòng ngủ, ...
",31/12/2022,Tin thường,batdongsan_so_com_vn_1673781496.6130123, 3, 5, 1, 4
"2,99 tỷ VNĐ",Quan Nhân Thanh Xuân Hà Nội, 30m2, 3,"- Diện tích 30m2 X4 Tầng, Mặt tiền 3.5m  Giá 2.99 tỷ ( có thương lượng )- Vị trí nhà nằm trong ngõ 109 Quan Nhân ngõ thông thoáng, rộng rãi!- Nhà dân xây rất chắc chắn về ở luôn!- Nhà vuông vắn nở hậu đón lộcThiết kế 4 tầng 4 phòng ngủ!đầy đủ công năng sử dụng!- Khu dân trí cao an ninh đảm bảo!- Sổ đỏ chính chủ nở hậu đẹp sẵn sàng giao dịch luôn.Liên hệ em Quân để được tư vấn!0385 94 1802!Miễn ( TG Quảng Cáo )",31/12/2022,Tin thường,batdongsan_so_com_vn_1673781498.9911563, 4, 4,, 4
"9,78 tỷ VNĐ","Đường Tây Sơn, Ô Chợ Dừa, Đống Đa", 49m2, 3,"* Nhà củ tự xây, khung cột bê chắc chắn, 2 thùng sơn lăn lại, ở ngay.  * Ngõ thông 5 hướng: Trần Quang Diệu, Thái Hà, Trung Liệt...  * 30m mặt phố tấp nập, có ô chờ thang máy.  * 6 tầng + 5 ngủ đầy đủ công năng.  * Ô tô đỗ cửa kinh doanh đắc địa,vị trí trung tâm thuận tiện di chuyển.  * Gần các trường ĐH lớn: Công Đoàn, Ngoại giao, Thủy Lợi, Tài Chính...  * Gần các bệnh viện lớn, các trung tâm TM, các siêu thị tiện ích...  * Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.",31/12/2022,Tin thường,batdongsan_so_com_vn_1673781501.2562826, 6, 5, 5,
620 triệu VNĐ,trầm lộng, 80m2,,"Vị trí: Thuộc khu vực giao thương đông đúc giàu có bậc nhất phía nam thủ đô với các làng nghề nổi tiếng như: Veston, giày da, khảm trai, đồ mỹ nghệ .....️Diện tích: 60-122 m2.Ô tô chạy quanh đấtĐường thông 2 đầu, mốc giới rõ ràngĐất đẹp, sẵn sổ full thổ cư, tiềm năng sinh lời cao.Cách QL 1A và nút giao Cầu Giẽ 3p đi xeMặt đường quy hoạch trục đường kinh tế cao Tốc Tây Bắc Hải Phòng - Hòa BìnhTrong bán kính 2.5km có đầy đủ tiện ích như trường học, bệnh viện, chợ, khu vui chơi giải trí...Phù hợp vợ chồng trẻ mới lập nghiệp,nhà đầu tư vốn nhỏ.ĐỪNG BỎ LỠ CƠ HỘI ĐẦU TƯ ĐẦU TƯ KHI MÀ GIÁ CÒN QUÁ RẺ",31/12/2022,Tin thường,batdongsan_so_com_vn_1673781503.4025953,,,,
4 tỷ VNĐ,Thanh Nhàn - Hà Nội, 40m2,,"Tự tin khắp Hà Nội không mua được căn nhà thứ 2 vừa ở vừa kinh doanh cực đỉnhDịch bệnh căng thẳng chủ nhà đã  mua nhà mới trên phố cần tiền muốn thanh khoản nhanh căn này để xoay vốn. Tầm tài chính này mà có nhà Mặt Phố quả là không tìm đâu ra căn thứ 2 cơ hội chỉ có 1+ Vị trí không thể đẹp hơn MẬT PHỐ Bùi Ngọc DƯơng khu trung tâm quận Hai Bà TrưngNhà nằm ở vị trí trung tâm có vỉa hè, trước cửa nhà ô tô tránh nhau phi vèo vèo, khu vực nhiều cơ quan hành chính đông đúc tấp nập, gần các trường cấp 1,2,3 đủ cả sát sườn Bách Khoa, Xây Dựn , Kinh Tế Quốc Dân ,….. vài phút là ra các Bệnh Viện lớn như Bạch Mai , Thanh Nhà , Lưu lượng người qua nhà tấp nập kinh doanh đỉnh của đỉnh chả đâu bằng Giá chỉ 4 tỷ chủ nhà cực kỳ thiện trí, có gia lộc cho khách mua hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý  ",31/12/2022,Tin thường,batdongsan_so_com_vn_1673781505.5250454,,,,
