price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số phòng ngủ,Số toilet
"8,8 tỷ VNĐ",Hoàng Hoa Thám, 56m2,, 7,"Do chuyển đổi hướng kinh doanh nên tôi cần bán căn nhà 7 tầng nhà phố Hoàng Hoa Thám Nhà nằm gần ngã ba Đốc Ngữ - Hoàng Hoa Thám, ngõ nông, cách 2 nhà ra thẳng mặt phố Hoàng Hoa Thám Diện tích đất 56m2, từ tầng 2 60m2 Thiết kế 7 tầng: + Tầng 1 làm nhà để xe + Tầng 2-5 mỗi tầng 3 phòng cho thuê khép kín + Tầng 6 chia làm 2 phòng + Tầng 7 làm sân phơi chung Tổng cộng 14 phòng cho thuê, mỗi phòng đều có điều hòa, giường tủ, bình nóng lạnh, công tơ điện nước riêng, WC khép kín. Hiện toàn bộ các phòng đều cho thuê full và lâu dài, thu nhập trung bình 40 triệu/ tháng Giá bán 8.8 tỷ có thương lượng cho khách thiện chí Liên hệ Tùng 0888.26.16.06 để xem nhà",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824238.0652783, Tây bắc,, 10, 10
"3,2 tỷ VNĐ",NGUYỄN VĂN LINH, 37m2,, 2,"Chính chủ bán nhà Ngõ Nguyễn Văn Linh, nhà móng 4 Tầng đã làm 2 tầng, MT4m, Giá 3.2 tỷ có thương lượng. + Vị trí đẹp 5 phút ra AEON Long Biên, BigC, Vinhomes riverside vài phút bằng xe máy, ngõ trước nhà 3 gác chạy. + Nhà gần: Bệnh Viện Đức Giang, Tiểu học Phúc Đồng, chợ, vườn hoa, Hồ Sài Đồng, UBND Phúc Đồng,… + Khu vực dân trí cao, an sinh tuyệt vời. + Nhà dân tự xây giấy phép và móng 4 tầng, + Chủ mới xây tạm 2 tầng, khách mua về có thể lên thêm 2 tầng nữa. Nhà thiết kế bao gồm: - Tầng 1: Để xe, phòng khách, bếp, wc. - Tầng 2: 2 phòng ngủ + Sổ đỏ trao tay. Liên hệ : Giang: 0934035888 (Không tiếp môi giới).",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824239.2072394,,, 2,
4 tỷ VNĐ,Vương Thừa Vũ - Khương Trung, 50m2, 4, 5,"+Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn: Tây Sơn, Trường Chinh, Đường Láng.+Vị trí đắc địa, 3 phút ra Ngã Tư Sở, gần bện viện, trường học các cấp và chợ Khương Trung.+Thiết kế nhà hiện đại, đường trước nhà rộng 3m thông các ngõ, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824240.33322,,, 5,
55 triệu VNĐ,Đường Quốc lộ 5 phường Dương Xá, 75m2, 8, 1,"Khách hàng chỉ cần trả từ 348 triệu là đã có thể sở hữu và thưởng thức cuộc sống thượng lưu bậc nhất tại Masteri Waterfront. Dự án được hỗ trợ lãi suất 0% trong 24 tháng, chiết khấu lên đến 11,4%.  để tìm hiểu thêm thông tin dự án và xem nhà mẫu.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824241.5200484,, 15, 3, 2
"12,6 tỷ VNĐ",nguyễn thanh bình, 62m2, 4, 4,"+ Bán nhà. Nguyễn Thanh Bình, Hà Đông. Ô tô Kinh Doanh 62m2 x 4 tầng, Mặt tiền 4.2m. Giá 12.6 tỷ.  LÔ GÓC  - MẶT PHỐ LỚN - VỈA HÈ RỘNG - PHỐ KINH DOANH SẦM UẤT   - Vị trí nằm trong khu trung tâm hành chính quận Hà Đông, tiện ích xung quanh ngập tràn, kinh doanh tấp nập - Nhà mặt phố Đường Thanh Bình. Nhà gần trường học, bệnh viện, chợ, siêu thị và các trung tâm thương mại lớn. Đường thông tứ tung. Giao thông thuận tiện , an ninh an toàn. - Nhà nằm vị trí lô góc, siêu đẹp, sổ vuông vắn, vỉa hè rộng kinh doanh tốt. - Thiết kế: T1: Phòng khách và bếp T2-3: mỗi tầng 2 phòng + wc T4: phòng thờ sân phơi  + Sổ đỏ chính chủ, sẵn sàng giao dịch.  LH: E KHÁNH: 0984568179 ",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824242.626087,,, 4, 3
"5,95 tỷ VNĐ",Kim Giang-Đại Kim, 54m2, 4, 3,"+ Nhà đẹp ở luôn, thiết kế chắc chắn, có thể lên thêm tầng. + Thiết kế cơ bản, tầng 1 khách + bếp, tầng 2 2 ngủ, tầng 3 sân phơi, phòng thờ và 1 phòng ngủ nhỏ, tổng 3 phòng ngủ rộng + 2 vệ sinh. + Vị trí đẹp, cách mặt đường Kim Giang chỉ vài chục mét, cách Cầu Lủ 1 phút đi bộ. + Nhà lô góc, mặt ngõ to, taxi qua nhà, ở kết hợp kinh doanh đều đẹp. + Sổ đỏ vuông đẹp, sẵn sàng giao dịch- lh em Đại-0963883403 để xem nhà miễn phí.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824243.7969542,,, 3,
"4,5 tỷ VNĐ",ngã tue Lê Thanh Nghị Bạch Mai, 35m2, 6, 5,"Tôi chính chủ cần bán nhà ngõ 155 phố Bạch Mai, Hai Bà Trưng.Hà Nội.DT 35mx5T xây mới đẹp long lanh, vuông vắn, thông thoáng, rộng rãi, gia đình ở hoặc cho thuê cực tốt vì gần nhiều trường Đại Học: Bách Khoa, Kinh Tế, Xây Dựng- Thiết kế Châu Âu hiện đại, tối ưu mọi công năng sử dụng+ Tầng 1: Phòng khách, bếp ăn, vệ sinh+ Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng, vệ sinh khép kín+ Tầng 5: Phòng thờ, sân phơi- Nội thất mới 100% cao cấp: Hệ thống cửa từ trên xuống dưới + cầu thang + sàn nhà các tầng + tủ bếp tất cả đều được làm bằng gỗ tự nhiên cao cấp, được chính tay chủ nhà là dân trong nghề nội thất thiết kế và sản xuất.- Vị trí: Nhà nằm trong ngách yên tĩnh, cách mặt phố Bạch Mai 1 phút đi bộ. Khu vực xung quanh ngay sát nhiều trường đại học, công sở, bênh viện, buôn bán sầm uất, thuận lợi cả sinh hoạt và làm ăn kinh doanh.- Pháp lý: Sổ đỏ chính chủ.- Giá bán: 4.5 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824245.0117035, Nam, 3, 3, 4
"8,9 tỷ VNĐ",ngõ 11 Lò Đúc, 45m2, 7, 7,"Bán nhà ngã tư Lò Đúc, Trần Khát Chân, DT 45m2x7T thang máy từ tầng 2 là 55m2x6T thang máy cách phố 1 nhà giá 8.9 tỷ Nhà xây 6 tầng phong cách Châu Âu hai mặt thoáng trước .mặt sau View vườn hoa  rất đẹp! Thiết kế bao gồm: T1,2,3 thông sàn vệ sinh rộng. T4 1 phòng ngủ rộng, 1 phòng khách, 1vệ sinh. T5 phòng bếp, phòng ăn , vệ sinh sân vườn rộng. T6 phòng thờ, khu vườn cây và sân rộng có thể bố trí bàn ngồi uống cafeT7 sân thượng rộng có vườn cây bàn uống cafe.Nhà hoàn thiện cực đẹp các phòng đều bố trí vườn hoa, cây cảnh, không gian cực thoáng. Các phòng đều lát sàn gỗ, tay vịn cầu thang gỗ lim và đều đi đường dây điều hoà đầy đủ! Có thể vừa ở vừa làm văn phòng. Vị trí cách phố đúng 1 nhà giao thông rất thuận tiện gần bệnh viện trường học gần chung cư Sun grand city sổ đỏ chính chủ giá 8.9 tỷ có thương lượng!liên hệ chị Yến ĐT:0702138238",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824246.3331692, Tây bắc, 3, 4, 5
"14,5 tỷ VNĐ",Hà Nội, 74m2,,," - Vị trí đẹp, trung tâm Hà Nội, view hồ, đường ô tô tải đỗ 24 - 24. - Khu dân trí cao toàn quan chức của quận và thành phố. - Nhà đẹp, ở đẳng cấp, hưởng trọn không khí tươi mát của mặt hồ, nhiều tiện ích.Giao thông thuận lợi vài bước vào phố cổ, lên Hồ Gươm, Hồ Tây, phố Trần Đại Nghĩa, Lê Thanh Nghị, Tạ Quang Bửu, Đại Cồ Việt, Phố Huế… - Diện tích 73 m2, 7 tầng thang máy, kinh doanh vô địch. + Sổ đỏ vuông đẹp, pháp lý chuẩn. + Giao dịch nhanh chóng giá chào chỉ 14.5 tỷ thương lượng sâu. + Liên hệ ngay em Thanh - 0366 555 258.(Tư vấn và xem nhà miễn phí)",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824247.5050359,,,,
"14,5 tỷ VNĐ",phân lô Lê Trọng Tấn, 107m2, 5, 3,"Chuyển đổi cần bán nhà đường Lê Trọng Tấn, phường Khương Mai, Thanh Xuân, Hà Nội.-DTSĐ: 107m2- Mặt tiền 5,08m; Mặt hậu: 5,28mHiện trang đang có nhà 3 tầng kiên cố chắc chắn trên đất, cho thuê kinh doanh hoặc xây tòa nhà văn phòng, chung cư mini hoặc phòng khám.Vị trí cực đẹp đường trước nhà ô tô 7 chỗ vào nhà, Cách mặt phố Lê Trọng Tấn đúng 15m , gần nhiều trường đại học lớn và bệnh viện , gần chợ nên rất thuận tiện cho sinh hoạt…SĐCC. Giá 14.5 tỷ ( Có thương lượng) liên hệ chị Yến ĐT:0702138238 ",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824248.6030982, Đông bắc, 5, 6, 6
