price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet,Mặt tiền,Lộ giới
"12,3 tỷ VNĐ",Trân Văn Lai Mỹ Đình, 77m2,,,77,07/05/2022,Tin thường,batdongsan_so_com_vn_1673825833.789893,,,,
"11,2 tỷ VNĐ","mặt phố Hàng Mành, phường Hàng Gai, Quận Hoàn Kiếm", 11.2m2, 5,,"Chính chủ bán nhà 40 mặt phố Hàng Mành, phường Hàng Gai, Quận Hoàn KiếmDiện tích: 11,3m2 x 5 tầng. Tầng 2 = 20m2, mỗi tầng 1 ngủ + WC khép kín.Mặt tiền: 3,8m. Từ tầng 2 trở lên = 4,8mNhà có cửa hàng kinh doanh tốt. Sổ đỏ chính chủ.Giá bán: 11,2 tỷ.Chính chủ: A.Dũng 0902691960  Nguồn:  http://nhadathanoi.net.vn/",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825837.4286697,,, 4,
"2,6 tỷ VNĐ",Đại La - Hà Nội, 45m2,,,"- chỉ với nhỉnh 2 tỷ có ngay  nhà đẹp sát phố , căn nhà là tâm huyết đứa con tinh thần của chủ nhà chăm chút từng viên gạch xô vữa vô cũng vững trãi, kiên cố vô cùng có lộc làm ăn phát đạt từ hồi sinh viên đến nay. Vì con cái thành đạt đã ra ở giêng hết, tự thân lại có tuổi ghét cảnh phố xa bon chen nên đành bán đi về quê an hưởn tuổi già- Vị trí nhà cực đẹp vài bước chân là ra đường oto, vài phút là ra mặt phố Đại La cực kỳ thuận tiện- Gần các trường đại học lớn như: Bách Khoa,Xây Dựng,Kinh Tế Quốc Dân.Gần chợ Mơ,Trương Định,Mình Khai,Đại La... - Dễ ràng di chuyển,qua các quận Đống Đa,Phố Huế,Hoàn Kiếm,Công Viên Thống Nhất,Lê Duẩn,Đại Cồ Việt,Trần Khát Chân,Thanh Nhàn,Kim Ngưu,Võ Thị Sáu,Xã Đàn,Lê Thanh Nghị,Tạ Quang Bửu,.... - Nhà pháp lí minh bạch, sổ đỏ nở hậu cực kỳ lộc lá pháp lý rõ rang minh bạch, chuyển nhượng sang tên nhanh gọn. - Khu vực an ninh tốt, dân trí cao, điện nước ổn định, văn minh, yên tĩnh. Giá bán chỉ 2.6  tỷ có thương lượngChi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825840.9501398,,,,
"4,25 tỷ VNĐ",Khương Trung - Thanh Xuân, 30m2, 5, 3,"+ Mô tả: - Vị trí đẹp, gần hồ, đường ô tô dừng đỗ cách nhà 10m. - Giao thông thuận tiện, lưu thông ra phố Vũ Tông Phan, phố Khương Trung. - Tiện ích xung quanh, gần chợ, gần Trường cấp 1, cấp 2. + Thiết kế: - Nhà 5 tầng xây mới, thiết kế hiện đại, kiên cố chắc chắn. - Tầng 1: Phòng khách +Bếp. - Tầng 2,3,4: Mỗi tầng được thiết kế 1 phòng, 1 phụ khép kín. - Sổ đỏ đẹp, sẵn sàng giao dịch. - LH: Ms Trần Anh: 0912918139 ( Miễn Môi giới, trung gian). - Xem nhà miễn phí, tư vấn, hỗ trợ các vấn đề về pháp lý.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825842.1150246,, 3,,
"24,5 tỷ VNĐ","Giảng Võ, Cát Linh, Đống Đa", 89m2,,,"Bán nhà Giảng Võ mặt tiền, siêu kinh doanh, rộng rãi thoáng đãng, hiếm có căn tương tự Mô tả: +Nhà mặt phố, siêu hiếm nhà bán, vị trí đẹp, vỉa hè rộng rãi, phù hợp kinh doanh bất chấp loại hình +Sổ đỏ sạch đẹp, nhà ngay gần phố Nguyễn Thái Học, di chuyển bất cứ đâu cũng thuận tiện +Thiết tầng 2 phòng rộng phù hợp vừa ở vừa cho thuê, trước chủ cho Doanh nghiệp thuê 40tr/tháng + Phù hợp khách mua đầu tư hoặc xây mới toà nhà cao tầng thì cực đẹp *Pháp lý: +Sổ đỏ chính chủ, sẵn sàng giao dịch, sang tên nhanh *Diện tích: 89m2 *Giá tiền: 24.5 tỷ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh) ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825843.0066385,,,,
21 tỷ VNĐ,"Hoàng Ngân, Trung Hòa, Cầu Giấy", 87m2,,,"Bán nhà Hoàng Ngân mặt phố rẻ không thể tin nổi, không thể kiếm được căn thứ 2 Mô tả: +Nhà mặt phố, siêu hiếm nhà bán, giá cực rẻ +Sau lưng là sân chung cư, thoáng vĩnh viễn, đỗ ô tô thoải mái +Thiết tầng 2 phòng rộng phù hợp vừa ở vừa cho thuê, trước chủ cho Doanh nghiệp thuê 40tr/tháng +Chủ nhà là người làm ăn phát đạt, vui tính, nhiều tài sản nên bán bớt *Pháp lý: +Sổ đỏ chính chủ, sẵn sàng giao dịch, sang tên nhanh *Diện tích: 87m2 *Giá tiền: 21 tỷ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh)",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825844.2503479,,,,
"5,8 tỷ VNĐ","Quan Nhân, Nhân Chính, Thanh Xuân", 40m2,,,"+ Bán nhà phố Quan Nhân, Nhân Chính, Thanh Xuân, diện tích 40m2, mặt tiền 3.5m, ô tô tránh, phù hợp kinh doanh nhỏ lẻ.+ Nhà khung cột bê tông kiên cố, chắc chắn, đầy đủ công năng sử dụng. + Vị trí đẹp, khu vực trung tâm Ngã Tư Sở, tiện ích không thiếu thứ gì, khu trọng điểm phát triển quận Thanh Xuân. Chỉ vài phút ra Royal City, Nguyễn Trãi, Láng, Trường Chinh.+ Sổ vuông đẹp, sẵn sàng giao dịch.+ Liên hệ: Phùng Trang  0975124520. ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825845.201767,,,,
10 tỷ VNĐ,Đường Văn Khê phường La Khê, 80m2, 5, 5,"+ Diện tích 80m2, 5 tầng hoàn thiện còn mới đẹp, nội thất xịn + Siêu kinh doanh, gần đường trục chính, trước nhà vỉa hè thênh thang - Giá trong kỳ Sea Games 31 nhỉnh 10 tỷ ( thương lượng ) ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825846.3407962,, 4, 5, 1
"9,5 tỷ VNĐ","mặt phố Khâm Thiên, Quận Đống Đa, Hà Nội", 45m2,,,"Chính chủ bán nhà tầng 1 mặt phố Khâm Thiên, Quận Đống Đa, Hà NộiDiện tích sử dụng: 45m2 - Mặt tiền: 4,2m- Nhà tầng 1 có sân chung sau nhà- Vị trí đẹp, khu dân cư sầm uất, thuận tiện kinh doanh các mặt hàng- Giao thông thuận tiện, An ninh rất tốt, người dân văn minh, thân thiệnGiá bán: 9,5 tỷ - Có thương lượngLiên hệ: 0914789909, 0915074767 - Sổ đỏ chính chủ
 
Nguồn:  http://nhadathanoi.net.vn/

",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825847.4049487,,, 4,
47 triệu VNĐ,Đường Ngọc Thụy phường Ngọc Thụy, 47m2, 5, 3,"Diện tích sổ đỏ: 47m2. Mặt tiền: 4.5m Nhà xây 5 tầng mới đẹp, thiết kế hiện đại, đầy đủ công năng. Chủ nhà lắp đặt nội thất toàn bộ đồ nhập khẩu sang trọng, long lanh. Khách mua về chỉ dọn đến ở ngay. + Tầng 1: Phòng khách + Bếp+ WC. + Tầng 2: Phòng rộng khép kín (làm văn phòng hoặc 1 phòng Master). + Tầng 3,4: Mỗi tầng 2 phòng ngủ + WC. + Tầng 5: Phòng thờ + Sân phơi. Nhà nằm ở vị trí cực đẹp, ngay sát chân Cầu Long Biên, cách Mipec Long Biên 300m. Lô góc 2 mặt thoáng vĩnh viễn. Không gian trước nhà cực thoáng.  Từ nhà ra chỗ đỗ ô tô chỉ 50m, ngõ thông thoáng xe 3 gác, xe chở vật liệu xây dựng đỗ cửa. Khu dân trí cao, an ninh đảm bảo. Giá: 4.8 tỷ (Có thương lượng -Miễn trung gian và quảng cáo). Liên hệ xem nhà miễn phí :Mr Hiếu- 0338922923",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825848.4202719,, 4, 4, 3
