price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
1 tỷ VNĐ,Đường Nguyễn Chí Thanh phường Láng Thượng, 50m2, 2, 1,"Tòa nhà xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay, full nội thất.- Diện tích: 27 - 30m² - 48m² - 49m² - 50m² - 55m² - 60m².- Giá bán: 530tr - 720tr - 805tr - 910tr – 1,25 tỷ.- Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp. 0962.963.121",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797303.0255182, 5, 2, 1
"13,5 tỷ VNĐ",Đường Hoàng Ngân phường Trung Hòa, 45m2, 15, 7,"-CHỦ CẦN BÁN NHÀ CHUYỂN CHỖ Ở - vị trí nằm tại mặt phố hoàng ngân , ngõ thông kinh doanh sầm uất , dân cư đông đúc , giao thông thuận tiện -Nhà xây mới 7 tầng, thang máy, thiết kế hiện đại , gara ô tô

* Thiết kế:
+ Tầng 1: Thông sàn, kinh doanh, thang máy, thang bộ, vệ sinh cuối.
+ Tầng 2: Phòng khách, WC.
+ Tầng 3: Phòng ngủ, phòng sinh hoạt chung, WC.
+ Tầng 4,5: Phòng ngủ Master, WC.
+ Tầng 6: Bếp, phòng ăn, sân chơi, WC.
+ Tầng 7: Phòng thờ, nóc tum.

* Sổ đỏ đẹp, sẵn sàng giao dịch
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797304.4805958, 4, 5, 6
"17,5 tỷ VNĐ",Đường Cù Chính Lan phường Khương Mai, 65m2, 8, 5,"
    Nhà Mặt phố kết hợp vừa ở vừa kinh doanh kinh doanh đều đẳng cấp. Chủ đang làm Văn phòng Công Ty tại nhà.+ Sổ đỏ chính chủ, nở hậu, không lỗi phong thủy+LH",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797306.1490903, 4, 5, 5
"2,19 tỷ VNĐ",Đường Tỉnh Lộ 35 phường Minh Trí, 208m2,,,"Bán 208m2 đất Vụ Bản, Minh Trí, Sóc Sơn. Giá chỉ 10xtr/m2.-        S = 208,6m2 đã xây chia 3 lô. Tặng thêm hơn 50m2 lưu không.-        Mặt tiền = 16,21m, Nở hậu = 16,22m-        Đường vào rộng 4m thông thoáng. Cách trục liên xã chỉ 60m.-        Cách KCN sạch chuẩn bị khởi công 2km.-        Cách đường bờ kênh chuẩn bị mở rộng chỉ 500m.-        Xung Quanh bán kính 1km đầy đủ tiện ích..-  anh chị quan tâm lh ngay e sdt 0983774492 để chốt giá rẻ nhất",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797307.7487667, 16,,
38 tỷ VNĐ,"Chính chủ bán GẤP Song lập Ngọc Trai 9-51 Vinhomes Ocean Park 1, Gia Lâm; 38 tỷ; 0969674636", 148m2,,,"Chính chủ bán GẤP Song lập Ngọc Trai 9-51 Vinhomes Ocean Park 1, Gia Lâm; 38 tỷ; 0969674636 - Diện tích :148m2 – View Công viên vườn hoa, view trường học  - Là khu ngọc trai đảo lớn – Sổ đỏ cầm tay, hướng tây tứ trạch .– Nhà thô bàn giao CDT  - Khu an ninh tốt, giao thông thuận tiện, dân trí cao, văn minh - Gần trường, gần chợ, gần các tiện ích xung quanh - Giá chỉ 38 tỷ đã bao phí, (Rẻ hơn The empire OCP 2)- LH em: 0974266993 or 0969674636      http://www.sanbatdongsanviet.com.vn",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797309.0858672,,,
,Đường Tố Hữu phường Trung Văn,, 1,,"
    DỰ ÁN CÒN SÓT LẠI DUY NHẤT LÊ VĂN LƯƠNG KÉO DÀI GIÁ CHỈ 39 TR/ M2 HỖ TRỢ LS 0% TỚI 12 THÁNG
Căn hộ 3PN, 4PN diện tích từ 106 m2, 123 m2, 136 m2 nằm ngay mặt đường 
Liền kề khu đô thị Trung Văn
+ Gần 2 công viên lớn : Công Viên Phùng Khoang, công viên Trung Hòa Nhân Chính
+ 2 Mặt tiền lớn : Lê Văn Lương kéo dài và đường Quy hoạch từ Nguyễn Trãi
Dự án MHD Trung Văn với quy mô gồm: Tòa tháp cao 39 tầng, 4 tầng khối đế là TTTM, nhà trẻ, phòng tập Gym, bể bơi. 3 tầng hầm, chủ đầu tư cam kết mỗi CH 1 chỗ để ô tô.
- Sổ hồng vĩnh viễn.
- Chiết khấu ngay 130 - 180 triệu đồng trừ trực tiếp vào HĐMB.
- Chiết khấu gói nội thất trị giá 250 triệu đồng.
- Thanh toán 30% GTCH ký HĐMB.
- Ngân hàng hỗ trợ 70% giá trị căn hộ trong 20 năm. Hỗ trợ lãi suất 0% đến khi nhận nhà
- Để biết thêm thông tin chi tiết quý anh chị vui lòng liên hệ PKD trực tiếp CĐT. Hotline 24/7: Mai Lệ- 0968.796.36
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797310.2429974,,,
"5,4 tỷ VNĐ",Đường 633 Tân Mai phường Tân Mai, 33m2, 1, 5,"
    MẶT NGÕ CHỢ TÂN MAI - Ô TÔ TẢI ĐỖ CỬA - KINH DOANH SẦM UẤT NGÀY ĐÊM
- Vị trí mặt ngõ chợ Tân Mai, trước nhà ô tô tải tránh, dừng đỗ ngày đêm, ngõ thông, kinh doanh sầm uất nhiều loại hình
- Nhà 33m2 x 3 tầng 3 ngủ đủ công năng, tự xây chắc chắn, ở ngay
Sổ đỏ vuông vắn đang nhờ ngân hàng cho mới, pháp lý chuẩn. Gia chủ cực thiện chí giảm chào 120tr, giá chỉ còn 3.78 tỷ còn thương lượng
LH em Dương 0922899379
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797311.4933767, 3, 3, 3
"7,5 tỷ VNĐ",Đường Khu X2B phường Yên Sở, 54m2, 1, 5,"
    KHU VỰC CỰC KỲ HIẾM NHÀ BÁN PHÂN LÔ TÁI ĐỊNH CƯ X2B- TAM TRINH- YÊN SỞLÔ GÓC - THOÁNG - KINH DOANH - VĂN PHÒNG XÂY CHUNG CƯ MINI54 M2 - MẶT TIỀN 3,5M - SỔ PHÂN LÔ VUÔNG VẮNẢNH ThẬT NHÀ THẬTGIÁ: 7.5TỶ CTLLH GẤP em Dương 0922899379
 
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797312.6896944, 3, 3, 3
29 tỷ VNĐ,Đường Phúc Đồng phường Phúc Đồng, 215m2, 5,,"MÌNH CẦN BÁN NHÀ KHU ĐÔ THỊ MỚI PHƯỜNG PHÚC ĐỒNG- QUẬN LONG BIÊN- HÀ NỘI. - Địa chỉ : Khu đô thị Sài đồng N06 phường phúc đồng, quận Long biên, Hà Nội - Diện tích : 215,2 m2- Căn hộ nằm tại vị trí view đẹp thoáng mát*** TIỆN ÍCH :- Từ vinhome RiverSide ra chỉ khoảng 500 m- Dân trí cao, an ninh tốt, gần các chợ, trường học-  khu vực trung tâm đi lại dễ dàng, giao thông thuận tiện các hướng- Pháp lý: có đầy đủ giấy tờ - GIÁ BÁN : 29 TỶ  - LIÊN HỆ : 0936636066 - CHỊ YẾN",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797313.966892,,,
32 tỷ VNĐ,Đường Đình Thôn phường Mỹ Đình 1, 108m2, 10, 8,"viên Nam Từ Liêm, Bến phố ẩm thực , vỉa hè rộng Văn+ Diện tích 108m2 tòa nhà 8 tầng hầm thông sàn thang máy dòng tiền đều 3 tỷ/năm.+ Sổ đỏ chính chủ, vuông vắn. Giá chào nhỉnh 32 tỷ có thương lượng.Liên hệ tôi Phương",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797315.1114914, 10, 9, 10
