price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Lộ giới
"4,6 tỷ VNĐ",Hà Trì 1 Hà Cầu, 42m2, Tây, 4, 5,"Hiếm duy nhất 1 căn Nhà Trọ CCMN cách Phố Bà Triệu 100m, gần chợ Hà Đông 500m 42m2  5 tầng 9P KK Full đồ giá 4.6 tỷ  0968608331   Diện tích 42m2 , sổ đỏ gần 40m2 , mặt tiền rộng : 4.5m , thông thoáng  - Đường trước nhà : 3.5m , ô tô đỗ gần nhà  - Hướng Tây tứ trạch  - Nhà được thiết kế theo phong cách mới , hiện đại , phù hợp cho hộ gia đình vừa ở vừa cho thuê trọ , hay đầu tư giữ tiền trong lúc thị trường không ổn định  - Tầng 1 : để xe ở trước và 1 phòng ở Sau .  - Tầng 2 , tầng 3 , tầng 4 , tầng 5 : Mỗi tầng 2 phòng  kép kín full đồ , có đồng hồ điện , đồng hồ nước riêng biệt , wifi chạy ổn định tốc độ cao .  - Trang thiết bị đồ dùng điện nước nhập khẩu , hàng chất lương cao của Việt Nam , bảo hành 2 đến 3 năm ,  Nội thất cửa chính ghỗ lim, cửa ngăn phòng ghỗ lim, thiết bị vệ sinh Inax , trần thạch cao trang trí đẹp ,  - Vị trí : Giao thông đi lại thuận tiện , nơi tập trung nhiều trường học và dân tỉnh lẻ đi lên thuê trọ rất nhiêu , cung ko đủ cầu , cách Mặt phố Bà Triệu 100m , Chợ Hà Đông 500m , Ngã 5 Hà Trì 300m, Khu đô thị Văn Quán 800m , Sân vận động Hà Đông 400m , điểm xe buyt chạy 250m   Giá bán : 4.6 tỷ ( Có thương lượng , bao phí sang tên sổ đỏ , hỗ trợ vay vốn ngân hàng )  Liên hệ để xem nhà và đàm phán trực tiếp chính chủ : Mr. Khắc Anh. 0968608331",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823005.1588595, 9, 9,
,Đường VŨ TÔNG PHAN phường Khương Trung, 40m2,, 3, 4,"-Chủ nhà đã mua nhà trên phố tây sơn gần cơ quan làm việc . -Diện tích 42m2, Sổ vuông Đẹp.   -Ngõ ba gác tránh xe máy,an sinh đỉnh.  - Nhà được gia chủ thuê Thiết kế nên rất đẹp, hợp lý, hiện đại.  - Nội thất đẹp.  - Thiết kế 4 tầng, 4 ngủ. Tầng thượng trồng nhiều rau sạch.  - Chủ mới về ở luôn, tặng lại nội thất.  - Giao thông thuận lợi,2 phút ra Ngã Tư Sở.  - Giá 4.5 tỷ.  - Liên hệ Em Trang: 0964398692 ",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823006.2200193, 4, 4, 2
"15,9 tỷ VNĐ",Hà Nội, 83m2,,,,"Vỉa hè rộng, đường ô tô tải tránh phố Hoàng Cầu, giá chí 15.9 tỷ thương lượng nhiều. - Diện tích 83m2, 8 tầng thang máy, ngõ thông kinh doanh sầm uất ngày đêm. - Nhà còn rất mới xây chắc chắn, mặt tiền rộng 5.8m, đầy đủ công năng, thiết kế hiện đại. - Khu vực trung tâm của quận, tiện ích ngập tràn, giao thông thuận lợi đi các tuyến. - Sổ đỏ chính chủ, pháp lý sạch.Alo xem nhà ngay - 0366 555 258.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823007.3393924,,,
"3,5 tỷ VNĐ","ĐỊNH CÔNG THƯỢNG, HOÀNG MAI", 35m2,,,,"NHÀ ĐẸP Ở NGAY ĐỊNH CÔNG THƯỢNG, HOÀNG MAI, DT 35M2, 5 TẦNG, NGÕ THÔNG THẲNG, Ở LUÔN. + Nhà nằm trên một ngõ rộng thông nhau, Ô tô cách nhà 30m, dân trí cao, nhộn nhịp. + Nhà 5 tầng chắc chắn móng lên tầng, thiết kế nội thất cực đẹp đẳng cấp. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823008.3526797,,,
12 tỷ VNĐ,Đường Bồ Đề phường Bồ Đề, 50m2,, 7, 5,,27/05/2022,Tin thường,batdongsan_so_com_vn_1673823009.477673, 4, 5, 6
"14,5 tỷ VNĐ",Hà Nội, 75m2,,,,"Bán nhà phố Hào Nam Đống Đa, ô tô tránh, kinh doanh sầm uất. - Diện tích 75m2 x 7 tầng thang máy, mát mẻ thoáng trước sau. - Nhà nằm trong khu phân lô đường trước nhà rộng 2 ô tô tải tránh nhau. - Vị trí đắc địa, đường ô bàn cờ, khu dân trí cao, an ninh tốt.Tiện giao thông Giảng Võ, Cát Linh, Tôn Đức Thắng, Khâm Thiên, Xã Đàn, Nam Đồng, Phạm Ngọc Thạch, Hồ Đắc Di, Tây Sơn, Thái Hà, Láng Hạ, Nguyễn Chí Thanh, Huỳnh Thúc Kháng, Nguyên Hồng, Thái Thịnh… - Toàn bộ nội thất cao cấp, gia chủ tặng lại hết, chỉ việc ở luôn. - Giá bán chỉ 14.5 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ gấp 24/7 em Bình để được tư vấn và dẫn đi xem nhà miễn phí - 0856 968 656.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823010.7827818,,,
5 tỷ VNĐ,Đường Kim Ngưu phường Vĩnh Tuy, 55m2,, 4, 4,"+ Sổ đỏ đẹp vuông, chính chủ, sẵn sàng giao dịch.  LH: 0963.104.055/zalo.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823011.9207368, 3, 3, 6
"5,4 tỷ VNĐ","60 Phan Đình Giót, Thanh Xuân", 45m2,, 4, 5,"CỰC ĐẸP – RẺ!, PHAN ĐÌNH GIÓT – THANH XUÂN, PHÂN LÔ Ô TÔ 10M, 5 TẦNG 45M2 – 120TR/M2 Nhà mới, đẹp chỉ việc về ở, phố Phan Đình Giót – Phương Liệt – Thanh Xuân, 5 tầng 45m2 mặt tiền 4.2m. Nhà nằm khu vực trung tâm của quận Thanh Xuân, cách mặt phố ô tô 10m, thuận tiện di chuyển  đường Giải Phóng, Giáp Bát, Ngã Tư Vọng, Lê Trọng Tấn, Trường Chinh, Ngã Tư Sở,  Định Công… Gần các trường Đại học Kinh Tế, Xây Dựn, Bách Khoa, Đại học Y, khu vực tiện ích đầy đủ Sổ đỏ chính chủ giao dịch ngay, có thương lượng Liên hệ: KS Phương – 0918120568 xem nhà và tư vấn miễn phí",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823013.723956, 5, 5,
7 tỷ VNĐ,Đường Huỳnh Cung phường Tam Hiệp, 50m2,, 4, 3,"+Vị trí  nhà cực đẹp. Ngõ to hơn phố trước nhà ô tô 7 chỗ tránh nhau.Ngõ thông ô tô chạy vòng quanh. Xung quanh vô vàn tiện ích. Gần trường, chợ… + Khu vực đông dân cư sầm uất, an ninh tốt.  + Nhà  xây 5 tầng xây bê tông cốt thép kiên cố chắc chắn. Chủ  nhà  chuyển công tác cần bán gấp. 5 tầng đẹp lung linh xịn mịn. Phòng nào cũng thoáng sáng.  + Thiết kế 5 tầng, Mỗi tầng 2 phòng. WC khép kín. Tổng 5 ngủ..Phòng khách. Bếp. Phòng thờ sân phơi. Đầy đủ công năng. + Giá chỉ 7  tỷ ( có thương lượng) Liên hệ: E Nhung 0902213777 để được xem nhà miễn phí.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823017.4465892, 3, 2, 3
14 tỷ VNĐ,nguyễn an ninh, 91m2,,,,"Bán Nhà, Quận Hoàng Mai,Mặt Phố Nguyễn An Ninh, 14 tỷ, 91m, MT 6m. Oto tránh.   Nhà cũ Cấp 4, bán đất, mặt phố nguyễn an ninh, Mặt tiền rộng 6m,  Hướng Đông. Oto tránh, Sổ đỏ ở nhà. nở hậu, sẵn sàng giao dịch , sang tên nhanh. Chủ rất cần bán, Bán 14 tỷ . có thương lượng. Gọi ngay cho tôi, Mr; Hà, 0968753443. Miễn TG. MG làm phiền. Cam kết thông tin chuẩn 100%.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823019.0172956,,,
