price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"6,4 tỷ VNĐ",Bùi Xương Trạch, 50m2,,,"- Nhà nằm ở vị trí siêu đẹp, ô tô tải qua, ô tô quay đầu, cách mặt phố Vũ Tông Phan vài bước chân. - Nhà đẹp 5tầng, chủ tự xây khung bê tông cốt thép nên vô cùng chắc chắn. - Sổ đỏ chính chủ, sẵn sàng giao dịch.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826986.3417766,,,,
"4,5 tỷ VNĐ",Phường Xuân Đỉnh, 40m2,,,"Bán  nhà  đường Xuân Đỉnh 40M2, MT 5m, 5Tầng. Nhà xây thiết kế mới, mặt tiền đẹp. Giá nhỉnh 4tỷ.+  Nhà mới  xây thiết kế kiến trúc Pháp đường nét tỉ mỉ, mặt tiền đẹp. công năng đầy đủ tiện ích.+ Nhà mặt tiền ngõ nông thông ô tô tránh, đi thông đường Xuân Đỉnh, đường Nguyễn Xuân Khoát ra công viên Hòa Bình. +Tuyến phố có nhiều Trường học các cấp,siêu thị, chợ Xuân Đỉnh.cao ốc dân cư Xuân Đỉnh tập trung đông đông đúc buôn bán tấp lập. + Nhà 5 tầng 4p,ngủ wc khép kín thông minh thiết kế đẹp.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: 4.5 TỷLiên hệ: Anh Đoàn:0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nguồn nhà hơn 10.000 căn nhà lớn nhỏ từ 01 tỷ - 100 tỷ  khắp các quận trên địa bàn TP Hà Nội sẵn sang giúp đỡ quý khách hàng tìm được cho mình những căn nhà ưng ý nhất để ở, đầu tư và đầu tư để giữ tiền..v..v… + Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn Pháp lý, kiểm tra quy hoạch đất 24/7.    ",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826987.3839886,,,,
"8,5 tỷ VNĐ",Liễu Giai, 50m2,, 4,"Cần bán gấp nhà Liễu Giai khu phân lô vip quân đội, cách ngõ oto tránh 20m, cách phố Liễu Giai 50m.  Nhà thuộc khu phân lô quân đội, dân trí cao, yên tĩnh, gần Vinhomes Metropolis Liễu Giai, Lotte Đào Tấn, trường Thực nghiệm, cách ngõ ô tô tránh nhau 20m. Hiện trạng nhà 4 tầng, diện tích xây dựng 50 m2 (mặt tiền 5m; sâu 10m), có thêm sân 20m2 được sử dụng riêng, 4 phòng ngủ, 4 nhà vệ sinh, Nhà 3 mặt thoáng, đầy đủ nội thất, vuông vắn, xây chắc chắn, thiết kế đẹp và hợp lý; gỗ lim toàn bộ cầu thang, cửa. LH:0962370591-Nguyễn Phúc Lộc ",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826988.4670906, 4, 4,,
"8,5 tỷ VNĐ",Liễu Giai, 50m2,, 4,"Cần bán gấp nhà Liễu Giai khu phân lô vip quân đội, cách ngõ oto tránh 20m, cách phố Liễu Giai 50m.  Nhà thuộc khu phân lô quân đội, dân trí cao, yên tĩnh, gần Vinhomes Metropolis Liễu Giai, Lotte Đào Tấn, trường Thực nghiệm, cách ngõ ô tô tránh nhau 20m. Hiện trạng nhà 4 tầng, diện tích xây dựng 50 m2 (mặt tiền 5m; sâu 10m), có thêm sân 20m2 được sử dụng riêng, 4 phòng ngủ, 4 nhà vệ sinh, Nhà 3 mặt thoáng, đầy đủ nội thất, vuông vắn, xây chắc chắn, thiết kế đẹp và hợp lý; gỗ lim toàn bộ cầu thang, cửa. LH:0962370591-Nguyễn Phúc Lộc ",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826989.4575346, 4, 4,,
"3,9 tỷ VNĐ","Bạch Mai, Hai Bà Trưng", 42m2, 5, 5,"Mô tả: + Nhà lô góc, 5 tầng 2 mặt thoáng quá đẹp. + Nhà mới xây được 2 năm kiên cố, chắc chắn, về ở ngay. + Tầng 1 Bếp, khách, WC, Tầng 2, 1 phòng lớn, tầng 3,4 mỗi tầng 2 phòng ngủ, wc, tầng 5 phòng thờ và sân phơi + 2 phút lên bờ hồ, Phố cổ + Nhà ở trung tâm quận Hai Bà Trưng, Giao thông rất thuận tiện, Hai bước chân ra chợ 8-3, bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 3.9 tỷ,  Có thương lượng. + Diện tích 42m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826990.6433618, 5,,, 3
"5,9 tỷ VNĐ",Phố Doãn Kế Thiện Cầu Giấy Hà Nội, 40m2, 3, 5,"Chủ nhà gửi bán căn nhà đẹp, khách mua chỉ việc xách Vali về ở ngay. Thiết kế 1 tầng gồm 2 phòng, cầu thang ở giữa, nhà có thoáng sau. + Nhà đẹp xây mới 5 tầng vị trí vô cùng tiện ích tuyệt vời,.+ Ngõ trước nhà rộng trên 2m, sáng thoáng + Thiết kế: mỗi tầng 2 phòng ngủ + 1 phòng wc, Nhà có 1 phòng khách, 1 phòng bếp, 1 phòng thờ + 1 sân phơi đồ. + Diện tích 40m2, mặt tiền 3.4m, giá 5.9 tỷ + Nhà cách 100m ra ngõ 105 Doãn Kế Thiện ô tô tránh. Phố này kinh doanh sầm uất, nhiều sinh viên, khu vực tập chung nhiều trường Đại học lớn: Ngoại Ngữ, Quốc Gia, Thương Mại, đi khoảng 300m ra đường Phạm văn Đồng, bến xe Mỹ Đình, bệnh viện 198, giao thông thuận tiện. + Sổ đẹp, Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền. + Khách hàng quan tâm liên hệ: em Chính 0792122918",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826991.874068, 5, 5,,
"9,8 tỷ VNĐ",Thụy Khuê, 95m2,, 3,"Cần bán gấp nhà Thụy Khuê, nhà gần phố, ngõ rộng, thoáng, sáng, nhà 3 tầng và có thể về ở ngay, diện tích rộng có thể chia 2 lô, mặt tiền rộng 7m. Giao thông thuận tiện sang các con phố lớn như Lạc Long Quân,Hồ Tây,Phố Cổ,Phố đi bộ,Văn Cao,... Sổ đỏ chính chủ, pháp lý rõ ràng Giá:9.8 tỷ(còn thương lượng) LH:0962370591-Nguyễn Phúc Lộc",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826993.0808413,,,,
"7,5 tỷ VNĐ","thanh Bình, Làng Việt Kiều Châu Âu", 50m2, 5, 5,"Thanh Bình, Tố Hữu, Hà Đông.Phân lô - ô tô tránh - kinh doanh văn phòng.Mô tả: Diện tích 50m2, 5 tầng, mặt tiền 5m.+ Trước nhà ô tô tránh, dừng đỗ trước cửa thoải mái.+ Nhà tự xây khung cột chắc chắn, vị trí nằm ngay cạnh Đường Tố hữu - Lê Văn Lương. Giao thông thuận tiện.+ Khu vực dân trí cao, tiện ích xung quanh hưởng trọn tiện ích khu vực Mỗ Lao, gần trường, chợ, công viên, không thiếu thứ gì...Thiết kế:+ Tầng 1: Khách khách + bếp + wc.+ Tầng 2: 2 phòng ngủ + wc.+ Tầng 3: 2 phòng ngủ + wc.+ Tầng 4: 2 phòng ngủ + wc.+ Tầng 5: Phòng thờ + sân phơi.+ Sổ vuông, cất két sẵn sàng giao dịch ngay.+ Giá 7.5 tỷ có bớt.- LH: 0962987228. Em Thành ( Người Kết Nối ) Trân trọng.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826994.8152075, 6, 4,, 5
"15,4 tỷ VNĐ",Hà Nội, 79m2,,,"Bán nhà Cù Chính Lan, kinh doanh tốt - SĐT: 0366 555 258.TRUNG TÂM HÀ NỘI - NHÀ ĐẸP Ở LUÔN - Ô TÔ TRÁNH - KINH DOANH TỐT - NỘI THẤT THANG MÁY XỊN.Diện tích 79 m2, 6 tầng thang máy, 5.4 m mặt tiền. - Vị trí đẹp, ngõ ô tô tránh, thông tứ tung, giao thông thuận tiện. - Nhà dân tự xây, thuê thiết kế đẹp, trang bị nội thất sịn xò, cửa sàn gỗ Lim toàn bộ… - Thiết kế đẹp, công năng sử dụng đầy đủ. - Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo tuyệt đối. - Sổ chính chủ, vuông vắn, sẵn sàng giao dịchGiá chào chỉ 15.4 tỷ thương lượng mạnh.Liên hệ ngay (24/24h) để được tư vấn, xem nhà miễn phí - 0366 555 258.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826995.7736447,,,,
"5,5 tỷ VNĐ","Phố Mai Dịch, Cầu Giấy", 40m2,, 6,"+ Tôi cần bán gấp nhà Phố Mai Dịch, Cầu Giấy, S:40m2 X 6 tầng, 5.2m mặt tiền, ô tô đỗ cửa, lô góc 2 mặt thoáng, kinh doanh tốt.+ Đi lại thuận tiện, ngõ thông ra Doãn Kế Thiện,  Trần Vỹ, Hồ Tùng Mậu. Gần nhiều trường ( Tiểu học Nguyễn Khả Trạc, ĐH Thương Mại, Học viện Múa,…), đi bô 2 phút ra trợ Đồng Xa, tiện ích xung quang không thiếu gì.+ Liên hệ em Đức Anh để xem nhà : 097 551 7689 – Zalo 0975517689",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826996.8367987,,,,
