price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
4 tỷ VNĐ,Đường Đường Ngọc Thuy phường Ngọc Thụy, 50m2, 5,"Bán nhà Ngọc Thụy Long Biên ngay Mipec NHÀ ĐẸP DÂN XÂY - 6 NGỦ - Ô TÔ ĐỖ CỬA - THOÁNG TRƯỚC SAU - TIỆN ÍCH NGẬP TRÀN. Tổng 6 phòng ngủ. Thoáng trước sau. Nhỉnh 4 Tỷ. - Nhà có nhiều phòng ngủ rất phù hợp cho các gia đình có nhu cần nhiều phòng ngủ. - Ngay cạnh TĐC Ngọc Thụy, Gần trường, Chợ , KĐT, TTTM Mipec.  Thông qua Ngọc Lâm, Lý Sơn  thuận tiện. - Full đồ. Khách mua chỉ việc sách valy về ở. Pháp lý chuẩn. Sổ đỏ sẵn sàng giao dịch. - LH: Em Hoàn 0868246333 Xem nhà , Pháp lý và đàm phán giá",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798602.3364325, 3, 5, 6, 5
25 tỷ VNĐ,Đường Hai Bà Trưng phường Phan Chu Trinh, 35m2, 15,"- Diện tích nhà: 35m2, MT: 3,5m, nhà xây 7 tầng đẹp, hiện đại và chắn chắn - Giá bán chỉ: 25 tỷ (Có thương lượng) - Chỉ tiếp khách có thiện chí và sẵn sàng về tài chính. - Trân trọng cảm ơn ! ",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798603.4360042, 3, 7, 7, 7
19 tỷ VNĐ,Đường Đội Nhân phường Vĩnh Phúc, 87m2, 3,"- Diện tích: 87m2, MT: 5m, xây 3 tầng chắc chắn - Sổ đỏ chính chủ, chờ sẵn giao dịch + A Phong: 0969.694.778 (Miễn trung gian, môi giới) GỌI NGAY bất cứ lúc nào A. Phong: 0969.694.778 (Call or Zalo) ",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798604.7405138, 5, 3, 5, 3
7 tỷ VNĐ,Đường Hoàng Như Tiếp phường Bồ Đề, 55m2, 5,"
    Bán nhà phố Hoàng Như Tiếp ngõ ô tô thông Hồng Tiến.+Nhà Vị trí mặt ngõ  Ôtô thông cực tiện lợi.+ Diện tích đất 55m²nhà dân tự xây 5  tầng MT 4.5 m. 5 Ngủ chỉ nhỉnh 7 tỷ. + Tiện ích cực tiện:- Nhà gần vườn hoa Bồ Đề Xanh khu vực khuôn viên HC Golden.- Bệnh Viện Đa Khoa Tâm Anh bậc nhất thành phố.- Trường Quốc tế Wellspring liên cấp đẳng cấp.- Hệ thống trường công lập Trường Tiểu Học Ngọc Lâm, Trường THCS Ngọc Lâm, Trường PTTH Nguyễn Gia Thiều nổi tiếng của Hà Nội,...- Pháp lý chuẩn, sổ đỏ sẵn sàng giao dịch.LH: Em Hoàn 0868246333 Xem nhà, pháp lý và đàm phán giá.
",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798606.3199017, 4, 5, 5, 4
"3,1 tỷ VNĐ",Trần Đại Nghĩa - Hà Nội, 60m2,,"+ Nhà lão thành cách mạng xây kiên cố vững chắc như bàn thạch,lô góc sáng thoáng nhà cao cửa rộng bề thế thênh thang nhất nhì khu vực  + Diện tích:60m2, 3tầng an sinh đỉnh của đỉnh + Vị trí nhà rất đẹp, vài bước là ra mặt đườngTrần Đại Nghĩa, ngay ngã tư Đại - Trần Đại Nghĩa di chuyển trăm ngả trung tâm quận Hai Bà Trưng thuận tiện đi lại tới các khu vực trung tâm trong thành phố như Bạch Mai, Giải Phóng , Trần Khát Chân ,Đại Cồ Việt……..+Khu dân trí cực cao của khu Hai Bà Trưng hang xóm toàn  giảng viên và giáo viên của các trường đại học lớn  giao thông thuận tiện sang các khu vực trung tâm như Bạch Mai , Giải Phóng , Đai Cồ Việt, Phố Huế,…..gần các trường đại học lớn Bách Khoa, Xây Dựng, Kinh tế quốc dân,+ Giá đẹp trong khu vực Hai Bà Trưng + Sổ đỏ chính chủ, sẵn sàng giao dịch + Giá chỉ : 3,1 tỷ (có thương lượng)Chi tiết LH: em Nhật 0977194820  (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798607.7775428,,,,
"11,9 tỷ VNĐ",Đường Nguyễn Phong Sắc phường Nghĩa Tân, 40m2, 6,"- Diện tích: 40m2, MT: 6,59m, Hậu: 6,77m (Sổ nở hậu rất đẹp), xây 4 tầng - Sổ đỏ đẹp, chính chủ, sẵn sàng giao dịch => A Phong: 0969.694.778 (Miễn trung gian, môi giới) GỌI NGAY bất cứ lúc nào A. Phong: 0969.694.778 (Call or Zalo) ",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798609.0409403, 6, 4, 4, 4
38 tỷ VNĐ,Đường Hàng Tre phường Lý Thái Tổ, 77m2, 10,"- Diện tích: 77m2, MT: 9m, xây 3 tầng Liên hệ mua và xem nhà ngay: Cam kết thông tin thật 100% (Ảnh có tính chất minh họa, hãy gọi điện NGAY để đến xem LUÔN ngôi nhà đẹp mình sẽ mua) #Hàng Tre, #Phường Lý Thái Tổ, #Quận Hoàn Kiếm, #Hà Nội, #0904768468, #0969694778, #BĐS Phong Trần, #0354118288 ",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798610.8252192, 9, 3, 3, 3
75 tỷ VNĐ,Đường Hàng Gà phường Hàng Bồ, 152m2, 10,"- Diện tích: 152m2, MT: 4,8m, nhà xây 2 tầng cũ, xác định bán đất, hiện gia đình đang cho thuê kinh doanh. Liên hệ mua và xem nhà ngay: Cam kết thông tin thật 100% (Ảnh có tính chất minh họa, hãy gọi điện NGAY để đến xem LUÔN ngôi nhà đẹp mình sẽ mua) #Hàng Gà, #Phường Hàng Bồ, #Quận Hoàn Kiếm, #Hà Nội, #0904768468, #0969694778, #BĐS Phong Trần, #0354118288",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798612.1846454, 4, 2, 2, 2
21 tỷ VNĐ,Đường Đội cấn phường Đội Cấn, 60m2, 10,"- Diện tích nhà: 60m2, MT: 3,8m, nhà xây 6 tầng đẹp - Giá bán chỉ: 21 tỷ (Có thương lượng) - Chỉ tiếp khách có thiện chí và sẵn sàng về tài chính. - Trân trọng cảm ơn ! ",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798613.2847257, 3, 6, 6, 6
38 tỷ VNĐ,Quận Cầu Giấy, 90m2,,"SIÊU PHẨM TRUNG YÊN VỊ TRÍ ĐỈNH - THÔNG SÀN - KINH DOANH  - THANG MÁY 0962745289+ DT. 90M2 5 TẦNG MẶT TIỀN 5M. GIÁ CHỈ 38 TỶ. TRUNG YÊN – CẦU GIẤY.+ Vị trí MẶT PHỐ SIÊU ĐẸP,gần khu tòa nhà lớn nhiều văn phòng, khu chung cư, Vũ Phạm Hàm thông Phố Trung Kính, đường ô tô tránh đỗ, Vỉa hè đá bóng, Phố kinh doanh sầm uất.+ Nhà 5 tầng, THANG MÁY,  THÔNG SÀN, KINH DOANH – CHO THUÊ VĂN PHÒNG…+ Sổ đỏ phân lô siêu nét, cất két sẵn sàng sàng giao dịch.+ CHỦ THIỆN CHÍ MUỐN BÁN NHANH.+ Giá thương lượng. + Liên hệ: Anh Đoàn:0962745289.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7. ",28/09/2022,Tin thường,batdongsan_so_com_vn_1673798617.4499307,,,,
