price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet
10 tỷ VNĐ,"Kim Mã Thượng, Cống Vị, Ba Đình", 98m2, 4,"Cần bán nhanh căn nhà 4 tầng Kim Mã Thượng, Ba Đình, Diện Tích 98m2 giá cực rẻ. Tặng nhà 4 tầng đẹp🌹Ngõ thông, 294 Đội Cấn, trước nhà ba gác tránh xe máy🌹Nhà xây cực chắc chắn, tâm huyết. Tổng 4 phòng ngủ đều thoáng.Mặt tiền rộng 5m, có sân trước để chục cái xe máy.Trước có cho 1 bên thuê nhưng hiện tại cần bán lên lấy lại nhà hiện trạng có hơi lộn xộn.Sổ đỏ chính chủ, nở hậu lộc lá,Giá cần bán gấp lên cực rẻ 10 tỷ có thương lượngLiên Hệ: Em Thành 0962987228 Cam kết thông tin chính xác, ảnh thậtTrân Trọng.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826614.0587637,, 5, 3, 3
"6,5 tỷ VNĐ/m2",ven hồ Định Công, 95m2, 1,"Gia đình cần bán mảnh đất mặt hồ Định Công. Hiện tại đang là nhà cấp 4 Diện tích 95m2 2 mặt tiền: 1 mặt ngõ 99 Định Công Hạ ( ngõ ô tô tránh 5m ) , 1 mặt hồ Định Công ( ô tô đi qua 3m5 ) Giá : 6 tỷ 5 có thương lượng",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826615.454032,,, 1, 1
"4,85 tỷ VNĐ",Kim Hoa, 35m2, 5,"+ Ngõ to rộng ba gác vào thoải mái. Vị trí trung tâm quận Đống Đa, vài bước chân ra phố Xã Đàn đầy tiện ích + Nhà thiết kế 5 tầng chắc chắn, sang trọng. Hệ thống cửa, cầu thang, sàn gỗ hoàn toàn bằng gỗ cao cấp. + Chủ nhà trẻ tuổi, cần bán chuyển vào Sài Gòn công tác. + Sổ đỏ nở hậu đẹp sẵn sàng giao dịch.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826616.6199121,, 5,,
"2,5 tỷ VNĐ",Bùi Xương Trạch, 50m2,,"Giật mình vì giá của căn nhà lô góc tại Bùi Xương Trạch trung tâm Thanh Xuân - lh: 0376247299. + Nhà lô góc, 2 mặt thoáng, mặt tiền hơn 4m,  sạch đẹp, gần phố. + Khu vực Thanh Xuân nhiều tiện ích, đường thông thoáng, lưu thông nhanh đến Vũ Tông Phan, Nguyễn Trãi, Nguyễn Xiển, … + Chủ đã dọn đi khách mua chỉ cần mang đồ đến ở luôn. + Giấy tờ pháp lý đầy đủ. + Giá cả thương lượng.  Liên hệ: Em Việt Anh Thổ cư 0376247299 để được tìm hiểu và xem chi tiết căn nhà miễn phí.  ",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826617.7080011,,,,
"3,65 tỷ VNĐ",Đội Nhân, 30m2,,"Cần bán nhà Đội Nhân oto đỗ gần nhà, ngõ xe ba gác chạy vù vù, ngõ thông, nhà thiết kế khung cột xây chắc chắn. Thiết kế: Tầng 1: phòng khach+ bếp. Tầng 2 3: mỗi tầng 1 phòng ngủ. Tầng 4: Phòng Thờ+ sân phơi. Nhà đẹp thiết kế đầy đủ công năng sử dụng, xung quanh hàng xóm toàn cán bộ cnv, an ninh tốt. LH:0962370591-Nguyễn Phúc Lộc",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826618.9935615,,,,
4 tỷ VNĐ,"Khương Trung, Thanh Xuân", 35m2,,"NHÀ ĐẸP NGÕ 211 KHƯƠNG TRUNG, THANH XUÂN, DT 35M2, 5 TẦNG, FULL NỘI THẤT, ĐẲNG CẤP. + Nhà nằm trên một ngõ rộng thông nhau, Đường trước nhà rộng, ô tô 5 chỗ đi qua thoải mái, cách gần đường vành đai 2.5, dân trí cao, nhộn nhịp, có thể kết hợp vừa ở vừa kinh doanh. + Nhà 5 tầng chắc chắn móng lên tầng, thiết kế nội thất cực đẹp đẳng cấp. + Chủ giữ gìn nhà cẩn thận nay bán lại chủ mới lên chung cư ở các con và dành tiền làm ăn. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826620.0327833,,,,
"6,3 tỷ VNĐ","Vĩnh Hưng, Hoàng Mai, hà Nội", 60m2,,"Bán đất Vĩnh Hưng, phân lô ô tô tránh, mặt tiền rộng, 60m nhỉnh 6 tỷ. Tôi có mảnh đất tại Vĩnh Hưng Hoàng Mai cần bán. Khu vực đang phát triển từng ngày, xung quanh rất nhiều dự án xây dựng hạ tầng được triển khai. Đất phân lô, hai ô tô tránh nhau thoải mái. Khu vực dân trí cao, yên tĩnh, sạch sẽ, thoáng mát. Di chuyển vài phút sang Time City, Aone Long Biên. Tiện ích đầy đủ: chợ dân sinh, siêu thị, y tế, trường học các cấp. Xung quanh có nhiều trường Đại học như Đại học Kinh Doanh Công Nghệ, Đại học Mở Hà Nội, Đại Học Kinh Tế Kỹ Thuật Công Nghiệp… Mảnh đất khu vực phân lô hiếm nhà bán, mặt tiền rộng, ô tô vào nhà, sổ đỏ hoa hậu cất két, xây để ở, làm văn phòng quá đỉnh. Liên hệ Mrs Hoài: 0988220038 (xem nhà miễn phí)  ",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826621.0400865,,,,
"2,98 tỷ VNĐ",nguyễn huy tưởng, 28m2, 6,"- Đường Nguyễn Huy Tưởng Từ ngã ba với phố Vũ Trọng Phụng, chạy phía sau Trường Đại học Khoa học xã hội và nhân văn, song song với đường Nguyễn Trãi, cắt qua ngã tư đường Nguyễn Tuân. - Khu vực trung tâm, gần các dự án lớn của Quận Thanh Xuân với đầy đủ các tiện ích 5* như: Imperia, Goldseason, Legend, khu nhà ở 90 Nguyễn Tuân, Việt Đức Complex,....và nhiều dự án chung cư cao cấp đang xây dựng. - Nhà vị trí đẹp của Phố, ngõ ô tô tránh thông tứ tung kinh doanh đa dạng. - Giá 2,98 tỷ thương lượng trực tiếp với chủ nhà. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826622.173056,,, 6,
4 tỷ VNĐ,Khương Đình, 35m2, 5,"- Bán nhà Khương Đình 35m2x5 tầng. - Vị trí đẹp, nhà mới đẹp ở ngay, ngõ trước nhà ba gác đua nhau thoải mái. - Nhà đẹp, khung cột chắc chắn, lô góc , thoáng sáng, phòng ngủ nào cũng có cửa sổ. - Khu dân trí cao, an ninh tốt, nhà chủ tự xây chắc chắn, nay bán chia tài sản cho con. - Ngõ nông, thông tứ phía, nhà cách mặt phố khoảng 100m. - Sổ đỏ đẹp, vuông vắn, giao dịch ngay. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826623.1833541,,, 4,
"6,2 tỷ VNĐ",Đội Cấn, 46m2, 5,"Cần bán nhà Đội Cấn cách oto tránh 10m, cách phố 20m, khung cột xây chắc chắn, nhà mới ở ngay. Xung quanh nhiều tiện ích, buôn bán kinh doanh sầm uất. Gần chợ Cống Vị, TTTM Lotte, thuận tiện di chuyển ra Hồ Tây Thiết kế Tầng 1 : Khách bếp Tầng 2, 3, 4 : Mỗi tầng 2 phòng ngủ Tầng 5 : Phòng thờ sân phơi Chủ nhà thiện trí bán. LH:0962370591-Nguyễn Phúc Lộc",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826624.224568,,, 6, 3
