price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
,7 lô đất vị trí đắc địa của Thị trấn Quang Minh giá chỉ 29tr/m, 500m2,,,"7 lô đất vị trí đắc địa của Thị trấn Quang Minh giá chỉ 29tr/m + Vị trí nằm cạnh khu công nghiệp Quang Minh. Giá siêu rẻ.+ Lô đất nằm tại vị trí ngũ quý. Kết nối đường 24m đi cao tốc Thăng Long Nội Bài, Cao Tốc Nội Bài Lào Cai, đường Vành Đai 4, Vành Đai 3,5.+ Giáp khu trường Liên cấp, mầm non, cấp 1 - 2 - 3 của thị trấn Chi Đông, Mê Linh. Giáp khu công nghiệp Quang Minh với trên 100.000 công nhân. Giáp tuyến đường huyết mạch kết nối sân bay và khu công nghiệp. + Gần chợ, gần trường, gần UBND xã, Gần QL23B, gần KĐT Hà Phong, Cienco5, trục chính Mê Linh, đường Võ Văn Kiệt….+ Sổ đỏ chính chủ, pháp lý rõ ràng. Liên hệ chính chủ: Kim Hạnh 0946 553 655",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808088.4307213,,,
,phố hoàng văn thái, 37m2, 3, 4,"SIÊU VÍP CHÍNH CHỦ CẦN BÁN NHÀ HOÀNG VĂN THÁI 37m2 x 4 T 5,9 TỶ Ô TÔ KD +  Vị trí siêu đỉnh, 37 m2 x 4 tầng giá 5,9 tỷ, ô tô đỗ cổng, ngõ ô tô tránh, nhà phân lô quân đội, giao thông thuận tiện, khu vực an sinh đỉnh, dân trí cao. Ngõ thông tứ phía.+ Nhà cách đường ô tô tránh 15m, buôn bán, kinh doanh sầm uất, tiện ích quanh nhà.+ Nhà thiết kế hiện đại, mỗi tầng 2 phòng, cầu thang giữa. - Tầng 1: Khách, bếp, vệ sinh- Tầng 2,3: Mỗi tầng 2 phòng ngủ + vệ sinh- Tầng 4: 2 phòng + sân phơi.+ Phòng nào cũng có cửa sổ thoáng sáng.+Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch.+LH: Hoàng Bắc, ĐT: 0377610275- 0913319643, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808089.880842, 5, 4,
25 tỷ VNĐ,Đường Tô Ngọc Vân phường Quảng An, 140m2, 1, 7,"
    
Mô tả:- Từ toà nhà đi bộ ra ngay siêu thị Vinmart, phòng tập Elite, Carlifornia, cafe Highland, Starbuck, đi bộ 3 phút ra Hồ Tây. Giá bán hấp dẫn.- Loại phòng: 7 căn 2 ngủ, 6 căn 1 ngủLH: Thùy Anh (không chín tám ba sáu bốn ba ba bốn bốn)
",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808091.253181, 7, 13, 13
"3,2 tỷ VNĐ","Đa Sỹ, Hà Đông, Hà Nội.", 35m2, 3, 4," # Bán Nhà Tài Chính xíu trên 3 Tỷ, quận Hà Đông phường Kiến Hưng đường Đa Sỹ, Nhà đẹp long lanh, căn góc, nở hậu, gần ô tô tránh, ở thích. DT 30/35mT2, 4T, MT 4.6m, nhanh tay LH: 0983858722. ( Diện tích + giá + Vị trí, Hiếm cả quận khó có căn thứ 2 ). + Vị Trí: thoáng đẹp, lô góc 2 mặt thoáng, 15m ra đường ô tô, gần chợ, Trường Tiểu Học, Trường THCS Kiến Hưng, Bể bơi, Sân Bóng, cách 500m Chợ Lớn Hà Đông, Viện 103, khu trung tâm tiện ích, giao thông thuận tiện. + Nhà xây chắc, thiết kế đẹp hiện đại, tổng 3 phòng ngủ, đầy đủ công năng, về ở ngay. + Sổ đỏ nở hậu chính chủ, pháp lý chuẩn, sang tên nhanh. # HotLine: 0983858722 Tình Nhà Đất quận Hà Đông – Hà Nội ( uy tín, tận tâm, nhiệt tình, tư vấn hỗ trợ 24/7 ).",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808092.593584, 4, 4,
600 triệu VNĐ,Đường Sài Đồng phường Sài Đồng, 60m2, 7, 4,"+ Vị trí nhà rất đẹp, đường trước nhà 5m ô tô vào nhà thoải mái.+ Cách mặt phố Sài Đồng khoảng 200m, tiện ích bạt ngàn xung quanh.+ Nhà chủ tự xây 5 tầng rất đẹp, nội thất xịn xò, chủ tặng lại cho khách thiện chí.Tầng 1: Gara ô tô, bếp và phòng ăn.Tầng 2: Phòng khách rộng và 01 phòng ngủ.Tầng 3,4: Mỗi tầng chia 2 phòng.Tầng 5: Sân phơi và sân trồng cây cảnh.+ Sổ đỏ chính chủ, siêu đẹp.  Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808093.7785556, 5, 4, 3
"2,9 tỷ VNĐ",Đường Ngọc Hồi phường Hoàng Liệt, 73m2, 2, 27,"
    Quần thể căn hộ sang trọng đẳng cấp.Căn hộ sở hữu lâu dài(tầng 11-27): 39-43tr/mChính sách bán hàng:Khách hàng thanh toán sớm 70% - CK 5%Tiến độ thanh toán: 5 đợt- Đợt 3: 15% trong vòng 120 ngày kể từ ngày ký HĐMBNội thất bàn giao: sàn, trần, điện chiếu sáng, thiết bị vệ sinh, tủ bếp, bếp từ, hút mùi, khoá từ...
",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808095.110112, 7, 2, 2
"54,5 tỷ VNĐ",Cầu Giấy Hà Nội, 120m2,, 9,"BÁN NHÀ PHỐ VIP - MẶT PHỐ CẦU GIẤY  Vị trí : Mặt phố VIP sầm uất nhất quận Cầu Giấy, vỉa hè rộng 5m. Kinh doanh đỉnh cao bất chấp mọi loại hình. Nhà xây mới tinh. Thiết kế 8 nổi 1 hầm có thang máy.Giao thông kết nối : Xuân Thủy, Dương Quảng Hàm, Láng, Quan Hoa, Nguyễn Khánh Toàn, Nguyễn Văn Huyên! Sổ đỏ nở hậu vuông đẹp, sẵn sàng giao dịchAlo cho em để được tư vấnMiễn TG Quảng Cáo ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808097.227632, 4, 8,
"9,6 tỷ VNĐ","Chính chủ bán 2 lô đất MT Phúc Lợi (13m), Long Biên; 0788204888", 72m2,,,"Chính chủ bán 2 lô đất MT Phúc Lợi (13m), Long Biên; 0788204888  * Lô 1: Số 14 ngõ 285 đường Phúc Lợi, Long Biên, Hà Nội. - Diện tích: 72m2. (mặt tiền 6.5 hiện trạng đất trống). - Giá: 9.6 tỷ. *Lô 2: Số 12 ngõ 285 đường Phúc Lợi, Long Biên, Hà Nội. - Diện tích: 73,1m2. (mặt tiền 6.7m, hiện trạng nhà 2 tầng đang kinh doanh tốt). - Vị trí thuận lợi, đang kinh doanh tốt. - Giá: 9.9 tỷ. Tiện ích: - Giao thông đi lại thuận lợi cách cầu vĩnh tuy 5p đi xe máy, cầu thanh trì 5p đi xe máy. - Cách siêu thị aeon 5p, đất gần ngay khu Vinhomes Riverside Long Biên. - Cạnh trường học mầm non, cấp 1,2,3 phúc lợi đi bộ 5p là tới nơi, trường quốc tế vinschool đi bộ 5p, cách viện vimer 10p đi xe máy, viện đức giang 5p đi xe máy. - Giá: 9.6 tỷ.
- Liên hệ: 0788204888.

      http://www.sanbatdongsanviet.com.vn",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808098.7585797,,,
"2,33 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Đại Mỗ, 46m2, 50, 28,"Bán suất ngoại giao CĂN 1N+1 tầng trung cực đẹp, view bể bơi 1500m2, thác nước, vườn thiền Tòa Masteri West Heights – Vinhomes Smart City. Sang nhượng Giá gốc CĐT, CHIẾT KHẤU hơn 10%. Hỗ trợ vay ngân hàng 80%, LS 0% 22 tháng. LH Ms Thanh – 0899.49.4470 để xem nhà mẫu và trải nghiệm tiện ích. Căn hộ Thuộc phân khu Masteri West Heights với những giá trị độc bản, mang lại đặc quyền sống cao cấp cho cộng đồng tinh hoa tại “Thành phố Tây” - Vinhomes Smart City, khẳng định “vị thế tầm cao” mà khó có dự án nào có được.  THÔNG TIN CĂN HỘ-        Loại hình căn hộ: 1PN+1 (1WC)-        Diện tích TT: 46 m2-        Hướng: Tây Nam-        Giá: 2,33 tỷ -        View: bể bơi 1500m2, shop TMDV, thác nước, vườn thiền Yoga-        Miễn phí 36 tháng phí quản lý-        Miễn phí 36 tháng phí gửi xe.-        Bàn giao: quý 2/2023 ĐÂY LÀ CƠ HỘI CHO NHÀ ĐẦU TƯ-        Giao dịch nhanh chóng – dễ dàng đầu tư ngắn hạn và dài hạn-        Khả năng tăng giá lên đến hơn 70%.-        Hỗ trợ vay ngân hàng thủ tục nhanh chóng, lãi suất 0% trong vòng 24 tháng.-        Sang nhượng giá gốc của CĐT. LH Ms Thanh – 0899.49.4470 để xem nhà mẫu và trải nghiệm tiện ích",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808100.3961732, 5, 1, 1
"8,8 tỷ VNĐ",Đường Phạm Hùng phường Mỹ Đình 1, 58m2, 20, 5,"BÁN NHÀ LÊ ĐỨC THỌ - NAM TỪ LIÊM  - VỊ TRÍ ĐẸP - OTO VÀO NHÀ - GIÁ NHỈNH 8 TỶ- Diện tích :60m2- Thiết kế : 5 tầng-Mặt tiền : 4m- Giá chào : nhỉnh 8 tỷ có thương lượng- Đường trước nhà rộng thoáng, Ô tô vào nhà- Gần trường đại học sư phạm, quốc gia, báo chí, thương mại , FPT, Phương Đông...- Chủ là cán bộ ngành, chuyển đổi đơn vị nên bán nhà chuyển nơi sinh sống Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch Liên hệ ngay để được xem nhà miễn phí",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808105.2202399, 5, 6, 5
