price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Lộ giới
"2,7 tỷ VNĐ",đương Vĩnh Hưng- Hoàng Mai, 36m2,, 4, 4,"Chủ bán gấp lấy tiền lo công việc, giá cực hiếm, nhấc máy gọi ngay 0345752279. * Chi tiết: +Diện tích: 36m2 , 4 tầng, 4 ngủ, mt 3.6m +Địa chỉ: Đường Vĩnh Hưng- Hoàng Mai. Ngõ ô tô tránh thông các ngả, 3 bước ra chợ đêm Lĩnh Nam. +Nhà rất mới, chắc chắn, thiết kế hiện đại , hợp lý đầy đủ công năng. +Tặng toàn bộ nội thất cao cấp cho chủ mới. +Sổ đỏ vuông đẹp như nhà sẵn sàng giao dịch. +giá chào bán: 2.7 tỷ *Liên hệ em Bình để nhận tư vấn và xem nhà hoàn toàn miễn phí 24/24. *Lưu ý: Không tiếp môi giới.",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830935.6174254, 3, 5, 3
15 tỷ VNĐ,"Pháo Đài Láng, Đống Đa, Hà Nội", 72m2,, 5, 6,"Bán nhà mặt ngõ 157 Pháo Đài Láng, Đống Đa, 72m2, 5 tầng lô góc 2 mặt tiền 10m, giá chào 15 Tỷ.✍️ NHÀ LÔ GÓC Ô TÔ VỈA HÈ VÒNG QUANH NHÀ - KINH DOANH - MẶT TIỀN THÔNG SỐ VÀNG - VỈA HÈ 🌊+ Khu Phân Lô ô bàn cờ , thông ra đường Láng , Nguyễn Chí Thanh .- Tầng 1: thông sàn kinh doanh.- Tầng 2,3,4: mỗi tầng 2 phòng ngủ rộng + WC.- Tầng 5 phòng thờ, sân phơi.+ Sổ đỏ chính chủ, vuông vắn.+ Liên hệ: Mr. Hoan 0877.855.777 Zalo, Viber, Fb ( Hoan Biệt thự, Liền Kề, Mặt Phố, Khách Sạn). Miễn phí xem nhà đến tư vấn pháp lý.+ Fanpage: https://www.facebook.com/Estatebds.vn",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830936.8030915, 10, 6, 8
"6,8 tỷ VNĐ","Ngõ phố Trịnh Đình Cửu, Định Công, Hoàng Mai, Hà Nội", 33m2,, 4, 3,"Ai mua nhà kinh doanh thì vào đây. Nhà ở ngõ Trịnh Đình Cửu, trong chợ xanh Định Công, diện tích 33m2, xây 4 tầng, mặt tiền 4.5m, giá 6.8 tỉ.Mô tả:- Vị trí cực đắc địa: Khu Chợ Xanh Định Công kinh doanh sầm uất cả ngày lẫn đêm, đường trước nhà ôtô tránh nhau, vỉa hè rộng để được nhiều xe máy. Cả 1 dãy phân lô nhà nào thông số cũng giống nhau.- Dưới 7 tỷ để có nhà vừa ở vừa kinh doanh, giá đặc biệt tốt hơn các căn cùng khu vực.+ Hiện tại chủ đang cho thuê kinh doanh. Hợp đồng đến tháng 6 hết hạn, khách mua có thể tiếp tục hợp đồng hoặc Chủ lựa phá cọc lấy lại nhà. Chủ bán để mua nhà to hơn.+ Thiết kế:    - Tầng 1: Sàn, cầu thang ở góc và WC.    - Tầng 2: Phòng ngủ và WC.    - Tầng 03: 02 phòng ngủ và WC.    -Tầng 4: Bếp ăn, phòng ăn, khu giặt và sân phơi.- Giá 6tỉ8, có thể gia lộc cho khách thiện chí.- Sổ đỏ chính chủ, pháp lý rõ ràng, liên hệ anh Tùng 0904854658 (sđt dùng cho facebook, zalo, viber, whatsapp.. whatever!)",20/02/2022,Tin thường,batdongsan_so_com_vn_1673830938.1285439, 4, 3,
"2,8 tỷ VNĐ","Ngỗ phố Bạch Đằng, phường Bạch Đằng, Hai Bà Trưng, Hà Nội", 38m2,,,,"Nhà cách phố Bạch Đằng 3 bước chân, cách trung tâm thủ đô 5 phút xe máy, đủ mọi tiện ích. Nhà có kết cấu khung cột bê tông chắc chắn, khách về sơn lại là lung linh. Thiết kế:Tầng 1: để xe phòng khách, bếp, WCTầng 2,3: 2 phòng ngủ 1 tầng, nhà vệ sinh và cầu thang ở giữa, tổng 4 phòng ngủ. Tầng 4: phòng thờ, sân phơi.Sau nhà là sân của Hợp tác xã nên trước sau thoáng vĩnh viễn.Trên sổ chỉ 25m2 thực tế xây dựng trên diện tích 38m2 từ tầng 1 bởi sau nhà là cống thoát nước của Hợp tác xã nên cả khu đều xây tràn qua miệng cống như vậy.Sổ trong két sẵn sàng giao dịch. Liên hệ anh Tùng 0904854658 (sđt dùng cho facebook, zalo, viber, whatsapp.. whatever!)",27/02/2022,Tin thường,batdongsan_so_com_vn_1673830939.899063,,,
4 tỷ VNĐ,"ngọc lâm,long biên, hà nội", 48m2,, 4, 4,"Nhà mới Ngọc Lâm ở ngay- ngõ thông- oto đỗ - phân lô xây mới - ở sướng. Chủ nhà cần tiền bán gấp. DT 48m2- 4 tầng -mt 5m -chỉ 4tỷ+ Mô tả :-  Ngõ thông các ngả, thông đường Nguyễn Văn Cừ, cách Cầu Chương Dương 200m chỉ 5 phút sang tới phố cổ, rất nhiều tiện ích trường,chợ TTTM Mipec 300m,dân cư đông xq 90% công nhân viên chức,an ninh đảm bảo, dầm cột chắc chắn.+ Nhà xây mới thiết kế hiện đại, khách chỉ việc sách vali về ở.Thiết kế:Tầng 1: Phòng khách, bếp, WC.Tầng 2,3 : Mỗi tầng 2 phòng + WCTầng 4 : phòng thờ + sân phơi rộng rãi khu sinh thái cây xanh.- Sổ vuông vắn cất két, chính chủ sẵn giao dịch.Lh : 0965991583 M.r Tiến chuyên nhà thổ cư Hà Nội khách xem tư vấn nhiệt tình và miễn phí 24/7",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830941.6145122, 5, 5, 6
45 tỷ VNĐ,Nguyễn Khả Trạc - Cầu Giấy - Hà Nội, 180m2,, 10, 10,"Bán nhà mặt phố Nguyễn Khả Trạc, Cầu Giấy 180, 10m mặt tiền chỉ 45 tỷ có thương lượng. Vị trí: Mặt phố Nguyễn Khả Trạc quận Cầu Giấy rộng 4 làn xe, vỉa hè 5m. Tiện ích: Phô rộng, măt tiền rộng, vỉa hè rộng phù hợp trụ sở văn phòng đẳng cấp, kinh doanh cực đa dạng, phố kinh doanh buôn bán sầm uất, gần tòa nhà Bộ Công An, KĐT Goldmark, sân vận động Mỹ Đình, Bến xe Mỹ Đình, đại học Thương Mại…vv. Xung quanh khu vực toàn các tòa nhà văn phòng lớn. Tương lai tăng lãi vốn cao, thông số hiếm. Giao thông: Kết nối Hồ Tùng Mậu, Doãn Kế Thiện, Phạm Văn Đồng vài bước chân, Hoàng Quốc Việt…vv. Liên hệ: Minh Hoàng 0902253303. Các bạn môi giới xin không làm phiền, xin cảm ơn!",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830943.1603785, 10,,
"8,8 tỷ VNĐ","Nguyễn Ngọc Nại, Thanh Xuân, Hà Nội", 60m2,, 7, 6,"Bán nhà Nguyễn Ngọc Nại, Thanh Xuân 60m, 4.6m mặt tiền, GARA OTO 8.8 tỷ có thương lượng Vị trí: Nhà phân lô quân đội phố Nguyễn Ngọc Nại, ngõ rộng xe oto 7 chỗ ra vào thoải mái. Tiện ích: Nằm khu phân lô Quân đội nên dân trí cao, trường học các cấp 123 đầy đủ, gần các bệnh viện đại học Y Hà Nội, Bạch Mai, Bưu Điện,..vv. Các trường đại học Thủy Lợi, Ngân Hàng, Công Đoàn. Các trung tâm thương mại: Royal City, Lotte Mart, Vincom Phạm Ngọc Thạch,…vv. Còn nhiều tiện ích khác khiến đây là căn nhà ở vị trí đáng sống nhất quận Thanh Xuân. Giao thông: Kết nối Hoàng Văn Thái, Trường Chinh, Nguyễn Trãi, Lê Trọng Tấn, Hồ Tùng Mậu…vv. Gần ngay nút giao quan trọng Ngã Tư Sở giữa quận Thanh Xuân với Đống Đa. Di chuyển Cầu Giấy, Hai Bà Trưng chỉ 10p, di chuyển Đống Đa vài bước chân,..vv. Liên hệ: Minh Hoàng 0902253303. Miễn trung gian môi giới gọi làm phiền. Xin cảm ơn!",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830944.380075,,,
"26,2 tỷ VNĐ","đường Nguyễn Hữu Thọ, phường Đại Kim", 70m2,, 5, 7,"MẶT PHỐ - VIEW HỒ LINH ĐÀM - KINH DOANH SẦM UẤT - CHỦ TỰ XÂY - SÂN THOÁNG. Nhà nằm ngay ở vị trí đắc địa trên mặt phố Nguyễn Hữu Thọ, nhìn ra hồ Linh Đàm thì kinh doanh tấp nập, sản sinh dòng tiền, tiện ích vô vàn không cần đề cập.Nhà chủ tự tay thiết kế xây dựng cực kỳ chắc chắn. Trước nhà là sân cực rộng, thoải mái kinh doanh, chỗ đỗ ô tô bạt ngàn. Thông số: diện tích 70m2 tầng 1(tầng 2 trở lên 75m2), mặt tiền 5m, xây dựng 5 tầng với cấu trúc:- Tầng 1: thông sàn + WC- Tầng 2,3,4: 2 phòng + Wc- Tầng 5: 1 phòng + tum. Sổ đỏ vuông đét, chính chủ, sẵn sàng giao dịch ngay.Giá: 26,2 tỷLiên hệ: E. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian).",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830945.559919,, 7,
"16,5 tỷ VNĐ",Hà Nội, 85m2,,,,"Nhà quận Ba Đình phố Nguyễn Chí Thanh, vài phút ra Hồ Tây - SĐT: 0366 555 258.Diện tích 85m2, xây 7 tầng, trang bị gara ô tô, thang máy, nội thất nhập khẩu…Khu vực dân trí cao xung quanh toàn quan chức, an ninh cực tốt, kinh doanh cực đỉnh... Gần trung tâm thể thao, công viên, bệnh viện, trung tâm thương mại Vincom, Lotte... Trường quốc tế Singapore, trung tâm tiếng Anh, ngân hàng....Sổ đỏ chính chủ.Giá chào chỉ 16.5 tỷ thương lượng sâu.Anh chị quan tâm liên hệ em Thanh - SĐT: 0366 555 258. Dẫn đến nhà làm việc trực tiếp với chủ, miễn trung gian.",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830946.823538,,,
35 tỷ VNĐ,Hà Nội, 200m2,, 8,,"Chủ chuyển đổi mô hình đầu tư, cần bán lại tòa văn phòng 8 tầng mặt phố trung tâm quận Hai Bà Trưng, mới xây được 2 năm.Nhà đầy đủ giấy phép xây dựng và đã xây đúng chỉ giới. Sau quy hoạch mở đường giá tăng gấp bội.Diện tích: 200m2 x 8 tầng, mặt tiền 7.5mGiá: 35 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)MẶT PHỐ QUẬN HBT - NHÀ ĐẸP - FULL NỘI THẤT - VỪA Ở VỪA KINH DOANHLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830953.812288, 7,, 21
