price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
"6,6 tỷ VNĐ","Hoàng Quốc Việt , Cầu Giấy , Hà Nội", 42m2, 4, 4,"CHỦ NHÀ CẦN BÁN GẤP NHÀ HOÀNG QUỐC VIỆT VỚI DIỆN TÍCH 42M– MẶT TIỀN 3.75M -PHÂN LÔ GIÁ NHỈNH 7 TỶ SỔ ĐỎ ĐẸP Ô TÔ VÀO NHÀ - KINH DOANH ĐỈNH – DÂN TRÍ CAO  Nhà thiết kế 4 tầng: + Tầng 1: Để xe, phòng khách , phòng bếp , vệ sinh + Tầng 2, 3: 2 phòng ngủ , phòng vệ sinh + Tầng 4: Phòng thờ, sân phơi thoáng rộng  + Nhà mới, cốt nhà rất chắc chắn, có thể xây thêm tầng. +Sổ đỏ nét căng  , chính chủ chờ giao dịch. Mô tả căn nhà .  + Nhà mới, cốt nhà rất chắc chắn, có thể xây thêm tầng. sau nhà thoáng rộng . + Nằm ngay khu phân lô theo ô bàn cờ, cách mặt phố Hoàng Quốc Việt 50m, ngõ ô tô tránh xe máy, có thể thiết kế ô tô vào nhà. +Ngõ thông rộng ô tô vào quá đẹp . + Trước chủ cũ cho thuê mở trung tâm dạy tiếng Nhật, Hàn cho người xuất khẩu lao động với giá 18tr/ tháng.  +Kết nối với các tuyến đường Phạm Tuấn Tài , Nguyễn Phong Sắc . Để biết thêm thông tin chi tiết liên hệ Mr Khải 0363255077.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826530.1944382, 3, 4,
"16,5 tỷ VNĐ","Đồng cổ , Tây Hồ, hà Nội", 60m2, 6, 8,"Siêu phẩm Tây Hồ - Mặt phố - vỉa hè - mô hình khách sạn - Mô tả: Nhà mặt phố nơi trung tâm văn hoá du lịch. Cách hồ tây 5p đi bộ.  Gần sân thể thao quần ngựa, bv thu cúc, chơi bưởi, chợ hoa cây cảnh hht. - Thiết kế: - T1: gara, bếp, vs. - T2.3.4.5: mỗi tầng 2 phòng ngủ, 2 vs. - T6: p thờ, máy giăt, sân phơi, vườn cây. - Sdcc",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826531.3483508,,,
100 triệu VNĐ/m2,Phường xuân Đỉnh, 60m2,,,"Cực Hót..Bán nhà Xuân Đỉnh 60M2, 4Tầng.. Ô tô đỗ cửa. Giá nhỉnh 100tr/m2.+ Gần Đường Phạp Văn Đồng, Khu Ngoại giao Đoàn tiện đi lại, khu vực yên tính thoáng đẹp. Ngõ rộng nông thoáng cách ô tô 30m.+ Nhà tự xây đẹp vẫn như mới khách về ở ngay. Thiết kế công năng đẹp, sử dụng tiện ích.+ T1 khách bếp rộng, T2,3 4 ngủ khép kín đều ánh sánh tự nhiên thoáng đẹp, T4 1 phòng thờ lộc lớn và sân phơi.Sổ đẹp phân lô sẵn giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826532.3127704,,,
3 tỷ VNĐ,"Đường Khương Đình, Thanh Xuân, Hà Nội", 31m2,,,"+ Hiện nay do cần tiền nên gia đình cần bán căn gấp nhà tại Khương Đình - Thanh Xuân, 31m2, ở, kinh doanh, giá nhỉnh 3 tỷ, nội thất đầy đủ, tiện nghi đặc biệt chủ tặng toàn bộ nội thất cho khách.+ Căn nhà với vị trí đắc địa, thông ra nhiều tuyến đường lớn như: Nguyễn Trãi, Khương Đình, Nguyễn Xiển,…. Đặc biệt gần với trường Tiểu học và trường THCS Khương Đình, trường Đại học Xã hội và Nhân văn, bệnh viện, Công viên Thanh Xuân, khu tập gym và chơ Kim Giang.+ Căn nhà với thiết kế hiện đại, nội thất cao cấp, xây dựng kiên cố, chắc chắn, đầy đủ công năng sử dụng.+ khu dân cư hiện hữu: An ninh tốt, dân trí cao, hàng xóm hiền lành, thân thiện, không ngập nước, không ô nhiễm, không khí thoáng mát trong lành. Thích hợp cho hộ gia đình ở và cho thuê phòng kinh doanh mỗi tháng mang lại thu nhập cao. + Giá thỏa thuận.+ Pháp lý chuẩn, sổ đỏ vuông đẹp, sang tên nhanh, sẵn sàng dao dịch.+ Liên hệ: Mr. Hoan – chuyên thổ cư Hà Nội, 0925088355, miễn phí xem nhà 24/7.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826533.67413,,,
"14,2 tỷ VNĐ","72A Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội", 76m2, 5, 4,"14,5 TỶ CÓ NGAY NHÀ Ô TÔ VÀO NHÀ – SÁT TƯỜNG ROYAL CITY  Nhà trong ngõ 72 Nguyễn Trãi cạnh Royal City (ngõ ô tô tránh). 5 tầng mới xây, nhà độc lập, thang máy xịn. Diện tích: 76m2, mặt tiền 4,2m. Sổ đỏ chính chủ. Được hưởng toàn bộ tiện ích của Khu đô thị Royal City số 1 Việt Nam. Gần chợ Ngã Tư Sở và hệ thống trường học các cấp. Giá 14,5 tỷ có thương lượng.   Nhà có thiết kế gồm 4 phòng ngủ đầy đủ công năng sử dụng: + Tầng 1: Thông sàn có thể cho thuê kinh doanh + Tầng 2: 2 phòng khách và bếp + Tầng 3,4: mỗi tầng có 2PN, WC + Tầng 5: Bếp, sân phơi, phòng thờ  Liên hệ xem nhà gọi trước để gặp chính chủ, Mr Tiến (45 tuổi), ĐT: 0979.160085 ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826534.9677048, 4, 3,
"6,85 tỷ VNĐ",Trần Cung - Cầu Giấy - Hà Nội, 50m2, 4, 4,"Bán nhà Trần Cung, mặt ngõ kinh doanh, lô góc, oto vào nhà 50m2 mặt tiền 3.5m giá 6,85 tỷ Nhà 3 mặt thoáng, bên hông nhà tầm nhìn siêu thoáng Nhà vuông vắn, ngõ thông sang khu đô thị Nam Cường, thuận tiện đi dạo hoặc đạp xe tập thể dục Ngõ rộng oto vào cửa nhà, gần nhà có chỗ để oto Mặt ngõ mở cửa hàng kinh doanh nhỏ siêu tốt Mô tả chi tiết: Tầng 1: Phòng khách + vệ sinh + để xe Tầng 2: 1 PN to + 1 phòng nhỏ + vệ sinh Tầng 3: 2 PN to + 2 vệ sinh Tầng 4: gồm 01 phòng thờ to, 1 phòng kho, 1 sân phơi to kiêm vườn cây cảnh to, 01 sân phơi nhỏ Sổ đỏ vuông vắn, sẵn sàng giao dịch Lh: E Quân: 0964875503",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826535.903165, 3, 4,
"7,5 tỷ VNĐ",Lạc Long Quân Tây Hồ, 43m2, 5, 2,"Cần bán gấp nhà Lạc Long Quân ngõ rộng, thoáng, mát. oto đỗ gần nhà. T1 để xe tiếp khách tạm T2 khách bếp T3, chia 2 phòngT4 đọc sách thể thao( cải tạo 2 ngủ được ) T5 phòng thờ sân phơi Ngõ rộng 3m ô tô đỗ cửa được nhà đẹp vào ở ngay Từ tầng 2 đến tầng 4 ốp sàn gỗ pơ mu cửa cầu thang gỗ Lim Cách Hồ Tây 60m nhà lên thêm 1 tầng là view Hồ Tây Nhà đẹp vào ở ngay LH:0962370591-Nguyễn Phúc Lộc",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826537.17975,, 2,
"6,25 tỷ VNĐ",Phường Văn Quán, 35m2,,,"Mô tả: DT 35m, 5T, MT 3.7m, nội thất sang chảnh hiện đại tặng cho khách, khách mua về chỉ việc ở ngay. Trung tâm quận, khu vực sầm uất, đối diện HV Y Dược, Cao đẳng Dược, ĐH Kiến Trúc, cạnh HV An Ninh, đại siêu thị Co.opmart, TTTM Hồ Gươm Plaza.. Dân trí toàn cán bộ, an ninh đảm bảo tuyệt đối.+ Giao thông đi lại quá thuận tiện. Ôtô vào nhà, quay đầu thoải mái.+ Nhà hai mặt thoáng trước sau vĩnh viễn.+ Thiết kế, kiến trúc hiện đại, cầu thang cuối, nội thất sang trọng đẳng cấp. Chủ nhà tính cẩn thận tỉ mỉ đến từng chi tiết nên nhà không khác gì khách sạn, đẹp vô cùng. - Tầng 1: PK, bếp, Wc- Tầng 2,3,4: Mỗi tầng 1PN rộng thênh thang. - Tầng 5: Phòng thờ, phòng giặt đồ, sân phơi đồ. Sổ đỏ vuông đẹp, nét, sẵn sàng giao dịch. Giá 6.25 tỷ có thương lượng. Liên hệ: Tôi Quang 0936590234 để được tư vấn và được xem nhà miễn phí.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826538.1521485,,,
"3,3 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 86m2,, 2,"
    
Cần bán chung cư 2N Udic Westlake Tây Hồ, Hà Nội.


- Diện tích: 85,67m2 , 2 phòng ngủ, 2vệ sinh
- Khu vực dân trí cao, đầy đủ tiện ích: Đối diện Lotte Mall, gần chợ, gần trường học, gần Bệnh viện Tim Hà Nội. Giao thông đi lại thuận tiện.
- Nội thất cơ bản liền tường: Điều hoà, nóng lạnh, tủ bếp, hút mùi, sàn gỗ, trần thạch cao …
-Hotline Em Vân Anh: 0977 568 223

",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826539.3160357,, 2, Đông nam
"3,4 tỷ VNĐ",quan nhân, 35m2, 5, 5,"- Bán nhà Khương Hạ, ngõ nông, thoáng. - Vị trí đẹp, trước nhà thoáng, gần sông, đường xá di chuyển thuận tiện, an sinh tốt, khu dân trí cao. - Nhà đẹp, thiết kế hiện đại, diện tích 35m2, 5 tầng mặt tiền 3.5m, công năng đầy đủ. - Gần trường học các cấp, chợ, gần hồ Khương Hạ. - Sổ chính chủ, vuông vắn, sẵn sàng giao dịch. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826540.530821,,,
