price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
"12,2 tỷ VNĐ",Mỗ Lao- Hà Đông, 90m2, 5,"Cực Hot Liền kề Mỗ Lao, Hà Đông, KD sầm uất, 90m, MT 5m hơn 12 tỷ Siêu phẩm nhà đẹp giáp Làng Việt Kiều Châu Âu, Mỗ Lao- Hà Đông. Nhà có vị trí tuyệt đẹp gần siêu thị, trường học, dân cư đông đúc, kinh doanh quá lý tưởng đủ các loại hình: Spa, nhà hàng, siêu thị,nail, tóc, …vừa ở kinh doanh hay làm văn phòng quá hợp lý với thông số hoa hậu: + Diện tích  90m2. + Mặt tiền khủng 5m. + Thiết kế sang trọng , nội thất Châu Âu nhập khẩu. Vị trí hiếm nhà bán ngàn năm có một, nhà đẹp lung linh không tỳ vết gần nhiều trường đại học, khu vực quanh năm dân cư đông đúc, sầm uất ngày đêm, xem là chốt. Chủ nhà chuẩn bị định cư nước ngoài cùng gia đình nên cần bán gấp trong tháng, nhà cực kỳ có lộc, mua về phất lên như diều gặp gió như gia chủ nhà vậy. Sổ phân lô vuông, sẵn sàng giao dịch. Giá: 12.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817783.6070771,,,,
"12,3 tỷ VNĐ",Văn Quán- Hà Đông, 90m2,,"Siêu phẩm Liền kề Văn Quán, vỉa hè KD sầm uất, 90mx5T nhỉnh 12 tỷ Cần bán nhà đẹp có vị trí hiếm đắc địa Văn Quán, Hà Đông, khu vực trung tâm sầm uất, đầy đủ tiện nghi với thông số tuyệt vời: + Diện tích: 90m2. + Thiết kế: 5 tầng hiện đại + Vỉa hè rộng, ô tô tránh. + Mặt tiền siêu khủng. Nhà gần hồ, gần chợ xanh Văn Quán, thiết kế chuẩn công năng, nội thất xịn, vừa ở vừa kinh doanh hoặc làm văn phòng quá đỉnh. Khu duy nhất có 1 căn bán rất đẹp. Nhà bán giáp đường đôi Nguyễn Khuyến, thông sang Phố yên Bình, cạnh Yên Phúc, song song các phố Bạch Thái Bưởi, vài bước ra Phùng Hưng,… Sổ phân lô vuông, sẵn sàng giao dịch. Giá: 12.3 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817784.684195, 5,,,
"3,15 tỷ VNĐ",Đường Đại Từ phường Đại Kim, 30m2, 3,"+Hưởng trọn tiện ích xung quanh, ô tô tránh cách nhà 30m, hồ Linh Đàm chỉ cách nhà 100m,nhà nằm ngay ngã tư Nguyễn Cảnh Dị và Nguyễn Hữu Thọ, không khí trong lành là nơi thật đáng sống cho mọi gia đình. Cách trường tiểu học Đại Từ và trường quốc tế Reigate grammar ( ISV) không sa.  - Nhà đẹp thoáng sáng chủ  tặng lại toàn bộ nội thất sẵn có trong nhà. +Diện tích 30m2, 5 tầng , mặt tiền 3 m đủ công năng sử dụng. + Tầng 1: Pk, bếp, vs. + Tầng 2,3: Mỗi tầng 1 ngủ, wc ngoài. + Tầng 4: 1 ngủ, sân phơi. + Tầng 5: Phòng thờ, sân trồng lan rộng. + Pháp lý: Sổ đỏ đẹp, sẵn sàng giao dịch. + Giá chỉ 3.15 tỷ (có thương lượng). Liên hệ: E Nhung 0902213777 để được xem nhà",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817786.112594, 5, 3, 3, 2
"5,6 tỷ VNĐ",Phố Trần Phú, 45m2, 3,"PHÂN LÔ CÁN BỘ - Ô TÔ 7 CHỖ ĐỖ - NHÀ KHUNG CỘT CHẮC CHẮN - 2 THOÁNG TRƯỚC SAU + Trần Phú – Văn Quán + Diện tích 45m – 4 tầng – MT3.3m + Giá bán: 5.6 tỷ + Liên hệ xem nhà: 0902083139 + Nhà vị trí rất đẹp thuộc khu phân lô cán bộ HV An Ninh, đằng sau view sân thể thao của HV An Ninh nên cực thoáng. Đường trước nhà ô tô 7 chỗ đỗ cửa, ô tô tránh dừng đỗ thoải mái cách 10m, 70m ra mặt phố Nguyễn Trãi, Trần Phú gần đường Chiến Thắng. + Khu vực trung tâm Hà Đông giáp Thanh Xuân tiện ích vô vàn gần các trường ĐH Bưu Chính, An Ninh, Mật Mã, gần kdt Văn Quán, Làng Việt Kiều Châu Âu, gần chợ, TTTM, giao thông thuận tiện gần gar tàu điện trên cao. + Nhà khung cột chắc chắn lên tầng thoải mái, 2 mặt thoáng đều có cửa sổ, nhà cho thuê đã lâu khách mua về sửa sang lại chút là ở ngon lành. + Sổ phân lô, chính chủ, sẵn sàng giao dịch.",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817787.4801838, 4, 4, 4,
6 tỷ VNĐ,"Phố Nguyễn Đình Chiểu, HBT,HN", 30m2,,"- Nhà 30m2 x 4,5 tầng , MT 4,5m - Nhà ở khu giao thông thuận tiện, gần các tuyến phố lớn : Đại Cồ Việt, Phố Huế, Bà Triệu,Bạch Mai, Phan Bội Châu. - Gần VinCom Bà Triệu, Đại Học Bách Khoa, Bệnh Viện Bạch Mai, đi bộ ra công viên Thống Nhất.. - Ô tô đỗ cửa, khu vực đông dân cư, kinh doanh cực tốt. - Nhà còn rất mới, thiết kế hiện đại, mua về ở ngay. - Tặng lại nội thất. - Sổ đỏ chính chủ, pháp lý đảm bảo sẵn sàng giao dịch.  Mr. Dũng 094.567.6597 , tôi sẽ hỗ trợ quý khách 24/7  và hoàn toàn miễn phí.  Hân hạnh được phục vụ quý khách !",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817788.8518085,,,,
"3,8 tỷ VNĐ","Đ.Cổ Linh, Long Biên, Hà Nội", 38m2, 4,"- Vị trí siêu đẹp, nằm ngay gần TTTM Aeon Mall đi bộ vài bước, thuận tiện cho việc mua sắm.- Phong thủy tốt, không khí trong lành, an sinh tốt, không gian yên tĩnh, nhiều cây cối, mát mẻ. Đường xá thoáng đãng, giao thông thuận tiện. - Nhà xây 5 tầng với 4 phòng ngủ và có full nội thất xịn xò. Có chỗ để oto cả ngày đêm.- Giá cả chỉ hơn 3 tỷ ( có thể thương lượng )- Sổ đỏ chính chủ, sẵn sàng giao dịch, pháp lý rõ ràng ☎️Liên hệ ngay 0978600***. Em Thành Long Biên.- Tư vấn miễn phí, xem nhà miễn phí, hỗ trợ vay vốn ngân hàng, pháp lý, phong thủy, sang tên làm sổ,... ",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817790.2301195, 5, 4,, 4
5 tỷ VNĐ,Chính Kinh, 43m2,,"+ Trung tâm Phố Chính Kinh - Thanh Xuân, vài phút ra Ngã Tư Sở.+ Ngõ nông rộng Ô TÔ đỗ cách 15m, cách đường Nguyễn Trãi 150m.+ Nhà LÔ GÓC 2 mặt thoáng sáng, an sinh đỉnh, rất đáng sống.+ Nhà chủ xây để ở, nội thất toàn gỗ xịn, chủ tặng lại hết cho khách, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà, tại Hà Nội, miễn phí xem nhà 24/7.",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817791.778438, 5, 5,,
"5,9 tỷ VNĐ",Đường Xuân Đỉnh phường Xuân Đỉnh, 59m2, 5,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'xuân="""" Đỉnh="""" 59m-="""" nhỉnh="""" 5="""" tỷ-="""" Ô="""" tô="""" đỗ="""" cửa-="""" ngõ="""" thông="""" span="""" p="""" pspan="""" initial'🔥="""" dÂn="""" xÂy="""" -="""" ngÕ="""" thÔng="""" tÔ="""" 15m="""" gẦn="""" phỐ="""" tiỆn="""" Ích="""" ngẬp="""" trÀn="""" 🔥.="""" initial'="""">- Ngõ 435 là ngõ ô tô tránh, vị trí nhà cực đẹp, cách ô tô vài bước chân, lý thuyết ô tô đỗ cửa. ",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817793.185956, 4, 4, 3, 4
"4,7 tỷ VNĐ",Đường Đông Tác phường Ngã Tư Sở, 40m2,,"
    


VỊ TRÍ NHÀ GẦN TTTM VIMCOM PHẠM NGỌC THẠCH
 Chủ đang sơn sửa lại, 3 ngày nữa là đẹp lung linh.

 Vị trí nhà rất đẹp, thông ra Lương Định Của, Phương Mai.

 Thiết kế 4 tầng:
- Tầng 1: Phòng khách + Bếp + WC.
- Tầng 2,3: Mỗi tầng 2 phòng ngủ + WC. 
- Tầng 4: Phòng thờ + Sân phơi.
Nội thất hiện đại sang trọng, công năng sử dụng vô cùng hợp lý

 Sổ đỏ đẹp, giao dịch ngay.
",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817794.6033368, 7, 4, 4, 2
"5,5 tỷ VNĐ",199 Hồ Tùng Mậu phường Cầu Diễn quận Nam Từ Liêm, 55m2, 4,"Vị trí đẹp chỉ 10m ra ngõ rộng 2 ô tô tránh, sạch sẽ an  ninh cực tốt dân trí cao. Chỉ vài bước chân ra đường Hồ Tùng Mậu, ngay sát đường sắt trên cao giao thông thuận tiện. Xung quanh nhiều tiện ích siêu thị và chợ ngay liền kề, gần các trường liên cấp quốc tế, các trường đại học. Chủ nhà là cán bộ quân đội về hưu, tuổi đã cao sức đã yếu nay muốn chuyển lên chung cư cho tiện sinh hoạt. - Diện tích : 55m x 5 tầng từ tầng 2 đua 60m   Bao gồm ( T1; để xe + bếp + WC.T2,3,4; mỗi tầng 2PN + WC. T5; P. Thờ và sân phơi ) Sổ đỏ : đẹp nét chuẩn  Giá   : nhỉnh 5 tỷ Liên hệ : Mr Dũng 0825237636 zalo 0996839398",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817796.0893424, 5, 6, 4, 2
