price,address,Diện tích,Mặt tiền,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số toilet
"3,95 tỷ VNĐ",Bà Triệu- Hà Đông, 39m2,,,"Nhà đẹp Bà Triệu, Hà Đông, ngõ thông thoáng, gần ô tô, 39mx 5 tầng Bán nhà đẹp hiếm khu phố cổ Bà Triệu, Hà Đông, nhà thiết kế hiện đại với 5 tầng thoáng sáng, ngõ thông thoáng, vài bước ra phố ô tô tránh, nội thất hiện đại đầy đủ công năng sử dụng chỉ việc xách vali đến ở. Nhà nằm ở khu vực xung quanh trường học các cấp, ngân hàng, siêu thị gần chợ lớn Hà Đông, siêu thị Metro,..đi đâu cũng thuận tiện, vị trí cực hiếm, dân cứ văn minh, đông đúc, kinh doanh sầm uất. Giao thông di chuyển các phố cổ: Hàng xóm Tô Hiệu, giáp với Hà Trì, vài bước ra Lê Lợi, cạnh Văn Quán, gần các bệnh viện lớn Học viện quân y 103 ở Phúc La,…. Chủ nhà là cán bộ nhà nước về hưu, nay chuyển nhà về sống với con cái nên cần bán gấp nhà trong tháng. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.95 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822078.724636, 5,,
"3,9 tỷ VNĐ",Tô Hiệu- Hà Đông, 38m2,,,"Cần bán nhà phố Tô Hiệu, Hà Đông, 38mx 5 tầng, ngõ thông, ô tô, dân xây Cần tiền bán gấp nhà khu phố cổ Tô Hiệu, nhà dân xây cực kỳ đẹp, nội thất xịn với 5 tầng thoáng sáng hiện đại, ngõ thông, vài bước ra phố ô tô tránh, chỉ việc xách vali đến ở. Xung quanh nhà đầy đủ tiện ích: chợ, ngân hàng, siêu thị, bệnh viện, công viên, trung tâm mua sắm. Nhà thuộc trục chính phố cổ đi muôn nơi thông Lê Lợi, gần Lê Hồng Phong, hàng xóm Hà cầu, giáp Khu đô thị Văn Phú, vài bước ra Nguyễn Trãi,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.9 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822079.8217006, 5,,
"3,9 tỷ VNĐ",Tô Hiệu- Hà Đông, 38m2,,,"Cần bán nhà phố Tô Hiệu, Hà Đông, 38mx 5 tầng, ngõ thông, ô tô, dân xây Cần tiền bán gấp nhà khu phố cổ Tô Hiệu, nhà dân xây cực kỳ đẹp, nội thất xịn với 5 tầng thoáng sáng hiện đại, ngõ thông, vài bước ra phố ô tô tránh, chỉ việc xách vali đến ở. Xung quanh nhà đầy đủ tiện ích: chợ, ngân hàng, siêu thị, bệnh viện, công viên, trung tâm mua sắm. Nhà thuộc trục chính phố cổ đi muôn nơi thông Lê Lợi, gần Lê Hồng Phong, hàng xóm Hà cầu, giáp Khu đô thị Văn Phú, vài bước ra Nguyễn Trãi,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.9 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822080.8798697, 5,,
"3,95 tỷ VNĐ",Bà Triệu- Hà Đông, 39m2,,,"Nhà đẹp Bà Triệu, Hà Đông, ngõ thông thoáng, gần ô tô, 39mx 5 tầng Bán nhà đẹp hiếm khu phố cổ Bà Triệu, Hà Đông, nhà thiết kế hiện đại với 5 tầng thoáng sáng, ngõ thông thoáng, vài bước ra phố ô tô tránh, nội thất hiện đại đầy đủ công năng sử dụng chỉ việc xách vali đến ở. Nhà nằm ở khu vực xung quanh trường học các cấp, ngân hàng, siêu thị gần chợ lớn Hà Đông, siêu thị Metro,..đi đâu cũng thuận tiện, vị trí cực hiếm, dân cứ văn minh, đông đúc, kinh doanh sầm uất. Giao thông di chuyển các phố cổ: Hàng xóm Tô Hiệu, giáp với Hà Trì, vài bước ra Lê Lợi, cạnh Văn Quán, gần các bệnh viện lớn Học viện quân y 103 ở Phúc La,…. Chủ nhà là cán bộ nhà nước về hưu, nay chuyển nhà về sống với con cái nên cần bán gấp nhà trong tháng. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.95 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822085.5759838, 5,,
"8,9 tỷ VNĐ",Đường Nghĩa Tân phường Nghĩa Tân, 48m2, 5, 6,""",serif;="""" color:="""" black;="""" mso-fareast-font-family:="""" +mn-ea;="""" mso-bidi-font-family:="""" +mn-cs;="""" mso-font-kerning:="""" 12.0pt;="""" mso-ansi-language:="""" en-us'+="""" nhà="""" mặt="""" phố,="""" khu="""" trung="""" tâm,="""" vỉa="""" hè="""" rộng,="""" xe="""" ô="""" tô="""" đỗ="""" cửa="""" ngày="""" đêm.="""" span="""" p="""" class=""MsoNormalSPAN"" hai="""" mặt,="""" một="""" ngõbrspan-="""" thiết="""" kế:="""" tổng="""" spanspan="""" en-us'=""""> phòng có ban công thoáng sáng.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822086.7068906, 5, 4, 4
"3,8 tỷ VNĐ","Tân Mai, Hoàng Mai", 37m2, 4, 4,"15m RA MẶT PHỐ, Ô TÔ ĐỖ CỬA, GIÁ HIẾMS = 37m2, 4 tầng, giá 3.8 tỷ + Vị trí cực đẹp, ngõ thông các ngả, lối vào nhà đường nào cũng là đường xe tải. + Ngay chợ Tân Mai, Kinh doanh ngày đêm, Tiện ích xung quanh vô vàn, cạnh trường cấp 3 Trương Định, uỷ ban nhân dân phường Tân Mai. + Nhà dân xây, còn rất đẹp và chắc chắn, thoáng đãng, nội thất xịn. + Thiết kế: - Tầng 1: Phòng khách và phòng bếp rộng.- Tầng 2,3: Mỗi tầng 2 phòng ngủ, nhà vệ sinh giữa.- Tầng 4: Phòng thờ, sân phơi. + Sổ đỏ đẹp, chủ muốn bán gấp. * Liên hệ em Bình, chỉ bán nhà đẹp giá tốt, tư vấn và xem nhà nhiệt tình, miễn phí. * Không tiếp môi giới.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822087.8348987, 4,, 3
"3,3 tỷ VNĐ",Đường Đản Dị phường Uy Nỗ, 50m2, 4,,"
    - Đường trước đất gần 5m- Khu vực phát triển nhất của Huyện, đầy đủ tiện ích: Chợ, trường học, khu ăn uống, bệnh viện Đa Khoa Đông Anh....
",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822089.0216985,,,
"3,95 tỷ VNĐ","Quang Trung, Chiến Thắng - Hà Đông", 31m2, 3, 4,"Bán Nhà,Khu Phố Phan Đình Giót, Lê Trọng Tấn, Chiến Thắng Hà Đông, Ở luôn, Ô tô đỗ cửa, Kinh Doanh 31m2x 4T.Chỉ 3.95 Tỷ. Vị trí nhà mặt tiền khu Phố Chiến Thắng,Phan Đình Giót, Lê Trọng Tấn, kinh doanh buôn bán tấp nập, gần chợ Bông Đỏ, gần trường mầm non, tiểu học La Khê, gần trường THPH Quang Trung, tiện ích xung quanh cái gì cũng có. Tuyến đường kết nối khu đô thị Ngô Thì Nhậm, KĐT Nam La Khê. Thiết kế: Nhà xây 4 tầng mặt tiền rộng 3.2 m kinh doanh tạp hóa saler tóc, sửa chữa đều rất tiện…. + Vị trí mặt tiền ngõ, ô tô đỗ cửa, đường thông các ngả. + Nhà Đẹp, đầy đủ công năng, tổng 3 PN, Phòng Khách, Bếp, Phòng thờ, sân phơi... + Nhà thuộc khu an ninh tốt, dân trí cao. + Pháp Lý: Sổ đỏ chính chủ, giao dịch ngay. + Giá bán: 3.95 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                                 - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822090.2743487, 4, 3, 3
"3,9 tỷ VNĐ","phố Lê Hồng Phong, Nguyễn Trãi", 40m2,, 3,"Mô tả:+ Giá Giảm Cực Sốc!!! rất hiếm,Không nhanh là mất cơ hội, +Cần Bán gấp nhà sát Phố Lê Hồng Phong-phường Nguyễn Trãi-40m2*3tầng chỉ 3,xtỷ + Vị trí đắc địa: 3 Bước ra mặt phố Lê Hồng Phong,+ ô tô đỗ cổng, Ô tô tránh + khu vực trung tâm Hà Đông xung quanh nhiều tiện ích, gần chợ Tản Đà,chợ Hà Đông , 500m sang bệnh xá, + 100m là phố Tô Hiệu thông sang Lê Lai,Lê Lợi, cầu Đơ , giao thông đi các ngả rất tiện,+ nhà rất chắc chắn, phòng khách,bếp, 3 phòng ngủ, wc, công năng sử dụng đầy đủ + giá 3,9tỷ(có thương lượng)+ sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch + Gọi ngay Mrs Hương Chuyên bán và nhận ký gửi nhà đất thổ cư Hà Đông. ",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822091.5230072, 3,,
"4,9 tỷ VNĐ","Văn Phú, Văn La, Hà Đông, Hà Nội.", 37m2,, 4," # Hiếm có khó tìm, nhà Lô góc, 2 mặt tiền ô tô đỗ, kinh doanh sầm uất, Văn Phú, Văn La, Hà Đông,  DT 37m, 5T giá chỉ dưới 5 tỷ. + Vị Trí: đắc địa, tiềm năng, tiện ích, trung tâm phường Phú La quận Hà Đông. + Giao thông: vài chục mét ra mặt đường chính Quang Trung di chuyển QL21, về phía Tây Bắc, đường Lê Trọng Tấn, Tố Hữu, Lê Văn Lương, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà chủ tự xây 5T vô cùng chắc, thiết kế hợp lý, tầng 1 kinh doanh, từ tầng 2 lên trên mỗi tầng 2 phòng rộng, thoáng sáng, đầy đủ công năng. + Giá chỉ 4.9 tỷ ( Có Thương Lượng ). + Sổ đỏ chính chủ pháp lý chuẩn, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên mua bán, nhận ký gửi nhà phố, nhà đất Thổ Cư có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822092.6310422, 5, 5,
