price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
"3,9 tỷ VNĐ",Đường 1 phường Đức Giang, 47m2, 1, 4,"Nằm giữa cầu Đuống và cầu Chường Dương rất thuận thiện đi lại. Giá rẻ hiếm có khó tìm Ở rộng rãi thoải mái. Sổ đỏ chính chủ, thiện chí thương lượng, gia lộc Liên hệ trực tiếp hoặc zalo e: 0856316294 để biết thêm thông tin và đi xem nhà miễn phí .",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811579.176819,,,
"6,8 tỷ VNĐ",Đường Mai Dịch phường Mai Dịch, 57m2, 3, 4,"-         + Tọa lạc ngay khu phân lô cán bộ ,và giới văn nghệ sĩ  + Ngõ thông ô tô tránh ,cách nhà tầm 7m ,bãi trông xe cách nhà 50m , + vài phút đi bộ rachợ muốn thứ gì cũng có ,đồ ăn tươi hàng ngày không phải nghĩ ,các siêu thị vinmart trong vòng 100m  + trường học các cấp vài bước chân  + giá :6.8 tỷ  -lh: Dũng 0935777266",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811580.358659, 4, 4,
3 tỷ VNĐ,Đường Nguyễn Lương Bằng phường Nam Đồng, 42m2, 2, 4,""",serif;="""" line-height:="""" 107%;="""" mso-ascii-theme-font:="""" major-latin;="""" mso-hansi-theme-font:="""" mso-bidi-theme-font:="""" mso-ansi-language:="""" en-us'+="""" chính="""" chủ="""" cần="""" bán="""" nhà="""" trung="""" tâm="""" quận="""" Đống="""" Đa,="""" diện="""" tích="""" rộng,="""" vị="""" trí="""" quá="""" tuyệt="""" vời.="""" gần="""" hồ,="""" nhiều="""" trường="""" Đại="""" học="""" và="""" khu="""" vui="""" chơi="""" giải="""" trí.="""" span="""" p="""" class=""MsoNormalSPAN"" vực="""" dân="""" cư="""" đông="""" đúc,="""" cao,="""" an="""" ninh="""" tốt.="""" nơi="""" tập="""" rất="""" hàng,="""" coffee,="""" Ăn="""" uống="""" thu="""" hút="""" giới="""" trẻ.="""" Điện,="""" Đường,="""" trường,="""" trạm="""" vô="""" cùng="""" thuận="""" tiện.="""" tiện="""" ích="""" vàn…="""" en-us'="""">+ Sổ đỏ vuông, đẹp nở hậu, sẵn sàng giao dịch. "",serif;="""" line-height:="""" 107%;="""" mso-ascii-theme-font:="""" major-latin;="""" mso-hansi-theme-font:="""" mso-bidi-theme-font:="""" mso-ansi-language:="""" en-us'+="""" giá="""" chỉ="""" 3="""" tỷ,="""" có="""" gia="""" lộc="""" cho="""" khách="""" thật="""" sự="""" thiện="""" chí.="""" span="""" p="""" class=""MsoNormalSPAN"" lh:="""" mr.="""" sơn:="""" 0839="""" 680="""" 222="""" để="""" biết="""" thông="""" tin="""" và="""" được="""" tư="""" vấn="""" miễn="""" phí.="""" en-us'=""""> ",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811581.5813868, 4, 4, 6
"14,4 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 61m2, 6, 4,"
    + Khu vực cực VIP, tuyến đường chính của khu phân lô oto đi vòng quanh. Khu vực toàn cán bộ, giao thông thuận lợi, thông tứ tung.

+ Di chuyển giao thông thuận lợi, 15 phút lên sân bay Nội Bài, TTTM Lotte đang hình thành phát triển từng ngày, đi vài phút lên Hồ Tây lộng gió.

+ Thiết kế:
- Tầng 1: Để xe, bếp, wc
- Tầng 2,3: Mỗi tầng 2 ngủ, wc
- Tầng 4: Phòng thờ, sân phơi.

+ Nhà có giếng trời nên tràn ngập ánh sáng.
",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811582.8599672, 4, 4, 4
"5,7 tỷ VNĐ",xã Ngọc Hồi, 47m2,,,"+ Bán nhà Ngọc Hồi, Thanh Trì, Hà Nội+ Vị trí nhà mới đẹp, vài bước ra phố. Ô tô đỗ cửa. + Bán kính 500m Bến xe Nước Ngầm, Trường THPT Việt Nam Ba Lan, Công An Phường Hoàng Liệt, Trường CĐ Y Khoa Hà Nội, Trường CĐ Y Dược Cộng Đồng. + Chủ đang cho thuê để kinh doanh online+ Sổ đỏ vuông vắn + Miễn TG",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811584.2741828,,,
"12,7 tỷ VNĐ","bạch đằng, chương dương , hoàn kiếm", 86m2,,,"+ MẶT PHỐ - VỈA HÈ - KINH DOANH SẦM UẤT- BÁN ĐẤT TẶNG NHÀ. - nhà cũ xác định bán đất tặng nhà, nhà xây 3 tầng thiết kế tổng 3 phòng ngủ.- Pháp lý rõ ràng sổ đỏ vuông vắn, giao dịch ngay.- alo ;0911 206 189 - 0845 790 555 thanks ac",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811585.9317493,,,
"7,5 tỷ VNĐ",Đường Đàm Quang Trung phường Long Biên, 50m2, 5, 5,"CHỦ CẦN TIỀN BÁN GẤP ,NHÀ SIÊU ĐẸP 50m2- ĐÀM QUANG TRUNG Ô TÔ ĐỖ CỬA –MẶT PHỐ- TRUNG TÂM TIỆN ÍCH NGẬP TRÀN! GÍA 7,5 TỶ                     Liên hệ xem nhà E Đức ; 0813426631 ",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811587.4102414, 4, 4, 3
"8,5 tỷ VNĐ",Cầu Diễn, 65m2, 6, 5,"SIÊU HIẾM, PHÂN LÔ CÁN BỘ CAO CẤP, OTO TRÁNH, VỈA HÈ RỘNG VỪA Ở VỪA KINH DOANH, NHÀ DÂN CHẮC CHẮN  S = 65m2, 5 tầng, mặt tiền 4.5m, giá 8.5 tỷ + Khu vực đang phát triển từng ngày,  50m ra mặt phố, trước nhà đường 6m, ô tô tránh đỗ ngày đêm, vỉa hè rộng, gần nhiều trường đại học, trung học,… + Kinh doanh tốt, thích hợp mở văn phòng công ty, spa,… + Nhà chủ tự thiết kế, xây dựng nên rất chắc chắn và đẹp và hợp lý. + Giao thông: Cầu Diễn, Hồ Tùng Mậu, Phú Diễn, bến xe Mỹ Đình, Cầu Giấy,… + Thiết kế:  Tầng 1: Kinh doanh, vệ sinh.Tầng 2: Phòng bếp+ Khách + WC.Tầng 3,4 : Mỗi tầng 2 phòng + 1 WC.Tầng 5: Phòng thờ+ Sân phơi. + Sổ đỏ chính chủ, giao dịch ngay. * Liên hệ em Bình để xem nhà miễn phí, không tiếp môi giới.",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811588.870333, 4, 4,
7 tỷ VNĐ,Đường Đa Sĩ phường Kiến Hưng, 60m2, 1, 4,"
    Chủ bán nhà vào Sài Gòn cùng các con + Vị trí cực đẹp cách 1 nhà ra mặt phố Đa Sỹ buôn bán sầm uất rất gần chợ Hà    Đông    các trung tâm thương mại các trường PT,trường chuyên các cấp, 100m ra bể bơi    Đa Sỹ, gần ngã 5 hà trì thông thương các tuyến phố con đường lớn như Bà Triệu,    Lê Lợi, Tô Hiệu ra Trần Phú, Quang Trung, Nguyễn Trãi, ba bước chân ra khu đô    thị XaLa... + NHà là khu đất dv giãn dân nên quy hoach ổn định, phân lô vuông vắn có vỉa hè    lòng đường rộng đỗ xe ô tô ngày đêm gần ngay công an phường nên an ninh rất    tốt. + Cô chú chủ nhà là giáo viên về hưu tính tình rất thân thiện quý người, nhà    được cô chú xây rất cẩn thận giữ gìn nên chắc chắn và rất tốt ,diên tích lớn    lại có giếng trời phía sau nên cũng rất  thoáng mát. + Sổ đỏ chính chủ pháp lý rõ ràng sẵn sàng giao dịch. LH:Em Đức Béo 0904819386 để được tư vấn và xem nhà miễn phí.
",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811590.0566895,, 4,
,Đường An Dương Vương phường Yên Phụ, 65m2, 1,,"
    (Chính Chủ)
Tôi về già con cái đã lập gia đình đã ở riêng , giờ muốn bán căn nhà ở mới mua 5 năm , để về ở cùng con cái 
 Nhà căn góc 3 mặt thoáng , gió  - hiện tại đang kinh doanh quán bia , ô tô đỗ thoải mái 
+ Nhà xây 5 tầng chăc chắn 
+ Sổ đỏ 47m nhưng thực tế đua ra 64m
+ Gần Phố Cổ , Hồ Tây , đường thanh niên thoáng đãng , yên tĩnh
Liên Hệ Ngay 0944713497 Em Quyết Chuyên Nhà Thổ Cư - Xem nhà miễn phí 
#nhatayho #10ty",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811591.2534883,,,
