price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Số tầng,Hướng,Mặt tiền
"2,95 tỷ VNĐ","Chính chủ bán nhà vị trí đẹp tại Ngọc Trì, P.Thạch Bàn, Long Biên, 2,95 tỷ; 0974553596", 46m2,"Chính chủ bán nhà vị trí đẹp tại Ngọc Trì, P.Thạch Bàn, Long Biên, 2,95 tỷ; 0974553596 Diện tích:  46,4m2. Sử dụng riêng 30,1m2. Sử dụng chung 16,3m2 - Nhà 5 tầng, vệ sinh khép kín từng tầng, khu an ninh tốt, giao thông thuận tiện, dân trí cao - Gần trường, gần chợ, gần các tiện ích xung quanh Địa chỉ: LK3 số 12A hẻm 318/54/11 phố Ngọc Trì, tổ 11 Phường Thạch Bàn, Quận Long Biên. Giá bán: 2,95 tỷ Liên hệ chính chủ: 0974553596       http://www.sanbatdongsanviet.com.vn",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805894.4707277,,,,,,
"5,05 tỷ VNĐ","Lương Khánh Thiện, Hoàng Mai, Hà Nội", 56m2,"+ Nhà Phố Lương Khánh Thiện ,Quận Hoàng Mai Lô Góc-Ôtô đỗ cửa,giao với các đường; Trương Định,Hoàng Mai,Gốc Đề,Tân Mai, Giáp Bát… Gần nhà rất nhiều tiện ích như; Hồ Đền Lừ, Bến xe giáp bát, Đại học Xây Dựng, Kinh Tế Quốc Dân, Bách Khoa,bệnh viện Bạch Mai,khu vui chơi và nhiều tiện ích khác… +Nhà còn mới đẹp, khách mua về ở ngay, lô góc, 3 thoáng, trước nhà có sân rộng, vừa để xe vừa trồng cây hưởng không khí trong lành, di chuyển 10p ra hồ Đền Lừ, 15 công viên Yên Sở. Phù hợp cho gia đình 4 đến 5 người ở.  + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; Mr Quân – 0911303899 (zalo-messenger)",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805896.3616686,, 2,, 3,, 3
"2,85 tỷ VNĐ",x43/6/8, 31m2,"Bán Nhà Bát Khối - Long Biên* Mô tả :+ Vị trí : Căn nhà vị trí rất đẹp 25m ra mặt phố đường lớn xe tải tránh, ô tô dừng đỗ ngày đêm, bao quanh hàng xóm toàn 5 tầng, hạ tầng đồng bộ ngõ duy nhất lát gạch đá sáng bóng.+ Đi từ nhà ra siêu thị AEON rất gần, chợ Thạch Bàn cách 50m, gần Cầu Vĩnh Tuy, đi sang Hồ Hoàn Kiếm khoảng 10 Phút.- Căn nhà mình đang bán có thể nói là hiếm và đẹp còn xót lại duy nhất ở khu vực.+ Sổ đỏ hoa hậu chính chủ sẵn sàng giao dịch.+ Chuyên mua bán nhà đất, vui lòng liên hệ : TRẦN QUYẾT BĐS LONG BIÊN, điện thoại/ Zalo: 0374148382.",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805898.2057383,, 3, 3, 5,, 4
866 triệu VNĐ,phường láng hạ - quận đống đa, 80m2,"
    Chuẩn bị mở bán khu dân cư mới tự xây tân phúc giá chỉ từ 886 triệu/ lô , sổ đỏ riêng công chứng sang tên chuyển nhượng ngay.
 diện tích 70-90m2 phù hợp với thiết kế nhà hiện đại .
 đường rộng 6m trải nhựa thông thoáng đủ hướng cho các nhà đầu tư.
 cơ sở pháp lý rõ ràng , sổ riêng từng nền đất ở lâu dài sở hữu vĩnh viễn
 Vị trí đầy tiềm năng: gần ql38 ,cao tốc và nút giao cao tốc hà nội -hưng yên - hải dương - hải phòng .
 nằm trên trục đường huyết mạch tân phúc - võng phan . chạy qua các khu công nghiệp Ân Thi -Phù Cừ - Tiên Lữ -Bình Giang và các khu công nghiệp lân cận thu hút các nhà đầu tư trong và ngoài nước tạo cho hàng nghìn lao động địa phương và các tỉnh lân cận đổ về . .
 Trong vùng quy hoạch hàng nghìn héc ta ở Ân Thi- Bãi Sậy - Tân Phúc - Hoàng Hoa Thám - Quang Vinh loạt dự án khu dân cư mới và cụm công nghiệp lớn.
 Nằm trong khu dân cư đông đúc đầy đủ các tiện ích trường học, y tế, cửa hàng tiện ích, bán kính không quá 1km
 Cơ hội cho các nhà đầu tư, ưu đãi giảm 3% khi khách hàng mua từ 2 lô trở lên.
 Liên hệ chính chủ: 0397 767 830 để được tư vấn cụ thể!
",27/08/2022,Tin thường,batdongsan_so_com_vn_1673805900.803784, 5,,,,, 5
"5,6 tỷ VNĐ",Đường Đội cấn phường Đội Cấn, 56m2," ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui="""" historic"";="""" mso-ansi-language:="""" vi'bÁn="""" nhÀ="""" ĐỘi="""" cẤn="""" ,="""" gẦn="""" Ô="""" tÔ,="""" 56mx="""" 4="""" tẦng,mt="""" 7m,chỈ="""" 5,6="""" tỈ="""" span="""" p="""" class=""MsoNormalSPANinherit"",serif;"" historic""'="""">VỊ TRÍ ĐẮC ĐỊA  ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui="""" historic"";="""" mso-ansi-language:="""" vi'giỮa="""" phỐ="""" ĐỘi="""" cẤn,="""" ba="""" ĐÌnh="""" spanspaninherit"",serif;="""" historic""'-="""" nhÀ="""" 3="""" mẶt="""" thoÁng="""" -="""" 10m="""" ra="""" oto="""" trÁnh="""" –="""" spanspan="""" vi'="""">NHÀ + Tầng 1: Phòng khách, bếp, wc. + Tầng 4: Phòng thờ và sân phơi. XIN LIÊN HỆ : 0853541669 EM HOAN .
",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805902.749579, 3, 5, 4, 4,, 7
6 tỷ VNĐ,Hoàng Đạo Thành, 44m2,"+ Trung tâm Phố Hoàng Đạo Thành - Thanh Xuân, gần Chung Cư Five Star, tiện ích bạt ngàn.+ Vị trí đẹp, ô tô tránh nhau, ô tô vào nhà. Nhà 2 mặt thoáng trước sau phòng nào cũng có cửa sổ.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.   LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805909.4416761,,,, 5,,
"10,8 tỷ VNĐ","NGÕ CHƠ KHÂM THIÊN, ĐỐNG ĐA, HÀ NỘI", 52m2,"
    
BÁN NHÀ NGÕ CHỢ KHÂM THIÊN - CẦN BÁN RẤT RẤT GẤP - KINH DOANH - GIÁ 10.8 TỶ


 
 
 LÔ GÓC +Ô TÔ TRÁNH + ĐOẠN KINH DOANH ĐẸP NHẤT NGÕ CHỢ   100M RA ĐƯỜNG XÃ ĐÀN
MÔ TẢ :
TẦNG 1: CỬA HÀNG  + KHÁCH + BẾP + VS
Tầng 2 : Phòng Khách + 1PN + VS
Tầng 3 : 2PN + VS
Tầng 4: Phòng Thờ + Sân Phơi


 
SỔ ĐỎ CHÍNH CHỦ
Liên hệ: 0949500686
Tôi Phương Mua Nhà Giá Rẻ!

",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805912.415721,,,, 4,, 3
"5,5 tỷ VNĐ","hoàng mai , hà nội", 78m2,"7 Bán nhà Hoàng Mai, Phố Trương Định, 78m, 5,5tỷ, oto vào nhà, Kinh Doanh.+ Nằm ở vị trí đắc địa gần trường Đại Học Xây Dựng, Bách khoa, Kinh Tế Quốc Dân, Bệnh viện Bạch Mai, Bến Xe Giáp Bát, giáp Minh Khai, Giải Phóng, Tam Trinh, Trần Đại Nghĩa, Tân Mai… + Ô tô vào nhà, đường 2 ô tô tránh nhau, đi bộ ra Hồ Đền Lừ, gần chợ, trường mầm non, cấp 1,2, nhà thiết kế phù hợp cho 2 thế hệ.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội. ",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805915.8684824,,,,,,
"8,6 tỷ VNĐ",Quận Cầu Giấy, 60m2,"PHÂN LÔ TRUNG KÍNH. 10M RA PHỐ DT 60M2*5. GIÁ CHỈ 8.5 TỶ. CẦU GIẤY 0962745289.+Vị trí cực hiếm rất ít nhà bán, 10m ra phố TRUNG KÍNH.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+Nhà xây chủ tự xây, nội thất toàn gỗ xịn, đằng sau nhà là khoảng ô thoáng rộng, phòng nào cũng có cửa sổ.+ Sổ đỏ chính chủ vuông nét sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805918.339871,,,,,,
"49,5 tỷ VNĐ","HOÀNG CẦU, ĐỐNG ĐA, HÀ NỘI", 150m2,"
    BÁN ĐẤT LỘC NỞ HẬU SỔ ĐỎ HOÀNG CẦU -DT150m, MT7m - Ô TRÁNH DỪNG ĐỖ - 49.5 TỶ
 

THỬA ĐẤT CỰC ĐẸP VUÔNG VẮN NỞ HẬU. RẤT THÍCH HỢP CHO VIỆC XÂY MỘT TOÀ NHÀ HOÀNG TRÁNG


NẰM TRONG KHU DÂN CƯ VĂN PHÒNG ĐÔNG ĐÚC, NGÕ Ô TÔ TRÁNH. TIỀM NĂNG CỰC CAO

 

 
SỔ ĐỎ CHÍNH CHỦ
 
LIÊN HỆ: 0949500686
Tôi Phương Mua Nhà Giá Rẻ Hà Nội!

",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805922.8867328,,,,,, 7
