price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng,Mặt tiền
"6,6 tỷ VNĐ",ba la phú lãm hà đông, 56m2, 4,"HAI THOÁNG - VỈA HÈ - Ô TÔ TRÁNH - Ô TÔ VÀO NHÀ. Man Bồi Gốc Găng diện tích 56m, nhà 4 tầng , mặt tiền 4.3m giá rất tốt 6.6 tỷ có thương lượng Vị trí rất đẹp ngay gần Ba La, khu phân lô dân trí cao. Ô tô tránh, ô tô đỗ, ô tô vào nhà. -- Nhà Thiết kế hiện đại. + Tầng 1: Phòng khách + Để xe, bếp + WC. + Tầng 2: 1 Phòng ngủ nhỏ và Phòng khách rộng + WC, có thể thiết kế làm thành 1 phòng ngủ rộng + Tầng 3: 2 Phòng ngủ WC khép kín. + Tầng 4: Phòng thờ + Sân phơi. -- Sổ đỏ vuông đét, chính chủ cần bán gấp nên để giá mềm. liên hệ ngay để biết thêm thông tin, cũng như được hỗ trợ xem nhà miễn phí hotline 24/7 : 0844 6666 97",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823259.5253527, 8, 4, 3, Tây bắc, 4
,"Số 1 Trần Thủ Độ, Hoàng Liệt, Hoàng Mai, Hà Nội", 82.2m2,,"Tôi thiện chí bán căn hộ 2pn tòa Phương Đông Green Park Địa chỉ: số 1 Trần Thủ Độ, Hoàng Liệt, Hoàng Mai, Hà Nội Diện tích thông thủy: 82.2m2, Thiêt kế 2pn2wc  có 3logia nên nhà vô cùng thoáng mát View đắt giá công viên Yên Sở Gia đình đã hoàn thiện toàn bộ nội thất, và để lại cho khách Sổ hồng sở hữu lâu dài Tôi thiện chí bán nên giá có thể thương lượng. Liên hệ: Ms. Huyền xem nhà trực tiếp, thương lượng",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823260.5386436,, 2, 2, Đông,
"7,5 tỷ VNĐ",Hoàng Hoa Thám- Hà Đông, 35m2, 4,"Vị trí nhà nằm trung tâm Quận Hà Đông, gần trường tiểu học, THCS Nguyễn Trãi- Hà Đông, đi bộ vài bước chân ra chợ Hà Đông, cách bưu điện Hà Đông 200 m, nơi giao thương, kinh doanh buôn bán sầm uất, tiện ích ngập tràn …. + Diện tích 35m2, mặt tiền 5.5 m + Vị trí Đắc địa, ô tô đỗ cửa, phố Ô tô tránh, đường thông các ngả. + Nhà Đẹp, chủ tâm huyết thuê kỹ sư Thiết kế phong cách hiện đại, đầy đủ công năng, tổng 4 PN, Phòng Khach, Bếp, Phòng thờ, sân phơi... + Nội thất ĐẸP phong cách trẻ trung, thiết bị hiện đại... + Nhà thuộc khu an ninh tốt, dân trí cao. + Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 7.5 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                                 - Mr Luyện 0911779569 – Thổ cư Hà Đông. - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823261.5908275, 6, 4, 3, Đông nam, 5
,cầu Diễn, 40m2,,40,25/05/2022,Tin thường,batdongsan_so_com_vn_1673823262.5243304,,,,,
6 tỷ VNĐ,"Đường Đức Giang, Phường Đức Giang, Long Biên, Hà nội", 51m2, 5,"51m2, 5T Nhà Phố Đức Giang, Long Biên, Ngõ Thảm Nhựa, Ô Tô Vào, giá 6 tỷ +Tầng 1 : Phòng khách,bếp ,wc +Tầng 2,3,4 : Mỗi tầng 2 phòng ngủ rộng + Wc +Tầng 5 : Phòng thờ,khu phơi giặt đồ,để cây cảnh Nhà đẹp, thiết kế hiện đại công năng sử dụng cho đại gia đình, gồm 6 phòng ngủ rộng,cầu thang giữa. Khu vực vip nhất Đức Giang, ngõ 2 ô tô tránh cạnh chung cư Bình Minh Garden,tiện ích ngập tràn. Thuận tiện đi ra đường Lý Sơn, Cầu Đông Trù, Ngô Gia Tự hay Thượng Thanh. Sổ đẹp, pháp lý rõ ràng, sẵn sàng giao dịch.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823263.56754,, 6,,,
"2,83 tỷ VNĐ",Đường Trung Kính phường Yên Hòa, 82m2, 6,"Vị trí cực đẹp, vài phút ra phố , KINH DOANH sầm uất,  Giao thông cực thuận tiện, ngõ thông các ngả, Trung Kính , Hạ Yên , Tú Mỡ, Trần Kim Xuyến... Gần TTTM, Bệnh viện , Công Viên, Trường học các cấp. Khu vực Dân cư đông đúc, Dân trí cao, an sinh xã hội cực kỳ đảm bảo. xung quanh tiện ích ngập tràn. Nhà xây dựng chắc chắn, khung cột bê tông,Thiết kế cơ bản tầng 2 phòng, cầu thang, thang máy ở giữa. DT 82m2 x 6T, MT 5.1m  Tầng 1Thông sàn , Kinh Doanh, Wc. Tầng 2 Phòng Khách, Bếp,wc. Tầng 3,4,5 Mỗi tầng 2 PN, wc. Tầng 6 Phòng thờ ,sân phơi. Pháp lý chuẩn , sổ đỏ sẵn sàng giao dịch ngay. Giá 28.5 tỷ ( thương lượng). Liên hệ ngay để được tư vấn, hướng dẫn xem nhà hoàn toàn miễn phí.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823264.6596527, 3, 6, 5,, 5
8 tỷ VNĐ,"Trùng Quán, Ninh Hiệp, Gia Lâm", 80m2, 3,"- Nhà 3 tầng tự xây được khoảng 5-6 năm, tường móng chắc chắn, toàn bộ tường 20. - Thiết kế : Tầng 1: phòng khách, VS, bếp, Tầng 2: 3 PN, VS, Tầng 3 phòng thờ, phòng ngủ, sân phơi, - Đường trước nhà rộng rãi, ô tô tránh nhau, ra vào thoải mái, có thể kết hợp ở và kinh doanh. Cách đường Dốc Lã - Ninh Hiệp chỉ vài chục mét, 170m là ra quốc lộ 1A , giao thông cực thuận tiện. - Sổ đỏ vuông vắn, nở hậu nhẹ. Giao dịch ngay ",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823265.733788,, 4,,, 5
"6,6 tỷ VNĐ",Tứ Liên Tây Hồ, 39m2, 6,"Nhà mình trong ngõ nhưng chỉ cách 1 nhà thôi, nhà đẹp, có ô chờ thang máy. Khu vực nhiều tiện ích… Thiết kế & diện tích: 39m2 ( DT xây dựng 42m2), nhà gồm 6 tầng, mặt tiền 5m, đường trước nhà 5m. Giá bán 6.6 tỷ Tầng 1: Làm chỗ để xe, bếp Tầng 2,3,4,5: mỗi tầng 1 ngủ + vệ sinh  Đang cho người nước ngoài thuê, 14tr/tháng, sắp hết hạn hợp đồng thuê Tầng 6: Tum để máy giặt, sân phơi rộng, có dàn thái dương năng, dùng năng lượng mặt trời nên được dùng nóng lạnh quanh năm không tốn tiền điện bao giờ. Sổ đỏ vuông vắn luôn sẵn sàng giao dịch, kết hợp kinh doanh, giữ tiền. Để biết thêm thông tin chi tiết liên hệ Mr Chính 0792122918 ",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823266.9275928,, 4, 4,, 5
"3,5 tỷ VNĐ","Hà Trì, Hà Đông, Hà Nội.", 58m2, 4," # Bán nhà riêng đường Hà Trì, Hà Đông, Hà Nội. Nhà mới, thiết kế đẹp, Full trang thiết bị + nội thất, khu dân trí cao, về ở ngay, an sinh đỉnh, đảm bảo rẻ nhất khu, không có căn thứ 2. DT 58m, 4T, MT 6m, giá chỉ 3.5 tỷ. + Vị Trí: tiếp giáp Đa Sỹ và phường Nguyễn Trãi, tọa lạc sát đường Bà Triệu quận Hà Đông. + Tiện ích: gần Chợ Lớn Hà Đông, Sân Vận Động Hà Đông, nhiều TTTM, Ngân hàng, trường C1,2,3, khu vui chơi, trung tâm phố tiện ích. + Giao thông: vài bước chân ra mặt đường chính Bà Triệu di chuyển Tô Hiêu, Lê Hồng Phong, Chưng Nhị, Lê Lợi, Quang Trung, Phùng Hưng, 19/5, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà mới 4T khung cột chắc, có thể lên thêm tầng, thiết kế hiện đại các phòng thoáng sáng, công năng đầy đủ, Chủ mới mua về ở ngay hoặc cho thuê sinh lời đều hợp lý. + Có sân rộng để xe, sân tiểu cảnh vô cùng thoáng mát. + Giá chỉ 3.5 tỷ. + Sổ vuông đỏ đẹp đi thi hoa hậu, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823268.0336359,, 4,,,
"2,1 tỷ VNĐ",Mạc Thị Bưởi - Hà Nội, 45m2,,"-Vị trí đắc địa phố Mạc Thị Bưởi - Hai Bà Trưng, An sinh thì khỏi bàn tận dụng mọi tiện ích của lien hoàn các tổ hợp chung cư như Hòa Bình city, Time City….. cách đúng vài bước chân là  ra đường oto vài phút là  ra mặt phố lớn, -Giao thông thuận tiện đi, Kim Ngưu, Nguyễn Khoái, Lạc Trung, Yên Lạc, Quỳnh Mai, Quỳnh Lôi, Vĩnh Tuy, Thanh Nhàn; nhà gần UBND Phường Thanh Lương, THCS Hai Bà Trưng, khu đô thị Time city, tập thể Quân Y 108, aeon Mall Long BiênThừa hưởng mọi tiện ích của time city cũng như khu chung cư Hòa Binh , thuộc khu đã phân lỗ an sinh cực tốt dân trí cao_Nhà chủ tự thiết kết hợp lý ,khung cột cực kỳ chắc chắn- Xung quanh tiện ích đầy đủ, điện đường trường trạm đủ cả chả thiếu thứ gì - Sổ đỏ giêng chính chủ. - Giá chào 2.1 tỷ (có thương lượng).Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Phương châm làm việc :- Bán nhà bằng cái tâm và cái tầm.- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý    ",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823269.191537,,,,,
