price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số toilet
,Thái Thịnh - Thịnh Quang - Đống Đa, 58m2, 5, 5, 5,"+Chủ đã mua được nhà mới nên bán gấp nhà Phố Thái Thịnh, 56m2, 5T, MT 5m, nhỉnh 5 tỷ.+Trung tâm quận Đống Đa, thông sang nhiều đường lớn: Nguyễn Trãi, Đường Láng, Tây Sơn.+Vị trí đắc địa, 5 Phút ra Ngã Tư Sở, gần bện viện, trường học các cấp và chợ.+Nhà mới đẹp, nội thất cao cấp, khách mua xách vali về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824319.41262,,,
970 triệu VNĐ/m2,"Chính chủ bán nhà vị trí đẹp phố Hàng Mành, P.Hàng Gai, Hoàn kiếm; 970tr/m2; 0913231180", 46m2,,,,"Chính chủ bán nhà vị trí đẹp phố Hàng Mành, P.Hàng Gai, Hoàn kiếm; 970tr/m2; 0913231180  – Diện tích: 46m2; Ngang: 4m Dài: 15m .  – Giá bán: 970 triệu/m2  – Nhà xây 8 tầng,cách hồ hoàn kiếm 2 km . Tiện kinh doanh khách san , ngân hang , thẩm mỹ viện..., có thang máy, thiết kế 7 phòng khép kín  – Nhà ngay trung tâm phố cổ, cạnh chợ Hàng Da, cách Hồ Hoàn Kiếm 2m  – Khu vực dân cư đông đúc, an ninh tốt, tiện ích đầy đủ   - Giá bán: 970 triệu/m2  - Khách có nhu cầu liên hệ chính chủ: A Võ – 0913231180       http://www.sanbatdongsanviet.com.vn",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824320.4498448,,,
"6,95 tỷ VNĐ",Kiến Hưng- Hà Đông, 60m2,, 5,,"Bán nhà Liền kề Kiến Hưng, 60m, 5 tầng, ô tô tránh, kinh doanh sầm uất, vỉa hè đá bóng Cần tiền bán gấp nhà Mipec Kiến Hưng, nhà đẹp dân xây chắc chắn với 5 tầng rộng, nội thất hiện đại, có vỉa hè kinh doanh, đường trước nhà ô tô tránh, khu rất ít nhà bán. Xung quanh nhà đầy đủ tiện ích gần chợ Mậu Lương,ngân hàng, siêu thị, bệnh viện,biến xe bus rất gần. Khu vực an ninh tuyệt đối, đường thông hè thoáng phù hợp các loại hình kinh doanh. Giao thông vô cùng thuận lợi gần các Khu đô thị lớn Xa La, Thanh Hà, Văn Phú, Phú Lương,…hàng xóm Đa Sỹ và Thanh Trì. Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 6.95 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824321.5130012,,,
9 tỷ VNĐ,Quang Trung- Hà Đông, 40m2,, 5,,"Mặt phố Vip, vỉa hè đá bóng, Quang Trung, Hà Đông, 40m, 5 tầng, kinh doanh đỉnh Cần tiền bán gấp em mặt phố trung tâm vip nhất Hà Đông, đoạn đẹp nhất kinh doanh tấp nập ngày đêm. Nhà thiết kế phù hợp vừa ở vừa kinh doanh đầy đủ công năng, có vỉa hè rộng 10m kinh doanh gì cũng ra tiền. Nhà nằm ở trục chính di chuyển đi đau cũng thuận lợi xuống yên Nghĩa, cắt ngang các phố Lê Trọng Tấn, lên Văn Quán, cạnh hông Vạn Phúc xuôi xuống Văn Phú,…. Xung quanh nhà dân cư đông đúc ngày đêm, đầy đủ tiện ích, mặt phố đẹp nhất Hà Đông cực hiếm nhà bán mà giá lại tốt nhất thị trường. Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 9 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824323.183953,,,
9 tỷ VNĐ,Quang Trung- Hà Đông, 40m2,, 5,,"Mặt phố Vip, vỉa hè đá bóng, Quang Trung, Hà Đông, 40m, 5 tầng, kinh doanh đỉnh Cần tiền bán gấp em mặt phố trung tâm vip nhất Hà Đông, đoạn đẹp nhất kinh doanh tấp nập ngày đêm. Nhà thiết kế phù hợp vừa ở vừa kinh doanh đầy đủ công năng, có vỉa hè rộng 10m kinh doanh gì cũng ra tiền. Nhà nằm ở trục chính di chuyển đi đau cũng thuận lợi xuống yên Nghĩa, cắt ngang các phố Lê Trọng Tấn, lên Văn Quán, cạnh hông Vạn Phúc xuôi xuống Văn Phú,…. Xung quanh nhà dân cư đông đúc ngày đêm, đầy đủ tiện ích, mặt phố đẹp nhất Hà Đông cực hiếm nhà bán mà giá lại tốt nhất thị trường. Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 9 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824324.280026,,,
"6,95 tỷ VNĐ",Kiến Hưng- Hà Đông, 60m2,, 5,,"Bán nhà Liền kề Kiến Hưng, 60m, 5 tầng, ô tô tránh, kinh doanh sầm uất, vỉa hè đá bóng Cần tiền bán gấp nhà Mipec Kiến Hưng, nhà đẹp dân xây chắc chắn với 5 tầng rộng, nội thất hiện đại, có vỉa hè kinh doanh, đường trước nhà ô tô tránh, khu rất ít nhà bán. Xung quanh nhà đầy đủ tiện ích gần chợ Mậu Lương,ngân hàng, siêu thị, bệnh viện,biến xe bus rất gần. Khu vực an ninh tuyệt đối, đường thông hè thoáng phù hợp các loại hình kinh doanh. Giao thông vô cùng thuận lợi gần các Khu đô thị lớn Xa La, Thanh Hà, Văn Phú, Phú Lương,…hàng xóm Đa Sỹ và Thanh Trì. Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 6.95 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824325.555609,,,
23 tỷ VNĐ,Đường Trần Vỹ phường Mai Dịch, 99m2, 7, 5, 5,"Nhà Mặt Phố ,Mặt ngõ  Ô TÔ tránh,Kinh Doanh sầm uất, giao thông vô cùng thuận tiện. Thuộc khu vực Dân cư đông đúc, Tập trung nhiều dân VP, CTY, Gần các trường ĐH ,Cao Đẳng ,THPT các cấp  Tiện  ích ngập tràn. An Ninh , An Sinh Xã Hội cực tốt. Nhà thiết kế cơ bản , xây dựng chắc chắn. chủ xây cực tâm huyết. DT 99m2 x 5T ,MT 7.6m  Tầng 1 Thông sàn Kinh Doanh , WC. Tầng 2 Phòng Khách + Bếp. Tầng 3, 4 mỗi tầng 2 PN khép kín. Tầng 5 Phòng Thờ , Sân phơi. Pháp lý rõ ràng, sổ đỏ sẵn sàng giao dịch ngay. Giá 23 tỷ ( thương lượng ) Liên hệ ngay để được tư vấn,hướng dẫn xem nhà hoàn toàn miễn phí.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824326.9259436,, 1, 3
,"Chính chủ bán nhà C4 có 2 gác sép 190 Lĩnh Nam, P.Vĩnh Hưng, Hoàng Mai, 5xxtr; 0969319686", 35m2,,,,"Chính chủ bán nhà C4 có 2 gác sép 190 Lĩnh Nam, P.Vĩnh Hưng, Hoàng Mai, 5xxtr; 0969319686  Diện tích: 35m2  Thiết kế: 2 phòng ngủ, 1wc Nhà lô 2. Đường rộng vào tận nhà. Giấy tờ viết tay. Giá cả hợp lý phù hợp vợ chồng trẻ.  Xem video nhà tại đây: https://www.youtube.com/shorts/pRHUbLpKW6k
 
Giá bán 5xx triệu  Liên hệ: 0969319686        http://www.sanbatdongsanviet.com.vn",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824328.221478,,,
5 tỷ VNĐ,Giáp Nhất - Nhân Chính, 58m2, 5, 5, 5,"+Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn: Nguyễn Trãi, Đường Láng, Lê Văn Lương.+Vị trí đắc địa, 5 Phút ra Ngã Tư Sở, gần bện viện, trường học các cấp và chợ.+Nhà mới đẹp, nội thất cao cấp, khách mua xách vali về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824329.5708694,,,
10 tỷ VNĐ,Đường A phường Đa Tốn, 60m2,, 1, 1,"CHÍNH CHỦ CẦN BÁN NHÀ Ở 24 XÃ ĐA TỐN , GIA LÂM , TP HÀ NỘI     - Diện tích :nhà 4 mặt sàn , mỗi sàn 60m2 . Mặt tiền rộng 4,8m  - Nhà hướng Đông Nam , oto vào đến cửa cách cao tốc Hà Nội Hải Phòng 500m.  - Khu dân cư đông đúc , an ninh đảm bảo .  - Đường rộng giao thông thuận tiện .  - Tiện ích xung quanh đầy đủ : gần chợ , trường học , bệnh viện ,...  - Pháp lý rõ ràng , minh bạch  - Giá : 10 tỷ (có thương lượng )    - Liên hệ : 0856058323",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824330.787612,, 5, 1
