price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Hướng,Mặt tiền,Số toilet
"22,7 tỷ VNĐ","Nguyễn Lương Bằng, Đống Đa, Hà Nội", 75m2,"Bán nhà mặt phố Nguyễn Lương Bằng, Đống Đa 75m2, 3 tầng, mặt tiền 5m, giá chào 22.7 tỷ có thương lượng.MẶT PHỐ VÍP - LÔ GÓC - 2 LÀN Ô TÔ - KINH DOANH ĐỈNH - VỈA HÈ - HIỆU SUẤT CHO THUÊ CỰC CAO 60TR/T - KIẾM CẢ TỶ 1 NĂM.+ Nhà thiết kế 3 tầng với đầy đủ công năng sử dụng.+ Tầng 1. Thông sàn cho thuê Kinh doanh 60TR/T trước dịch.+ Tầng2+3. Khu vực gia đình sinh sống+ Tổng 3 phòng ngủ+ WC.+ Giao thông cực kỳ thuận tiện, thông đi khắp các quận, phố phường: Hai Bà Trưng, Đống Đa, Thanh Xuân, Hà Đông, Cầu Giấy.....+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ: Mr. Hoan 0877.855.777 Zalo, Viber, Fb ( Hoan Biệt thự, Liền Kề, Mặt Phố, Khách Sạn). Miễn phí xem nhà đến tư vấn pháp lý.+ Fanpage: https://www.facebook.com/Estatebds.vn",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830334.0070963, 6, 3, 3,, 5, 3
"4,7 tỷ VNĐ","Phan Đình Giót, Hà Đông, Hà Nội", 50m2," # Bán nhà Phan Đình Giót, Hà Đông, ngõ ô tô qua, dân trí, an ninh an sinh đỉnh, DT 50m, 4T, Giá chỉ 4.7 tỷ. + Vị trí tiện ích, thuận tiện tại đường Phan Đình Giót, La Khê, Hà Đông. + Gần KĐT Ngô Thì Nhậm, 20m ra chợ Bông Đỏ, gần trường THPT Trần Đăng Ninh, trung tâm phố tiện ích. + Đường ô tô qua, ngõ thông rộng, giao thông vô cùng thuận lợi. + Nhà 4 tầng chủ tự xây khung cột chắc, thiết kế cơ bản PK. Bếp, WC tổng có 4 phòng ngủ, đầy đủ công năng. + Giá chỉ 4.7 tỷ. + Sổ vuông đỏ đẹp, chính chủ pháp lý chuẩn. + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830335.056288, 3, 4, 4,,,
"13,6 tỷ VNĐ","Chùa Láng, Đống Đa, Hà Nội", 90m2,"Bán nhà phố Chùa Láng, Đống Đa 90m2, 4 tầng, giá chào 13.6 tỷ có thương lượng.Ô TÔ VÀO NHÀ - THOÁNG TRƯỚC SAU - DÂN TRÍ ĐẲNG CẤP - VỈ HÈ - GARA Ô TÔ.+ Nhà thuộc khu phân lô của cán bộ, dân trí cao, an ninh tốt, cách phố 50m, gần Vincom Nguyễn Chí Thanh, bệnh viện Phụ Sản Trung Ương.+ Trước nhà là sân chơi rồng, tầm nhìn và không gian thoáng đãng.+ Trước của nhà ô tô quay đầu, giao thông thuận lợi gần phố Chùa Láng, Nguyễn Chí Thanh, Láng....+ Thiết kế phù hợp nhiều mục đích sử dụng :- Tầng 1 : Gara , khách , bếp.- Tầng 2,3 : tổng 6PN , có 1 phòng khép kín , 2wc/tầng.- Tầng 4 : Phòng thờ , sân phơi rộng.+ Sổ đỏ nở hậu đẹp.+ Liên hệ: Mr. Hoan 0877.855.777 Zalo, Viber, Fb ( Hoan Biệt thự, Liền Kề, Mặt Phố, Khách Sạn). Miễn phí xem nhà đến tư vấn pháp lý.+ Fanpage: https://www.facebook.com/Estatebds.vn",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830336.368778, 6, 4, 5,, 5, 5
,"Kính Nỗ, Uy Nỗ, Đông Anh", 134m2,"+ Bán thửa đất thôn Kính Nỗ, Uy Nỗ, Đông Anh, Đường trục rất rộng, Ô tô tải tránh cực thoáng.- Vị trí quá đẹp, sát trung tâm Thị Trấn Đông Anh, bệnh viện Bắc Thăng Long, trường học, chợ, xung quanh tiện ích ngập tràn chẳng thiếu thứ gì.- Thửa đất tiêu chuẩn, không một chút lỗi lầm, xây nhà thì hết ý, còn đầu tư thì không cần phải nghĩ, lại thêm việc Đông Anh sắp lên quận, khi đó giá trị đất nhà mình sẽ tăng chóng mặt.- Sổ đỏ đẹp, pháp lý minh bạch, sẵn sàng giao dịch.- Giá chào rất đẹp 5xtỷ, có thương lượng nhiệt tình.- Liên hệ: 0915126183 để được gặp chính chủ xem đất và đàm phán.",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830337.523687,,,,, 5,
"6,8 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 92m2,"☑️Bán căn nhà 5 tầng, 92 m đất,✔️mặt tiền 6.25 m nằm trên đường Sơn Đồng - Song Phương nối Trạm Trôi từ đường 32 ra Đại lộ Thăng Long.Đặc điểm:- Đất 92 m, mặt tiền 6.25 m, xây 4,5 tầng.- Tầng 1,2 thông sàn kinh doanh- Tầng 3, 4: Thiết kế mỗi tầng 2 ngủ khép kín- Xã Sơn Đồng là xã làng nghề kinh doanh đồ gỗ, đồ thờ sơn son thiếp vàng nổi tiếng nhất Miền Bắc, xuất hàng đi từ bắc vào nam.- Giá bán: nhỉnh 12 tỷ. Có hỗ trợ vay ngân hàng 70%, miễn lãi 12 tháng.- Sổ đỏ lâu dài, sẵn sàng giao dịch. Địa chỉ: Đường Song Phương, Sơn Đồng, Hoài Đức, TP. Hà Nội.✔️Phòng Bán Hàng Chủ Đầu Tư: 0779.27.37.87",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830338.6499803,,,,,,
"16,5 tỷ VNĐ","đường Phúc Tân, phường Phúc Tân", 96m2,"SIÊU PHẨM MẶT PHỐ QUẬN HOÀN KIẾM - 171TR/M2 - GIÁ CỰC TỐT - KINH DOANH TẤP NẬP - THÔNG SỐ VÀNG - SỔ NỞ HẬU - HÀNG SIÊU SIÊU HIẾM Sổ cực đẹp, nở hậu, khuôn đất vuông vắn, thông số vàng. Giá chào cực hấp dẫn, chỉ cần khách thích là CHỐT. Nhà trước kinh doanh nhẹ nhẹ cũng được vài chục triệu/tháng. Vị trí kinh doanh đắc địa, xung quanh toàn Đại Gia Phố Cổ đi xế xịn và xây tòa nhà ở rất đẹp, khu vực có nhiều nhà xây Homestay cho người nước ngoài và dân có điều kiện thuê ở khu vực Hoàn Kiếm. Chủ nhà đã lớn tuổi nhưng còn rất minh mẫn, nay muốn bán đi để chia cho các con. Vị trí: nằm gần ngã tư Phúc Tân - Thanh Yên, cách Bờ Hồ chỉ 3 phút chạy xe, gần cầu Chương Dương, chợ Long Biên, chợ Đồng Xuân, khu ăn uống và mua sắm thì nhất Hà Nội rồi. Giao thông thuận tiện đi các ngả. Nhà xây hơn 20 năm đã hết khấu hao, xác định bán đất tặng nhà nhưng vẫn ở tốt, chủ mới về chỉ cần tút tát lại chút là ở vẫn ngon lành hàng chục năm nữa. Diện tích 96m2, xây làm 3 tầng: + Tầng 1: Cửa hàng + 2 phòng ngủ + sân + bếp và WC. + Tầng 2: 1 phòng ngủ rộng + WC. + Tầng 3: Phòng thờ rất rộng và thoáng đãng. Nhà rất phù hợp cho khách mua xây kết hợp vừa ở vừa cho thuê, xây toà nhà văn phòng, nhà hàng, khách sạn, homestay... ===> Nói chung tầm này đã là đất mặt phố ở Hoàn Kiếm mà giá chào chỉ khoảng 171tr/m2 thì vô cùng hiếm rồi. Sổ đỏ cất két, sẵn sàng giao dịch. Giá: 16,5 tỷ Liên hệ: E. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian).",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830339.7360764,, 3, 3,,,
"2,19 tỷ VNĐ","Bắc Từ Liêm, Hà Nội.", 33m2,"+ Diện tích: 33m2. + 3 phòng ngủ, 1 phòng khách, 1 bếp, 1 phòng thờ, 4 Wc. + Vị trí đẹp gần UBND quận Bắc Từ Liêm mới ở đường Văn Tiến Dũng. + Sổ đỏ đẹp, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà: 0963 005 936.",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830340.8092046,,,,,,
"19,5 tỷ VNĐ","Gamuda Gardens, Hoàng Mai, Hà Nội", 119m2,"Chính chủ bán nhà đầu hồi Gamuda Gardens. DT 119m2*3T, giá 19.5 tỷ.+ Cần bán liền kề đầu hồi, đang ở, nội ngoại thất cao cấp, khu Gamuda Gardens, nơi có mật độ cây xanh cao nhất khu, đường đi bộ, tiểu cảnh, chỗ tập thể dục, công viên nội khu, chỗ đỗ xe ô tô thoải mái, an ninh tuyệt đối, có bốt bảo vệ trước nhà, hệ thống camera giám sát, hàng xóm tốt nhiệt tình, khu dân trí cao.+ Diện tích đất 119 m2.- Tầng 1: Gồm gara ô tô, phòng khách, phòng ăn và bếp, nhà vệ sinh lớn.- Tầng 2: Gồm phòng ngủ master, phòng thay chứa và quần áo, phòng chiếu phim nghe nhạc, karaoke tại gia, nhà vệ sinh riêng biệt, rộng rãi cho từng phòng.- Tầng 3: Gồm 2 phòng ngủ, phòng thờ.+ Liên hệ: A Thành, 0912525146",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830341.8935707,,,,,,
"2,5 tỷ VNĐ","đường xuân đỗ, cự khối, long biên, hà nội", 38m2,"Xuân Đỗ Chủ nhà Nam tiến cần bán gấp DT 38m2 x 5 tầng – 2,5 tỷ.+Mô tả *Nhà được thiết kế 5 tầng nằm trên trục ngõ to xe tải nhỏ vào cửa. Khu dân cư ổn định quy hoạch, từ trung tâm thương mại EON đi khoảng 1km, sáng ECOPARK mất vài phút,bám trục cầu Thanh trì và Vĩnh tuy thuận tiện giao thông buôn bán.*nhà gần trường học c1,2,3 gần chợ.*hàng xóm đông đúc thân thiện, có cổng đi chung, an ninh đảm bảo tuyệt đối. + Thiết kế Tầng 1 : phòng khách + bếp + wc.Tầng 2.3.4 : mỗi tầng 1 phòng ngủ + wc.Tầng 5 : phòng thờ và sân phơi.-Sổ đỏ đẹp sẵn sàng giao dịch Lh M.r Tiến 0965991583 chuyên nhà thổ cư Hà Nội khách xem tư vấn nhiệt tình & miễn phí 24/24",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830342.9617128, 5, 5, 4,, 4, 4
900 triệu VNĐ,"Thôn Khoang Mái, Xã Đồng Trúc, Huyện Thạch Thất, TP Hà Nội", 60m2,"- Lô đất có vị trí vô cùng tuyệt vời, có 1 không 2 tại Hòa Lạc - Cách đại lộ Thăng Long 300m, cách vành đài khu công nghệ cao 50m , đường trục chính 10m, đường nội khu 5m đi lại vô cùng thuận tiện - Bán kính 3km đầy đủ tiện ích : khu tổ hợp y tế, chợ, trường từ mầm non đến đại học, trung tâm mua bán - Gần điểm dừng tuyến đường sắt metro số 5 : tiềm năng khai thác, gia tăng giá trị lô đất là cực lớn - Thế đất cao, vượng khí, đón tài đón lộc - Nở hậu. đón tiền tài ................... Liên hệ ngay em Hoàng để được tư vấn miễn phí và được tặng vàng khi mua đất!!!!",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830344.377011, 5,,, Đông bắc, 5,
