price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet
"4,858 tỷ VNĐ",Lê Văn Lương, 124m2,,,, 10,"Bán nhanh căn góc 04, 124m2, ,3ngủ đủ nội thất, view hồ đẹp nhất Ban Cơ yếu Chính Phủ.+ Thiết kế: 3 ngủ 2wc, 2 logia, dt thông thủy 123.3m2.View tầng đẹp không bị ồn ào, nắng chiếu, bụi.+ Nội thất liền tường, không gian sáng tạo tùy theo phong cách của khách hàng +  Nhà đã có sổ,pháp lý rõ ràng.Chi tiết liên hệ: 0912 388 305 (gặp Yến)",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783355.6831343, 3, 2
7 tỷ VNĐ,108 Nguyễn Trãi, 114m2,,,,,"Bán gấp CC cao cấp , 114m2, KING PALACE 108 Nguyễn Trãi, Thanh Xuân 0566188130 3PN+2WC Vị trí đẹp hưởng trọn tiện ích Royal City, Ga Cát Linh Hà Đông, thuận tiện di chuyển Láng, Trường Chinh, Tây Sơn, 5p di chuyển đến BV Bạch Mai, Đại Học Bách Khoa, Y, Xây Dựng, Kinh Tế... + Tiện ích bể bơi, gym, trường học quốc tế, công lập, TTTM, đường dạo bộ. + Dự án đã được nghiệm thu PCCC, hệ thống báo cháy địa chỉ (báo chính xác từng căn hộ), an ninh tuyệt đối, lễ tân, bảo vệ trực 24/24, hệ thống điện thoại đến từng căn, mở thang bằng thẻ từ. + Full nội thất: sàn gỗ, tủ bếp, điều hòa âm trần, thiết bị vệ sinh nhập khẩu, tiêu chuẩn khách sạn, căn hộ nghỉ dưỡng CAM KẾT RẺ HƠN THỊ TRƯỜNG 700TR Liên Hệ Trực Tiếp: 0566188130",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783357.0225515, 3, 2
"24,5 tỷ VNĐ","đường Nguyễn Khang, Yên Hòa, Cầu Giấy", 50m2, Đông nam, 6, 6, 8,"Nhà 2 mặt phố Nguyễn Khang, tiếp giáp đầu Vũ Phạm Hàm, Hạ Yên. Vỉa hè rộng ô tô tránh, kinh doanh.Thiết kế:+ Nhà thiết kế 7 tầng thang máy, mặt tiền rộng 6m vuông đẹp.+ Tầng 1 thông sàn, quầy lễ tân.+ Tòa nhà tổng 13 phòng khép kín full đồ nội thất, dòng tiền ổn định, thang máy nhập khẩu.+ Sổ đỏ cất két sẵn sàng giao dịch.+ Giá nhỉnh 2x tỷ. Hotline: 0915885164",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783358.3569825, 10, 10
"3,8 tỷ VNĐ","Đường Đại lộ Thăng Long, An Khánh, Hoài Đức", 45m2,, 4, 3, 4,"
    Cực Hiếm , Có 1 0 2 Chỉ 3,x tỷ Bán gấp Nhà riêng An Thọ, An Khánh, Hoài Đức, Ô tô, Kinh doanh, 45m 4 tầng giá người nhà.
- Vị trí cực đỉnh, Kinh doanh, Cho thuê. Đang phát triển từng ngày, Gần Aeon Mall Hà Đông, Vincom Mega Mall Vinsmart City..
- Giao thông thuận tiện, Đường Đại lộ Thăng long, Đường TL 72, Đường vành đai 3.5, Bến xe Mỹ Đình,
- Tiện ích Xung quanh Trường học cấp 1,2,3. Học viện chính sách.
- Sổ Hoa Hậu CC, Sang tên nhanh gọn.
- Giá thương lượng. Thiện chí
Xem nhà gọi Mr Đức Nhà Đẹp. Rất nhiều Nhà Đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783359.5428085, 4, 3
2 tỷ VNĐ,Hoàng Liệt, 56m2,,,,,"Về quê ăn Tết cần bán gấp căn 2 ngủ 56m2 tại dự án Phương Đông Green Park Căn đã full nội thất chỉ việc dọn đồ đến ở,nhà đã có sổ đỏ Giá 2 tỷ có thương lượng cho khách thiện chí LH  Trường : 0984474965",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783360.549118,,
25 triệu VNĐ,"Đường Biên Giang, Biên Giang, Hà Đông", 101m2,, 6,,,"Chính chủ sổ đỏ cất két sẵn sàng giao dịch cần bán đất thổ cư Biên Giang, Hà Đông Diện tích 101,5m, sổ đỏ chính chủ, mặt tiền 6m có thể chia 2 lô, ngõ nông rộng ô tô vào đất cách 30m là ra đường oto tránh, cách 200m ra hồ An Thắng, Biên Giang Thuận tiện giao thông sinh hoạt, khu dân cư văn minh, an ninh tốt Giá bán: 25 triệu/m2 chấp nhận môi giới chung gian hoa hồng cao khi giao dịch thành công Liên hệ chính chủ: 0899642222",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783361.9044924,,
,"Đường Mễ Trì Thượng, Mễ Trì, Nam Từ Liêm", 38m2,, 4, 3, 4,"Chính chủ bán nhà 4 tầng tại Mễ Trì Thượng, Nam Từ Liêm, HN. - Diện tích : 38m2, mặt tiền 4,5m, nhà 4 tầng gồm 3 phòng ngủ + 1 phòng khách bếp + 1 sân thượng  - Nhà gần phố, gần ô tô, khu dân cư sầm uất, vô cùng thuận tiện giao thông - Giá bán: nhỉnh 4 tỷ (miễn môi giới trung gian) Liên hệ chính chủ: 0325601217",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783362.861929, 3, 3
22 tỷ VNĐ,"Đường Trương Định, Tương Mai, Hoàng Mai", 140m2,, 8, 10, 1,"
    - Vị trí giao của nhiều tuyến phố lớn: Bạch Mai, Minh Khai, Tân Mai, Kim Đồng… Chỉ vài phút là ra đường Giải Phóng, rất gần bến xe Giáp Bát, Bến xe Nước Ngầm...
- Nhà mặt phố ngay ngã ba tiện kinh doanh đủ thứ, đường rộng vỉa hè ô tô tránh tiện lưu thông các ngả.
- Vị trí căn nhà mặt tiền đẹp, diện tích rộng, khách mua đầu tư xây cho thuê văn phòng hoặc kinh doanh tuyệt đỉnh...
- Xung quanh cực nhiều văn phòng, các tiện ích, chợ, trung tâm thương mại…
- Hiện tại nhà đang cho thuê kinh doanh 50 triệu/tháng.
",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783366.2669368, 3, 1
"6,45 tỷ VNĐ",Vũ Tông Phan, 47m2,, 3,, 5,"Mô tả. + Nhà lô góc 3 mặt thoáng ngõ thông tứ tung kinh doanh Nail, Tóc, cho thuê …. + Nhà thiết kế hiện đại, cầu thang giữa, mỗi tầng 2 phòng ngủ. Tầng 1: Phòng khách và bếp. Tầng 2,3,4 : Mỗi tầng 2 phòng ngủ. Tầng 5: Phòng thờ và sân phơi. Sổ đỏ đẹp, pháp lý chuẩn,sẵn sàng giao dịch. Liên hệ trực tiếp A Tuyên 0969945393 để được tư vấn và xem nhà miễn phí.",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783370.0542147, 5,
"1,98 tỷ VNĐ","Đường Vĩnh Ninh, Vĩnh Quỳnh, Thanh Trì",,,, 1, 3,"NHÀ CHỦ TỰ XÂY, Ô TÔ ĐỖ GẦN, NGAY NHÀ VĂN HÓA VĨNH NINH. DT 40M, 3 TẦNG MT 5M. Vị trí rất gần trung tâm chợ, trường các cấp. Ngõ trước nhà ba gác tránh xe máy. Khu dân dân cư đông, hàng xóm thân thiện. Hiện trạng là nhà 3 tầng, khách mua về chỉ cần sang sửa, thêm lớp áo mới là đẹp long lanh. Thiết kế phù hợp, đầy đủ công năng. Tầng 1 khách, bếp wc, tầng 2, 3 tổng 3 phòng ngủ, phòng thờ sân phơi. Sổ đỏ nét căng, nở hậu, sẵn sàng giao dịch ",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783370.872001, 3, 3
