price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"5,5 tỷ VNĐ","Ngõ 136 Cầu Diễn, Bắc Từ Liêm", 80m2, 7,"Ô TÔ ĐỖ CỬA- CHIA LÔ- XÂY CCMN- GẦN ĐẠI HỌC CÔNG NGHIỆP + Ngõ 136 Cầu Diễn là ngõ 2 chiều ô tô tránh, ngõ to nhất đường Cầu Diễn, gần đại học Công nghiệp, đại học Thành đô, khu vực tập trung đông sinh viên, nhu cầu thuê nhà cực cao. + Nhà bán 3 tầng, ô tô đỗ cửa, ở ngay hoặc phá đi xây chung cư mini, chia 2 lô đều đẹp. + Nhà bên cạnh mới xây 7 tầng thang máy. + Sổ đỏ cực đẹp, chủ bán nhà gấp để trả nợ. * Liên hệ em Bình để xem ngay, cơ hội đầu tư không đến nhiều lần.",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787903.772885, 3, 3, 3,,
"7,3 tỷ VNĐ","Đường Lãng Yên, Bạch Đằng, Hai Bà Trưng", 42m2, 4,"
    Bán nhà phân lô Lãng Yên - Quận Hai Bà Trưng - Ô tô đỗ cửa.42m2 x 5 tầng. 7.3 tỷ có thương lượng.Cam kết ảnh thật đúng nhà - đúng thông tin - không thu bất kỳ phí gì cả kể giao dịch thành công.Liên Hệ Em Thảo: 0878833366Sổ đỏ chính chủ - pháp lý chuẩn.Miễn tiếp trung gian môi giới.
",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787905.286835, 5, 5, 3, 4,
5 tỷ VNĐ,"Đường Giáp Bát, Giáp Bát, Hoàng Mai", 68m2, 4,"_ Nhà đẹp ở hoặc cho thuê. _ Nằm trung tâm Giải Phóng và Giáp Bát, Kim Đồng, Trương Định, ĐH Xây Dựng, Bách Khoa, Bệnh viện Bạch Mai, trường các cấp, chợ, TT mua sắm, bãi xe. _ Xây kiên cố, đầy đủ công năng. _ Sổ đỏ chính chủ sẵn sàng giao dịch._ Gọi ngay Ms Phòng 0382787723 để hỗ trợ tư vấn, công chứng, xem nhà.",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787906.7519188,, 3,,,
"6,8 tỷ VNĐ","93 Láng Hạ, Đống Đa, Hà Nội", 86m2,,"🏠 Thiết kế căn hộ khoa học:- Căn hộ 2PN- 86m2,2Wc, 2 ban công- Bố trí công năng phòng hợp lý- Thiết kế căn hộ đón ánh sáng tự nhiên- Hệ thống ban công cây xanh với hệ thống tưới nước tự động📝 Pháp lý dự án rõ ràng:- Bàn giao sổ hồng lâu dài cho cư dân- Chủ đầu tư Vinaconex uy tín với nhiều dự án lớn- Tiến độ thi công đảm bảo bàn giao Quý IV/2022✔️ Chính sách bàn hàng tốt nhất:- Chiết khấu 2.7% với khách hàng thanh toán sớm- Hỗ trợ LS 0% trong 6 tháng, tối đa 70% GTCH- Thanh toán linh hoạt☘️ Tiện tích đẳng cấp- Trung tâm thương mại hiện đại phục vụ cư dân- Bể bơi bốn mùa rộng 800m2, bể sục, Gym, Spa, Phòng Golf 4D- Bốn hầm gửi xe thông minh- Bàn giao nội thất cao cấp🌍 Green Diamond – Tuyệt Tác Xanh Giữa Lòng Nội Đô Lịch SửLiên hệ phòng bán hàng CĐT:☎️ Khách hàng vui lòng liên hệ: 0963 023 895",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787908.0404685,,, 2, 2, Đông bắc
6 tỷ VNĐ,"Đường Bạch Mai, Cầu Dền, Hai Bà Trưng", 60m2, 10,"Nhà 4 tầng, mặt tiền 10m. Nhà lô góc, đường ô tô 4 chỗ lùi vào cửa. Cách phố 10m, đường thông thoáng. Vị trí đẹp thoáng, có thể kinh doanh được. Nhà gần ngã 3 Tạ Quang Bửu, Bạch Mai, Gần các trường Đại Học và trường PTTH….. Nhà diện tích sổ đỏ chính chủ 60m2, xây 4 tầng khung cột bê tông chắc chắn, mặt tiền rộng 10m. Có thể chia làm 2 nhà được. Nhà thiêt kế có vị trí để lắp thang máy Thiết kế : -Tầng 1 :Phòng khách + bếp + Vệ sinh, khu để xe máy - Tầng 2,3 : 4 phòng ngủ có vệ sinh các phòng đầy đủ tiện nghi - Tầng 4 : Phòng thờ + Sân phơi Nhà nằm vị trí gần phố đi lại thuận tiện, gần các trường Đại Học lớn như Bách Khoa, Kinh tế Quốc Dân, Xây Dựng….Gần phố cổ đi lại sinh hoạt rất thuận lợi. -Giá : 6 tỷLiên hệ xem nhà Ms : Thanh : ĐT : 0528301753.",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787909.22131, 4, 3, 4, 5,
"4,99 tỷ VNĐ","Đường Nguyễn Đình Hoàn, Nghĩa Đô, Cầu Giấy", 43m2, 4,"

Bán nhà đẹp phố Nguyễn Đình Hoàn Cầu Giấy 43m2 5tầng 4.95tỷ gần ôtô 

NHÀ MỚI - NỘI THẤT ĐẸP - KHÁCH XÁCH VALI VỀ Ở NGAY - ĐÓN TẾT DƯƠNG LỊCH
- Vị trí đẹp gần phố, khu vực tam giác vàng giáp danh các quận, Tây Hồ, Ba Đình, Cầu Giấy, Từ Liêm... Tiện ích phong phú, giao thông thuận tiện thông sang các tuyến phố Nguyễn Đình Hoàn, Hoàng Quốc Việt, Bưởi, Lạc Long Quân, Phùng Chí Kiên, Nghĩa Đô, Võ Chí Công... đi đâu cũng tiện.
- Nhà mới KCBT chắc chắn xây dựng hiện đại tầng 2 phòng:
+ Tầng 1: Phòng khách, bếp, WC
+ Tầng 2: Thông sàn
+ Tầng: 3+4: mỗi tầng 2 phòng ngủ+wc
+ Tầng 5: phòng thờ + sân phơi

- Sổ đỏ chính chủ , pháp lý chuẩn. Sẵn giao dịch
Chú ý: Nhà đất cuối năm giao dịch cực nhanh xem ngay kẻo lỡ!
1. LH: A. Hoàng Anh 0934266313 (tư vấn, lọc nhà, xem nhà miễn phí)
2. Link kho nhà đẹp Quận Cầu Giấy: 
https://www.facebook.com/465097751010307
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường. Nhà đầu phố Nguyễn Đình Hoàn, Hoàng Quốc Việt:  1. Bán nhà đẹp 43m2 5tầng 4.95tỷ gần ôtô phố Nguyễn Đình Hoàn Cầu Giấy Link chi tiết: https://m.facebook.com/story.php?story_fbid=786584859170557&id=100034571516619  2. Bán nhà đẹp 55m2 4tầng 5.63Tỷ mặt ngõ gần ô tô Phố Nguyễn Đình Hoàn Cầu Giấy Link chi tiết: https://m.facebook.com/story.php?story_fbid=786594579169585&id=100034571516619  3. Bán nhà 37m2 6tầng 5.35tỷ mặt ngõ ôtô phố Nguyễn Đình Hoàn Cầu Giấy Link chi tiết: https://m.facebook.com/story.php?story_fbid=786599649169078&id=100034571516619  4. Bán nhà 37m2 5tầng mặt tiền 4.3m 5.2tỷ ngõ ôtô phố Hoàng Quốc Việt Cầu Giấy Link chi tiết: ...
",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787910.5866575, 5, 4, 4, 4,
"6,8 tỷ VNĐ","Đường Đặng Văn Ngữ, Nam Đồng, Đống Đa", 40m2,,"Cần bán nhà Phố Đặng Văn Ngữ 40m2 –Ô TÔ ĐỖ CỬA  Nhà mới xây bê tông cốt thép chắc chắn 4 tầng  Diện tích 40m2, 4 tầngngõ trước nhà rộng thoáng ô tô 4 chỗ đỗ cữa  Giá 6.8 tỷ  Tầng 1 Phòng khách ,bếp , WC  Tầng 2,3mỗi tầng 1 ngủ và WC  Tầng 41 phòng . Sân phơi  Liên hệ Phong 0982993568 Là vị trí trung tâm quận Đống đa nên rất nhiều tiện ích đối diện bên nhà là trường mầm non cách nhà 100m là trường cấp 3 Kim Liên, quanh khu vực có nhiều cây xanh vườn hoa và hồ Nam Đồng rất tốt cho việc rèn luyện sức khỏe ",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787911.9669664, 4, 4, 4, 3,
3 tỷ VNĐ,"Đường Chợ Khâm Thiên, Trung Phụng, Đống Đa", 32m2, 4,"+ Bán nhà ngõ Chợ Khâm Thiên, Đống Đa dt: 32m2, 4 tầng, mt 4.8m, chỉ 3 tỷ  + Vị trí lô góc thoáng, sáng, đẹp nhà hiếm trong khu vực, hàng xóm thân thiện, thông ra Hồ Ba Mẫu, công viên Thống Nhất, gần chợ, trường học + Nhà 4 tầng chủ tự xây dựng kiên cố và chắc chắn, trước nhà sân rộng để xe thoải mái, ngõ 3 gác, chỉ dọn về là ở ngay.  + Sổ đỏ chính chủ, sẵn sàng giao dịch  + Liên hệ chị tiết: Đức Anh, 0332618488, hỗ trợ nhiệt tình để khách hàng có thể mua nhà ưng ý. ",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787913.3771918, 4, 50, 3, 3,
"4,5 tỷ VNĐ","Đường Định Công, Định Công, Hoàng Mai", 106m2,,"- Bán căn góc 3PN tầng 9 siêu vip phố Định Công tòa nhà T&T 120 Định Công chuẩn bị thông Vành Đai 2,5.- Tòa nhà cao 26 tầng, căn hộ từ tầng 6 - 26, có trung tâm thương mại, 3 hầm để xe thông thoáng, Xung quanh nhà là kiền kề biệt thự, dân trí cao & Đã đi vào ở từ T1/2022.- Vị trí siêu đẹp: 1 bước ra đường Vành Đai 2.5, chỉ 2 bước ra đường Giải Phóng để kết nối vào trung tâm, chỉ 2Km để ra các bệnh viện lớn Bạch Mai, Thanh Nhàn, BV Bưu Điện, và gần ngay các trường ĐH lớn: ĐH Bách Khoa, ĐH Xây Dựng, ĐH Kinh Tế Quốc Dân, cách Aeon Mall Giải Phóng 500m.- Tổng DT: 106m².- Thiết kê: 3PN, 2VS, 2 ban công.- Hướng ban công: Đông Nam.- Nội thất: Đã làm full nội thất đẹp đẽ mới tinh (Như hình), rèm 2 lớp các phòng, 3 điều hòa Funiki, tủ bếp Flexfit, bếp từ Giovani, hút mùi, bộ bàn ăn 6 ghế, sopha, bàn trà, tủ lạnh Toshiba, máy giặt Toshiba, bình lọc nước Kangaroo, Cây lau nhà thông minh, 3 bộ chăn ga gối đệm Everon, 3 tủ quần áo, Cầu là, giàn phơi thông minh, kệ giày...- Ảnh trong bài đăng: Ảnh thực tế.",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787914.8941345, 10, 20, 3, 2, Đông nam
"4,4 tỷ VNĐ",Khương Đình, 40m2, 4,"+ Vị trí đắc địa, ngõ nông, trung tâm Quận Thanh Xuân, cách Ngã Tư Sở gần 1km, khu vực dân trí cao, dân cư đông đúc, quy hoạch ổn định, giao thông cực kỳ thuận tiện.  + Giao thông: Thông với các đường Khương Trung, Vũ Tông Phan, Thượng Đình, Nguyễn Trãi, Trường Chinh, Lê Trọng Tấn, Hoàng Văn Thái, Cù Chính Lan, Vương Thừa Vũ, Tô Vĩnh Diện,...  + Thiết kế nhà 5 tầng, mặt tiền 3,2m , 3 phòng ngủ rộng, phòng thờ sân phơi.  + Sổ đỏ vuông đẹp, chủ nhà thiện chí sẵn sàng giao dịch.  + Liên hê Trường: 0373680538 để được xem nhà và tư vấn miễn phí.",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787916.0809593, 5, 4, 4, 4,
