price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số toilet,Lộ giới
"11,2 tỷ VNĐ",Hoàng Văn Thái Thanh Xuân Hà Nội, 55m2, 6, 6,"Bán nhà PL Quân Đội Hoàng Văn Thái,Thanh Xuân.Hà Nội Diện tích 55m2 x 6 tầng thang máy, ô tô vào nhà . full nội thất chủ nhà đã lắp hết điều hòa âm tường và bình nóng lạnh, trước nhà đường rộng ô tô chạy thông qua nhàThiết kế hiện đại, phong cách Châu ÂuTầng 1:gara ô tô,phòng ngủ.Tầng 2 Phòng khách sang trọng, Phòng ngủ, vệ sinhTầng 3,4: Mỗi tầng 2 phòng, vệ sinh từng tầngTầng 5: 1 phòng ngủ rộng, bếp.Tầng 6: Phòng thờ, phòng máy, sân phơiVị trí đắc địa, nằm trong khu Phân lô Quân Đội, thông các ngả, sát Hoàng Văn Thái, Trường Chinh  Cách ngã tư Sở 500m, đường ô tô trải nhựa. SĐCC, Giá bán 11.2 tỷ có thương lượng, bao sang tên liên hệ chị Yến ĐT:0702138238",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831852.8927805, Đông bắc, 3, 5, 5
11 tỷ VNĐ,An hưng, 83m2,,,"Bán liền kề khu đô thị An Hưng, Hà Đông giá tốtDiện tích sổ đỏ 82,5m2, xây nhà xây thô và hoàn thiện mặt ngoài, mt 5m hướng ĐN vị trí đẹp gần công viên. Giá đầu tư. Liên hệ Việt Hoài tell. 097.8080.326",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831853.8870633,,,,
17 tỷ VNĐ,Hà Nội, 96m2,,,"Bán gấp nhà Khuất Duy Tiến kinh doanh đỉnh nhất, lô góc, ô tô tránh, vỉa hè to, thang máy xịn - LH: 0856 968 656.Vị trí đắc địa nằm trên đường Khuất Duy Tiến khu dân trí cao, xung quanh có các tòa nhà cao ốc văn phòng: - Chung cư cao cấp như Vinhomes Trần Duy Hưng, chung cư Tân Hoàng Minh, Thăng Long Number One Viglacera… - Ngay cạnh là công viên Thanh Xuân, giao thông vô cùng thuận tiện đi các ngả, thuộc khu phố quy hoạch ổn định.Thiết kế đẹp nhà lô góc 96m2 xây kiên cố 1 tầng hầm và 9 tầng nổi.Có giấy phép PCCC, toàn bộ các thiết bị và các loại cửa của tòa nhà làm bằng chất liệu tốt.Rất phù hợp cho việc kinh doanh văn phòng, khách sạn, nhà hàng kết hợp ở.Sổ đỏ chính chủ sẵn sàng giao dịch.Giá bán chỉ 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.LH: Mr. Bình 0856 968 656 24/7.",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831854.7762692,,,,
17 tỷ VNĐ,Hà Nội, 62m2,,,"Bán gấp nhà mặt phố Trường Chinh, Hà Nội - LH: 0856 968 656.Mặt phố lớn - Siêu kinh doanh - Vỉa hè đá bóng - Thang máy, nội thất xịn ở ngay.Diện tích 62m2, 6 tầng, mặt tiền 6 m.Giá chỉ 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Mô tả: + Nhà nằm ngay vị trí đắc địa phố Trường Chinh, vỉa hè 7m thoải mái để xe cộ, đậu ô tô. + Nhà măt phố, siêu kinh doanh, cho thuê không cần quảng cáo, doanh thu 560 triệu/năm. + Nhà chủ xây được 2 năm, còn như mới. - Tầng 1: Cửa hàng kinh doanh/gara, phòng khách, WC. - Tầng 2, 3, 4, 5: Các phòng, WC. - Tầng 6: Phòng thờ + Sân phơi. + Sổ đỏ chính chủ. - Liên hệ em Bình để được tư vấn và hỗ trợ xem nhà miễn phí 24/7.Mobile: 0856 968 656.",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831855.8574028,,,,
"4,1 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội.", 45m2, 4, 4," # Bán nhà riêng Trần Phú, Hà Đông, nhà đẹp xây mới về ở ngay, an ninh, an sinh đỉnh. DT 39/45m2T1, 4T. Giá chỉ 4.1 tỷ.  + Vị trí tuyệt đẹp giao thoa giữa quận Hà Đông, Thanh Xuân và Từ Liêm.  + Nằm trong quần thể TTTM Big C, KĐT Mỗ Lao, KĐT Văn Quán, xung quanh tập trung nhiều trường Đại Học, phố trung tâm tiện ích và tiềm năng.  + Ngõ thông rộng, xe ba gác tránh SH, vài chục mét ra mặt phố, gần nhiều bãi gửi xe ô tô.  + Nhà chủ tự xây mới 4 tầng khung cột chắc chắn, thiết kế phong cách hiện đại, có khe thoáng, có sân để xe, các phòng ốc thoáng sáng.  + Giá 4.1 tỷ có ra lộc cho khách thiện trí.  + Sổ đỏ vuông chính chủ, phong thủy đẹp.  + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 tỷ.  # LH SĐT: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831856.9395287,,,,
"1,696 tỷ VNĐ",T3 Đông Dư -Gia Lâm -Hà Nội, 32m2,,,"- Chính chủ cần bán vài lô đất đẹp giá rẻ tại thôn 3 Đông Dư –Gia Lâm giá từ 1.696tr đến 1.864tr.- Đường trước đất rộng 4m trải nhựa sạch, đẹp nối từ đường gom đê Long Biên- Xuân Quan vào trung tâm Đông Dư thông UBND xã, chợ và trường học THCS.- Đất vuông vắn có lô nở hậu, giá cực tốt phù hợp để đầu tư hoặc ở đều hợp lý, xung quanh hàng xóm thân thiện, an ninh tốt giao thông thuận tiện vào nội thành cực dễ dàng.- Hiện tại chỉ còn 3 lô, 2 lô diện tích 32m2 giá 53tr/m2, 1 lô diện tích 34m2 giá 55tr/m2, nhanh tay sở hữu lô đất đẹp khi giá còn rất tốt.- Sổ đỏ chính chủ, pháp lý chuẩn.Liên hệ xem đất và biết thêm thông tin chi tiết E.Nhật :0982852808, 0948584888",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831857.992751,, 4,, 4
"5,8 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội.", 50m2, 5, 4," # Bán nhà riêng Ngô Quyền, Hà Đông, ô tô vào nhà, 2 mặt thoáng trước sau, DT 50m2, 5T, MT 4m giá chỉ nhỉnh 5 tỷ. + Vị trí đẹp, 2 mặt ngõ thoáng trước sau, ô tô nhỏ đỗ của, ô tô vào nhà, ô tô dừng đỗ xe chạy vòng quanh. + Nhà chủ tự xây chắc chắn còn mới về ở ngay phù hợp ở, kinh doanh nhỏ. + Gần Học viện Chính Trị cạnh KĐT Văn Khê, gần viện Đa Khoa Hà Đông, cách Bưu Điện Hà Đông, Cầu Trắng, Chợ Lớn Hà Đông vài phút chạy xe, trường, chợ, ngay gần, trung tâm phố tiện ích, giao thông đi lại thuận lợi. + Khu phân lô dân trí cao, cơ sở hạ tầng đồng bộ, hàng xóm thân thiện, an ninh tuyệt đối. + Giá 5.8 tỷ ( thương lượng trực tiếp ). + Sổ đỏ vuông, phong thủy đẹp sẵn sàng giao dịch. # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831859.0728612,,,,
"31,5 tỷ VNĐ",Võ Chí Công, 62m2, 5,,"Chủ cần tiền đầu tư muốn nhượng lại căn nhà tại mặt phố Võ Chí Công, Cầu Giấy. Vị trí cực đẹp ngay đầu phố đoạn gần Hoàng Quốc Việt và chợ Bưởi. Vỉa hè rộng thênh thang cùng mặt tiền siêu lớn. Kinh doanh mọi loại hình.- Thiết kế thông sàn các tầng. Hiện chủ nhà đang cho thuê 30tr/thángDiện tích: 62m2 x 5 tầng, mặt tiền 9mGiá: 31.5 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)NHÀ MẶT PHỐ TRUNG TÂM - OTO DỪNG ĐỖ - VỈA HÈ RỘNG - MẶT TIỀN LỚN - KDLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831860.263676,, 9,, 36
"15,5 tỷ VNĐ",đường Lê Trọng Tấn phường Dương Nội Quận Hà Đông Hà Nội, 132m2,,,"Lê Trọng Tấn: 132m, Mt 10m, 15.5 tỷ.+ Vị trí đắc địa, Mặt phố Lê Trọng Tấn, gần Quang Trung, Văn Phú, chợ Hà Đông, vỉa hè cực rộng, giao thương khắp ngả.+ Sổ đỏ đẹp, vuông vắn, chính chủ.+ Giá: 15.5 tỷ. Có thương lượng.Liên hệ: Anh Ngọc Ký: Nhà Mặt phố, Tòa nhà, Khách sạn và Biệt thự.",15/09/2021,Tin thường,batdongsan_so_com_vn_1673831861.3188534,,,,
84 tỷ VNĐ,"Nguyễn Văn Huyên, Dịch Vọng, Cầu Giấy, Hà Nội", 300m2, 4, 5,"+ Chính chủ cần bán nhà biệt thự KĐTM Nghĩa Đô, Cầy Giấy: 300m2, 4 tầng, mặt tiền 14m, 84 tỷ. + Vị trí đắc địa, Quận Cầu Giấy, gần trung tâm thủ đô, đường vành đai 2 và 3, kết nối giao thương đi các tỉnh thành. + Nhà 4 tầng, thiết kế hiện đại sang trọng, chủ tự xây hoàn thành trong 4 năm, tiện nghi như khách sạn, thang máy, nội thất nhập khẩu Châu Âu, HT lưu điện 24/7 khi mất điện ngót 1tỷ, ... + Không gian xanh thư giãn hưởng thụ, tiểu cảnh, cây xanh gần 200m2 xung quanh nhà, hàng xóm toàn quan lớn, doanh nhân. Chủ nhà là tổng giám đốc công ty lớn, nhiều biệt thự nên bán bớt.  + Sổ đỏ vuông phân lô, chính chủ.  + Giá: 84 tỷ. Có thương lượng.  Liên hệ: Anh Ngọc Ký: Nhà Mặt phố, Tòa nhà, Khách sạn và Biệt thự.",18/09/2021,Tin thường,batdongsan_so_com_vn_1673831862.362062,, 14, 3,
