price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số toilet
"2,85 tỷ VNĐ","Xuân Phương, Phương Canh", 32m2, 3, 5, 3,"Oto đỗ cửa, ngõ thông Tầng 1 : Phòng khách, bếp, vệ sinh Tầng 2 : Phòng ngủ, vệ sinh Tầng 3 : Phòng ngủ, vệ sinh Tầng 4 : Phòng ngủ, vệ sinh Tầng 5 : Sân phơi siêu rộng Tiện ích xung quanh đầy đủ, sổ đỏ chính chủ Cách 200m ra trường mầm non, cấp 1,2. Cách 100m ra chợ  Khu vực dân trí cao, an ninh tốt. o",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828813.2557936,, 4, 4
2 tỷ VNĐ,Nam Từ Liêm, 32m2,,,,"+ Kinh doanh buôn bán các mặt hàng rất tốt. ——————————– + Các công trình nổi bật ở khu như: Đường Trịnh Văn Bô nối với khu đô thị Vân Canh (Hoài Đức) với đường vành đai 3.5 đang hoàn thiện và hàng loạt dự án bất động sản của Hoài Đức. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà ngay: 0963 005 936. ",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828814.3369415,,,
15 tỷ VNĐ,Hà Nội, 72m2,,,,"Bán nhà đường Văn Cao Ba Đình - LH: 0856 968 656. + Nhà 7 tầng thang máy, 72 m2 thiết kế hiện đại, kiến trúc Pháp, mặt tiền 5.4 m. + Ngõ rộng 8 m, ô tô tránh, đỗ cửa vào nhà thoải mái, 100% nội thất nhập khẩu. + Khu vực VIP toàn cán bộ trung ương, dân trí cao, an ninh tốt, nhiều tiện ích.Thiết kế:Tầng 1: Gara ô tô, phòng khách + wc.Tầng 2, 3, 4, 5, 6: Các phòng đẹp + wc. Tầng 7: Phòng Thờ + Sân Phơi.Sổ đỏ chính chủ.Giá chào bán chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Xin gọi ngay 24/7 Mr. Bình - LH: 0856 968 656.",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828815.4239938,,,
"5,577 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168m2,,, 3,"🔥 CHỈ TỪ 33TR/M2 SỞ HỮU NGAY CĂN HỘ TẠI DỰ ÁN UDIC WESTLAKE (TÂY HỒ) ⚡CHÍNH SÁCH CỰC KHỦNG (Thời gian có hạn)   - Thanh toán trả góp dài hạn 12-24 tháng không lãi suất.   - Chiết khấu thanh toán nhanh đến 4% giá trị căn hộ.   - Hỗ trợ từ ngân hàng thủ tục nhanh chóng, ưu đãi lãi suất trong vòng 20 năm.   - Tặng ngay 5 chỉ vàng cho 10 người đầu tiên sở hữu căn hộ.   - Cam kết giá tốt nhất khu vực Tây Hồ.✅TỔNG QUAN DỰ ÁN   - Chủ đầu tư: Tổng công ty ĐTPT Hạ tầng Đô thị UDIC   - Địa chỉ: Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội    - Mật độ xây dựng: Khối đế: 40%, khối tháp: 18%   - Mật độ thang máy: 2 căn hộ/thang máy/sảnh   - Tiêu chuẩn bàn giao: Full thiết bị điên, full thiết bị vệ sinh, điều hòa, nóng lạnh, tủ bếp, sàn gỗ   - Giá: Giao động từ 33tr/m2 – 47tr/m2Hotline: 0977568223",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828821.2992764, Đông,, 2
"5,35 tỷ VNĐ",Phố Nhổn, 36m2, 4, 6,,"- Diện tích 36m2 , 6 tầng , mặt tiền 4m giá chào 5.35 tỷ . -Gần phố , giao thông thuận tiện . -Chủ nhà xây cực tâm huyết vô cùng kiên cố ép 8 cọc nhồi chống động đất cấp 9, vật liệu cách âm, thang máy loại xịn nhất, nội thất hạng sang. Ở VIP đáng đồng tiền thúng thóc. đang hoàn thiện nội thất. 👉 Thiết kế hiện đại, mỗi tầng một phòng rộng bát ngát. Chủ nhân mới nếu có nhu cầu lên thêm vài tầng thoải mái. -Sổ đỏ chính chủ sẵn sàng giao dịch ngay. -Liên hệ Em Phương 24/7 ",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828822.6964445,,,
5 tỷ VNĐ,"Kho trung tâm, Vĩnh Quỳnh, Thanh Trì, Hà Nội.", 76.8m2, 4,,," Vị trí đắc địa, giao thông thuận tiện, nằm cách QL1A khoảng 1km, cách Trường quản lý cán bộ quản lý nông nghiệp và phát triển nông thôn 500m. Đường vào 2 ô tô tránh nhau.
 Thông tin lô đất:
- Diện tích: 76,8M2
- Hướng đất: Đông hơi chếch Nam
- Nở hậu. Mặt tiền 4.63m. Hậu 5.18m.
",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828824.3550465, Đông,,
"5,7 tỷ VNĐ",Đông Ngạc, 67m2, 5, 5,,"
    
- Làng cổ Đông Ngạc - Bắc Từ Liêm diện tích 60/67m2 , 5 tầng , 5m mặt tiền , giá chào 5.7 tỷ .
- View trường học , 10m ra ô tô tránh , vuông vắn ,hội tụ đầy đủ vượng khí .
- Ngõ rộng thẳng tắp , khi cần ô tô lùi tận cửa nhà .
- Nhà xây chục năm chắc chắn lắm, phía sau view trường học thoáng vĩnh viễn, thiết kế tầng 2 phòng, tổng có 5 phòng ngủ rộng.


- Chủ nhà công chức, gia đình thành đạt, bán nhà để mua nhà mặt phố vừa ở vừa kinh doanh.
- Liên hệ Em Phương 24/7

",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828825.5024722,,,
,Ngọc Thụy- Long Biên, 81m2, 5,,,"GĐ có mảnh đất A02, khu quy hoạch đất đấu giá X5 Trung Oai - Tiên Sơn- Đông Anh, Mặt đường - kinh doanh được ngay và nối với đường đường liên khu vực ở điểm đầm Vân Trì, lô đất có diện tích ~ 81m2. Với vị trí này thích hợp với việc đầu tư lâu dài, năm 2023 Đông Anh lên Quận, cơ hội tăng giá là rất cao - cách trung hành chính Đông Anh ~1km, mảnh đất chính chủ, bán không qua môi giới, nên giá rẻ ~2 giá), lần đầu giao bán- cần tiền bán ngay trong đầu tháng 4/22, qua tg này có thể sẽ không bán nữa, cảm ơn mọi người quan tâm đọc tin. ",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828826.7869952,, 10,
"4,29 tỷ VNĐ","Ngõ Phố Hàm Nghi, Nam Từ Liêm, Hà Nội", 40m2, 4, 5, 4,"✅  Bán nhà mới cực đẹp. Duy nhất 1 căn xây độc lập tại Nguyễn Đổng Chi, Hàm Nghi, Nam Từ Liêm. Nhà ôtô đậu cách cửa 15m. Nhà mặt tiền rộng, view thoáng. Nhà gần các khu trung tâm tiện đi lại và sinh hoạt. Diện tích nhà 40m2, 5 tầng.   --------------------------------------------------------------------- ✔️ Thiết kế, công năng: Kiến Trúc Tân cổ điển. - Diện tích: 40m2, 5 tầng mới đẹp. - Tầng 1: Phòng khách. Phòng bếp + ăn. - Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ Master + Vệ sinh. - Tầng 5: Phòng thờ, sân phơi, kho, Sinh hoạt ngoài trời. ✔️ Vị trí: - Nhà xây 1 căn nằm vị trí rất đẹp, trước nhà cực thoáng. Cửa nhà cách mặt phố và ngõ ôtô vào 15m, không gian thoáng, nhiều ánh sáng tự nhiên. - Giao thông thuận tiện, ngõ thông Hồ Tùng Mậu sang Nguyễn Đổng Chi, Hàm Nghi. Gần Vinhomes Hàm Nghi, thừa hưởng nhiều tiện ích cao cấp xung quanh. Gần trung tâm y tế, ủy ban, trường ĐH, … ✔️ Nội thất: - Được gia chủ đầu tư cực đẹp: Các cửa, cầu thang là gỗ Lim Nam Phi. Sàn gỗ Malaysia chống trơn trượt, sang trọng và đẳng cấp. - Thiết bị vệ sinh Toto nhập khẩu. Nóng lạnh Picenza, nhôm kính Vietphap, trang trí đèn chùm, trần thạch cao sang trọng. ✔️  Pháp lý: Sổ đỏ chính chủ và đầy đủ.   ✔️  Giá thương lượng chỉ: 4.28 tỷ (bao sang tên). ✔️  Liên hệ trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG, MG)",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828827.9169717,, 3, 4
"1,2 tỷ VNĐ",Xã Cổ Đông, 70m2, 5,,,"SIÊU PHẨM -60-75m2, full thổ cư,sẵn sổ từng lô-Đường trục 10m, đường nội khu trước mặt 8m 3 ô tô thoải mái di chuyển-Dáng đất vuông , mặt tiền 5m, thuận tiện cho xây dựng-Cách QUỐC LỘ 21 2km, cách TRỤC HỒ T Y - BA VÌ 200m, giao thông thuận tiện-Cách Trường Sĩ quan Lục QUân 1,5km, ĐH FPT, hồ Đồng Mô 4km-Tiện ích xung quanh: trường học, chợ dân sinh, nhà văn hóa, sân bóngLIÊN HỆ NGAY em Hoàng để được tư vấn miễn phí và có được mức giá tốt nhất!!",31/03/2022,Tin thường,batdongsan_so_com_vn_1673828829.0140474, Đông nam, 8,
