price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"5,5 tỷ VNĐ",Hà Trì- Hà Đông, 48m2,,"Bán nhà Hà Trì, Hà Đông 48mx5T ô tô vào nhà ngõ thông hơn 5 tỷ Bán nhà riêng tại Hà Trì, Hà Đông, diện tích rộng 48m thiết kế 5 tầng hiện đại, ô tô vào nhà, ngõ thông tứ tung, nội thất hiện đại gần phố chỉ việc đến ở. Nhà gần chợ lớn Hà Đông giáp Khu đô thị Văn Quán, trường học các cấp, ngân hàng, bệnh viện, bưu điện, siêu thị. Thông các phố cổ Bà Triệu sang Tô Hiệu cắt Lê Lợi với Lê Hồng Phong vài bước ra Quang Trung. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 5.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800505.0644994, 5,,,,
70 tỷ VNĐ,Đường Thái Thịnh phường Trung Liệt, 165m2, 6,"Bán nhà 7 tầng Mặt Phố Thái ThịnhDT 163 m2, giá 70 tỷ. Tòa Nhà Văn Phòng vị trí đẹp nhất phố. 7 tầng thang máy, Hiệu suất cho thuê cao. Nhà thiết kế hiện đại, đầy đủ giấy phép xây dựng, PCCC. Thiết kế:  Tầng 1,2,3,4: thiết kế thông sàn kinh doanh. Tầng 5,6: mỗi tầng 3 phòng, vệ sinh. Tầng 7: phòng thờ , sân phơi. Diện tích 163 m2. Mặt tiền 6,5 m. Sổ đỏ đẹp sẵn sàng giao dịch. Chúng tôi còn rất nhiều nhà, mặt phố, mặt ngõ ô tô, tòa nhà văn phòng, khách sạn. Anh chị quan tâm, có nhu cầu mua bán nhà xin liên hệ để được tư vấn. Hotline: 0943.313.686. ",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800507.0766497, 7, 30, 10, 10,
"12,8 tỷ VNĐ",Đường Quang Trung phường Phú La, 72m2, 5,"Bán nhà Kinh doanh phân lô vỉa hè Văn Phú Hà Đông 72.5m 4 tầng mặt tiền 5m 12.8 tỷ Mô tả: + Vị trí Kinh doanh, cổng làng Văn La, mặt tiền 5m, kinh doanh vô địch.+ Nhà thiết kế cực kỳ hợp lý.- Tầng 1: Kinh doanh, Phòng Khách.- Tầng 2,3: 2 Phòng ngủ + WC.- Tầng 4: Phòng Thờ + Sân Phơi.+ Sổ đỏ sẵn sàng giao dịch.Gọi ngay em Tuấn Anh 0967380712",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800508.3781674, 4, 20, 4, 4,
"12,9 tỷ VNĐ",Hà Nội, 83m2,,"BÁN CCMN Mai Dịch, Cầu Giấy 83m 7 tầng Thang Máy 12,x tỷ- Siêu Phẩm CCMN Mai Dịch- Gần các Trường Đại Học Thương Mại, ĐH Sư Phạm, ĐH Quốc Gia..- Sổ đẹp như Hoa- Giá thương lượng- Sang tên nhanh gọnLiên hệ Đức Ong Thợ 0812212525 - 0898839292.Uy tín Hàng Đầu, Chăm chỉ Đồng hành Thành Công.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800511.9960227,,,,,
"4,1 tỷ VNĐ",Đường Lê Đức Thọ phường Mỹ Đình 2, 50m2, 4,"- Nhà Lô góc cực thoáng, tầng 2 phòng tràn ngập ánh sáng. Phía trên đổ tầng lên thêm thoải mái, móng 5 tầng.  Miễn trung gian, MG.
",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800513.4411561, 3, 2, 3,,
"6,1 tỷ VNĐ",Đường Nguyễn Chí Thanh phường Láng Thượng, 50m2, 6,"- Nhà cách mặt phố Nguyễn Chí Thanh 20m, cách mặt ngõ 157 Pháo Đài Láng 15m, ngõ ba gác thông Đường Láng. - Ngay cạnh phố, đi đâu cũng tiện - Nhà chủ xây tâm huyết, 5 tầng khung bê tông chắn, tầng 2 phòng rộng thênh thang. - Sổ đỏ chính chủ, pháp lý ràng sẵn nhà công chứng ngay - Giá bán: 6.15 tỷ, thương lượng cho khách thiện chí mua Anh/Chị liên hệ để xem nhà sớm (ƯU TIÊN CALL TRỰC TIẾP) Hoặc ADD ZALO để xem ảnh thửa đất!",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800515.051847, 5, 2, 7, 4,
"7,1 tỷ VNĐ",Khương Hạ, 50m2,,"+ Vị trí nhà đẹp, Gara ô tô tránh, mặt ngõ thông, cách Phố Vũ Tông Phan 40m, vừa ở vừa kinh doanh. - Diện tích rộng: 50m2, 5 Tầng dân xây mới. - Nhà thoáng trước sau tràn ngập ánh sáng. - Gần trường học Cấp 1,2,3 Khương Đình, chợ, bãi xe ô tô ngay sát nhà.+ Giá: 7.1 Tỷ( Có thương lượng).+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.LH: Em Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800520.5601182, 5,,,,
"12,9 tỷ VNĐ",Hà Nội, 83m2,,"BÁN CCMN Mai Dịch, Cầu Giấy 83m 7 tầng Thang Máy 12,x tỷ- Siêu Phẩm CCMN Mai Dịch- Gần các Trường Đại Học Thương Mại, ĐH Sư Phạm, ĐH Quốc Gia..- Sổ đẹp như Hoa- Giá thương lượng- Sang tên nhanh gọnLiên hệ Đức Ong Thợ 0812212525 - 0898839292.Uy tín Hàng Đầu, Chăm chỉ Đồng hành Thành Công.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800522.402189,,,,,
9 tỷ VNĐ,"93 Láng Hạ, quận Đống Đa, Hà Nội", 136m2,,"Nhận Booking Căn 3 Ngủ Góc, Penhouse đẹp nhất dự án Green Diamond - 93 Láng Hạ DT 136 m2 , 3 ngủ, 2 wc , 2 ban công , 1 logia.💰 Sổ đỏ lâu dàiCăn view hồ, ban công Đông NamTiện ích gồm  Trung Tâm Thương Mại, bể bơi vô cực, khu vui chơi cho trẻ, khu spa, gym, sảnh lễ tân 5 sao, phòng đọc sách, khu hoạt động công cộng,...Có sân vui chơi, công viên rất rộng. An ninh cực tốt.Nội thất bàn giao: Cơ bản cao cấpL.h: 0977 568 223",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800524.2821612,,, 3, 2, Tây bắc
"4,8 tỷ VNĐ",Đường Nguyễn Văn Linh phường Phúc Đồng, 50m2, 4,"Bán nhà Dân xây chắc chắn Nguyễn Văn Linh, Long Biên, Hà Nội, Gần chợ Phúc Đồng, Gần trường học các cấp, Trường Quốc tế + Nhà Gần đường lớn Nguyễn Văn Linh, Giao thông thuận tiện, đường thông các ngả Chu Huy Mân. Nguyễn Lam, Đàm quang Trung, Cổ Linh, Sân Golf 918 Phúc Đồng + Diện tích: 50m2 ",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800526.4962394, 5, 5, 6, 5,
