price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"3,9 tỷ VNĐ",Đường 800A phường Dịch Vọng,," - Căn 2 ngủ diện tích 77m2 - 3,4 tỷ - nhà nguyên thô, khách tự hoàn thiện. - Căn góc 3 ngủ diện tích 109m2 - 5,3 tỷ - nguyên thô  Tổ hợp chung cư duy nhất có khuôn viên cùng tiện ích đẳng cấp trung tâm thương mại, trường học, sân vườn, căn hộ cao cấp nằm trong nội đô. Trần Linh382"",serif;="""" color:="""" #050505;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-ansi-language:="""" vi'.="""" spanspantimes="""" roman""'381="""" (hỗ="""" trợ="""" tư="""" vấn,="""" xem="""" nhà,="""" thủ="""" tục="""" mua="""" bán="""" 24="""" 7).="""" span="""" p="""" class=""MsoNormalSPANTimes"" line-height:="""" 107%'=""""> ",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806917.1343749,,,,, 1,
15 tỷ VNĐ,Đường Xã Đàn phường Quang Trung, 52m2,"ĐƯỜNG Ô"",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'to="""" spanspan="""" yes'="""" spanspantimes="""">VÀO TRÁNH VỈA HÈ RỘNG THANG MÁY   52"",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'm="""" spanspantimes="""" yes'="""" x="""" 7="""" spanspan="""" vi'="""">tầng"",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes'="""" spanspan="""" yes;="""" mso-ansi-language:="""" vi'span="""" spangiá="""" spanspantimes=""""> 15tỷ, "",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'mt7.4m="""" spanspan="""" vi'="""" span="""" p="""" class=""MsoNormalSPANTimes"" yes'="""">Vị trí đẹp 2 đường ôtô 7 xây chắc chắn, hiện đại,  sẵn chỉ về ở "",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'-span="""" span="""" spanspantimes="""" yes'sổ="""" đỏ="""" chính="""" chủ="""" hoa="""" hậu,="""" ko="""" lỗi="""" lầm,="""" sẵn="""" sàng="""" giao="""" dịch="""" p="""" class=""MsoNormalSPANTimes"" yes'="""">Giá 15tỷ "",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'span="""" span="""" spanspantimes="""" yes'-="""" spanspan="""" vi'="""">.lienpham240473@gmail.com
",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806918.2872949,, 7, 7, 7, 7, 7
"2,6 tỷ VNĐ",xã Vĩnh Quỳnh, 50m2,"+ Bán nhà Vĩnh Quỳnh, Thanh Trì, Hà Nội+ Khu vực dân cư đông đúc, nằm ngay gần trường mới Trung học cơ sở Vĩnh Quỳnh, chợ sát nhà, tiện ích đầy đủ.+ Nhà xây mới đẹp, tổng 3PN, phòng khách, bếp ăn, phòng thờ, sân phơi và 3WC. Công năng sử dụng thoải mái cho gia đình 4, 5 thành viên.+ Sổ đỏ chính chủ nở hậu nhẹ, cất két, sẵn giao dịch.",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806919.308612,,,,,,
"4,8 tỷ VNĐ",Đường Thụy Phương phường Thụy Phương, 75m2,"+ Nhà dân xây 3 tầng kiên cố chắc chắn, vừa sơn sửa lại như mới. + Nhà rộng dãi 75 m2,  2 thoáng vinh viễn, đầy đủ công năng. + Vị trí đẹp, 10m ô tô đỗ, đi lại thuận tiện, vài bước ra mặt phố Thụy Phương ô tô tránh. Ngõ thông các ngả đường Thụy Phương. Khu dân cư văn minh lịch sự, tiện ích xung quanh không thiếu thứ gì. + Vị trí gần chợ Kẻ Vẽ, UBND, Công an phường Thụy Phương, 200m ra đường Đông Ngạc. 2km ra đường Phạm Văn Đồng, An Dương Vương, Hoàng Tăng Bí, Phố Tân Xuân, Phố Xuân Đỉnh, Bệnh viện Nam Thăng Long. Bán kính 3 Km gồm các trường Đại học: Đại học Tài nguyên và Môi trường, Đại học Mỏ, Đại học Y tế Công cộng, Học viện Tài chính... + Sổ đỏ đẹp, sẵn sàng giao dịch. ",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806920.556271,, 5, 3, 3, 2, 3
3 tỷ VNĐ,Đường Giải phóng phường Giáp Bát, 55m2,"Bán nhà mặt phố Giải Phóng, Hoàng mai, 45m2, 4T, nhỉnh 11 tỷ  Nhà xây thiết kế 4T, với 1 mặt là phố còn 1 mặt ngõ Ô tô tránh, rất thuận tiện đi lại , giao thương buôn bán . Vỉa hè 2 bên , có thể xây đua mở rộng + Tuyến phố thuộc trục giữa trung tâm Thủ đô, cửa ngõ phía nam, giao thông thuận tiện. 
Phù hợp làm văn phòng Công ty, showroom, spa, kinh doanh các thể loại.
+ Nhà xây làm 2 căn cho thuê 25tr/th, chủ mới dễ dàng đập thông thành 1 căn kinh doanh đỉnh.Chủ thiện trí bán nên có ra lộc .Liên Hệ: Ngọc Bé:0962753326 để được tư vấn và hỗ trợ hoàn toàn miễn phí 24/24 .
",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806921.6543345,,, 4,, 1,
,"Trần Đăng Ninh, Cầu Giấy", 35m2,"Nhà ngõ rộng, mặt tiền lớn,  chỉ 20m ra phố lớn  Tầng 1: Phòng khách, bếp, nhà vệ sinh. Tầng 2, 3, 4: Phòng ngủ, vệ sinh. Tầng 5: Phòng thờ, sân chơi.  Nội thất: Phòng ốc rộng rãi, nội thất mới, hiện đại, người mua chỉ việc vào ở luôn. Chủ nhà có tuổi rất muốn bán để lên chung cư ở.  Vị trí: Trung tâm quận Cầu Giấy, đầu ngõ là quán café, gần cách Công viên Cầu Giấy vài trăm mét, gần các trường học, đại học lớn: Trường Đại học sư phạm, Học viên báo chí, ĐH QG, các trướng mầm non, C1, C2,…   Liên hệ Tuấn thổ cư để xem nhà miễn phí: 038 9001010",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806923.466488,,,,,,
"4,5 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 50m2,"- Nhà xây dựng chắc chắn, BTCT, khung cột chuẩn chỉnh. Mỗi tầng 2 phòng, WC cầu thang giữa, thoáng trước sau, phòng nào cũng nhiều không khí, thông thoáng sức khỏe tốt.
",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806924.6852355,, 4, 5, 5, 3, 4
5 tỷ VNĐ,Đường Dương Lâm phường Văn Quán, 30m2,"
    MẶT NGÕ THÔNG KINH DOANH - Ô TÔ - NHÀ ĐẸP MẶT TIỀN KHỦNG.Tổ 2 Văn Quán, Hà Đông ( Thực tế Ngõ 22. Dương Lâm) dt; 30m2 x 5 tầng Mt; 5.9m Giá bán 5 tỷ Mô tả: Nhà ở vị trí cực đẹp, mặt ngõ thông kinh doanh nhiều loại hình được, ngõ rộng xe ô tô 5 chỗ qua nhà.Mặt tiền gần 6m cực rộng lợi thế lớn trong việc ở kết hợp kinh doanh.Thiết kế:Tầng 1: Khách, bếp, WCTầng 2,3,4: Mỗi tầng 01 phòng ngủ + WC.Tầng 5: Phòng thờ, sân phơi.Sổ đỏ vuông đẹp sẵn sàng giao dịch.ACE quan tâm LH Mr Hóa để biết thêm thông tin chi tiết",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806926.0815513,, 5, 5, 4, 6, 4
"3,6 tỷ VNĐ","Gốc Đề, Hoàng Nai, Hà Nội", 42m2,"+ Phố Gốc Đề thuộc trung tân Quận Hoàng Mai. Giao với các đường: Tân Mai, Tam trinh, Lương Khánh Thiện.  Gần nhà có đầy đủ tiện ích xã hội như; Hồ Đền Lừ, Bến xe, chợ dân sinh,các trường Đại học,bệnh viện Bạch Mai,khu vui chơi và nhiều tiện ích khác… +Nhà còn mới đẹp, khách mua về ở ngay, thiết kế hiện đại, tối ưu hóa công năng sử dụng, di chuyển 10p ra hồ Đền Lừ, 20 phút đến Bờ Hồ. Phù hợp cho 2 hoặc 3 thế hệ để ở. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; Mr Quân – 0911303899 (zalo-messenger). Để được tư vẫn miễn phí, còn rất nhiều căn nhà cùng khu vực với tài chính từ 3-10 tỷ.",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806927.5556066,,,,,,
,kim hoa- mê linh- hà nội, 120m2,"———Bán đất đấu giá sát đường vành đai 4 quy hoạch ✅ Vị trí: Ngọc trì- kim hoa- mê linh- Hà Nội Dtich 120m2. Khổ đất vuông đẹp Nằm trên trục đường đôi Ngô miễn Cách KĐT kim hoa chỉ 300mGần KĐT chi đông, THPT Quang minh, khu công nghiệp Quang minh….✅ Giá 4xtr/m2LH: 0989-726-892 Em Phượng Hud mê linh centralđất đấu giá mê linhđất gần vành đai 4 mê linhđất nền mê linh",23/08/2022,Tin thường,batdongsan_so_com_vn_1673806928.7703564, Tây, 6,,, 25,
