price,address,Diện tích,Mặt tiền,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ
24 tỷ VNĐ,Đường Chu Huy Mân phường Phúc Đồng, 190m2, 10, 4, 4,"Chính chủ cần bán gấp biệt thự vip khu đô thị mới Sài Đồng. Đầu trục đường Chu Huy Mân - lối đi vào Vinhomes Riverside.+ Biệt thự nằm khu trung tâm của khu đô thị mới Sài Đồng, gần hồ, trường học... Tiện ích ngập tràn, di chuyển các nơi đều tiện.+ Hạ tầng đồng bộ, an ninh, yên tĩnh, dân trí cao.+ Nhà 4 tầng với 6 phòng ngủ, đang cho 1 đơn vị nhà nước thuê làm VP. Hàng năm thu đều trên 200 triệu từ tiền cho thuê.+ Gía rao bán 25 tỷ còn thương lượng - mức giá tốt nhất thị trường Long Biên cho căn biệt thự có vị trí tốt và giao thông thuận lợi.+ Sổ đỏ chính chủ. Sổ phân lô vuông, đẹp. Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801826.399087, 21, 4
14 tỷ VNĐ,PHỐ ĐÀM QUANG TRUNG, 80m2, 6, 5, 4,"❤ PHỐ ĐÀM QUANG TRUNG - LÔ GÓC - VỊ TRÍ ĐỈNH - TIỆN ÍCH XUNG QUANH 80M 5 TẦNG 14 TỶ  Mô tả: - Vị trí rất đẹp, tiện ích xung quanh đầy đủ, gần UBND, chợ, trường học, hàng xóm Vin Oceanpark, khu vực dân cư đông đúc, cơ sở hạ tầng phát triển mạnh, tương lai lên quận, khả năng sinh lời cao. - Thiết kế: + Tầng 1: Thông sàn kinh doanh, PK, Bếp, và WC+ Tầng 2: 01 PN khép kín, khách, WC.- Tầng 3: 02 PN, WC khép kín.+ Tầng 4: 02 phòng, WC. + Tầng 5: Sân. - Vị trí : Kinh doanh tuyệt đỉnh - Căn nhà nằm ở vị trí thuận tiện di chuyển nhiều tuyến đường Thị Trấn Trâu Quỳ, đi Hải Phòng, Quảng Ninh... -Đường trước nhà rộng 30m, phía trước là đường 5, đối diện Khu Đô thị Đặng xá, lối thông ra Ocean Park...-Phía trước nhà là 1 khoảng sân lớn như hình ĐC đăng lên. Khoảng sân dọc đó là đất vỉa hè và vỉa hè đối diện bên đường đang sử dụng, Không phải nhà nào cũng làm được như vậy, Rất phù hợp kinh doanh Nhà hàng, Cafe, đường thông ra Oceans park.- Sổ đỏ chính chủ , sẵn sàng giao dịch.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801828.1563845,,
"1,8 tỷ VNĐ",Đường Lê Xá phường Mai Lâm, 46m2, 4,,,"CHÍNH CHỦ BÁN 46M ĐẤT GẦN CẦU ĐÔNG TRÙ, ĐÔNG ANH, HÀ NỘI. GIÁ NHỈNH 1 TỶ. GẦN  ĐƯỜNG 40M, KHU GIÃN DÂN, ĐẤU GIÁ Diện tích: 46m2 và 47,3mMặt tiền: 4mMặt hậu : 4mChiều dài: 12mHướng: Đông NamĐường rộng: 3m🇻🇳 Pháp lý: sổ đỏ chính chủGiá bán: hơn 1 tỷ Vị trí mảnh đất đẹp ở gần cầu Đông Trù, Vin, đất đấu giá Lê Xá, UBND Đông Hội, trường học mầm non,cấp 1, 2 Đông Hội siêu thị, Chợ....Đây là khu vực dân cư đông đúc, dân trí cao, an ninh tốt🤳Mời khách hàng liên hệ với em Thủy chính chủ  📲 ĐT: 0917621856🌹 Để được tư vấn trực tiếp và xem đất miễn phí.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801829.2963371,,
"1,3 tỷ VNĐ",Đường Độc Lập phường Cự Khối, 33m2, 3,,,"Tồi cần bán gấp mảnh đất 33.5 m2, mặt tiền 3.5 m, hướng bắc, đường ô tô vào nhà Vị trí gần trục chính làng, cách đê 300m, gần chợ, trường học Cự Khối. Giáp cầu Thanh Trì và dự án thành phố ven sông Hồng, thoáng mát, hàng xóm thân thiện. Giá 1.3 tỷ có thương lượng Sổ đỏ chính chủ, sẵn sàng giao dịch. LH em Hoàn 0977790353 ",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801830.6766436,,
3 tỷ VNĐ,Đường Quốc lộ 1A phường Tứ Hiệp, 38m2, 3,,,"
    Bán Nhà 5 Tầng, Cạnh Uỷ Ban Xã Tứ Hiệp Ngõ Xe Ba Gác Diện Tích 38,9m2 nhỉnh 3 tỷ.Vị trí tại thôn Cổ Biển B- Tứ Hiệp- Thanh trì- Hà Nội . Ngay sát đường Vành ĐaiThiết kế hiện đại thông thoáng tất cả các phòng đều đón ánh sáng tự nhiên.Nhà 4,5 tầng + 1 tum .Tầng 1 là 1 phòng để xe, 1 phòng bếp, 1 nhà vs.Tầng 2 là 1 pk,1pn.T3 là 2 pn và 1 vệ sinh.Tầng4  là 1 phòng thờ, 1 phòng phơi quần áo. Diện tích sổ đỏ 38,9m  ( ai quan tâm ib e gửi sổ đỏ ạ). Nhà ở cực kì có lộc , Đất nở hậuLiên hệ chính chủ e Luyến 0982645929
",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801831.8036277, 1,
"1,8 tỷ VNĐ",Đường Lê Xá phường Mai Lâm, 46m2, 4,,,"CHÍNH CHỦ BÁN 46M ĐẤT LÊ XÁ, MAI LÂM, ĐÔNG ANH, HÀ NỘI. GIÁ NHỈNH 1 TỶ. ĐẤT GẦN CẦU ĐÔNG TRÙ, ĐƯỜNG 40M, KHU GIÃN DÂN, ĐẤU GIÁ 💁Diện tích: 46m2 và 47,3m💁Mặt tiền: 4m💁Mặt hậu : 4m💁 Chiều dài: 12m🍀 Hướng: Đông Nam🚛 Đường rộng: 3m🇻🇳 Pháp lý: sổ đỏ chính chủ💶 Giá bán: hơn 1 tỷ Vị trí mảnh đất đẹp ở gần cầu Đông Trù, Vin, đất đấu giá Lê Xá, UBND xã Mai Lâm, Đông Hội, trường học mầm non,cấp 1, 2 Mai Lâm, Đông Hội siêu thị, Chợ....Đây là khu vực dân cư đông đúc, dân trí cao, an ninh tốt🤳Mời khách hàng liên hệ với em Thủy chính chủ  📲 ĐT: 0917621856🌹 Để được tư vấn trực tiếp và xem đất miễn phí.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801833.0522866,,
866 triệu VNĐ,long biên hà nội, 80m2, 5,,," 🔥Ưu đãi chưa từng có trả góp với lãi suất 0%, sở hữu ngay lô đất nền giá rẻ nằm sát nút giao Cao tốc Hà Nội- Hải Phòng, giá chỉ từ 148tr (20%).🔥   💥 Nhận ngay ưu đãi 6% khi mua từ 2sản phẩm.    Vị trí và tiềm năng:🍀 Nằm trên trục kinh tế Đông- Tây của khu vực Đồng Bằng Sông Hồng, kết nối kinh tế vùng.🍀 Giao thông kết nối thuận tiện, quy hoạch tương lai trở thành nơi giao thương sầm uất tấp nập của tỉnh Hưng Yên.🍀 Nằm gần vùng quy hoạch KCN và KĐT hàng nghìn hecta tại Ân Thi,Bãi sậy, Tân Phúc, Hoàng Hoa Thám, Quang Vinh…bán kính chỉ từ 1km. vị trí đắc địa nằm tại thủ phủ KCN Ân Thi-Hưng Yên với quy mô hơn 10.000 công nhân.🍀 Khu vực đầy tiềm năng kinh tế gần chợ, UBND, trạm y tế ,trường học tiện ích liền kề.🍀 Đường nội khu trải áp phan rộng 6m.🍀 Hạ tầng đồng bộ, mốc giới rõ ràng.🍀 pháp lý minh bạch, sổ hồng từng lô.🏡Phù hợp với mọi nhà đầu tư với khả năng thanh khoản cao.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801834.5602539, 6,
"5,1 tỷ VNĐ","Đường Trường Chinh, Thanh Xuân, Hà Nội", 48m2, 5, 4, 4,"Bán nhà Đẹp cách Đường Trường Chinh 20m. Ngõ rộng, Thửa đất đẹp, thoáng trước sau, Ở sướng. ** MÔ TẢ:  + Thiết kế: Nhà được Gia chủ xây dựng chắc chắn, Đẹp, Thoáng, đầy đủ công năng 4 tầng với 4 Phòng ngủ, Phòng thờ, sân phơi,... + Vị trí cực đẹp Ngay gần Ngã Tư Sở, giao thông thuận tiện, Ngõ rộng, thông thoáng. + Tiện ích: Xung quanh có Nhiều trường Đại học, Trường học, Trung tâm Thương mại, tiện ích ngập tràn. ** PHÁP LÝ:+ Sổ Đỏ vuông đẹp chính chủ, sẵn sàng giao dịch. + Giá bán: 5.1 tỷ (Thượng lượng với khách thiện chí).** LH: Anh Đức 0396.588.352 (Gọi hoặc liên hệ zalo 24/24g).",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801835.89568,, 4
4 tỷ VNĐ,Đường  phường Trâu Quỳ, 56m2, 4,,,"Chính chủ cần tiền bán lô đất ngay cổng trường HV Nông Nghiệp.- Địa chỉ: TDP Cửu Việt, TT Trâu Quỳ, Gia Lâm, HN: -DT: 56m2, Mặt tiền  = hậu: 4.5m. - Đường thông tứ phía, xe bán tải vào tận đất. - Tiện ích đầy đủ không thiếu thứ gì. - Pháp lí: Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá bán: 4 Tỷ ( có gia lộc khách thiện chí ). Liên hệ xem đất: 0969346836 ( Mr Tú )",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801837.5482595,,
4 tỷ VNĐ,Hào Nam- Đống đa, 31m2,, 5, 3,"Bán nhà trung tâm Hào Nam 31m-5 tầng- Giá 4 tỷ TRUNG TÂM ĐỐNG ĐA - NHÀ ĐẸP Ở NGAY - GẦN PHỐ - NGÕ RỘNG - Ở SƯỚNG Mô tả: Ngõ to rộng, 2 xe ba gác tránh nhau. Từ nhà ra mặt phố rất gần. Trước nhà là khoảng sân chung rất rộng. Nhà còn mới đẹp, thiết kế khoa học, dân xây chắc chắn. Tiện ích xung quanh bạt ngàn, giao thông di chuyển thuận tiện. Thiết kế: Tầng 1: Khách, bếp, WC. Tầng 2, 3, 4: Mỗi tầng 1 ngủ, WC. Tầng 5: Phòng thờ, sân phơi. : Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng bàn giao. LH  E Đăng : 0969990569",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801839.166929,, 3
