price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Lộ giới
"4,35 tỷ VNĐ",Đường Tạ Quang Bửu phường Bạch Mai, 39m2,,,"+ Khu vực trung tâm , nhà 4 tầng , nhà đẹp, thông thoáng.+ Xây dựng, lõi trung tâm Bách Khoa, quận Hai Bà Trưng.Xem nhà liên hệ điện thoại: 0943752868",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812794.9661562,,,, 1
"9,8 tỷ VNĐ",võng thị, 41m2, 4,,"""Bán nhà Võng Thị 41m 4tg mt 3.5m giá 9.8 tỷ- VIEW HỒ - OTO TRÁNH VÀO NHÀ - CÁCH HỒ TÂY 100M - NHÀ ĐẸP Ở NGAY 😱 😱 Mô tả :- Tầng 1 :   Phòng khách bếp - Tầng 2 đến 4: Thiết kế lệch tầng, tổng 4 ngủ.Nhà mặt ngõ ô tô thông các ngả Võng Thị, Trích Sái""",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812796.8404489,,,, 4
,Đường Hoàng Văn Thái phường Khương Mai, 58m2, 4, 3,"Tìm đâu ra căn nhà 58m2, khu phân lô 3 ô tô tránh, kinh doanh ngay trung tâm NGÃ TƯ SỞ. + Khu vực dân trí cao, hàng xóm là cán bộ ngân hàng, bác sĩ trong bệnh viện lớn Hà Nội.+ Sổ đỏ nở hậu, Phía sau có khe thoáng. Liên hệ: : Kiều Anh – 0368186363 - Zalo có hàng nghìn căn nhà trên địa bàn quận Thanh Xuân, Đống Đa và các quận lân cận đủ các phân khúc.",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812798.8394759,, 3, 3, 6
"1,7 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 80m2, 5, 13,"-Khu vực ở sạch sẽ, thoáng đãng. Tận hưởng hạ tầng đồng bộ của Vinhome. -Chủ thiện chí cần bán nhanh lấy tiền kinh doanh ",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812800.1275597,, 2, 2, 5
"16,5 tỷ VNĐ",Đường Hồng Tiến phường Bồ Đề, 106m2, 6, 5,"+ Thiết kế 5 tầng, Thang máy không gian thoáng, đầy đủ công năng sử dụng.  ",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812801.911788,, 5, 5, 1
"1,445 tỷ VNĐ","Chính chủ Bán CHCC Tòa CT4A, Hà Đông; 1,445 tỷ; 0378658388", 83m2,,,"Chính chủ Bán CHCC Tòa CT4A, Hà Đông; 1,445 tỷ; 0378658388 - Diện tích 82,6 m2 - Ban công Đông Nam - Gồm 2 PN, sofa phòng khách, bàn ăn, điều hòa 3 phòng, máy giặt, tủ lạnh, tủ bếp, quạt trần... - Khu an ninh tốt, giao thông thuận tiện, dân trí cao - Gần trường, chợ , gần các tiện ích xung quanh - Phòng ngủ sạch sẽ  thoáng mát về mùa hè, ấm áp về mùa đông - Hiện tại chưa sang tên được nên bán bằng giá sàn nhà nước qui định - Giá bán: 1,445 tỷ (Có thương lượng cho khách thiện chí). Bao sang tên khi sang được sổ - Thanh toán trước 1,3 tỷ, khi nào sang tên xong thì thanh toán nốt LHCC: 0378658388 (zalo).       http://www.sanbatdongsanviet.com.vn",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812803.9603062,,,,
"3,4 tỷ VNĐ",Đường Tân Triều phường Tân Triều, 30m2, 3, 4,,23/07/2022,Tin thường,batdongsan_so_com_vn_1673812806.3307707,, 2, 3, 2
"3,6 tỷ VNĐ",Đường Yên Xá phường Tân Triều, 36m2, 4, 5,"- Nhà mới xây đẹp long lanh, chuyển về ở luôn được- Thiết kế 5 tầng hiện đại:+ Tầng 1: Để xe, phòng khách, bếp+ Tầng 234: Mỗi tầng 1 phòng ngủ khép kín siêu rộng+ Tầng 5: Phòng thờ và sân phơi- Sổ đỏ chính chủ, pháp lý rõ ràng- Liên hệ em Nguyên: 0868399368",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812812.8606691,, 3, 3, 2
,Đường Kim Giang phường Thanh Liệt,,, 5,"Nhà xây mới chưa dùng đến nên bán + Vị trí nằm trong khu vực Kim Giang sầm uất các con ngõ lớn ô tô chạy tấp lập thông với nhau giao thương vơi các phố lớn như Xa La Nguyễn Xiển, Nghiêm Xuân Yêm, Giải Phóng hay Phan Trọng Tuệ, Cầu Bươu, Phùng Hưng..gần các bệnh viện lớn như Quân Y Viện 103, Bỏng Quốc Gia, K Tân Triều các bến xe lớn như Nước Ngầm, Giáp bát. 3 bước ra chợ hay trường học các cấp PT. + Nhà được xây mới tâm huyết chắc chắn 5 tầng 4 phòng ngủ đầy đủ công năng tiện ích, chỉ 10m ra đến ô tô tránh nên có thể ở và kết hợp buôn bán nhỏ, online. + Sổ đỏ cất két, pháp lý rõ ràng sẵn sàng giao dịch. LH Đức Béo Tận Tâm Nhiệt tình 0904819386. *** không tiếp môi giới trung gian***",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812816.5705068,, 4, 5, 1
3 tỷ VNĐ,Đường Hà Trì 3 phường Hà Cầu, 36m2, 4, 5,"- Nhà xây 5 tầng gồm phòng khách, bếp, 3 phòng khép kín rộng, phòng thờ, sân phơi - Sổ đỏ đẹp, chính chủ, pháp lý rõ ràng - Liên hệ em Nguyên 94: 0868399368",23/07/2022,Tin thường,batdongsan_so_com_vn_1673812822.2418306,, 3, 3, 2
